date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,114.78,114.89,113.43,113.87,31667149.35,1109692,126668615.83500001,2389,114.83,114.9,113.42,113.88,600856449.45,21057980,2403425549.2355003,25952
2020-08-14,10:00,10:00,113.86,114.04,113.33,113.34,14190555.27,499096,56762228.25500001,1159,113.85,114.06,113.33,113.35,283984890.48,9988956,1135939598.4162,13521
2020-08-14,10:30,10:30,113.34,113.82,113.24,113.31,7597219.93,267752,30388878.83,697,113.36,113.83,113.23,113.31,271750402.44,9575464,1087001611.9020002,13239
2020-08-14,11:00,11:00,113.26,113.68,113.05,113.68,8135438.18,287260,32541763.4,560,113.3,113.7,113.05,113.66,302841236.18,10691516,1211364881.0073998,13643
2020-08-14,11:30,11:30,113.68,114.05,113.64,113.94,2574039.35,90408,10296158.949999997,207,113.66,114.06,113.61,113.95,272941734.9,9588048,1091767099.675,10325
2020-08-14,12:00,12:00,113.95,114.44,113.9,114.4,2440731.34,85484,9762928.695000002,249,113.95,114.47,113.89,114.41,253402151.95,8872184,1013608781.2557998,9985
2020-08-14,12:30,12:30,114.37,114.87,114.37,114.59,2540562.13,88608,10162247.429999998,234,114.42,114.87,114.35,114.59,288161913.14,10051996,1152647721.3329,10691
2020-08-14,13:00,13:00,114.52,114.82,114.36,114.78,2587313.14,90356,10349253.750000002,170,114.58,114.83,114.35,114.79,217866610.06,7603600,871466559.3663001,8494
2020-08-14,13:30,13:30,114.77,114.82,114.45,114.65,1569727.89,54800,6278913.4,173,114.78,114.84,114.43,114.66,173250945.97,6046320,693004042.2324,6900
2020-08-14,14:00,14:00,114.64,114.66,114.15,114.32,793219.08,27724,3172876.9650000003,101,114.65,114.68,114.14,114.32,148073756.05,5177500,592295178.147,6007
2020-08-14,14:30,14:30,114.32,114.47,114.25,114.3,743308.59,26000,2973234.125,81,114.32,114.49,114.23,114.29,130346929.18,4559016,521387752.496,5641
2020-08-14,15:00,15:00,114.19,114.41,114.0,114.16,1437739.17,50392,5750955.8549999995,133,114.28,114.46,113.97,114.17,202834762.72,7106400,811339381.3950999,8523
2020-08-14,15:30,15:30,114.15,114.99,114.12,114.9,3337993.23,116436,13351974.744999997,329,114.17,115.0,114.05,114.95,316020321.73,11029340,1264081060.1039002,13528
2020-08-17,09:30,09:30,116.07,116.07,115.21,115.46,13326174.58,461236,53304718.22500001,1312,116.06,116.09,115.17,115.46,433345751.98,14994804,1733383058.4136996,16655
2020-08-17,10:00,10:00,115.47,115.58,114.3,114.42,14592307.44,508956,58369241.02500001,868,115.46,115.58,114.29,114.42,320159045.15,11151476,1280636213.5621,13208
2020-08-17,10:30,10:30,114.42,114.83,114.36,114.55,7775973.65,271232,31103902.374999996,566,114.42,114.84,114.35,114.55,172939731.71,6032764,691759108.5918999,7595
