date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-07-02,09:30,09:30,367.845,370.47,367.45,369.955,369.297299,68445,25276551.610000003,345,367.85,370.47,367.33,369.98,369.28437,4535286,1674810508.7905002,20503
2020-07-02,10:00,10:00,369.9,370.01,365.74,366.01,368.548898,19574,7213978.085000001,203,369.99,370.08,365.5,366.16,368.163823,2810829,1034845897.4564999,12629
2020-07-02,10:30,10:30,366.12,368.02,366.12,367.1,367.121691,8663,3180375.92,122,366.145,368.08,365.92,367.231,367.088295,2076576,762286823.7462999,9569
2020-07-02,11:00,11:00,367.175,367.175,366.05,366.26,366.688094,5476,2007984.2999999998,83,367.23,367.27,365.89,366.355,366.615122,1280133,469316211.4790001,6360
2020-07-02,11:30,11:30,366.39,367.43,365.85,367.36,366.692708,13299,4876645.625,88,366.4,367.54,365.81,367.44,366.653429,1132975,415409201.75589997,5794
2020-07-02,12:00,12:00,367.43,368.02,366.71,367.79,367.655783,4679,1720261.4400000002,78,367.44,368.06,366.67,367.8,367.578935,1044010,383756183.06819993,5433
2020-07-02,12:30,12:30,367.725,367.84,367.25,367.58,367.519581,4502,1654573.755,96,367.79,367.86,367.1,367.57,367.521932,720765,264896915.02799994,3800
2020-07-02,13:00,13:00,367.32,367.38,366.48,366.48,366.763502,5985,2195079.45,83,367.56,367.59,366.45,366.58,366.999458,809716,297165365.14979994,4225
2020-07-02,13:30,13:30,366.58,366.955,366.32,366.45,366.587046,5155,1889756.785,140,366.57,366.97,366.295,366.45,366.630311,757053,277558592.2645999,4049
2020-07-02,14:00,14:00,366.445,366.915,366.155,366.915,366.506483,3776,1383928.48,164,366.42,366.96,366.14,366.94,366.545992,584530,214257141.59159997,3489
2020-07-02,14:30,14:30,366.965,367.3,366.76,367.13,367.029714,4537,1665214.2950000004,250,366.95,367.31,366.72,367.12,367.060581,744113,273134620.3984,4216
2020-07-02,15:00,15:00,367.01,367.23,366.23,366.45,366.589651,5941,2177908.61,171,367.11,367.28,366.21,366.57,366.602156,939094,344273903.6626,5234
2020-07-02,15:30,15:30,366.63,366.92,363.97,364.36,364.926061,30662,11189365.215,358,366.59,367.0,363.64,364.12,365.193287,2771538,1012146846.1527,15683
2020-07-06,09:30,09:30,370.02,373.45,369.9,373.055,371.785451,30977,11516800.269999998,283,370.0,373.5,369.87,373.19,371.797759,4529664,1684119552.7785003,19719
2020-07-06,10:00,10:00,373.4,373.81,372.0,373.2,372.830523,21959,8186987.919999999,243,373.22,373.9,371.91,373.166,372.973338,2262433,843827438.6033,11491
