date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,113.9,114.04,112.61,113.03,113.131987,446130,50471562.02499999,2994,113.91,114.04,112.59,113.01,113.191299,18186317,2058532155.0732002,70352
2020-11-24,10:00,10:00,113.035,113.815,113.03,113.4,113.518249,298219,33853334.345,1609,113.02,113.82,113.015,113.405,113.550489,9440441,1071967127.1765001,40674
2020-11-24,10:30,10:30,113.395,114.9,113.34,114.87,114.039896,154181,17582785.055,1281,113.4,114.905,113.34,114.903,114.072256,8658265,987668497.8764999,34021
2020-11-24,11:00,11:00,114.91,115.1,114.665,114.915,114.8627,88296,10141917.005,805,114.903,115.12,114.66,114.92,114.889786,7612983,874653856.0173997,29827
2020-11-24,11:30,11:30,114.91,115.37,114.74,114.79,115.036207,119767,13777544.24,986,114.92,115.37,114.735,114.81,115.049508,6623556,762036762.1802999,25823
2020-11-24,12:00,12:00,114.815,114.85,114.235,114.665,114.50837,76519,8762075.615,732,114.81,114.87,114.23,114.66,114.510203,4740726,542862060.4058,19516
2020-11-24,12:30,12:30,114.665,115.0,114.56,114.78,114.820153,55442,6365855.15,596,114.67,115.013,114.551,114.8,114.83707,3555855,408344277.753,14947
2020-11-24,13:00,13:00,114.8,115.31,114.62,115.025,114.959097,64685,7436134.734999999,508,114.79,115.31,114.62,115.04,114.98095,4418515,508045566.49490005,16901
2020-11-24,13:30,13:30,115.04,115.695,115.04,115.695,115.412707,115778,13362266.370000001,815,115.045,115.7,115.04,115.69,115.420742,5321447,614205615.8248999,19711
2020-11-24,14:00,14:00,115.705,115.85,114.98,115.08,115.425724,99046,11432450.92,826,115.695,115.85,114.97,115.075,115.431279,5641761,651235849.861,22352
2020-11-24,14:30,14:30,115.09,115.37,115.01,115.365,115.182502,52014,5991106.69,584,115.08,115.38,115.0,115.36,115.178391,3896506,448793468.4398999,15289
2020-11-24,15:00,15:00,115.365,115.705,115.17,115.67,115.455936,40848,4716147.869999998,525,115.36,115.72,115.165,115.675,115.47842,4457760,514775347.8692001,17632
2020-11-24,15:30,15:30,115.685,115.73,114.97,115.11,115.327676,89752,10350896.334999997,885,115.67,115.73,114.97,115.17,115.358262,8745206,1008832361.6864,36459
2020-11-25,09:30,09:30,115.53,116.59,115.18,116.4,116.154272,227535,26429171.850000005,1701,115.55,116.61,115.17,116.35,116.100595,13993010,1624599298.2937002,55327
2020-11-25,10:00,10:00,116.355,116.4,115.54,115.975,116.052968,114778,13320331.600000003,919,116.355,116.405,115.53,115.98,116.01383,7065378,819682252.9385002,28784
2020-11-25,10:30,10:30,115.985,116.53,115.9,116.495,116.319963,95921,11157522.295000002,749,115.978,116.53,115.88,116.5,116.271146,4776470,555365529.0783001,17303
2020-11-25,11:00,11:00,116.495,116.75,116.0,116.175,116.425712,67057,7807161.630000001,698,116.492,116.75,115.99,116.17,116.415059,5014883,583807929.8906,18300
2020-11-25,11:30,11:30,116.16,116.31,115.905,116.03,116.062704,56047,6504967.075,584,116.17,116.324,115.89,116.02,116.067199,3872319,449449279.3316,14160
2020-11-25,12:00,12:00,116.04,116.05,115.7,115.945,115.855887,40976,4747312.2299999995,381,116.03,116.06,115.7,115.948,115.886596,3017071,349638044.55829996,11586
2020-11-25,12:30,12:30,115.94,116.32,115.87,116.2,116.098013,26016,3020403.7249999996,319,115.94,116.33,115.86,116.21,116.11269,2764437,320986264.9726001,9998
2020-11-25,13:00,13:00,116.18,116.33,116.0,116.045,116.202669,25802,2998263.8000000007,317,116.215,116.34,115.995,116.03,116.173284,2448412,284440140.9487,9202
2020-11-25,13:30,13:30,116.025,116.115,115.89,116.01,116.002543,36854,4275156.42,433,116.02,116.12,115.87,115.99,116.00239,2309587,267917641.32139993,8747
