date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,115.46,116.02,114.57,116.02,115.284669,213785,24646141.974999998,1379,115.49,116.03,114.54,116.0,115.283375,11298655,1302548298.0642,41949
2020-10-27,10:00,10:00,116.015,116.45,115.485,115.86,115.906501,167760,19444486.175,1089,116.015,116.45,115.45,115.84,115.952947,8446332,979377602.0289999,32672
2020-10-27,10:30,10:30,115.8,116.39,115.685,115.99,116.029866,132344,15355867.870000001,854,115.84,116.39,115.66,115.998,116.029343,5212277,604776910.3059,21885
2020-10-27,11:00,11:00,116.01,116.84,115.96,116.42,116.480707,188695,21979320.200000003,1138,116.01,116.85,115.95,116.425,116.464782,6431767,749074729.5638,25009
2020-10-27,11:30,11:30,116.45,117.175,116.11,117.085,116.703509,131169,15307893.059999999,847,116.43,117.19,116.11,117.11,116.670678,6425990,749725539.5794001,23475
2020-10-27,12:00,12:00,117.115,117.27,116.74,116.79,117.015841,101156,11836863.464999996,644,117.11,117.28,116.73,116.76,116.999836,5454437,638168190.4982,21096
2020-10-27,12:30,12:30,116.77,117.1,116.545,117.02,116.788669,96660,11288802.340000002,548,116.765,117.11,116.54,117.03,116.804025,4375835,511115531.54819995,16062
2020-10-27,13:00,13:00,117.0,117.15,116.47,116.52,116.779929,162505,18977347.744999997,1029,117.02,117.16,116.46,116.505,116.795192,5145747,600998785.3552,18681
2020-10-27,13:30,13:30,116.5,116.79,116.3,116.37,116.560045,123308,14372785.355,853,116.51,116.81,116.305,116.374,116.581546,3674770,428410831.4271998,12666
2020-10-27,14:00,14:00,116.37,116.445,115.985,116.26,116.199047,113278,13162802.375000002,652,116.37,116.469,115.98,116.286,116.184554,4896866,568940046.7101998,17498
2020-10-27,14:30,14:30,116.29,116.405,115.925,116.2,116.24788,81570,9482340.685,567,116.29,116.41,115.92,116.215,116.232944,3340968,388330369.7207,13169
2020-10-27,15:00,15:00,116.23,116.62,116.04,116.6,116.297152,90276,10498844.96,638,116.22,116.63,116.03,116.61,116.329555,3653620,425024084.01110005,15013
2020-10-27,15:30,15:30,116.59,117.0,116.53,116.6,116.76474,225333,26310996.335,1461,116.6,117.0,116.53,116.53,116.761074,7665974,895088198.4717999,33080
2020-10-28,09:30,09:30,114.99,115.42,112.45,113.0,113.81604,330067,37566943.830000006,2245,115.05,115.43,112.44,112.98,113.730667,16004761,1820230530.4219003,59403
2020-10-28,10:00,10:00,112.96,113.1,111.95,112.36,112.594781,323162,36386402.0,2374,112.99,113.12,111.95,112.38,112.586256,11874583,1336915177.5052001,52087
2020-10-28,10:30,10:30,112.37,112.86,112.14,112.55,112.548642,251801,28339872.230000004,1499,112.37,112.87,112.1,112.535,112.537354,8471900,953405673.7601999,36374
2020-10-28,11:00,11:00,112.54,112.64,112.05,112.2,112.357664,180366,20265505.28,1326,112.53,112.65,112.05,112.2,112.37538,7228637,812321498.7694001,29271
2020-10-28,11:30,11:30,112.18,113.06,112.0,112.91,112.472914,226278,25450183.475,1406,112.2,113.07,112.0,112.91,112.474887,7776407,874650221.5181999,29547
2020-10-28,12:00,12:00,112.905,113.36,112.835,112.93,113.090818,210921,23853252.595000006,1116,112.9,113.37,112.83,112.96,113.097028,6630306,749868303.7099003,25525
2020-10-28,12:30,12:30,112.95,113.175,112.52,112.52,112.816233,109128,12311401.299999999,686,112.965,113.18,112.5,112.51,112.822117,4945611,557974483.639,18457
2020-10-28,13:00,13:00,112.5,112.64,112.07,112.525,112.294811,127296,14294679.129999999,818,112.5,112.65,112.05,112.54,112.306829,5642087,633645749.9532,21073
2020-10-28,13:30,13:30,112.505,113.235,112.425,113.17,112.7632,138177,15581287.775000002,833,112.54,113.24,112.42,113.178,112.771366,5587639,630125343.4366,21227
2020-10-28,14:00,14:00,113.17,113.255,112.605,113.24,112.927238,152202,17187758.194999997,850,113.175,113.26,112.6,113.245,112.94029,5714830,645434836.2737999,20272
2020-10-28,14:30,14:30,113.24,113.37,112.49,112.885,112.873311,173435,19576193.895000003,993,113.243,113.38,112.48,112.91,112.901907,6125074,691532749.5494001,21925
2020-10-28,15:00,15:00,112.92,113.06,112.51,112.725,112.765974,180529,20357545.659999996,1150,112.91,113.07,112.5,112.725,112.76466,5708313,643695690.5033998,23795
2020-10-28,15:30,15:30,112.72,113.2,111.16,111.18,111.989056,506903,56767619.11,3363,112.725,113.2,111.1,111.15,111.965039,16483928,1845623901.0759,65207
2020-10-29,09:30,09:30,112.37,114.16,112.22,114.02,113.355337,180744,20488311.060000002,1525,112.37,114.2,112.2,114.025,113.370632,14901145,1689353319.7004998,55813
2020-10-29,10:00,10:00,114.035,114.36,113.42,114.36,113.999915,149964,17095893.425,1184,114.02,114.365,113.41,114.36,113.980085,7859211,895794076.6836001,32434
2020-10-29,10:30,10:30,114.44,114.59,113.76,113.955,114.052561,202884,23139458.475,1296,114.37,114.6,113.76,113.97,114.193185,6593861,752974897.5193001,26856
2020-10-29,11:00,11:00,113.975,114.94,113.61,114.71,114.184817,100685,11496701.959999997,917,113.97,114.949,113.6,114.71,114.269985,5899303,674112901.1300999,23756
2020-10-29,11:30,11:30,114.735,114.97,114.17,114.5,114.627922,145283,16653499.004999999,968,114.71,114.98,114.17,114.505,114.672063,5795558,664589023.0679998,23990
2020-10-29,12:00,12:00,114.61,115.225,114.375,115.035,114.926932,134037,15404479.494999997,906,114.504,115.25,114.36,115.04,114.866237,5431365,623881096.602,21554
2020-10-29,12:30,12:30,115.055,115.23,114.915,115.065,115.061859,109861,12640809.12,1014,115.04,115.24,114.9,115.065,115.064239,4457781,512931295.9992,18346
2020-10-29,13:00,13:00,115.09,115.95,115.0,115.925,115.343418,90499,10438467.314999998,777,115.07,115.97,114.995,115.924,115.440901,5754591,664315067.0146002,21981
2020-10-29,13:30,13:30,115.92,116.21,115.745,116.195,115.949381,71213,8257099.769999999,647,115.925,116.22,115.73,116.195,115.959271,5939177,688703256.5776001,22956
2020-10-29,14:00,14:00,116.205,116.825,116.205,116.75,116.639729,185314,21614964.969999995,973,116.2,116.83,116.19,116.74,116.54241,7663150,893081672.9150001,29969
2020-10-29,14:30,14:30,116.74,116.92,115.83,116.01,116.373837,172777,20106728.569999997,1159,116.74,116.93,115.82,116.04,116.345869,8644742,1005780430.6917999,33746
2020-10-29,15:00,15:00,116.07,116.62,115.71,116.305,116.298486,115745,13460975.804999998,894,116.05,116.63,115.71,116.319,116.319378,9304503,1082294886.3188999,38465
2020-10-29,15:30,15:30,116.28,116.725,115.0,115.01,116.059849,280940,32605853.625,2015,116.315,116.73,114.52,114.52,116.123392,14047553,1631251304.6925998,62732
2020-10-30,09:30,09:30,111.06,111.98,108.89,109.71,110.546342,592885,65541310.33999999,3796,111.06,111.99,108.85,109.698,110.297292,28640386,3158957487.8900003,111267
2020-10-30,10:00,10:00,109.64,110.43,108.31,108.965,109.544387,390355,42761213.309999995,2173,109.69,110.44,108.3,108.97,109.518561,16909663,1851922623.4418998,67279
2020-10-30,10:30,10:30,108.915,109.46,108.47,108.6,108.953479,215651,23495937.464999996,1613,108.965,109.514,108.47,108.57,108.928847,12420475,1352948250.3463,51136
2020-10-30,11:00,11:00,108.58,109.85,108.58,109.265,109.370059,387574,42389041.614999995,2554,108.57,109.852,108.55,109.26,109.364276,10258717,1121937863.6165998,42228
2020-10-30,11:30,11:30,109.25,109.44,108.73,108.78,109.041618,278346,30351312.745,1412,109.25,109.47,108.71,108.77,109.100448,7923786,864488292.4129,31788
2020-10-30,12:00,12:00,108.735,109.95,108.705,109.48,109.236765,196864,21504773.0,718,108.77,109.97,108.7,109.479,109.385841,8417413,920746944.5416999,32279
2020-10-30,12:30,12:30,109.47,109.47,108.79,108.89,109.013394,81403,8874025.399999999,777,109.47,109.48,108.77,108.889,109.006901,6797197,740942309.0418,28009
2020-10-30,13:00,13:00,108.885,109.17,108.5,108.88,108.744065,179598,19530230.710000005,1290,108.88,109.19,108.5,108.85,108.745432,7077702,769667762.386,29104
2020-10-30,13:30,13:30,108.82,108.83,108.1,108.315,108.379834,210140,22774920.949999996,1233,108.856,108.856,108.1,108.35,108.373214,8096952,877492333.0744,31452
2020-10-30,14:00,14:00,108.305,108.78,108.16,108.235,108.497891,115470,12528248.739999998,962,108.34,108.79,108.15,108.235,108.490336,6484246,703478565.9273998,26719
2020-10-30,14:30,14:30,108.225,108.6,108.0,108.16,108.248174,144238,15613488.135000005,1181,108.23,108.61,108.0,108.15,108.207967,7843208,848697804.1146,32795
2020-10-30,15:00,15:00,108.125,108.66,107.75,108.12,108.130734,274196,29649009.874999996,1609,108.14,108.68,107.72,108.103,108.158003,12561832,1358663781.2825,50541
2020-10-30,15:30,15:30,108.06,109.22,107.86,109.085,108.392065,281832,30548346.47,1886,108.104,109.3,107.85,108.9,108.32586,18223271,1974051933.6915,75025
2020-11-02,09:30,09:30,109.16,110.67,109.16,109.765,110.035589,247016,27180549.59,1823,109.11,110.68,109.11,109.82,109.973343,16485296,1812943991.1871002,62718
2020-11-02,10:00,10:00,109.84,110.2,109.12,109.815,109.705981,183029,20079371.775,1280,109.83,110.23,109.05,109.81,109.676195,9842209,1079456639.5224001,42960
2020-11-02,10:30,10:30,109.81,109.82,108.43,108.5,108.861749,199489,21716730.789999995,1468,109.8,109.85,108.43,108.49,108.878549,9625365,1047996300.8457998,39333
2020-11-02,11:00,11:00,108.48,108.68,107.79,107.975,108.252723,100702,10901264.12,844,108.48,108.69,107.77,107.99,108.194111,8133415,879987497.8381999,31365
2020-11-02,11:30,11:30,108.025,108.35,107.735,107.91,108.089568,111524,12054577.950000001,765,108.0,108.36,107.72,107.91,108.070109,5690919,615018478.6649,21764
2020-11-02,12:00,12:00,107.91,108.6,107.8,108.53,108.297046,171421,18564419.74,953,107.91,108.6,107.79,108.51,108.285246,7372825,798368022.2335,27638
2020-11-02,12:30,12:30,108.51,108.51,107.81,108.16,108.11396,71537,7734150.269999999,525,108.514,108.515,107.8,108.135,108.074177,5021673,542713900.0349,19385
