date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,115.31,115.955,114.19,114.805,114.857718,112407,12910831.41,864,115.23,116.0,114.18,114.86,115.007975,15471965,1779401028.5533006,55014
2020-09-16,10:00,10:00,114.86,115.0,114.05,114.39,114.467006,89527,10247886.82,615,114.87,115.05,114.04,114.39,114.550164,9035602,1035030869.8375,36841
2020-09-16,10:30,10:30,114.39,114.57,113.35,113.905,113.86625,120788,13753681.0,694,114.39,114.58,113.35,113.87,113.87052,10973885,1249602794.8938,43984
2020-09-16,11:00,11:00,113.885,114.37,113.74,114.09,114.117633,41888,4780160.34,525,113.87,114.39,113.71,114.106,114.100157,6955184,793588581.2052,28552
2020-09-16,11:30,11:30,114.14,114.305,113.605,113.695,114.001264,66227,7549968.4,783,114.11,114.32,113.6,113.676,113.988031,6043729,688912699.3155,26098
2020-09-16,12:00,12:00,113.67,113.845,113.375,113.69,113.641912,73504,8353129.529999999,649,113.67,113.85,113.36,113.694,113.593758,6010572,682763614.3663,27021
2020-09-16,12:30,12:30,113.71,113.71,113.15,113.355,113.343911,74687,8465314.004999999,667,113.7,113.73,113.14,113.345,113.39628,5972625,677274358.2106001,25972
2020-09-16,13:00,13:00,113.295,113.54,112.825,113.095,113.133044,53239,6023090.82,678,113.346,113.57,112.82,113.105,113.123238,7156228,809536349.8405001,29484
2020-09-16,13:30,13:30,113.105,113.5,112.765,113.365,113.045569,62246,7036636.095000002,547,113.11,113.51,112.75,113.41,113.063649,6950636,785864372.0718999,28200
2020-09-16,14:00,14:00,113.42,114.57,113.08,114.13,113.800663,109475,12458350.399999999,1088,113.463,114.6,113.02,114.13,113.91248,10983402,1251147135.1254997,40792
2020-09-16,14:30,14:30,114.15,114.4,113.075,113.28,113.74207,52137,5930174.115,687,114.15,114.42,113.04,113.295,113.73008,8903802,1012630214.0994,38214
2020-09-16,15:00,15:00,113.22,113.44,112.5,112.615,112.898125,81649,9218021.88,767,113.295,113.46,112.5,112.63,112.900939,10557435,1191944358.2895,45206
2020-09-16,15:30,15:30,112.61,113.04,112.12,112.12,112.49318,175520,19744800.080000006,1535,112.625,113.137,112.04,112.17,112.473844,15118433,1700428258.9555998,65523
2020-09-17,09:30,09:30,109.645,110.83,108.75,110.29,109.601683,292561,32065201.959999993,1684,109.72,110.85,108.71,110.37,109.79239,23870566,2620805849.4028006,86925
