date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,81.8,83.23,81.37,82.65,82.533523,21900,1807486.9349999998,156,81.82,83.24,81.26,82.64,82.457648,7991441,658956127.0324001,25596
2020-08-14,10:00,10:00,82.67,82.94,81.8,81.99,82.397978,12228,1007564.0900000002,162,82.65,82.961,81.79,82.0,82.456834,5318120,438515471.40099996,17845
2020-08-14,10:30,10:30,81.985,82.345,81.475,81.56,82.071363,48467,3977757.0399999996,302,82.0,82.37,81.475,81.56,81.983376,3666824,300618991.9403,13444
2020-08-14,11:00,11:00,81.515,81.785,81.3,81.63,81.514082,29463,2401647.59,231,81.566,81.79,81.28,81.635,81.538183,3336339,272039093.4213,11514
2020-08-14,11:30,11:30,81.65,81.82,81.03,81.12,81.548979,8956,730351.7100000002,106,81.64,81.83,81.02,81.13,81.443785,2417427,196884525.75560004,9887
2020-08-14,12:00,12:00,81.13,81.63,81.06,81.55,81.424094,5588,454998.15,100,81.13,81.64,81.03,81.548,81.417548,2258016,183842230.3647,8947
2020-08-14,12:30,12:30,81.55,81.63,81.12,81.18,81.37119,6240,507756.1099999999,88,81.56,81.66,81.12,81.155,81.408743,1540552,125414492.90549998,5711
2020-08-14,13:00,13:00,81.12,81.395,80.905,81.395,81.14087,4602,373410.44500000007,73,81.155,81.41,80.88,81.39,81.141419,2382121,193288880.18070003,8410
2020-08-14,13:30,13:30,81.425,81.445,81.0,81.29,81.221618,9121,740821.73,111,81.394,81.45,80.985,81.293,81.205511,1755639,142567646.93919998,7121
2020-08-14,14:00,14:00,81.285,81.3,80.98,81.075,81.15377,5614,455596.99,81,81.29,81.33,80.96,81.07,81.139238,1715507,139194980.2935,6460
2020-08-14,14:30,14:30,81.075,81.435,81.075,81.385,81.35208,30622,2491162.2150000003,153,81.08,81.44,81.08,81.37,81.323946,1826954,148575139.14760002,7938
2020-08-14,15:00,15:00,81.37,81.37,81.015,81.12,81.171818,6926,562196.475,97,81.38,81.38,81.01,81.122,81.167213,1891151,153499531.4294,6697
2020-08-14,15:30,15:30,81.125,81.39,81.115,81.26,81.240231,20435,1660143.365,229,81.13,81.438,81.1,81.27,81.246339,2584301,209964791.8826,10996
2020-08-17,09:30,09:30,82.07,82.935,81.725,82.615,82.45963,17934,1478832.945,147,82.09,83.02,81.56,82.56,82.422357,5489633,452468517.0347,19215
2020-08-17,10:00,10:00,82.6,82.645,82.02,82.125,82.342137,24123,1986338.01,232,82.55,82.67,81.99,82.26,82.332912,2925681,240879945.19870004,10741
2020-08-17,10:30,10:30,82.28,82.525,81.935,81.935,82.241147,10740,883270.1749999999,142,82.28,82.55,81.9,81.96,82.209636,2029288,166827232.57409996,7740
2020-08-17,11:00,11:00,81.925,82.7,81.56,82.37,82.217628,17671,1452867.855,189,81.95,82.71,81.552,82.365,82.252476,3734441,307166988.96639997,9672
2020-08-17,11:30,11:30,82.31,82.565,82.26,82.29,82.420012,9305,766918.085,101,82.36,82.59,82.25,82.315,82.411147,1180206,97262242.98820001,3994
2020-08-17,12:00,12:00,82.335,82.335,82.0,82.05,82.170645,5827,478808.47,82,82.326,82.36,81.96,82.032,82.141043,997751,81956335.36760001,3622
2020-08-17,12:30,12:30,82.025,82.705,81.975,82.705,82.375078,9989,822846.0149999999,103,82.03,82.71,81.93,82.7,82.30104,1486342,122327578.32939997,5341
2020-08-17,13:00,13:00,82.675,83.015,82.655,82.655,82.80696,27273,2258393.365,184,82.71,83.06,82.59,82.67,82.835358,2032659,168375988.82410002,6634
2020-08-17,13:30,13:30,82.74,83.035,82.405,82.495,82.809596,13232,1095735.2850000001,124,82.672,83.05,82.38,82.52,82.724777,1835054,151804421.00050002,6243
2020-08-17,14:00,14:00,82.48,82.935,82.48,82.9,82.759302,13185,1091182.7249999999,122,82.515,82.95,82.47,82.9,82.751185,1378922,114107466.4306,5249
2020-08-17,14:30,14:30,82.905,82.905,82.475,82.57,82.697992,6259,517607.66500000004,66,82.905,82.92,82.43,82.56,82.677719,1159030,95825997.1235,3947
2020-08-17,15:00,15:00,82.575,82.575,82.33,82.46,82.450453,9062,747166.755,114,82.557,82.59,82.32,82.465,82.451609,1294406,106725927.5124,4674
