date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-07-02,09:30,09:30,53.095,53.17,52.45,52.675,52.75752,69213,3651517.4200000013,483,53.033,53.19,52.45,52.67,52.768735,5672038,299306082.2488001,20145
2020-07-02,10:00,10:00,52.685,52.73,52.28,52.32,52.581834,34302,1803660.8100000008,403,52.67,52.74,52.28,52.33,52.56231,3271485,171956930.23219997,11351
2020-07-02,10:30,10:30,52.315,52.675,52.315,52.455,52.509911,18740,984036.2250000003,302,52.337,52.675,52.295,52.51,52.484516,2497606,131086143.27929999,9108
2020-07-02,11:00,11:00,52.475,52.565,52.06,52.125,52.347233,14371,752282.37,276,52.5,52.565,52.051,52.14,52.296795,2159718,112946439.3509,8550
2020-07-02,11:30,11:30,52.145,52.515,52.095,52.43,52.383433,16625,870875.9450000001,210,52.14,52.53,52.09,52.43,52.339165,1735818,90851401.08080001,6835
2020-07-02,12:00,12:00,52.435,52.445,52.19,52.355,52.308585,11360,594226.22,226,52.43,52.45,52.19,52.38,52.304835,1326332,69373707.45639999,5526
2020-07-02,12:30,12:30,52.375,52.39,52.195,52.29,52.293673,5921,309630.20999999996,131,52.38,52.4,52.19,52.306,52.293657,789796,41301349.200399995,3227
2020-07-02,13:00,13:00,52.3,52.5,52.28,52.46,52.372606,7079,370745.87000000005,128,52.31,52.495,52.26,52.465,52.386069,822238,43073881.78129999,3303
2020-07-02,13:30,13:30,52.46,52.485,52.285,52.335,52.392742,9386,491757.97,267,52.465,52.49,52.282,52.333,52.391666,976570,51164202.567,4042
2020-07-02,14:00,14:00,52.335,52.415,52.23,52.385,52.332388,7303,382183.47,269,52.33,52.42,52.23,52.385,52.335945,961137,50302041.0627,3329
2020-07-02,14:30,14:30,52.395,52.585,52.365,52.575,52.485404,7816,410226.59499999986,300,52.39,52.59,52.36,52.575,52.486761,1229159,64514634.6451,4455
2020-07-02,15:00,15:00,52.575,52.595,52.39,52.46,52.468551,7749,406579.3900000001,209,52.58,52.6,52.37,52.435,52.466259,1285835,67463004.57669999,5342
2020-07-02,15:30,15:30,52.43,52.5,52.215,52.33,52.34602,25946,1358174.085,366,52.44,52.515,52.21,52.33,52.341621,2830491,148152545.3811,13170
2020-07-06,09:30,09:30,52.89,53.21,52.34,52.47,52.926192,119460,6322560.049999999,868,52.9,53.22,52.33,52.538,52.803063,6386329,337217723.0642,21474
2020-07-06,10:00,10:00,52.63,53.01,52.43,52.715,52.780482,21719,1146339.5699999998,214,52.55,53.02,52.41,52.72,52.768354,3823516,201760614.8684,15581
2020-07-06,10:30,10:30,52.725,52.945,52.64,52.855,52.760425,19768,1042972.905,144,52.72,52.96,52.63,52.858,52.785836,1872825,98858510.99029998,7218
2020-07-06,11:00,11:00,52.865,53.125,52.785,53.085,52.919923,9853,521419.77999999997,119,52.86,53.13,52.77,53.095,52.924454,2049972,108493734.6451,7742
2020-07-06,11:30,11:30,53.11,53.52,53.03,53.275,53.313948,17365,925794.915,147,53.095,53.52,53.03,53.26,53.319435,4132402,220337787.57529998,12895
2020-07-06,12:00,12:00,53.275,53.335,52.985,53.085,53.189779,12501,664923.505,101,53.27,53.35,52.97,53.08,53.168507,1891799,100584014.2549,7034
2020-07-06,12:30,12:30,53.07,53.5,53.01,53.46,53.272863,21666,1154213.715,159,53.075,53.51,53.01,53.455,53.311175,1677359,89422060.85790001,5855
2020-07-06,13:00,13:00,53.455,53.485,53.075,53.255,53.240747,22789,1213302.2750000001,135,53.46,53.505,53.07,53.272,53.262626,2435443,129718054.09670003,6444
2020-07-06,13:30,13:30,53.275,53.405,53.19,53.225,53.284552,9591,511052.82,88,53.275,53.44,53.18,53.21,53.300252,1234557,65802230.37729997,4411
2020-07-06,14:00,14:00,53.18,53.215,52.845,52.955,53.010522,10627,563343.015,95,53.2,53.22,52.825,52.965,53.000849,1608234,85237792.0007,6620
2020-07-06,14:30,14:30,52.965,53.195,52.955,53.12,53.12504,6711,356521.54500000004,81,52.965,53.21,52.955,53.125,53.113153,1382452,73426369.54329999,5356
2020-07-06,15:00,15:00,53.115,53.325,52.93,53.31,53.150324,17093,908497.2200000001,153,53.125,53.33,52.92,53.32,53.150691,1534698,81570438.1365,6534
2020-07-06,15:30,15:30,53.315,53.445,53.24,53.405,53.364621,31320,1671381.3699999999,381,53.315,53.45,53.24,53.38,53.362112,2438443,130120400.22369996,10761
2020-07-07,09:30,09:30,53.36,54.16,53.34,53.685,53.632158,30253,1622532.785,266,53.28,54.17,53.28,53.672,53.762465,6171848,331814272.2735999,21898
2020-07-07,10:00,10:00,53.675,53.84,53.395,53.605,53.615459,10176,545592.475,195,53.68,53.85,53.36,53.59,53.603619,3083152,165268016.9104,10793
2020-07-07,10:30,10:30,53.585,53.715,53.265,53.535,53.481193,13020,696327.3800000001,192,53.6,53.73,53.25,53.49,53.445912,2425769,129647597.94570002,8581
2020-07-07,11:00,11:00,53.525,53.73,53.47,53.515,53.611513,8116,435111.37,135,53.495,53.75,53.425,53.44,53.604299,1592871,85384788.4279,5901
2020-07-07,11:30,11:30,53.49,53.635,53.2,53.535,53.355023,21507,1147503.91,174,53.45,53.64,53.19,53.525,53.403175,2424074,129453417.68680002,9003
2020-07-07,12:00,12:00,53.535,53.535,53.245,53.405,53.419145,63805,3408405.31,369,53.53,53.559,53.235,53.41,53.376916,1745093,93147730.68090001,6983
2020-07-07,12:30,12:30,53.41,53.645,53.355,53.64,53.481635,8762,468606.0149999999,106,53.41,53.66,53.35,53.625,53.4963,1616830,86494500.9053,5677
2020-07-07,13:00,13:00,53.62,53.65,53.37,53.485,53.473203,11979,640556.69,106,53.63,53.655,53.35,53.485,53.483745,1301637,69616389.1559,5363
2020-07-07,13:30,13:30,53.445,53.645,53.305,53.38,53.515094,10525,563249.005,110,53.49,53.645,53.305,53.41,53.478706,1259798,67372377.2351,4987
2020-07-07,14:00,14:00,53.39,53.47,53.225,53.265,53.349107,3004,160260.76,80,53.41,53.48,53.21,53.25,53.339546,1276478,68086775.58289999,5320
2020-07-07,14:30,14:30,53.215,53.24,53.095,53.215,53.15525,4822,256315.29999999996,71,53.25,53.275,53.07,53.26,53.174858,1388031,73808463.54010001,5397
2020-07-07,15:00,15:00,53.22,53.27,53.075,53.225,53.15164,5274,280322.82,95,53.255,53.285,53.03,53.21,53.166323,1376200,73167532.55390002,6398
2020-07-07,15:30,15:30,53.22,53.32,52.875,52.88,53.031229,17399,922689.0899999999,223,53.21,53.35,52.86,52.93,53.050201,2823730,149799995.9185,12652
2020-07-08,09:30,09:30,53.01,53.29,52.46,52.51,52.893647,34968,1849587.9799999995,311,53.01,53.32,52.44,52.52,52.832839,5054033,267018822.8525,17966
2020-07-08,10:00,10:00,52.535,52.75,52.29,52.32,52.534913,21412,1124878.81,240,52.53,52.762,52.26,52.36,52.531571,4330611,227493683.46490002,14973
2020-07-08,10:30,10:30,52.37,52.835,52.355,52.835,52.535991,15005,788304.6449999999,175,52.34,52.835,52.317,52.82,52.543619,2358382,123918035.49160002,8492
2020-07-08,11:00,11:00,52.78,52.825,52.17,52.25,52.586519,17547,922736.37,197,52.82,52.845,52.07,52.27,52.448756,2582612,135455079.2728,9626
2020-07-08,11:30,11:30,52.29,52.63,52.29,52.585,52.468439,9238,484703.865,138,52.27,52.65,52.253,52.63,52.472721,1817924,95391601.28629999,6172
2020-07-08,12:00,12:00,52.67,52.78,52.55,52.77,52.69365,6090,320903.67999999993,75,52.64,52.8,52.542,52.77,52.683091,1712568,90223508.71519999,5908
2020-07-08,12:30,12:30,52.815,53.16,52.79,53.115,52.920436,7339,388382.87000000005,88,52.77,53.165,52.75,53.1,52.924454,2253671,119274182.32079999,7227
2020-07-08,13:00,13:00,53.095,53.095,52.655,52.8,52.89945,23536,1245039.375,170,53.1,53.112,52.65,52.815,52.87905,2328368,123121898.7867,7528
2020-07-08,13:30,13:30,52.81,52.91,52.69,52.69,52.833021,4977,262950.22500000003,54,52.82,52.95,52.657,52.685,52.822952,1406134,74276339.40609998,4662
2020-07-08,14:00,14:00,52.745,52.775,52.565,52.64,52.670701,5365,282578.16,62,52.69,52.8,52.56,52.65,52.664821,1343177,70738294.2607,5096
2020-07-08,14:30,14:30,52.6,52.9,52.59,52.9,52.712725,6283,331193.81999999995,70,52.65,52.94,52.57,52.896,52.729985,1607612,84769516.7475,6231
2020-07-08,15:00,15:00,52.93,53.195,52.905,53.095,53.099517,7644,405891.99999999994,105,52.9,53.2,52.88,53.1,53.053459,1842142,97732109.3452,7037
2020-07-08,15:30,15:30,53.155,53.465,53.035,53.465,53.208042,25480,1355742.5450000002,251,53.1,53.47,53.035,53.425,53.238717,3174405,169001423.8528,12650
2020-07-09,09:30,09:30,53.52,54.695,53.38,54.695,53.950444,80351,4334972.684999999,595,53.52,54.7,53.31,54.675,53.962867,7566257,408296879.8906,26961
2020-07-09,10:00,10:00,54.695,55.74,54.64,55.69,55.067266,63388,3490607.145000001,535,54.678,55.8,54.61,55.66,55.119084,10299545,567701167.4199,34422
2020-07-09,10:30,10:30,55.6,56.175,54.85,54.93,55.669945,63950,3560100.5649999995,499,55.65,56.18,54.85,54.882,55.631171,10347599,575650226.7311999,34225
2020-07-09,11:00,11:00,54.85,55.255,54.64,55.21,54.95317,73917,4061985.285,499,54.89,55.28,54.62,55.215,54.986076,6557242,360557176.86059994,22515
2020-07-09,11:30,11:30,55.18,55.48,55.075,55.385,55.32639,24293,1344045.045,225,55.22,55.49,55.07,55.405,55.336242,3212250,177754059.58240002,11450
2020-07-09,12:00,12:00,55.405,55.57,55.185,55.475,55.36464,21970,1216363.5150000004,234,55.4,55.59,55.17,55.475,55.382628,2587592,143307750.25229996,10454
2020-07-09,12:30,12:30,55.445,55.86,55.34,55.86,55.664955,24939,1388229.84,199,55.475,55.9,55.33,55.889,55.641674,2740636,152493771.2836,9500
2020-07-09,13:00,13:00,55.89,56.55,55.87,56.265,56.31455,52388,2950213.2300000004,397,55.888,56.57,55.85,56.28,56.270299,6931823,390055678.60269994,24432
