date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,85.78,86.11,83.32,84.0,84.217242,113427,9552505.179999998,903,85.724,86.11,83.32,84.08,84.164444,6388960,537723876.5063999,25429
2020-11-24,10:00,10:00,84.01,84.105,83.435,83.56,83.776016,47515,3980626.0000000005,446,84.08,84.13,83.41,83.56,83.771263,4041632,338572487.1832,15341
2020-11-24,10:30,10:30,83.58,84.785,83.475,84.76,84.232424,52979,4462551.705,552,83.58,84.785,83.46,84.76,84.170076,3189373,268449774.4933001,11606
2020-11-24,11:00,11:00,84.79,85.21,84.63,85.08,84.923666,59781,5076831.550000001,526,84.765,85.215,84.63,85.07,84.923084,2293999,194813482.75550002,9203
2020-11-24,11:30,11:30,85.085,85.175,84.67,84.71,84.951965,45821,3892586.8649999993,407,85.08,85.18,84.67,84.718,84.948407,1891231,160657031.96580002,7601
2020-11-24,12:00,12:00,84.73,84.825,84.47,84.81,84.641803,33028,2795551.7699999996,277,84.72,84.845,84.45,84.81,84.643393,1441184,121986674.62809998,6021
2020-11-24,12:30,12:30,84.855,84.96,84.535,84.94,84.687402,34031,2881998.329999999,271,84.81,84.965,84.52,84.94,84.701739,1395047,118162983.5288,6002
2020-11-24,13:00,13:00,84.95,85.07,84.73,84.77,84.887179,19870,1686709.8199999996,176,84.94,85.07,84.72,84.78,84.892169,1119768,95059527.15549998,4834
2020-11-24,13:30,13:30,84.835,85.42,84.79,85.15,85.231747,27863,2374814.9749999996,196,84.785,85.42,84.77,85.2,85.173212,1736945,147941160.0394,7076
2020-11-24,14:00,14:00,85.215,85.33,84.94,84.98,85.103768,18654,1587527.6999999997,161,85.2,85.335,84.93,85.01,85.097527,1289752,109754845.53739999,5341
2020-11-24,14:30,14:30,85.06,85.3,85.01,85.14,85.187677,50055,4264067.84,353,85.02,85.3,85.01,85.142,85.166027,1221889,104063431.54990003,5188
2020-11-24,15:00,15:00,85.135,85.27,84.99,85.07,85.118586,42422,3610903.7100000004,324,85.14,85.271,84.97,85.065,85.116664,1261830,107402805.8355,5590
2020-11-24,15:30,15:30,85.07,85.115,84.81,85.095,85.007152,60532,5145653.1049999995,434,85.07,85.12,84.81,85.06,85.000892,2355994,200261782.34600005,11700
2020-11-25,09:30,09:30,85.6,87.83,85.56,87.51,87.085802,213408,18584769.435,1099,85.76,87.84,85.52,87.55,87.022906,9335970,812443518.3571998,35103
2020-11-25,10:00,10:00,87.55,87.58,86.3,86.395,86.896952,61509,5344941.324999999,464,87.56,87.58,86.25,86.42,86.831229,5450638,473285861.8047001,17485
2020-11-25,10:30,10:30,86.47,86.55,85.81,85.985,86.190408,31684,2730861.590000001,315,86.43,86.59,85.793,85.98,86.193343,3136667,270359725.65830004,10280
2020-11-25,11:00,11:00,85.98,86.525,85.95,86.46,86.335752,26432,2282030.67,242,85.98,86.55,85.933,86.41,86.345093,2968983,256357271.72499996,10100
2020-11-25,11:30,11:30,86.415,86.55,85.96,86.18,86.264834,27405,2364091.1550000007,231,86.42,86.555,85.93,86.185,86.232334,1881825,162274222.5645,7372
2020-11-25,12:00,12:00,86.16,86.615,86.07,86.54,86.335511,19356,1671112.8600000003,199,86.19,86.62,86.06,86.54,86.385395,1272022,109884189.8964,5216
2020-11-25,12:30,12:30,86.515,87.25,86.515,87.23,86.918906,26290,2285096.8100000005,235,86.53,87.25,86.512,87.203,86.927875,2323238,201954385.30620006,7466
2020-11-25,13:00,13:00,87.2,87.43,87.07,87.07,87.283703,17630,1538811.855,196,87.2,87.44,87.07,87.08,87.287061,2032680,177426719.7477,7098
2020-11-25,13:30,13:30,87.09,87.22,86.96,87.18,87.093593,14150,1232375.435,178,87.07,87.23,86.95,87.189,87.083447,1174159,102249811.7,4440
