date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,82.0,82.36,78.2,79.22,80.033193,1377247,110225536.14999999,10559,82.0,82.37,78.2,79.2,79.96753,24663530,1972281272.7756999,100726
2020-10-27,10:00,10:00,79.22,79.47,78.23,79.0,78.962638,646187,51024667.154999994,4830,79.2,79.48,78.22,79.01,78.965972,14422569,1138891781.2201002,58165
2020-10-27,10:30,10:30,79.005,79.94,78.97,79.145,79.481421,372203,29583272.395,2796,79.01,79.95,78.95,79.16,79.483994,10146921,806518787.4316999,36005
2020-10-27,11:00,11:00,79.155,80.6,79.13,80.205,79.959283,499663,39952711.845000006,3370,79.16,80.6,79.13,80.205,79.994814,11094802,887526886.0469002,40561
2020-10-27,11:30,11:30,80.2,80.38,79.56,79.58,79.946562,316355,25291483.175,2151,80.2,80.41,79.55,79.58,79.938369,7432876,594171857.1861002,27734
2020-10-27,12:00,12:00,79.59,79.91,78.68,78.685,79.235203,264248,20937760.845,1995,79.58,79.93,78.68,78.68,79.238113,7052531,558830128.7794999,24248
2020-10-27,12:30,12:30,78.7,78.99,78.17,78.4,78.616218,234188,18411008.224999994,1777,78.682,79.0,78.15,78.37,78.559998,6926051,544111323.0351,23975
2020-10-27,13:00,13:00,78.39,78.61,77.58,77.89,78.032292,234424,18292644.459999997,1963,78.36,78.61,77.57,77.895,78.038746,7591938,592465943.7186,24482
2020-10-27,13:30,13:30,77.89,78.47,77.68,78.12,78.143815,255469,19963337.384999994,1772,77.89,78.47,77.68,78.11,78.096363,6467116,505058199.3194999,21601
2020-10-27,14:00,14:00,78.115,78.44,77.79,78.3,78.043114,207495,16193583.64,1821,78.11,78.45,77.78,78.31,78.031599,4978266,388462468.43479997,19321
2020-10-27,14:30,14:30,78.31,78.4,77.93,78.11,78.145707,225157,17595061.304999996,1831,78.317,78.4,77.91,78.11,78.145127,5061427,395525298.9927,19716
2020-10-27,15:00,15:00,78.12,78.53,77.83,78.41,78.092609,306268,23917289.665000003,2227,78.115,78.54,77.83,78.41,78.099587,5625310,439334723.42660004,23119
2020-10-27,15:30,15:30,78.41,79.24,78.32,78.89,78.931049,757860,59818736.415,5331,78.41,79.25,78.32,78.84,78.910134,11372307,897389881.5093998,43869
2020-10-28,09:30,09:30,78.73,78.94,76.395,77.08,77.710091,480796,37362729.37,3403,78.73,78.96,76.38,77.07,77.819259,12138350,944596972.5860999,44224
2020-10-28,10:00,10:00,77.085,77.11,75.765,76.16,76.385308,352762,26945835.410000004,2520,77.08,77.11,75.76,76.163,76.395398,9077964,693514120.0497001,31110
2020-10-28,10:30,10:30,76.17,76.74,75.96,76.72,76.257418,154295,11766138.865000002,1332,76.18,76.75,75.95,76.699,76.262866,5715278,435863329.8401999,18642
2020-10-28,11:00,11:00,76.67,77.33,76.39,77.01,76.803638,148327,11392074.250000002,1325,76.68,77.38,76.39,77.01,76.854195,5338579,410292969.84150004,17710
2020-10-28,11:30,11:30,77.0,77.32,76.57,77.15,77.032249,127425,9815842.965000004,1122,77.0,77.339,76.57,77.15,77.017423,3659661,281858159.3876,13392
2020-10-28,12:00,12:00,77.19,77.31,76.7,76.79,77.031664,92769,7146154.444999998,786,77.16,77.31,76.7,76.8,77.045031,2724832,209934836.6685,10188
2020-10-28,12:30,12:30,76.78,76.97,76.46,76.8,76.715135,85104,6528770.389999999,766,76.79,77.0,76.46,76.782,76.731354,3207598,246123575.08940005,11891
2020-10-28,13:00,13:00,76.76,77.07,76.26,76.795,76.684042,114030,8744292.309999999,985,76.78,77.1,76.25,76.795,76.659601,3326997,255046422.15849993,12694
2020-10-28,13:30,13:30,76.79,77.26,76.72,77.23,76.936413,173836,13374332.939999998,958,76.795,77.28,76.72,77.24,76.931189,3528183,271427605.79359996,11099
2020-10-28,14:00,14:00,77.23,77.23,76.4,76.53,76.673542,125578,9628506.755000003,1264,77.24,77.24,76.395,76.52,76.700207,3029889,232392989.3341,11653
2020-10-28,14:30,14:30,76.515,76.605,76.21,76.54,76.420395,101293,7740868.365,837,76.536,76.61,76.2,76.56,76.398648,2964670,226496731.66390002,11634
2020-10-28,15:00,15:00,76.565,77.27,76.3,76.945,76.709378,183263,14058019.465,1523,76.552,77.29,76.3,76.94,76.819654,3613541,277591006.3212,15586
2020-10-28,15:30,15:30,76.95,77.26,76.33,76.33,76.752969,278203,21352920.409999996,2199,76.94,77.27,76.3,76.36,76.750296,6126818,470235509.35200006,27282
2020-10-29,09:30,09:30,76.755,78.24,76.28,78.22,77.311524,367222,28390509.630000003,2647,76.75,78.26,76.29,78.24,77.385471,9132582,706730269.0308001,38404
