date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,79.485,79.555,77.96,78.41,78.757323,40373,3179675.660000001,287,79.35,79.72,77.95,78.509,78.779126,5683489,447740583.7124,20946
2020-09-16,10:00,10:00,78.55,78.58,77.88,78.5,78.255274,47270,3699124.8150000004,278,78.5,78.66,77.878,78.49,78.283989,3709773,290416012.8196,12817
2020-09-16,10:30,10:30,78.4,78.435,77.69,78.0,78.006352,46729,3645166.475,391,78.49,78.49,77.675,78.0,78.051248,3064082,239155499.70229992,10296
2020-09-16,11:00,11:00,78.075,78.49,77.8,78.33,78.271586,20645,1615918.0799999998,141,77.99,78.54,77.78,78.314,78.224964,2564520,200609702.52539998,9135
2020-09-16,11:30,11:30,78.36,78.825,78.36,78.405,78.635,13515,1062752.88,129,78.32,78.87,78.302,78.39,78.64454,2042499,160631615.30240002,6144
2020-09-16,12:00,12:00,78.45,78.765,78.35,78.56,78.510097,13293,1043634.8750000001,138,78.4,78.84,78.34,78.55,78.542119,1713438,134577306.74099997,5823
2020-09-16,12:30,12:30,78.47,78.47,78.0,78.185,78.221292,11870,928487.9450000002,117,78.55,78.55,77.97,78.115,78.168634,1415543,110651212.71040002,4632
2020-09-16,13:00,13:00,78.085,78.165,77.58,77.6,77.938347,21322,1661803.445,171,78.1,78.17,77.57,77.659,77.875101,2015816,156981841.8993,6444
2020-09-16,13:30,13:30,77.6,77.705,77.39,77.705,77.553215,10732,832301.255,91,77.655,77.83,77.372,77.815,77.562472,1708566,132520866.63029996,5688
2020-09-16,14:00,14:00,77.71,78.13,77.59,78.02,77.965534,15891,1238949.4649999999,109,77.83,78.17,77.54,78.0,77.901228,2171951,169197633.13110003,6785
2020-09-16,14:30,14:30,78.045,78.105,77.5,77.54,77.946307,16675,1299756.5,103,78.0,78.121,77.48,77.59,77.810242,1665874,129622084.7028,5810
