date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,3179.425,3179.425,3148.28,3156.53,3162.990872,2810,8888004.905000001,69,3178.18,3178.236,3146.995,3157.87,3167.429258,174320,552146287.3637,1054
2020-08-14,10:00,10:00,3158.27,3158.27,3122.385,3122.385,3140.293035,1712,5376181.384999998,46,3155.69,3158.924,3120.74,3123.06,3135.357363,137424,430873353.1757,908
2020-08-14,10:30,10:30,3121.925,3141.9,3121.925,3126.35,3132.270375,2339,7326380.61,71,3122.0,3142.0,3120.0,3129.745,3133.28074,100870,316054027.89390004,714
2020-08-14,11:00,11:00,3129.24,3144.99,3127.7,3144.99,3133.866183,1756,5503069.045000001,36,3128.86,3145.45,3126.37,3143.0,3137.637564,51687,162175076.3531,387
2020-08-14,11:30,11:30,3143.65,3155.455,3140.11,3142.92,3147.751108,3115,9805244.83,102,3143.65,3156.535,3140.41,3143.74,3148.255974,62265,196026159.29989997,501
2020-08-14,12:00,12:00,3144.125,3150.76,3143.29,3146.84,3146.128961,1086,3416696.08,36,3144.936,3151.29,3140.22,3147.97,3146.535817,36690,115446398.49580002,263
2020-08-14,12:30,12:30,3146.94,3154.415,3146.94,3151.985,3153.356748,762,2402857.9499999997,28,3147.48,3155.713,3146.67,3152.24,3152.136192,30652,96619276.679,243
2020-08-14,13:00,13:00,3150.58,3151.24,3143.815,3148.91,3148.897671,858,2701754.19,33,3151.73,3152.77,3142.97,3150.0,3147.993101,36115,113689770.97049998,278
2020-08-14,13:30,13:30,3151.21,3151.21,3145.09,3148.875,3148.592369,823,2591291.385,27,3150.947,3153.47,3145.0,3148.875,3148.824182,29740,93646030.98610002,220
2020-08-14,14:00,14:00,3148.26,3148.72,3138.45,3141.235,3145.43024,763,2399963.4600000004,27,3148.0,3148.99,3137.52,3141.22,3141.46861,36238,113840540.00520001,273
2020-08-14,14:30,14:30,3144.125,3145.76,3138.01,3142.465,3141.854503,511,1605487.7000000004,30,3141.98,3146.472,3138.434,3141.52,3142.099982,35636,111971871.9153,272
2020-08-14,15:00,15:00,3141.845,3143.97,3132.23,3135.825,3136.353567,2490,7809520.395,60,3141.0,3144.39,3131.53,3135.21,3137.299954,57652,180871613.81240004,417
2020-08-14,15:30,15:30,3135.69,3148.54,3131.0,3147.115,3141.15472,6297,19779851.360000003,133,3134.575,3148.78,3130.99,3148.0,3140.445892,134290,421730490.59200007,1138
2020-08-17,09:30,09:30,3174.0,3182.47,3158.01,3182.47,3168.56112,5632,17845335.51,143,3173.12,3187.9,3158.0,3185.24,3171.619833,202088,640946333.1006001,1108
2020-08-17,10:00,10:00,3184.53,3189.82,3170.07,3178.77,3181.255087,5977,19014360.905,92,3185.36,3191.0,3168.51,3182.0,3180.645097,102897,327278846.54139996,805
