date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-07-02,09:30,09:30,2911.5,2953.505,2904.79,2949.2,2930.07512,21407,62724121.715,363,2912.01,2955.04,2902.51,2946.617,2931.601781,762113,2234211895.4026,4742
2020-07-02,10:00,10:00,2948.11,2955.39,2921.44,2923.93,2944.442145,11846,34879863.614999995,259,2946.009,2955.56,2921.0,2924.8,2943.797343,324808,956168945.1813,2439
2020-07-02,10:30,10:30,2924.755,2936.2,2914.1,2918.26,2923.426627,8848,25866479.259999994,201,2925.501,2937.0,2912.77,2918.8,2924.736156,303109,886513878.5546002,2098
2020-07-02,11:00,11:00,2918.23,2920.61,2872.09,2875.04,2896.822128,5831,16891370.604999997,152,2919.0,2920.79,2871.102,2877.754,2894.000991,372169,1077057453.7912002,2589
2020-07-02,11:30,11:30,2878.025,2909.36,2873.01,2903.27,2888.087904,1936,5591338.460000002,69,2877.23,2910.4,2873.0,2902.74,2895.807562,272134,788047683.6198001,1726
2020-07-02,12:00,12:00,2899.0,2903.02,2889.52,2898.57,2894.965909,1224,3543438.39,45,2903.24,2904.102,2888.8,2898.42,2896.861428,126512,366487742.7667001,839
2020-07-02,12:30,12:30,2898.77,2900.985,2885.0,2894.145,2894.154095,5124,14829645.110000005,77,2898.9,2901.67,2884.8,2893.695,2893.364534,93880,271629058.8553,643
2020-07-02,13:00,13:00,2893.92,2917.15,2892.715,2906.87,2906.163111,2248,6533054.92,65,2893.887,2918.813,2892.715,2909.55,2904.318751,146011,424062501.3585,933
2020-07-02,13:30,13:30,2915.975,2920.385,2896.155,2901.83,2912.612673,1946,5667944.155000002,156,2909.55,2920.7,2895.55,2901.42,2911.95488,176801,514836528.77680016,1150
2020-07-02,14:00,14:00,2901.85,2913.905,2899.04,2911.27,2905.618887,777,2257665.8549999995,153,2901.19,2914.0,2898.27,2911.15,2906.756873,94000,273235158.82900006,611
2020-07-02,14:30,14:30,2911.4,2913.345,2903.715,2907.575,2907.534287,1268,3686753.5000000005,218,2911.696,2913.5,2903.3,2907.775,2907.661956,81242,236224275.75739995,596
2020-07-02,15:00,15:00,2907.625,2909.665,2897.2,2898.55,2901.454697,1857,5388001.3549999995,128,2907.95,2909.49,2896.25,2897.64,2900.743169,122032,353983504.8765,870
2020-07-02,15:30,15:30,2899.04,2901.48,2884.07,2887.57,2890.879737,8774,25364579.235,197,2898.682,2902.182,2884.0,2887.56,2892.450229,245321,709578802.1991999,1833
