date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,3101.42,3107.11,3087.15,3105.48,3097.056002,15963,49438304.675000004,504,3100.5,3109.22,3086.258,3104.815,3098.096357,269937,836290809.8246001,1390
2020-11-24,10:00,10:00,3105.99,3109.67,3093.92,3096.8,3102.09791,11964,37113500.05,277,3106.955,3111.235,3093.44,3095.27,3102.017409,112738,349715245.1355,786
2020-11-24,10:30,10:30,3094.95,3109.25,3093.35,3108.3,3103.077801,8809,27335012.345000006,235,3094.69,3109.85,3093.01,3108.5,3104.247378,108981,338303994.531,795
2020-11-24,11:00,11:00,3108.695,3116.99,3106.365,3109.5,3111.142534,6403,19920646.215,194,3108.368,3116.99,3105.28,3109.187,3112.012205,100134,311618240.6048,724
2020-11-24,11:30,11:30,3106.35,3113.105,3105.725,3109.59,3108.840009,4696,14599112.655000001,141,3108.39,3114.15,3105.0,3109.59,3109.066166,63205,196508530.21870002,391
2020-11-24,12:00,12:00,3110.065,3119.665,3107.82,3112.85,3112.777815,7665,23859442.405000005,219,3110.81,3120.08,3107.741,3114.38,3114.449297,58827,183213706.0743,449
2020-11-24,12:30,12:30,3112.85,3129.58,3112.85,3129.58,3124.884015,4298,13430751.885000002,193,3113.85,3129.76,3113.795,3129.76,3124.609789,81487,254615076.29460004,545
2020-11-24,13:00,13:00,3129.72,3131.075,3120.06,3122.65,3127.441848,9398,29391697.765,169,3129.99,3131.265,3118.54,3123.05,3127.404502,76313,238661621.0554,504
2020-11-24,13:30,13:30,3123.135,3133.93,3123.08,3131.65,3130.388075,3175,9938982.325,107,3124.41,3134.1,3123.3,3133.0,3130.245979,57541,180117482.47349995,412
2020-11-24,14:00,14:00,3131.675,3133.71,3123.59,3124.95,3128.7697,4260,13328558.605,164,3132.7,3134.25,3123.59,3124.575,3129.582732,60274,188632472.24750003,405
2020-11-24,14:30,14:30,3124.825,3128.34,3120.16,3122.325,3123.209804,10729,33508918.440000005,248,3124.61,3128.425,3120.0,3122.57,3123.546137,67190,209871071.19599998,467
2020-11-24,15:00,15:00,3122.2,3122.2,3113.32,3120.29,3118.499326,8846,27586245.044999998,302,3122.2,3122.2,3113.13,3120.41,3118.585859,64319,200584322.67989996,493
2020-11-24,15:30,15:30,3120.41,3122.7,3114.39,3117.58,3118.039229,16074,50119363.995,690,3120.41,3122.88,3114.09,3116.86,3118.239199,105245,328179099.2937,875
2020-11-25,09:30,09:30,3141.49,3195.65,3140.44,3195.395,3158.571888,27820,87871470.43499997,682,3141.87,3196.54,3140.26,3195.425,3161.58219,400798,1267155822.5614002,2452
2020-11-25,10:00,10:00,3195.515,3195.515,3173.06,3175.415,3181.538539,14157,45041041.19000001,380,3195.515,3196.04,3172.23,3175.979,3181.659864,152736,485954005.17359996,1085
2020-11-25,10:30,10:30,3176.55,3197.7,3176.55,3188.29,3188.846442,11036,35192109.885,304,3177.22,3198.0,3176.4,3188.339,3189.058536,125755,401040067.1391999,939
