date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,3222.97,3259.585,3217.16,3241.28,3237.865238,41038,132875522.73499998,834,3224.94,3259.585,3216.6,3241.599,3237.278771,366425,1186219887.1087005,2311
2020-10-27,10:00,10:00,3240.74,3244.47,3211.43,3225.54,3227.00115,20807,67144212.75999999,625,3240.563,3245.54,3211.3,3225.41,3229.012058,163558,528130774.3750001,1161
2020-10-27,10:30,10:30,3223.35,3257.08,3222.69,3255.26,3242.989136,18648,60475262.959999986,419,3223.9,3257.12,3223.9,3254.516,3242.982059,133303,432299254.1676,939
2020-10-27,11:00,11:00,3255.73,3263.46,3242.63,3244.545,3255.617133,17647,57451878.055,409,3254.96,3264.0,3242.51,3244.09,3255.682136,135764,442004457.3245,1011
2020-10-27,11:30,11:30,3243.955,3262.83,3241.08,3262.35,3252.476936,13627,44321503.925,357,3244.22,3262.99,3240.2,3262.99,3252.399073,89741,291873549.20519996,683
2020-10-27,12:00,12:00,3263.44,3271.475,3254.415,3254.415,3263.547657,13406,43751119.28500001,370,3263.16,3271.675,3254.22,3254.22,3263.474494,128024,417803055.4739001,800
2020-10-27,12:30,12:30,3254.5,3263.77,3249.39,3263.77,3256.626477,11957,38939481.49500001,257,3254.1,3264.78,3248.49,3264.55,3256.674609,83058,270492884.68039995,594
2020-10-27,13:00,13:00,3264.58,3274.81,3262.25,3272.99,3269.629886,12431,40644770.24,293,3264.9,3275.0,3262.405,3272.243,3269.185101,106496,348155136.79459995,747
2020-10-27,13:30,13:30,3272.5,3278.53,3270.4,3275.285,3274.713204,10351,33896556.505,255,3272.227,3278.81,3270.14,3275.285,3274.72572,85215,279055763.3218,607
2020-10-27,14:00,14:00,3275.385,3275.77,3264.48,3272.5,3269.836368,6760,22104094.365,240,3275.385,3276.5,3264.614,3272.885,3270.375984,69492,227264967.74150002,484
2020-10-27,14:30,14:30,3273.85,3273.85,3256.77,3260.49,3264.700919,9279,30293161.04499999,239,3272.51,3273.38,3256.03,3261.02,3263.720541,89675,292674141.4307,564
2020-10-27,15:00,15:00,3260.625,3274.51,3255.925,3273.59,3263.896095,10303,33627921.665,235,3261.352,3275.26,3255.39,3273.46,3266.215151,87494,285774229.6057,635
2020-10-27,15:30,15:30,3272.32,3291.66,3271.63,3285.78,3285.092194,41537,136452877.94000003,844,3272.29,3291.66,3271.0,3287.92,3284.473391,222794,731760983.5121001,1724
2020-10-28,09:30,09:30,3248.88,3263.5,3182.21,3203.38,3225.968442,44812,144562096.57000002,992,3249.3,3264.02,3181.0,3204.0,3223.162579,460954,1485729728.6032999,3004
2020-10-28,10:00,10:00,3202.8,3215.605,3185.21,3194.71,3198.151546,27599,88265786.245,670,3202.56,3215.865,3185.001,3195.145,3198.892691,270751,866103411.2675998,1879
2020-10-28,10:30,10:30,3194.56,3208.76,3184.37,3200.32,3196.69378,16098,51460377.574999996,504,3196.76,3210.39,3185.0,3199.517,3197.964335,166234,531610410.78430015,1190
2020-10-28,11:00,11:00,3199.34,3206.32,3187.56,3195.48,3197.423152,21335,68217022.145,525,3198.37,3206.07,3187.84,3195.207,3198.34202,127548,407942138.3043001,1013
