date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,3186.99,3186.99,3137.48,3158.7,3162.052676,6936,21931998.075,200,3179.99,3187.238,3135.004,3160.9,3161.980399,260503,823705388.0100999,1425
2020-09-16,10:00,10:00,3160.635,3163.01,3133.66,3142.14,3145.298383,5102,16047312.12,126,3161.93,3163.557,3133.0,3142.34,3144.07839,139725,439306370.78729993,1043
2020-09-16,10:30,10:30,3141.085,3141.085,3118.78,3133.08,3131.293853,4293,13442644.945,137,3141.46,3141.53,3118.78,3133.09,3130.596128,144102,451125172.8596,961
2020-09-16,11:00,11:00,3133.525,3145.77,3125.89,3143.725,3138.083194,5009,15718658.625000004,111,3132.23,3146.85,3124.55,3143.76,3138.403527,97647,306455687.415,790
2020-09-16,11:30,11:30,3142.27,3153.35,3134.25,3135.88,3143.572886,2875,9037771.994999997,94,3144.33,3153.887,3133.23,3135.74,3144.407409,77164,242635061.77290002,532
2020-09-16,12:00,12:00,3137.9,3143.76,3130.2,3136.29,3136.742889,3009,9438459.595000003,74,3136.26,3144.17,3128.334,3135.86,3137.298892,56430,177037782.31519994,363
2020-09-16,12:30,12:30,3133.16,3135.62,3122.1,3133.63,3128.602345,2293,7173884.969999999,99,3134.85,3135.759,3122.09,3130.5,3128.970573,55494,173639091.45790002,408
2020-09-16,13:00,13:00,3129.06,3134.76,3122.65,3125.26,3126.250328,3881,12132978.425000003,96,3129.54,3135.72,3122.05,3126.13,3127.742968,52400,163893737.319,382
2020-09-16,13:30,13:30,3124.24,3130.63,3119.01,3130.375,3123.875011,2098,6553889.6049999995,88,3125.15,3131.85,3119.01,3130.63,3124.349995,59177,184889662.10909995,387
2020-09-16,14:00,14:00,3130.375,3150.0,3128.93,3139.915,3141.41145,8074,25363755.334999997,168,3129.41,3150.742,3128.18,3140.503,3140.205185,115912,363987476.2117001,898
2020-09-16,14:30,14:30,3140.69,3143.265,3123.315,3129.11,3134.414261,6053,18972609.39,147,3140.427,3144.385,3121.0,3127.779,3134.616409,104768,328407489.73179996,799
2020-09-16,15:00,15:00,3126.93,3132.99,3100.58,3102.845,3115.783225,9577,29839855.345000003,243,3127.34,3133.55,3100.58,3103.48,3114.302514,146504,456257785.68749994,1005
2020-09-16,15:30,15:30,3102.81,3108.735,3074.28,3076.66,3088.568543,25209,77859726.115,515,3101.645,3109.0,3074.15,3077.14,3091.507326,391832,1211351531.8801003,2819
2020-09-17,09:30,09:30,3005.56,3023.35,2989.7,3008.015,3009.546709,16344,49188032.57,376,3009.25,3024.29,2988.1,3010.05,3009.282714,491846,1480103648.5441997,2860
2020-09-17,10:00,10:00,3009.885,3014.71,2985.63,2990.88,3000.888171,7751,23259885.37999999,181,3010.38,3017.0,2984.075,2993.0,3001.329898,289687,869446276.1562,2045
2020-09-17,10:30,10:30,2991.015,3029.535,2981.08,2999.795,3010.910279,14831,44654812.21000001,212,2990.0,3029.432,2980.881,3000.775,3008.783435,250914,754945893.6037999,1872
2020-09-17,11:00,11:00,3001.49,3017.28,2995.155,3011.07,3007.495792,5688,17106636.355,96,3001.43,3017.5,2994.07,3011.07,3006.759029,175597,527977870.9912,1206
2020-09-17,11:30,11:30,3011.635,3015.96,2989.99,2993.195,3001.865132,7729,23201415.575,128,3011.64,3015.192,2990.0,2991.702,3000.97928,119686,359175212.0855002,909
2020-09-17,12:00,12:00,2989.0,2996.32,2975.8,2984.97,2984.62101,4113,12275746.054999996,76,2990.57,2997.72,2972.55,2986.0,2983.511121,175750,524352091.68430007,1168
2020-09-17,12:30,12:30,2984.915,2993.7,2976.01,2991.35,2987.68038,4085,12204674.244999997,129,2986.37,2994.53,2975.78,2994.01,2986.103614,118125,352733491.77400005,767
2020-09-17,13:00,13:00,2994.0,2997.155,2981.655,2988.09,2990.542683,2160,6459572.455,70,2994.422,2998.18,2980.0,2987.418,2989.384875,75781,226538580.7246,528
2020-09-17,13:30,13:30,2987.51,2997.645,2986.83,2986.83,2992.770049,2984,8930425.74,57,2987.47,2999.61,2985.0,2986.2,2992.823007,108086,323482268.9133,759
2020-09-17,14:00,14:00,2989.015,3002.37,2989.015,2989.1,2996.340456,4054,12147164.469999999,174,2986.8,3003.355,2985.0,2985.0,2995.934997,88128,264025767.8256,702
2020-09-17,14:30,14:30,2986.185,2990.29,2983.03,2984.91,2986.709986,3701,11053813.38,87,2984.944,2990.85,2981.0,2984.51,2986.015137,83286,248693262.15490007,618
2020-09-17,15:00,15:00,2985.63,2995.755,2977.75,2984.18,2987.735214,7538,22521548.054999996,148,2985.17,2996.208,2976.658,2984.63,2986.122485,155289,463711983.3764,934
2020-09-17,15:30,15:30,2984.935,3011.09,2984.935,3009.1,3000.275665,8986,26960477.73,175,2982.519,3011.95,2982.519,3010.56,2999.591926,272092,816165007.006,1956
2020-09-18,09:30,09:30,3035.175,3036.765,2992.615,3001.0,3014.696872,13901,41907302.245000005,200,3031.74,3037.8,2992.08,3003.15,3025.966579,698710,2114273075.6099002,1560
2020-09-18,10:00,10:00,3004.0,3020.29,2990.01,2996.48,3005.613786,8079,24282354.729999997,226,3003.0,3021.531,2988.93,2994.7,3006.419946,189890,570889101.2574,1379
2020-09-18,10:30,10:30,2987.92,2991.52,2962.0,2964.37,2976.433353,9000,26787900.779999997,254,2994.96,2995.759,2962.0,2965.635,2977.146504,206577,615009997.3178,1535
2020-09-18,11:00,11:00,2963.72,2971.98,2957.29,2962.035,2965.236719,6322,18746227.23,135,2965.715,2973.22,2956.0,2964.02,2964.927761,152750,452892715.02010006,1212
2020-09-18,11:30,11:30,2962.82,2967.12,2944.5,2964.54,2955.471014,4517,13349862.645000001,97,2964.04,2967.75,2944.0,2963.315,2956.589284,162289,479821928.26940006,1234
