date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,210.905,211.78,210.45,211.73,211.338373,11193,2365510.02,107,211.04,211.85,210.4,211.56,211.029655,335865,70877539.08420001,1421
2020-08-14,10:00,10:00,211.56,211.97,211.385,211.55,211.693341,14000,2963707.63,191,211.56,211.97,211.271,211.62,211.639885,179203,37926546.3878,1216
2020-08-14,10:30,10:30,211.67,211.9,211.43,211.55,211.671929,13223,2798938.22,145,211.64,211.9,211.43,211.55,211.64417,131253,27778940.815700006,814
2020-08-14,11:00,11:00,211.585,211.61,211.23,211.31,211.360981,8578,1813055.945,80,211.56,211.625,211.202,211.31,211.373192,106441,22498775.725499995,688
2020-08-14,11:30,11:30,211.35,211.55,211.285,211.54,211.420541,3145,664917.67,47,211.315,211.57,211.24,211.542,211.404051,96057,20306841.124399994,627
2020-08-14,12:00,12:00,211.53,211.555,211.08,211.1,211.267444,2797,590915.09,37,211.54,211.625,211.04,211.1,211.326339,97743,20655673.945800006,663
2020-08-14,12:30,12:30,211.065,211.18,210.93,210.965,211.015948,16689,3521645.5699999994,110,211.113,211.19,210.91,210.94,211.045895,148224,31282076.6978,804
2020-08-14,13:00,13:00,210.98,211.335,210.925,211.02,211.07272,3105,655381.165,95,210.97,211.35,210.92,211.0,211.10661,80232,16937508.571499996,627
2020-08-14,13:30,13:30,211.005,211.53,210.985,211.37,211.325878,5318,1123830.4899999998,78,211.0,211.54,210.98,211.28,211.316301,106401,22484272.023199998,731
2020-08-14,14:00,14:00,211.265,211.28,210.87,210.91,211.02403,6322,1334094.14,81,211.26,211.3,210.86,210.91,211.029588,126847,26768467.109399997,863
2020-08-14,14:30,14:30,210.87,210.945,210.77,210.81,210.856919,4501,949066.8950000001,56,210.86,211.01,210.72,210.79,210.853929,165621,34921832.7471,1064
2020-08-14,15:00,15:00,210.79,210.945,210.42,210.57,210.729313,6527,1375430.0000000002,141,210.79,210.94,210.41,210.575,210.68951,183978,38762226.26269999,1192
2020-08-14,15:30,15:30,210.53,210.97,210.29,210.91,210.538579,15475,3258084.5650000004,203,210.56,211.0,210.25,210.98,210.571701,460785,97028283.9393,3052
2020-08-17,09:30,09:30,210.205,210.45,209.355,209.425,209.815575,12787,2682911.885,216,210.05,210.82,209.3,209.42,209.915608,558290,117193825.16959998,2286
2020-08-17,10:00,10:00,209.42,209.525,208.495,208.91,208.921159,11132,2325710.5999999996,139,209.42,209.61,208.47,208.91,208.880638,388333,81115279.41919999,2270
2020-08-17,10:30,10:30,208.855,209.0,208.46,208.56,208.699119,11273,2352665.715,129,208.878,209.0,208.41,208.48,208.721627,268902,56125674.179299995,1405
2020-08-17,11:00,11:00,208.53,208.53,207.75,208.0,208.093921,16058,3341573.255,161,208.47,208.55,207.68,207.9,208.066709,307444,63968861.52949999,1948
2020-08-17,11:30,11:30,207.92,207.98,207.61,207.62,207.783966,6534,1357661.17,70,207.905,208.0,207.58,207.66,207.741329,187764,39006347.25999999,1118
2020-08-17,12:00,12:00,207.72,207.82,207.585,207.72,207.732142,7947,1650847.015,234,207.665,207.82,207.58,207.685,207.710107,120811,25093676.403199993,697
2020-08-17,12:30,12:30,207.72,207.77,207.37,207.4,207.552241,4692,973835.465,60,207.704,207.785,207.37,207.415,207.543978,167704,34805983.9563,1028
2020-08-17,13:00,13:00,207.445,207.445,206.8,206.94,207.059339,9073,1878649.13,91,207.43,207.51,206.79,206.85,207.069038,265047,54883045.55160001,1313
2020-08-17,13:30,13:30,206.84,206.88,206.635,206.68,206.743127,7357,1521009.48,85,206.847,206.897,206.6,206.66,206.73008,156386,32329694.410399996,972
2020-08-17,14:00,14:00,206.695,206.91,206.51,206.74,206.649271,5656,1168807.7,80,206.645,206.91,206.5,206.705,206.64487,171430,35425144.5129,1039
2020-08-17,14:30,14:30,206.73,206.86,206.59,206.61,206.762454,7586,1568500.24,93,206.7,206.9,206.57,206.61,206.772373,186535,38570296.9876,1112
2020-08-17,15:00,15:00,206.63,206.65,206.455,206.59,206.545775,18937,3911357.5050000004,164,206.603,206.68,206.42,206.58,206.533293,225560,46585689.7853,1386
2020-08-17,15:30,15:30,206.59,206.95,206.36,206.71,206.598454,41763,8628168.020000001,416,206.6,206.95,206.34,206.8,206.6196,614828,127035545.53250001,4226
2020-08-18,09:30,09:30,206.925,208.44,206.87,207.35,207.551292,19118,3967965.9699999997,216,206.95,208.46,206.8,207.262,207.454874,405481,84119085.3266,1996
2020-08-18,10:00,10:00,207.19,207.93,207.135,207.61,207.533868,7168,1487602.585,94,207.27,207.93,207.08,207.611,207.50478,176760,36678528.695199996,1055
2020-08-18,10:30,10:30,207.57,208.31,207.565,208.31,207.915648,4784,994668.355,68,207.56,208.41,207.46,208.31,207.897026,118474,24630395.666399997,673
2020-08-18,11:00,11:00,208.28,208.69,207.97,208.59,208.268001,9057,1886283.4450000003,101,208.28,208.69,207.9,208.53,208.268841,120618,25120978.5953,860
2020-08-18,11:30,11:30,208.56,209.41,208.56,209.41,209.033346,7867,1644465.31,95,208.56,209.469,208.537,209.42,208.995393,162292,33918287.303600006,854
2020-08-18,12:00,12:00,209.45,209.72,209.05,209.29,209.433826,6866,1437971.5750000002,126,209.425,209.76,209.05,209.3,209.477044,140555,29443072.79689999,785
2020-08-18,12:30,12:30,209.305,209.55,209.12,209.53,209.330496,4301,900330.7099999998,195,209.32,209.57,209.1,209.523,209.282513,121129,25350177.44989999,690
2020-08-18,13:00,13:00,209.575,209.63,208.94,209.075,209.155231,10631,2223530.86,207,209.57,209.63,208.92,209.07,209.172833,97882,20474264.503099997,663
2020-08-18,13:30,13:30,209.09,209.14,208.915,209.01,209.097755,5353,1119300.465,74,209.064,209.16,208.87,208.94,209.029381,80497,16826242.809200004,543
2020-08-18,14:00,14:00,208.9,209.14,208.9,209.14,209.020789,7597,1587931.0099999998,94,208.9,209.14,208.9,209.095,209.009043,119638,25005438.3659,747
2020-08-18,14:30,14:30,209.14,209.17,208.79,209.045,209.036441,9205,1924182.3950000005,119,209.12,209.18,208.78,209.045,208.985729,108301,22633369.371699996,711
2020-08-18,15:00,15:00,209.09,209.09,208.49,208.675,208.807751,8241,1720785.7,123,209.045,209.1,208.46,208.675,208.760105,141669,29574847.015400004,903
2020-08-18,15:30,15:30,208.66,208.69,208.16,208.37,208.346025,21175,4411732.11,281,208.675,208.69,208.14,208.42,208.360351,313719,65366644.542,2271
2020-08-19,09:30,09:30,208.915,210.21,208.77,210.07,209.651105,28826,6043403.295,349,209.19,210.21,208.77,210.055,209.509334,361743,75788551.35119997,1818
2020-08-19,10:00,10:00,210.06,210.06,208.36,209.17,208.991081,13422,2805079.7949999995,373,210.03,210.042,208.36,209.09,208.978443,259112,54148847.1646,1498
2020-08-19,10:30,10:30,209.065,209.09,208.61,208.615,208.819518,17445,3642856.8850000002,291,209.09,209.09,208.59,208.601,208.806889,177500,37063211.50440001,1030
2020-08-19,11:00,11:00,208.65,208.655,208.39,208.455,208.554,15452,3222576.14,321,208.625,208.72,208.345,208.47,208.538807,149317,31138392.6406,974
2020-08-19,11:30,11:30,208.435,208.62,208.27,208.3,208.460415,9376,1954524.5899999999,101,208.455,208.61,208.225,208.315,208.420758,131764,27462358.2789,798
2020-08-19,12:00,12:00,208.22,208.23,207.82,207.92,208.051474,5661,1177779.26,103,208.26,208.27,207.78,207.92,207.978119,171548,35678241.0085,1029
2020-08-19,12:30,12:30,207.93,208.08,207.595,207.61,207.817461,4525,940373.5050000001,60,207.9,208.08,207.58,207.635,207.823437,128313,26666450.856499996,775
2020-08-19,13:00,13:00,207.66,207.83,207.4,207.45,207.646668,10537,2187972.565,145,207.635,207.83,207.39,207.435,207.599071,147080,30533677.234099995,941
2020-08-19,13:30,13:30,207.27,207.77,207.2,207.75,207.487867,4847,1005692.9650000001,60,207.445,207.77,207.18,207.73,207.495367,163889,34006211.5461,964
2020-08-19,14:00,14:00,207.67,208.56,207.67,208.11,208.057879,7207,1499473.055,104,207.72,208.66,207.595,208.095,208.044952,208330,43342005.1337,1358
2020-08-19,14:30,14:30,208.03,208.15,207.63,208.08,207.937547,5562,1156548.115,75,208.09,208.18,207.575,208.05,207.896595,164580,34215638.9198,1003
2020-08-19,15:00,15:00,208.045,208.24,207.36,207.37,207.829231,23699,4925345.2700000005,258,208.07,208.25,207.33,207.39,207.879326,263558,54788252.07540001,1435
2020-08-19,15:30,15:30,207.365,207.64,206.745,207.3,207.162368,60710,12576836.309999999,607,207.365,207.64,206.66,207.44,207.182029,803825,166538152.55319998,5368
2020-08-20,09:30,09:30,205.1,206.57,204.53,206.22,205.800045,13499,2778095.46,203,205.17,206.6,204.51,206.225,205.448462,371721,76369603.22780001,1571
2020-08-20,10:00,10:00,206.21,206.76,205.675,206.29,206.260091,10299,2124273.0100000002,215,206.21,206.79,205.613,206.26,206.23476,212865,43900197.4402,1373
2020-08-20,10:30,10:30,206.35,206.56,205.72,205.85,206.186838,6460,1331967.5199999998,96,206.23,206.56,205.66,205.79,206.142953,149795,30879192.694200005,949
2020-08-20,11:00,11:00,205.74,206.01,205.65,205.93,205.860674,6995,1439995.345,88,205.73,206.08,205.63,205.94,205.879005,116547,23994582.611700002,783
2020-08-20,11:30,11:30,205.87,206.245,205.86,205.93,205.977737,9491,1954934.44,120,205.92,206.25,205.8,205.92,206.000405,178269,36723519.252500005,1145
2020-08-20,12:00,12:00,205.925,206.21,205.785,205.86,205.904254,10633,2189380.015,128,205.91,206.21,205.77,205.875,205.91103,155499,32018979.3617,962
2020-08-20,12:30,12:30,205.87,206.16,205.79,206.01,205.929082,8332,1715801.785,98,205.87,206.16,205.77,206.04,205.944535,111190,22898985.584100004,728
2020-08-20,13:00,13:00,206.06,206.095,205.815,206.05,205.907832,17924,3690695.0,213,206.05,206.095,205.81,206.01,205.927634,171890,35396886.924,1019
2020-08-20,13:30,13:30,206.11,206.47,206.02,206.03,206.256094,11681,2409279.07,142,206.03,206.47,206.0,206.03,206.253447,127365,26269467.582400005,820
2020-08-20,14:00,14:00,206.02,206.09,205.83,205.985,205.96156,20179,4156101.005,196,206.025,206.09,205.82,205.93,205.96113,224630,46265081.068799995,1200
2020-08-20,14:30,14:30,205.96,206.26,205.96,206.16,206.114491,9551,1968599.09,116,205.955,206.29,205.955,206.16,206.109175,133702,27557214.208099995,998
2020-08-20,15:00,15:00,206.17,206.355,205.93,206.0,206.077327,15884,3273332.195,172,206.18,206.37,205.93,206.0,206.078591,243864,50255176.82280001,1534
2020-08-20,15:30,15:30,205.95,206.68,205.935,206.13,206.198424,22533,4646272.465,283,205.98,206.7,205.92,206.13,206.210365,455644,93958530.84779999,3042
2020-08-21,09:30,09:30,206.025,208.36,205.92,207.86,207.227617,13722,2843579.154999999,214,205.52,208.4,205.52,207.846,206.60381,695673,143728680.8599,2035
2020-08-21,10:00,10:00,207.94,208.08,207.07,207.33,207.615361,9690,2011792.5149999997,276,207.9,208.08,207.065,207.33,207.584273,184228,38242841.9348,1073
2020-08-21,10:30,10:30,207.335,207.78,207.13,207.13,207.390923,9682,2007959.21,262,207.32,207.78,207.05,207.14,207.356979,217616,45124220.468200006,1381
