date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,232.71,232.71,231.29,232.195,231.950666,15578,3613330.1549999993,254,232.45,232.97,231.24,232.325,232.192543,387498,89974171.26249999,1668
2020-11-24,10:00,10:00,232.235,233.11,232.09,232.825,232.513718,34040,7914767.465000001,436,232.235,233.144,232.03,232.882,232.617879,235615,54808275.23069999,1546
2020-11-24,10:30,10:30,232.86,233.6,232.67,233.515,233.155562,11328,2641186.9949999996,143,232.86,233.65,232.64,233.53,233.185204,167769,39121259.996,991
2020-11-24,11:00,11:00,233.54,234.2,233.31,234.09,233.794248,6471,1512882.6550000003,97,233.54,234.256,233.231,234.18,233.765313,171552,40102926.4718,1075
2020-11-24,11:30,11:30,234.06,234.97,233.95,234.64,234.465204,16857,3952380.8499999996,259,234.16,234.99,233.85,234.6,234.498869,229247,53758171.355100006,1357
2020-11-24,12:00,12:00,234.73,234.85,233.97,233.98,234.569995,5567,1305851.2099999997,49,234.69,234.9,233.85,233.85,234.528717,112850,26466583.880100004,679
2020-11-24,12:30,12:30,233.95,234.15,233.66,233.83,233.893226,5645,1320327.4400000002,76,233.88,234.24,233.62,233.81,233.929346,111425,26065577.574800007,672
2020-11-24,13:00,13:00,233.98,234.25,233.58,233.62,233.899895,7751,1812958.935,103,233.88,234.255,233.53,233.62,233.873118,109739,25665011.597200006,738
2020-11-24,13:30,13:30,233.68,234.22,233.0,233.42,233.479679,7241,1690626.745,86,233.71,234.29,232.97,233.351,233.562176,186727,43612364.4838,1077
2020-11-24,14:00,14:00,233.36,233.65,233.07,233.26,233.316189,6817,1590516.905,106,233.36,233.7,233.06,233.17,233.330819,134960,31490352.994599998,820
2020-11-24,14:30,14:30,233.14,233.71,233.06,233.705,233.410139,7823,1825967.9700000004,119,233.12,233.8,232.97,233.698,233.403492,116829,27268305.8512,787
2020-11-24,15:00,15:00,233.7,233.845,233.35,233.82,233.599726,10574,2470084.4250000003,207,233.69,233.87,233.35,233.79,233.60234,124702,29130690.7484,864
2020-11-24,15:30,15:30,233.76,234.11,233.27,233.92,233.725721,27173,6351031.47,477,233.76,234.12,233.24,233.89,233.734811,433548,101335301.8418,3129
2020-11-25,09:30,09:30,233.76,233.795,232.09,232.81,232.65689,13427,3123884.105000001,185,233.92,233.92,232.079,232.88,233.015583,287381,66964295.429,1351
2020-11-25,10:00,10:00,232.735,232.99,232.11,232.69,232.450282,8828,2052071.3899999997,141,232.9,233.02,232.06,232.66,232.470885,131847,30650606.62289999,769
2020-11-25,10:30,10:30,232.715,232.83,232.04,232.56,232.457761,6532,1518413.84,135,232.68,232.86,232.01,232.56,232.436114,111708,25964974.615900002,681
2020-11-25,11:00,11:00,232.53,233.09,232.3,233.09,232.692849,10532,2450720.0400000005,209,232.53,233.09,232.3,233.08,232.605965,110527,25709235.786799997,692
2020-11-25,11:30,11:30,233.085,233.53,232.9,233.47,233.168592,13873,3234748.2749999994,161,233.1,233.59,232.88,233.47,233.215949,146066,34064914.72179999,1043
2020-11-25,12:00,12:00,233.58,233.715,233.21,233.28,233.463287,6341,1480390.7,104,233.57,233.74,233.2,233.2,233.485387,75482,17623943.776,584
2020-11-25,12:30,12:30,233.215,233.64,233.1,233.465,233.311537,4202,980374.635,63,233.2,233.725,233.06,233.48,233.368664,79646,18586882.1171,603
2020-11-25,13:00,13:00,233.48,233.53,232.87,232.95,233.108189,6008,1400513.5050000004,131,233.48,233.56,232.86,232.99,233.104453,93575,21812764.454699997,660
2020-11-25,13:30,13:30,232.87,233.63,232.87,233.485,233.177855,5736,1337508.75,157,232.935,233.64,232.851,233.47,233.118088,70185,16361400.358000003,488
