date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,207.79,208.12,206.92,208.06,207.500792,16301,3382470.959999999,274,208.0,208.105,206.82,208.015,207.470967,259015,53738146.06350001,1077
2020-10-27,10:00,10:00,208.085,208.48,207.16,207.225,207.989638,9510,1977982.6600000001,174,208.07,208.48,207.12,207.21,207.880282,102318,21269905.4952,567
2020-10-27,10:30,10:30,207.28,207.875,207.13,207.19,207.458122,10430,2163787.22,130,207.28,207.89,207.081,207.19,207.42288,118572,24594553.2923,636
2020-10-27,11:00,11:00,207.21,207.71,207.12,207.145,207.412995,10415,2160207.3949999996,138,207.24,207.7,207.08,207.09,207.356998,101412,21028491.592399992,690
2020-10-27,11:30,11:30,207.14,207.6,206.78,207.59,207.057979,12071,2499396.7649999997,168,207.13,207.62,206.75,207.59,207.050313,157253,32559291.822800007,906
2020-10-27,12:00,12:00,207.585,207.93,207.52,207.65,207.740992,5913,1228372.605,268,207.59,207.935,207.46,207.636,207.724392,74754,15528228.8978,442
2020-10-27,12:30,12:30,207.62,207.64,207.11,207.3,207.30942,7283,1509834.765,211,207.6,207.64,207.09,207.27,207.30695,76904,15942737.5436,487
2020-10-27,13:00,13:00,207.32,207.95,207.11,207.945,207.481106,12789,2653475.145,244,207.3,207.97,207.09,207.89,207.380447,117503,24367827.698799998,759
2020-10-27,13:30,13:30,207.93,208.2,207.65,207.69,207.898931,12039,2502896.1800000006,219,207.93,208.34,207.63,207.685,207.854586,106924,22224640.943099998,696
2020-10-27,14:00,14:00,207.7,207.75,207.41,207.46,207.563083,10348,2147861.6999999997,234,207.665,207.75,207.38,207.46,207.560546,92767,19254779.221100003,636
2020-10-27,14:30,14:30,207.48,207.59,207.15,207.33,207.3878,8604,1784365.08,124,207.49,207.58,207.15,207.29,207.374264,104248,21618346.954199996,639
2020-10-27,15:00,15:00,207.315,207.61,207.18,207.56,207.419932,9282,1925273.5099999995,129,207.31,207.649,207.16,207.56,207.39854,128429,26636001.3974,828
2020-10-27,15:30,15:30,207.62,207.62,206.6,206.6,207.048686,25075,5191749.635000002,308,207.56,207.61,206.58,206.75,207.029527,363454,75245681.3002,2465
2020-10-28,09:30,09:30,202.29,203.84,201.61,202.955,202.80754,55844,11325586.565000001,612,202.68,203.88,201.59,202.953,202.664617,840548,170349509.2282,3657
2020-10-28,10:00,10:00,202.92,203.12,200.295,200.5,201.40686,57571,11595199.49,694,202.96,203.12,200.21,200.55,201.390655,605559,121953890.76899996,3598
2020-10-28,10:30,10:30,200.59,200.99,199.81,200.65,200.327923,37533,7518908.924999999,439,200.582,201.0,199.79,200.725,200.273399,537088,107564526.64840001,2833
2020-10-28,11:00,11:00,200.69,200.94,199.985,200.03,200.402963,41569,8330557.260000001,440,200.7,200.95,199.97,200.2,200.387428,383636,76875887.69620001,2323
2020-10-28,11:30,11:30,200.14,201.09,199.84,200.99,200.512913,32703,6557374.9,346,200.2,201.097,199.79,200.96,200.475742,282618,56658056.11790003,1865
2020-10-28,12:00,12:00,200.99,201.88,200.89,201.4,201.506777,20241,4078700.54,240,200.99,201.89,200.86,201.42,201.466483,246453,49652036.1706,1503
2020-10-28,12:30,12:30,201.39,201.8,200.66,201.02,201.179096,16068,3232545.9100000006,189,201.38,201.8,200.655,201.03,201.155479,157029,31587245.679999996,1072
2020-10-28,13:00,13:00,200.98,201.01,200.18,200.96,200.585774,18700,3750955.2399999993,210,200.97,201.05,200.15,200.96,200.526349,184279,36952800.93149999,1137
2020-10-28,13:30,13:30,200.99,201.25,200.41,200.68,200.716042,11892,2386915.5100000002,147,200.99,201.26,200.38,200.58,200.724767,146735,29453366.434699997,784
2020-10-28,14:00,14:00,200.58,201.26,200.0,201.1,200.450218,22439,4497902.595,304,200.69,201.26,200.0,201.07,200.452711,261313,52380911.3803,1584
