date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,220.315,220.55,219.665,220.43,220.234162,5271,1160853.74,48,220.28,220.6,219.589,220.43,220.233434,275318,60634226.7143,1116
2020-09-16,10:00,10:00,220.585,221.03,220.54,220.61,220.759347,2096,462711.87000000005,37,220.41,221.16,220.4,220.64,220.856902,195718,43225693.459100015,1226
2020-09-16,10:30,10:30,220.9,222.18,220.9,222.08,221.569261,3215,712345.0150000001,51,220.59,222.26,220.59,221.97,221.570666,258515,57279320.66969999,1269
2020-09-16,11:00,11:00,221.89,221.965,221.22,221.275,221.553806,9946,2203574.315,129,221.945,222.05,221.17,221.266,221.570299,227618,50433380.05279999,1508
2020-09-16,11:30,11:30,221.33,221.385,221.09,221.26,221.230969,3634,803953.77,68,221.29,221.4,221.07,221.21,221.240082,167805,37125189.50920001,1009
2020-09-16,12:00,12:00,221.27,221.325,220.91,220.91,221.127507,4615,1020503.0549999999,57,221.26,221.44,220.86,220.96,221.09053,146924,32483510.78140001,935
2020-09-16,12:30,12:30,220.94,220.94,220.47,220.515,220.780668,5856,1292891.3800000004,57,220.952,221.09,220.44,220.499,220.761427,156275,34499493.49920001,924
2020-09-16,13:00,13:00,220.44,220.46,219.95,220.31,220.244494,3826,842656.0399999999,52,220.52,220.52,219.85,220.23,220.279119,176118,38795113.7,1085
2020-09-16,13:30,13:30,220.31,220.45,220.15,220.26,220.281903,6693,1474346.5600000005,109,220.31,220.455,220.11,220.2,220.265697,125829,27715829.617999997,912
2020-09-16,14:00,14:00,220.215,220.695,220.12,220.59,220.401365,6155,1356570.8550000002,109,220.26,220.729,220.01,220.58,220.433043,165522,36486525.2822,1122
2020-09-16,14:30,14:30,220.595,220.97,220.31,220.42,220.673795,8122,1792313.8649999998,119,220.6,220.99,220.29,220.43,220.637532,237333,52364585.34,1659
2020-09-16,15:00,15:00,220.45,220.6,219.43,220.07,220.005124,9442,2077287.6199999999,118,220.4,220.67,219.28,220.055,220.044685,228233,50221450.4805,1471
2020-09-16,15:30,15:30,220.03,220.385,219.25,219.44,219.960433,34315,7547944.3950000005,405,220.02,220.393,219.19,219.51,219.834177,1134248,249346373.91899997,5802
2020-09-17,09:30,09:30,218.22,218.45,217.68,218.035,218.049141,26522,5783100.124999999,320,218.46,218.53,217.56,217.96,218.095806,511585,111574535.67689998,2043
2020-09-17,10:00,10:00,217.95,218.65,217.87,218.43,218.119143,12448,2715147.665,123,217.96,218.68,217.81,218.41,218.164207,322875,70439819.71519999,1729
2020-09-17,10:30,10:30,218.585,218.585,217.835,217.975,218.060761,25724,5609398.024999999,219,218.4,218.585,217.79,217.96,218.019753,472380,102988115.76230001,1505
2020-09-17,11:00,11:00,218.03,218.27,217.82,217.97,218.04216,20890,4554899.044999999,210,217.98,218.255,217.78,217.91,218.003905,194097,42313926.4682,1177
2020-09-17,11:30,11:30,217.92,217.98,217.6,217.86,217.82629,17284,3764911.8099999996,190,217.92,217.99,217.58,217.82,217.795843,317006,69042579.0138,1236
2020-09-17,12:00,12:00,217.8,217.91,217.175,217.345,217.619405,22190,4828973.53,425,217.8,217.91,217.14,217.34,217.545675,433439,94292842.46579999,1732
2020-09-17,12:30,12:30,217.36,217.74,217.15,217.535,217.340866,5209,1132127.595,76,217.32,217.78,217.12,217.52,217.337752,235956,51282164.96660001,1228
2020-09-17,13:00,13:00,217.51,217.51,217.23,217.29,217.39567,3989,867191.1299999999,52,217.49,217.65,217.17,217.28,217.401782,110374,23995505.388499998,824
2020-09-17,13:30,13:30,217.235,217.61,217.155,217.57,217.454905,7712,1677011.0950000002,58,217.28,217.64,217.06,217.54,217.354242,232031,50432926.387899995,996
2020-09-17,14:00,14:00,217.55,217.87,217.19,217.225,217.668638,17617,3834668.7800000003,180,217.54,217.9,217.17,217.18,217.602729,199245,43356269.912999995,1438
2020-09-17,14:30,14:30,217.085,217.33,216.74,217.195,216.919225,10400,2255961.435,123,217.15,217.37,216.716,217.21,216.965169,205022,44482624.5648,1396
2020-09-17,15:00,15:00,217.235,217.295,216.515,216.81,216.787374,29075,6303092.605000002,348,217.16,217.295,216.5,216.8,216.721201,378032,81927597.89989999,1701
2020-09-17,15:30,15:30,216.78,218.02,216.78,218.02,217.458671,56284,12239444.464999998,765,216.77,218.04,216.77,218.01,217.542618,683848,148766028.1167,4535
2020-09-18,09:30,09:30,218.76,220.3,218.45,219.54,219.511371,22690,4980714.485,220,219.08,220.4,218.325,219.54,218.959329,1731866,379207813.02190006,2166
2020-09-18,10:00,10:00,219.58,220.99,219.27,220.935,220.214917,19124,4211391.140000001,223,219.58,221.01,219.22,220.94,220.187359,276681,60921690.5965,1602
2020-09-18,10:30,10:30,220.99,220.99,220.34,220.8,220.642096,18844,4157781.9199999995,285,220.98,221.0,220.31,220.78,220.648533,228775,50478892.43469999,1304
2020-09-18,11:00,11:00,220.735,220.98,220.1,220.48,220.635692,12864,2838259.4850000013,130,220.805,220.97,220.08,220.48,220.585349,174992,38600663.5902,1042
2020-09-18,11:30,11:30,220.45,220.62,220.06,220.16,220.269966,4799,1057075.6999999997,140,220.49,220.63,220.05,220.22,220.281674,160567,35369990.62549999,1052
2020-09-18,12:00,12:00,220.21,220.28,219.63,219.87,220.019774,9571,2105808.9650000003,148,220.18,220.3,219.6,219.855,219.971035,170894,37591734.0579,1220
2020-09-18,12:30,12:30,219.84,220.21,219.51,219.75,219.829691,5249,1153885.755,60,219.85,220.23,219.48,219.765,219.841757,176839,38876598.982,1125
2020-09-18,13:00,13:00,219.69,219.905,219.17,219.17,219.626257,11898,2613112.075,141,219.8,219.95,219.11,219.14,219.613288,210120,46145145.5808,1404
2020-09-18,13:30,13:30,218.95,219.42,218.465,219.335,219.08347,9371,2053031.1300000001,103,219.13,219.42,218.45,219.365,219.047191,297552,65177925.6961,1720
2020-09-18,14:00,14:00,219.31,219.31,218.7,219.15,219.030418,4475,980161.6450000001,84,219.38,219.4,218.69,219.16,219.030292,141746,31046680.5089,967
2020-09-18,14:30,14:30,219.06,219.395,218.845,218.97,219.085952,22462,4921112.275,159,219.161,219.42,218.83,218.96,219.049842,250235,54813918.9114,1440
2020-09-18,15:00,15:00,218.97,218.995,218.65,218.895,218.837894,22939,5019924.6,254,218.96,219.02,218.64,218.97,218.835908,258804,56635602.40019999,1816
2020-09-18,15:30,15:30,218.97,219.02,217.85,217.98,218.326171,120591,26328174.230000004,936,218.95,219.04,217.83,217.96,218.330875,787577,171952424.0059,4925
2020-09-21,09:30,09:30,214.325,215.43,213.67,214.69,214.506351,27490,5896778.915000001,512,214.0,215.45,213.6,214.71,214.345396,892543,191312588.45329997,4146
2020-09-21,10:00,10:00,214.63,215.09,211.78,212.14,213.12832,23689,5048799.544999999,297,214.72,215.15,211.72,212.055,213.053566,632043,134658979.7664,3698
2020-09-21,10:30,10:30,211.975,212.33,211.68,211.69,211.931721,14292,3028928.810000001,323,212.03,212.38,211.63,211.68,211.899935,276779,58649486.54010001,1775
2020-09-21,11:00,11:00,211.57,211.635,209.06,209.475,210.09721,25797,5419878.875,277,211.61,211.68,209.04,209.475,210.197637,505865,106331682.08749999,3036
2020-09-21,11:30,11:30,209.445,210.07,208.875,210.01,209.356396,19069,3992217.9099999997,238,209.44,210.07,208.85,209.943,209.429856,304974,63870698.2193,1887
2020-09-21,12:00,12:00,209.96,210.565,209.695,210.54,210.064017,12007,2522239.225,132,209.94,210.605,209.64,210.5,210.025686,467541,98195632.9149,1726
2020-09-21,12:30,12:30,210.5,210.63,209.485,209.485,210.086998,15485,3253200.1150000007,150,210.5,210.63,209.44,209.47,210.011298,191715,40262334.3901,1389
2020-09-21,13:00,13:00,209.47,209.47,208.79,209.225,209.109863,10758,2249604.305,111,209.5,209.5,208.73,209.15,209.051257,227250,47506907.960700005,1348
2020-09-21,13:30,13:30,209.305,209.85,209.305,209.78,209.644537,10322,2163949.745,118,209.11,209.86,209.11,209.75,209.608191,256255,53713148.82219999,1454
2020-09-21,14:00,14:00,209.69,209.99,209.21,209.85,209.60097,12071,2530093.5800000005,228,209.71,209.99,209.19,209.86,209.587173,245379,51428300.582600005,1549
2020-09-21,14:30,14:30,209.83,210.51,209.24,210.43,209.686769,14009,2937501.79,171,209.83,210.525,209.2,210.43,209.736591,213036,44681459.7966,1332
2020-09-21,15:00,15:00,210.36,211.5,210.31,211.23,210.749613,32724,6896567.805,297,210.37,211.54,210.27,211.23,210.876534,290784,61319497.64450002,2014
2020-09-21,15:30,15:30,211.275,213.295,211.19,213.16,212.516164,56672,12043716.555,565,211.255,213.32,211.17,213.08,212.260119,899281,190881524.84170002,5467
2020-09-22,09:30,09:30,212.75,214.65,212.735,212.735,213.496745,16676,3560272.9149999996,146,212.54,214.75,212.52,212.7,213.406077,410824,87672353.5213,1925
2020-09-22,10:00,10:00,212.74,213.64,212.67,213.27,213.102117,22033,4695277.3149999995,179,212.705,213.65,212.62,213.27,213.069409,310082,66069001.857,1543
2020-09-22,10:30,10:30,213.25,213.41,212.415,212.415,212.947549,12159,2589230.07,164,213.247,213.43,212.33,212.33,212.979929,236293,50325665.0977,1507
2020-09-22,11:00,11:00,212.39,213.09,211.73,213.03,212.419301,13548,2877855.97,178,212.39,213.1,211.7,213.034,212.459891,252812,53712411.80509999,1508
2020-09-22,11:30,11:30,212.955,213.09,212.39,213.0,212.804252,11352,2415755.2900000005,119,213.05,213.13,212.35,213.005,212.831153,193485,41179670.1376,1208
2020-09-22,12:00,12:00,212.93,213.03,212.72,212.75,212.856568,7425,1580460.58,87,213.02,213.05,212.7,212.79,212.86741,132175,28135745.9421,863
2020-09-22,12:30,12:30,212.82,212.89,212.49,212.495,212.695736,11741,2497262.2399999998,105,212.79,212.89,212.477,212.48,212.692151,181939,38696998.599900015,970
2020-09-22,13:00,13:00,212.59,213.35,212.5,213.15,212.871679,13979,2975731.985,128,212.5,213.35,212.5,213.1,212.805826,199220,42395180.005799994,948
2020-09-22,13:30,13:30,213.09,213.27,212.885,212.935,213.092162,15569,3317631.415,139,213.08,213.31,212.885,212.95,213.104212,131225,27964606.6496,884
2020-09-22,14:00,14:00,212.975,213.3,212.92,213.06,213.107654,16419,3499015.7249999996,291,212.975,213.32,212.893,213.06,213.057221,193132,41148177.89300001,1050
2020-09-22,14:30,14:30,213.09,213.22,212.795,212.9,212.983289,7669,1633368.105,125,213.08,213.2,212.78,212.89,212.977274,105565,22482938.818600006,766
2020-09-22,15:00,15:00,212.85,213.28,212.79,213.04,213.096975,24917,5309739.035,359,212.86,213.29,212.77,213.05,213.034579,273347,58232371.00040001,1655
2020-09-22,15:30,15:30,213.06,214.25,212.875,214.25,213.263728,72512,15464185.92,599,213.06,214.37,212.85,214.22,213.550512,810673,173119821.64380002,4696
2020-09-23,09:30,09:30,213.995,214.815,213.95,214.175,214.396563,9270,1987455.5900000003,172,213.94,214.88,213.91,214.175,214.279866,265196,56826151.52659999,1283
2020-09-23,10:00,10:00,214.245,214.28,213.56,213.56,213.911736,5311,1136085.0050000001,86,214.117,214.32,213.56,213.62,213.911632,137638,29442384.029800005,880
2020-09-23,10:30,10:30,213.66,213.66,212.72,212.96,213.078905,5887,1254395.995,71,213.57,213.71,212.61,212.97,213.046252,136016,28977705.963000007,948
2020-09-23,11:00,11:00,212.83,213.35,212.395,212.49,212.810085,8379,1783135.4700000002,99,213.0,213.35,212.24,212.541,212.76343,139966,29779656.239100005,979
2020-09-23,11:30,11:30,212.5,212.83,212.14,212.45,212.478545,4155,882848.59,91,212.47,212.85,212.09,212.49,212.320612,173774,36895826.387,849
2020-09-23,12:00,12:00,212.37,212.7,212.09,212.685,212.285288,6507,1381340.3849999998,243,212.45,212.71,212.08,212.66,212.315317,129203,27431779.725100003,862
2020-09-23,12:30,12:30,212.81,213.105,212.64,212.67,212.814244,5560,1183247.05,66,212.672,213.21,212.59,212.7,212.811187,100435,21373696.5193,667
2020-09-23,13:00,13:00,212.65,212.75,212.27,212.27,212.547318,2579,548159.675,32,212.65,212.75,212.23,212.24,212.495838,109670,23304421.27740001,680
2020-09-23,13:30,13:30,212.16,212.45,211.89,212.17,212.157955,5033,1067791.4,68,212.248,212.45,211.84,212.18,212.153055,176329,37408737.222700015,989
2020-09-23,14:00,14:00,211.92,212.36,211.27,211.37,211.679443,8421,1782552.425,195,212.16,212.42,211.2,211.41,211.67403,167044,35358886.035299994,1159
2020-09-23,14:30,14:30,211.38,211.46,210.38,210.45,210.819858,6239,1315306.0599999998,74,211.38,211.46,210.27,210.34,210.812598,195863,41290404.42829999,1168
2020-09-23,15:00,15:00,210.295,210.65,209.95,210.47,210.257984,10817,2274361.0900000003,197,210.35,210.66,209.95,210.5,210.280683,253120,53226267.3226,1618
2020-09-23,15:30,15:30,210.47,210.61,209.43,209.51,209.866532,27100,5687388.295,313,210.49,210.61,209.38,209.59,209.899543,593736,124624973.37850001,3776
2020-09-24,09:30,09:30,208.68,208.68,206.76,207.815,207.451414,22080,4580530.225,254,209.14,209.21,206.74,207.75,207.70407,439519,91289908.7982,2126
2020-09-24,10:00,10:00,207.75,209.17,207.75,208.21,208.514825,11815,2463604.66,134,207.78,209.2,207.74,208.28,208.596172,213133,44458723.6534,1350
2020-09-24,10:30,10:30,208.29,208.29,207.5,208.05,207.792721,26214,5447079.76,276,208.29,208.37,207.49,208.05,207.81202,234702,48773892.9134,1510
2020-09-24,11:00,11:00,208.07,208.07,206.63,207.06,207.456961,31774,6591742.839999999,260,208.07,208.07,206.58,207.035,207.194421,272241,56406862.412599996,1782
