date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,66.99,67.42,66.47,67.405,67.027145,7642,512222.39999999997,95,67.18,67.51,66.36,67.449,66.958844,170608,11423720.464599995,815
2020-08-14,10:00,10:00,67.505,68.48,67.45,68.48,68.033608,21543,1465647.8550000002,166,67.56,68.52,67.45,68.52,68.002828,149002,10132572.764400002,1005
2020-08-14,10:30,10:30,68.51,68.815,68.45,68.785,68.666378,64596,4435584.82,372,68.55,68.845,68.44,68.775,68.658691,262257,18006207.987199996,1699
2020-08-14,11:00,11:00,68.785,69.17,68.6,69.1,68.898902,14518,1000274.63,122,68.775,69.18,68.57,69.125,68.892723,156736,10797977.494799998,794
2020-08-14,11:30,11:30,69.145,69.5,69.055,69.48,69.275446,26036,1803657.525,162,69.154,69.48,69.04,69.48,69.23295,149439,10346092.408100002,831
2020-08-14,12:00,12:00,69.46,69.64,69.34,69.385,69.511125,24128,1677166.795,188,69.475,69.64,69.33,69.4,69.514889,126502,8793777.798299998,738
2020-08-14,12:30,12:30,69.385,69.515,69.23,69.335,69.37239,19762,1370937.55,130,69.385,69.53,69.2,69.36,69.380563,98907,6862231.168699999,637
2020-08-14,13:00,13:00,69.355,69.47,69.24,69.445,69.359765,22653,1571207.26,162,69.355,69.47,69.24,69.41,69.353179,101128,7013555.4066,634
2020-08-14,13:30,13:30,69.36,69.945,69.35,69.88,69.622602,20436,1422809.02,146,69.36,69.96,69.35,69.83,69.693466,93654,6527080.504099999,605
2020-08-14,14:00,14:00,69.83,69.83,69.505,69.515,69.703687,24755,1725517.7750000001,169,69.83,69.84,69.505,69.51,69.707079,132371,9227199.6987,859
2020-08-14,14:30,14:30,69.51,69.605,69.15,69.26,69.379636,10088,699901.93,94,69.51,69.605,69.14,69.25,69.353934,84209,5840226.1638,630
2020-08-14,15:00,15:00,69.26,69.375,69.08,69.3,69.256147,17162,1188575.0250000001,100,69.25,69.39,69.06,69.31,69.256383,123548,8556499.317900002,803
2020-08-14,15:30,15:30,69.295,69.44,69.15,69.44,69.299715,61819,4284042.225000001,449,69.3,69.49,69.144,69.49,69.316912,477804,33119948.213200003,3226
2020-08-17,09:30,09:30,68.62,68.9,67.9,68.09,68.355656,5902,403435.18,54,69.28,69.44,67.81,68.08,68.535211,165781,11361839.1491,1088
2020-08-17,10:00,10:00,68.18,68.315,67.875,68.18,68.095826,1687,114877.69,22,68.1,68.47,67.83,68.17,68.115486,85707,5837972.298900002,605
2020-08-17,10:30,10:30,68.055,68.14,67.89,67.89,68.059651,1451,98754.61499999999,21,68.15,68.175,67.84,67.87,68.030797,79752,5425594.148200001,562
2020-08-17,11:00,11:00,67.69,67.75,67.565,67.7,67.67864,2390,161751.75,23,67.89,67.92,67.5,67.715,67.663601,98291,6650727.329499999,601
2020-08-17,11:30,11:30,67.6,67.995,67.56,67.995,67.779045,2540,172158.635,30,67.705,68.03,67.543,67.995,67.776151,70515,4779234.004,462
2020-08-17,12:00,12:00,68.03,68.03,67.76,67.76,67.863242,1876,127311.37,26,68.0,68.04,67.73,67.77,67.886496,58512,3972169.1925,427
2020-08-17,12:30,12:30,67.785,67.805,67.52,67.63,67.629088,3139,212287.77500000002,34,67.785,67.82,67.5,67.63,67.646022,79930,5406943.235699999,592
2020-08-17,13:00,13:00,67.6,67.76,67.49,67.695,67.589624,2161,146060.95,31,67.62,67.78,67.45,67.655,67.536657,322113,21754414.448100008,524
2020-08-17,13:30,13:30,67.665,67.665,67.405,67.405,67.568988,1770,119596.985,19,67.655,67.673,67.37,67.37,67.522609,78946,5330645.9037,461
2020-08-17,14:00,14:00,67.335,67.37,67.13,67.225,67.279998,3752,252434.4,29,67.38,67.408,67.09,67.225,67.264046,117485,7902519.0811,623
2020-08-17,14:30,14:30,67.225,67.28,67.015,67.015,67.181191,1757,118037.505,23,67.23,67.28,67.01,67.03,67.16975,64071,4303636.4777999995,485
2020-08-17,15:00,15:00,67.005,67.11,66.9,66.94,66.996641,5536,370893.995,68,67.025,67.14,66.87,66.93,66.956604,214324,14350470.848699998,810
2020-08-17,15:30,15:30,66.925,67.1,66.77,66.77,66.982382,16486,1104271.6,199,66.925,67.115,66.77,66.81,66.96142,532803,35677256.4687,3362
2020-08-18,09:30,09:30,66.93,67.1,66.29,66.49,66.730937,28958,1932392.36,88,67.14,67.14,66.29,66.53,66.820816,154934,10352808.8038,790
2020-08-18,10:00,10:00,66.47,66.605,65.785,65.83,65.998635,5620,370911.68999999994,66,66.46,66.65,65.76,65.83,66.034662,138657,9156187.446200002,860
2020-08-18,10:30,10:30,65.89,65.89,65.535,65.76,65.711208,2173,142790.72999999998,62,65.858,65.92,65.49,65.75,65.72734,102616,6744685.9948,687
