date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-07-02,09:30,09:30,62.47,63.195,62.25,62.91,62.65045,21970,1376431.7249999999,123,62.27,63.25,62.23,62.91,62.669869,428884,26878087.135999996,2232
2020-07-02,10:00,10:00,62.855,63.03,62.33,62.34,62.783209,11686,733685.1950000004,161,62.89,63.06,62.33,62.37,62.83423,221227,13900623.406699998,1338
2020-07-02,10:30,10:30,62.325,62.565,61.25,61.25,61.975254,7608,471508.74500000005,128,62.33,62.59,61.25,61.25,61.973275,141075,8742897.5333,945
2020-07-02,11:00,11:00,61.23,61.45,60.76,61.425,61.183215,6285,384536.725,123,61.24,61.484,60.74,61.425,61.120666,153079,9356290.537300002,1046
2020-07-02,11:30,11:30,61.39,61.775,61.37,61.6,61.623203,6320,389459.1099999999,106,61.42,61.83,61.35,61.62,61.629623,164680,10149171.823000003,917
2020-07-02,12:00,12:00,61.56,61.96,61.555,61.89,61.713061,4555,281103.38499999995,148,61.67,61.97,61.53,61.89,61.732801,137210,8470375.994,882
2020-07-02,12:30,12:30,61.885,61.99,61.72,61.885,61.816648,4635,286520.4750000001,144,61.89,61.99,61.72,61.895,61.839689,85087,5261760.759500001,642
2020-07-02,13:00,13:00,61.885,61.905,61.34,61.35,61.607864,4422,272429.93500000006,132,61.9,61.92,61.32,61.37,61.573598,115604,7118173.072100002,786
2020-07-02,13:30,13:30,61.36,61.84,61.23,61.62,61.509075,2023,124432.805,180,61.35,61.84,61.24,61.61,61.591046,104454,6433435.6641,637
2020-07-02,14:00,14:00,61.61,61.7,61.41,61.53,61.545,2211,136076.17000000004,279,61.61,61.7,61.35,61.53,61.530991,84577,5204097.931199999,550
2020-07-02,14:30,14:30,61.535,61.785,61.345,61.36,61.548517,3681,226560.235,256,61.54,61.8,61.33,61.36,61.546642,111200,6843992.392100002,812
2020-07-02,15:00,15:00,61.37,61.375,60.99,61.03,61.167835,3124,191088.12499999997,134,61.37,61.383,60.935,61.04,61.107357,158530,9687363.640199998,1142
2020-07-02,15:30,15:30,61.03,61.135,60.735,61.13,60.958121,10204,622015.9050000001,111,61.05,61.17,60.72,61.17,60.969741,431949,26335787.458399996,3157
2020-07-06,09:30,09:30,63.23,63.475,62.365,63.265,63.057542,3573,225304.98,49,63.08,63.54,62.03,63.22,63.041377,280329,17672332.244800005,1342
2020-07-06,10:00,10:00,63.25,63.29,62.07,62.18,62.734174,6161,386506.79000000004,118,63.22,63.5,62.03,62.2,62.688875,184351,11556757.252999999,1225
