date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,89.265,91.13,89.17,91.07,90.362381,15061,1360948.9849999999,160,89.54,91.17,88.76,91.06,90.279484,317298,28645517.516099993,1959
2020-11-24,10:00,10:00,91.17,92.03,91.0,91.82,91.65079,14168,1298510.435,161,91.095,92.06,90.93,91.93,91.646377,280205,25679791.560500007,2044
2020-11-24,10:30,10:30,91.905,92.08,91.22,91.35,91.832252,22175,2036387.7449999996,208,91.96,92.08,91.2,91.281,91.815387,281666,25861305.246700004,1984
2020-11-24,11:00,11:00,91.32,91.34,90.53,90.95,90.991594,7432,676250.3449999999,103,91.3,91.37,90.53,90.91,90.977661,179945,16371002.3077,1086
2020-11-24,11:30,11:30,90.9,91.26,90.72,91.18,90.928494,16212,1474136.1850000003,122,90.9,91.28,90.7,91.22,90.907541,189441,17221619.694,1275
2020-11-24,12:00,12:00,91.22,91.54,91.14,91.28,91.333788,11197,1022664.1050000002,111,91.24,91.55,91.105,91.24,91.332029,96568,8819760.571700001,743
2020-11-24,12:30,12:30,91.28,91.32,90.925,90.98,91.108188,6418,584731.4649999999,80,91.27,91.32,90.9,91.03,91.057547,67975,6189634.6568,456
2020-11-24,13:00,13:00,91.06,91.14,90.83,90.94,91.003874,9661,879188.8250000001,101,91.04,91.16,90.83,90.94,90.990162,78671,7158292.6707,550
2020-11-24,13:30,13:30,90.935,91.19,90.74,90.81,90.971989,11427,1039536.8750000001,93,90.935,91.27,90.73,90.78,90.939597,96233,8751401.639200002,677
2020-11-24,14:00,14:00,90.795,91.045,90.535,90.54,90.784093,9360,849738.915,105,90.806,91.06,90.49,90.51,90.773514,79172,7186723.2836,593
2020-11-24,14:30,14:30,90.515,90.885,90.37,90.88,90.665705,8191,742643.055,94,90.515,90.885,90.36,90.88,90.678871,72670,6589644.7162999995,621
2020-11-24,15:00,15:00,90.845,91.36,90.81,91.3,91.035782,7736,704253.8049999999,92,90.86,91.36,90.805,91.3,91.063785,91184,8303551.621299999,731
2020-11-24,15:30,15:30,91.28,91.44,90.87,91.36,91.162313,37484,3417134.1750000003,439,91.28,91.44,90.85,91.36,91.15262,413678,37707810.9556,3259
2020-11-25,09:30,09:30,90.14,90.14,87.78,88.23,88.672717,17766,1575358.1700000002,170,90.03,90.25,87.73,88.235,88.787296,230220,20440621.2331,1335
2020-11-25,10:00,10:00,88.16,88.325,87.71,87.96,87.961633,5774,507890.68499999994,69,88.235,88.455,87.66,87.965,87.951169,172330,15156637.591700004,965
2020-11-25,10:30,10:30,88.03,88.59,87.75,88.37,88.160906,15852,1397525.5300000003,107,87.955,88.61,87.74,88.34,88.183385,211788,18676200.466299996,1143
2020-11-25,11:00,11:00,88.34,89.21,88.24,89.005,88.745477,11878,1054118.035,112,88.34,89.24,88.23,88.98,88.757617,187744,16663743.2491,1068
2020-11-25,11:30,11:30,89.02,89.79,89.0,89.79,89.320092,7990,713667.57,90,89.005,89.81,88.98,89.79,89.275078,181037,16162101.1878,1144
2020-11-25,12:00,12:00,89.84,89.94,89.54,89.61,89.801609,4226,379502.04999999993,44,89.82,89.98,89.52,89.632,89.798322,102554,9209183.235299999,785
2020-11-25,12:30,12:30,89.61,89.7,89.215,89.32,89.499776,7663,685837.575,61,89.635,89.705,89.19,89.325,89.498106,93842,8398695.5491,746
2020-11-25,13:00,13:00,89.32,89.66,89.32,89.66,89.57317,2925,262001.69,32,89.31,89.67,89.31,89.63,89.542163,82799,7414001.4578,674
2020-11-25,13:30,13:30,89.63,89.89,89.58,89.89,89.687428,6791,609067.32,62,89.63,89.93,89.575,89.93,89.691224,108165,9701462.404299999,782
2020-11-25,14:00,14:00,89.88,89.885,89.625,89.65,89.727525,4842,434460.685,52,89.925,89.94,89.61,89.67,89.76118,83334,7480155.107399999,641
2020-11-25,14:30,14:30,89.66,89.93,89.63,89.85,89.784054,6130,550376.005,66,89.68,89.94,89.63,89.845,89.788938,99745,8955989.945200004,826
2020-11-25,15:00,15:00,89.84,89.96,89.68,89.82,89.814738,7200,646666.2200000001,76,89.83,89.969,89.66,89.82,89.813846,105948,9515585.287099998,917
2020-11-25,15:30,15:30,89.82,89.96,89.585,89.92,89.756639,21641,1942426.44,284,89.83,89.97,89.58,89.88,89.764862,265505,23833030.0964,2082
2020-11-27,09:30,09:30,89.88,89.88,88.4,88.49,88.657553,6482,574678.0850000001,99,89.18,89.58,88.3,88.49,88.761672,150971,13400419.654499998,979
2020-11-27,10:00,10:00,88.485,88.685,88.31,88.41,88.50434,4720,417740.7150000001,61,88.43,88.75,88.31,88.39,88.493392,111597,9875606.992199998,966
2020-11-27,10:30,10:30,88.275,88.275,87.8,87.875,87.970106,7577,666549.6299999999,97,88.38,88.38,87.8,87.9,87.977875,146660,12902842.3225,1123
2020-11-27,11:00,11:00,87.9,88.3,87.81,87.9,87.98228,5564,489534.505,76,87.895,88.3,87.78,87.87,87.963007,116575,10254301.306499999,659
2020-11-27,11:30,11:30,87.87,88.895,87.75,88.6,88.304949,8949,790240.6200000001,89,87.9,88.91,87.74,88.59,88.369893,152353,13463416.222300004,1190
2020-11-27,12:00,12:00,88.59,88.59,87.73,87.73,88.178051,7233,637792.2200000001,78,88.59,88.595,87.73,87.73,88.144169,105929,9337045.815000001,719
2020-11-27,12:30,12:30,87.74,87.85,87.6,87.79,87.718005,16388,1437521.67,239,87.75,87.86,87.58,87.84,87.707495,253840,22263693.789800003,2027
2020-11-30,09:30,09:30,89.02,89.87,88.04,88.1,89.073031,16094,1433541.09,185,89.66,89.95,88.04,88.13,89.100294,257486,22942081.914999995,1678
2020-11-30,10:00,10:00,88.21,88.21,87.265,87.47,87.59214,7794,682693.6900000001,106,88.14,88.275,87.265,87.39,87.633861,93073,8156346.5008999985,675
2020-11-30,10:30,10:30,87.39,87.39,86.46,87.34,86.971881,7361,640200.6499999999,110,87.38,87.42,86.41,87.4,86.892363,83732,7275676.565599998,622
2020-11-30,11:00,11:00,87.55,87.63,87.06,87.16,87.416665,2036,177980.24,36,87.43,87.715,87.0,87.06,87.418145,62167,5434528.719900002,332
2020-11-30,11:30,11:30,86.99,87.235,86.89,87.185,87.033513,2860,248915.725,36,87.0,87.25,86.81,87.11,87.032429,39420,3430825.0112,304
2020-11-30,12:00,12:00,87.1,87.41,87.045,87.36,87.205566,1261,109966.28500000002,18,87.12,87.46,87.03,87.39,87.320048,38517,3363306.9065,271
2020-11-30,12:30,12:30,87.38,87.585,87.15,87.585,87.350673,2626,229383.145,36,87.37,87.7,87.16,87.66,87.356488,68444,5979018.326300001,306
