date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,74.54,74.55,73.7,73.96,74.141719,48696,3610408.28,115,74.77,74.77,73.69,73.981,74.152068,193834,14373207.253099998,861
2020-10-27,10:00,10:00,74.08,74.28,73.92,74.12,74.105821,10553,782037.4149999999,97,74.08,74.3,73.89,74.13,74.101762,171415,12702186.3214,1002
2020-10-27,10:30,10:30,74.17,74.69,74.02,74.67,74.26646,15659,1162937.835,124,74.125,74.74,73.97,74.65,74.289076,158302,11760117.766500002,1108
2020-10-27,11:00,11:00,74.74,74.98,74.43,74.49,74.741899,6584,492100.6599999999,68,74.64,74.99,74.425,74.46,74.696801,84302,6297085.495700001,698
2020-10-27,11:30,11:30,74.42,74.46,74.09,74.3,74.226892,7351,545641.4550000001,92,74.435,74.5,74.08,74.37,74.239009,103461,7680849.219000001,752
2020-10-27,12:00,12:00,74.35,74.44,74.1,74.18,74.222458,5463,405477.57499999995,113,74.36,74.45,74.1,74.205,74.250578,81256,6033309.7689,697
2020-10-27,12:30,12:30,74.2,74.2,73.94,74.01,74.058811,5998,444204.60500000004,69,74.2,74.2,73.92,74.05,74.054451,62390,4620255.959500001,541
2020-10-27,13:00,13:00,74.01,74.36,73.88,74.36,74.097208,11998,889018.2449999999,89,74.01,74.39,73.83,74.35,74.0929,89274,6614568.473800001,633
2020-10-27,13:30,13:30,74.39,74.69,74.37,74.615,74.531549,11353,846156.2949999999,117,74.37,74.697,74.36,74.62,74.512485,123988,9238641.710100003,972
2020-10-27,14:00,14:00,74.62,74.65,74.485,74.485,74.558982,8804,656417.6,89,74.62,74.67,74.485,74.5,74.568055,111772,8334618.3145,827
2020-10-27,14:30,14:30,74.505,74.56,74.235,74.37,74.436778,6090,453320.27499999997,101,74.485,74.56,74.21,74.4,74.468104,78373,5836290.3166,600
2020-10-27,15:00,15:00,74.39,74.44,74.16,74.385,74.361281,11413,848685.4199999998,154,74.4,74.44,74.19,74.39,74.353831,94160,7001157.062499998,676
2020-10-27,15:30,15:30,74.39,74.43,74.08,74.1,74.252808,39367,2923110.805,474,74.39,74.44,74.06,74.07,74.233435,439693,32639913.5787,3340
2020-10-28,09:30,09:30,71.63,73.57,71.6,72.695,72.840205,13636,993248.3150000001,159,71.79,73.6,71.518,72.69,72.631026,172047,12495978.736599999,807
2020-10-28,10:00,10:00,72.67,72.98,72.2,72.28,72.567907,9431,684387.8600000001,105,72.66,73.0,72.16,72.28,72.554309,90524,6567913.5236,635
2020-10-28,10:30,10:30,72.24,72.355,71.68,71.99,72.084045,8018,577970.5849999998,89,72.3,72.355,71.65,71.96,72.056712,81838,5896975.473099999,618
2020-10-28,11:00,11:00,72.05,72.765,71.955,72.55,72.310816,8326,602059.735,108,71.96,72.78,71.93,72.65,72.383522,77594,5616530.973,646
2020-10-28,11:30,11:30,72.585,73.22,72.315,73.03,72.85298,7285,530734.565,82,72.64,73.2,72.315,73.05,72.863993,65834,4796942.134800001,420
2020-10-28,12:00,12:00,73.08,73.505,73.02,73.085,73.25451,8636,632626.29,98,73.03,73.52,73.02,73.105,73.260656,95937,7028410.6734,604
2020-10-28,12:30,12:30,73.12,73.17,72.46,72.52,72.677305,6018,437371.61500000005,77,73.095,73.21,72.45,72.51,72.64616,101580,7379395.7362,583
2020-10-28,13:00,13:00,72.49,72.49,72.01,72.15,72.188125,4547,328239.2899999999,55,72.51,72.51,71.96,72.21,72.156559,73301,5289151.742400001,531
2020-10-28,13:30,13:30,72.085,72.18,71.895,72.1,72.054115,4459,321289.055,43,72.19,72.26,71.895,72.08,72.075167,116307,8382858.0619,634
2020-10-28,14:00,14:00,72.01,72.19,71.72,72.13,71.926578,8629,620654.61,82,72.06,72.19,71.69,72.105,71.948081,172662,12422714.256499998,858
2020-10-28,14:30,14:30,72.1,72.55,71.97,72.5,72.266806,14365,1038114.305,135,72.12,72.575,71.96,72.54,72.277328,128677,9300438.7459,953
2020-10-28,15:00,15:00,72.52,72.77,72.45,72.59,72.597112,18851,1368528.2699999998,201,72.58,72.775,72.42,72.58,72.587732,219442,15928807.561999997,1568
2020-10-28,15:30,15:30,72.64,72.77,71.97,71.995,72.399287,76104,5509879.495,709,72.61,72.79,71.95,72.09,72.325056,652222,47171994.96910001,4247
2020-10-29,09:30,09:30,71.86,72.47,70.87,72.31,71.636984,10027,718304.245,120,71.48,72.47,70.78,72.38,71.622757,134043,9600531.866999999,848
2020-10-29,10:00,10:00,72.35,72.71,72.115,72.705,72.322536,18361,1327912.96,163,72.395,72.73,72.1,72.67,72.364059,207339,15003874.926800001,1404
2020-10-29,10:30,10:30,72.68,73.27,72.64,72.79,73.002141,5803,423630.975,76,72.64,73.33,72.63,72.895,73.026685,58790,4293232.8122000005,465
2020-10-29,11:00,11:00,72.87,72.87,72.06,72.06,72.45721,5604,406050.1549999999,78,72.87,72.87,72.06,72.06,72.46459,66713,4834341.6274999995,470
2020-10-29,11:30,11:30,72.045,72.045,71.655,71.82,71.853009,3672,263844.29,54,72.06,72.078,71.63,71.76,71.902875,59369,4268804.3948,449
2020-10-29,12:00,12:00,71.69,71.76,71.46,71.7,71.653068,6340,454280.16,74,71.8,71.86,71.46,71.745,71.657327,76361,5471817.082200001,593
2020-10-29,12:30,12:30,71.83,72.005,71.62,71.67,71.811283,5280,379163.21499999997,54,71.81,72.03,71.61,71.65,71.840688,50023,3593691.996,381
2020-10-29,13:00,13:00,71.585,71.84,71.435,71.84,71.558739,5345,382481.415,54,71.69,71.84,71.43,71.81,71.577864,69786,4995134.178299998,531
2020-10-29,13:30,13:30,71.815,72.67,71.765,72.66,72.261269,3349,242003.35,48,71.81,72.69,71.77,72.69,72.223304,55328,3995970.7758000004,394
