date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,73.42,73.42,72.22,73.015,72.63815,24972,1813916.45,75,73.45,73.54,72.21,73.0,72.73165,212351,15444695.0679,707
2020-09-16,10:00,10:00,72.97,74.68,72.97,74.455,73.971168,4628,342338.265,51,73.03,74.72,72.94,74.51,74.070074,108986,8072604.9503,808
2020-09-16,10:30,10:30,74.525,74.96,74.45,74.75,74.676767,4437,331341.51999999996,46,74.525,74.96,74.4,74.76,74.694539,149933,11199193.599399999,1031
2020-09-16,11:00,11:00,74.91,75.395,74.84,75.285,75.17157,3074,231077.39500000002,42,74.755,75.41,74.74,75.32,75.132782,119393,8970332.3184,913
2020-09-16,11:30,11:30,75.29,75.29,74.945,75.11,75.157658,2844,213748.19,75,75.345,75.36,74.94,74.96,75.171738,151943,11421816.4488,799
2020-09-16,12:00,12:00,74.96,75.07,74.84,75.045,74.956036,1950,146164.365,109,74.97,75.11,74.83,75.11,74.969152,77641,5820686.430099999,611
2020-09-16,12:30,12:30,75.1,75.43,75.05,75.43,75.185911,10560,793964.17,178,75.1,75.42,75.05,75.42,75.191384,119745,9003795.693699999,871
2020-09-16,13:00,13:00,75.42,75.74,75.265,75.58,75.471455,8749,660300.815,185,75.41,75.74,75.23,75.6,75.444909,150506,11354924.496999998,916
2020-09-16,13:30,13:30,75.61,75.84,75.53,75.72,75.679449,4629,350320.28500000003,50,75.61,75.86,75.5,75.665,75.683173,96187,7279745.201899998,725
2020-09-16,14:00,14:00,75.455,76.11,75.455,76.05,75.966971,21539,1636251.125,85,75.515,76.12,75.46,76.065,75.944018,172232,13080016.717699999,1167
2020-09-16,14:30,14:30,76.07,76.83,76.055,76.505,76.355548,14838,1132962.3550000002,129,76.08,76.86,76.02,76.53,76.430326,270228,20653655.929700002,1881
2020-09-16,15:00,15:00,76.495,76.5,75.56,76.06,76.018928,10375,788696.6050000001,123,76.51,76.57,75.55,76.05,76.014712,273967,20825538.359299995,2050
2020-09-16,15:30,15:30,76.095,76.52,75.85,76.19,76.259068,28718,2190005.79,303,76.06,76.53,75.79,76.18,76.230355,783463,59723818.271199994,6059
2020-09-17,09:30,09:30,74.485,75.545,74.445,75.12,75.128451,4721,354681.3,60,74.76,75.545,74.38,75.13,75.092654,145331,10913279.357699998,749
2020-09-17,10:00,10:00,75.16,76.29,75.08,76.15,75.719597,8071,611133.1950000001,97,75.17,76.39,75.0,76.2,75.652287,110398,8351856.0471,743
2020-09-17,10:30,10:30,75.955,77.01,75.955,76.95,76.615921,7312,560214.9700000001,84,76.18,77.09,75.915,76.83,76.634541,231341,17728719.680000003,1457
2020-09-17,11:00,11:00,76.855,77.485,76.495,76.495,77.156284,6144,474048.24999999994,77,76.83,77.5,76.44,76.535,77.069451,236811,18250914.6202,1266
2020-09-17,11:30,11:30,76.535,76.57,76.01,76.03,76.195558,10640,810721.23,81,76.535,76.58,75.95,76.065,76.323609,92036,7024529.591500001,528
2020-09-17,12:00,12:00,76.07,76.12,75.515,75.62,75.685499,9382,710082.565,75,76.03,76.13,75.52,75.69,75.648597,137903,10432200.827000001,581
2020-09-17,12:30,12:30,75.68,75.78,75.44,75.72,75.664015,2132,161315.66,46,75.68,75.82,75.42,75.73,75.665197,71436,5405216.860000001,520
2020-09-17,13:00,13:00,75.685,75.97,75.5,75.91,75.768055,1460,110621.3,19,75.69,75.98,75.49,75.9,75.649154,151227,11440181.187699998,369
2020-09-17,13:30,13:30,75.91,76.07,75.83,76.07,75.95386,2069,157148.55500000002,29,75.91,76.16,75.81,76.15,75.980865,53092,4033977.899599999,349
2020-09-17,14:00,14:00,76.17,76.32,75.94,75.94,76.162129,2642,201220.235,28,76.15,76.33,75.9,75.9,76.140433,99222,7554821.869700002,549
2020-09-17,14:30,14:30,75.845,75.89,75.59,75.66,75.746275,1794,135888.57,26,75.87,75.915,75.59,75.64,75.748853,92317,6992901.2935999995,747
2020-09-17,15:00,15:00,75.69,75.74,75.45,75.62,75.622337,6359,480882.8950000001,105,75.64,75.77,75.39,75.63,75.631089,204712,15482613.0145,1708
2020-09-17,15:30,15:30,75.615,76.1,75.615,75.97,75.94839,7995,607208.3899999999,157,75.62,76.11,75.6,75.98,75.948944,414967,31516329.3846,3176
2020-09-18,09:30,09:30,75.675,76.105,75.065,75.49,75.488429,7205,543895.76,53,75.76,76.21,75.01,75.51,75.68115,424223,32105709.009999998,714
2020-09-18,10:00,10:00,75.54,76.415,75.09,76.33,75.57274,10353,782405.0800000001,128,75.62,76.44,75.125,76.33,75.74521,114138,8645419.158599999,733
2020-09-18,10:30,10:30,76.27,76.55,76.2,76.42,76.355882,11077,845791.9450000002,123,76.29,76.55,76.145,76.42,76.348867,59543,4546051.0287999995,362
2020-09-18,11:00,11:00,76.33,76.76,76.175,76.295,76.484291,7848,600248.735,59,76.4,76.84,76.15,76.31,76.46356,99486,7607048.824399999,578
2020-09-18,11:30,11:30,76.35,76.57,76.235,76.34,76.401573,2065,157769.15,31,76.36,76.615,76.21,76.36,76.448026,73691,5633529.557999999,422
2020-09-18,12:00,12:00,76.33,76.4,76.21,76.23,76.26981,4150,316520.17,45,76.33,76.42,76.16,76.23,76.278003,104892,8000961.2312,595
2020-09-18,12:30,12:30,76.14,76.14,75.89,75.98,75.989818,3300,250766.3,23,76.22,76.22,75.86,75.97,76.003209,72360,5499591.4389,512
2020-09-18,13:00,13:00,75.995,75.995,75.575,75.575,75.855684,7613,577489.09,81,75.99,76.03,75.57,75.575,75.851416,100098,7592577.698099999,751
2020-09-18,13:30,13:30,75.51,75.57,75.345,75.57,75.436481,4595,346630.45,50,75.52,75.62,75.264,75.62,75.464935,81572,6155832.496199999,584
2020-09-18,14:00,14:00,75.61,75.84,75.505,75.76,75.67822,2877,217726.30000000002,30,75.635,75.87,75.5,75.76,75.659136,81948,6200121.017500001,663
2020-09-18,14:30,14:30,75.68,75.69,75.485,75.585,75.594887,1525,115282.23,18,75.775,75.82,75.47,75.6,75.627591,76099,5755188.9857,566
2020-09-18,15:00,15:00,75.63,75.91,75.54,75.9,75.697407,4845,366754.47,53,75.6,75.99,75.53,75.99,75.701002,116543,8822432.2241,900
2020-09-18,15:30,15:30,75.965,76.22,75.785,75.785,75.982257,24447,1857535.745,196,75.99,76.25,75.78,75.79,75.980877,468589,35603775.091400005,3258
2020-09-21,09:30,09:30,72.8,73.095,72.13,72.51,72.666421,42766,3107663.060000001,399,72.87,73.46,72.13,72.51,72.61533,430418,31254974.89960001,2492
2020-09-21,10:00,10:00,72.65,72.68,71.65,71.88,71.951442,34545,2485568.3200000003,100,72.51,72.755,71.64,71.88,72.167479,242654,17511752.258,1367
2020-09-21,10:30,10:30,71.785,71.79,70.98,71.43,71.190328,22476,1600073.3550000002,152,71.88,71.88,70.96,71.39,71.261816,363087,25874262.116299998,1994
