date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,262.22,262.55,260.195,261.39,261.541839,30277,7918702.499999999,282,262.305,262.65,260.08,261.36,261.529067,1549596,405264531.1129,5914
2020-08-14,10:00,10:00,261.57,261.72,259.115,259.31,259.792631,20366,5290939.654999998,181,261.32,261.92,259.08,259.275,260.139237,1159152,301540947.8722,4800
2020-08-14,10:30,10:30,259.05,260.185,258.95,259.24,259.667715,10077,2616671.56,145,259.238,260.23,258.94,259.31,259.627348,663084,172154792.47079995,2898
2020-08-14,11:00,11:00,259.205,260.03,258.82,259.925,259.504545,8248,2140393.29,101,259.26,260.07,258.68,259.99,259.488914,605192,157040564.82719997,2754
2020-08-14,11:30,11:30,259.955,260.62,259.575,259.92,260.208866,9066,2359054.0949999997,118,260.02,260.88,259.53,260.08,260.170672,668636,173959568.49259996,3053
2020-08-14,12:00,12:00,260.14,260.32,259.32,259.53,259.875752,7595,1973756.23,132,260.13,260.36,259.28,259.61,259.785104,453872,117909222.3839,2208
2020-08-14,12:30,12:30,259.75,260.82,259.73,260.75,260.516066,16031,4176334.730000001,155,259.67,260.83,259.67,260.769,260.384321,472072,122920175.3683,2261
2020-08-14,13:00,13:00,260.76,261.29,260.52,261.28,260.780349,44468,11596378.870000001,286,260.75,261.32,260.5,261.27,260.937447,457397,119352044.17209996,2197
2020-08-14,13:30,13:30,261.38,261.92,261.18,261.71,261.557203,52038,13610913.19,355,261.295,261.94,261.18,261.75,261.519957,804132,210296605.5314,3522
2020-08-14,14:00,14:00,261.68,261.68,260.85,261.05,261.17097,5002,1306377.5650000002,82,261.725,261.725,260.795,261.08,261.171347,711151,185732209.65769997,2740
2020-08-14,14:30,14:30,261.095,261.62,260.67,261.13,261.240158,12209,3189482.1349999993,146,261.066,261.64,260.61,261.22,261.100134,673569,175868882.75940004,2685
2020-08-14,15:00,15:00,261.15,261.15,260.52,260.66,260.822568,10154,2648391.6350000002,131,261.22,261.22,260.41,260.64,260.773708,499430,130238257.08089998,2392
2020-08-14,15:30,15:30,260.59,261.145,260.19,261.055,260.717773,18022,4698656.85,241,260.62,261.24,260.0,261.24,260.696406,912737,237947218.40459996,4759
2020-08-17,09:30,09:30,262.68,263.99,261.15,261.15,262.640945,19572,5140411.02,191,262.5,264.097,261.06,261.51,262.695329,1504918,395335051.4207,7101
2020-08-17,10:00,10:00,261.565,262.41,260.795,261.5,261.381288,8397,2194819.2900000005,107,261.48,262.48,260.68,261.61,261.405748,884866,231309161.98020005,4283
2020-08-17,10:30,10:30,261.64,261.84,260.34,260.86,260.881915,32020,8353444.574999999,287,261.64,261.87,260.314,260.89,260.936701,704178,183745994.09099993,3779
2020-08-17,11:00,11:00,260.81,261.265,260.0,260.175,260.725401,4676,1219152.5150000001,64,260.91,261.3,259.92,260.124,260.594557,567446,147873349.0276,2978
2020-08-17,11:30,11:30,260.075,260.3,259.55,260.03,259.990719,8553,2223699.59,75,260.12,261.24,259.4,260.01,259.955717,689016,179113680.44639996,3116
2020-08-17,12:00,12:00,259.93,260.415,259.81,260.26,260.004674,4189,1089160.315,88,260.01,260.43,259.62,260.23,260.009556,346026,89970087.81229998,1901
2020-08-17,12:30,12:30,260.22,260.58,259.815,260.09,260.381003,5222,1359709.8399999996,69,260.21,260.7,259.79,260.09,260.264524,341723,88938407.06549999,1884
2020-08-17,13:00,13:00,260.035,260.54,259.87,260.51,260.108295,37857,9846922.605,189,260.11,260.691,259.857,260.68,260.137748,565998,147237495.5128,2731
2020-08-17,13:30,13:30,260.875,261.44,260.81,260.91,261.131733,17635,4605058.970000001,95,260.703,261.46,260.703,260.86,261.130538,660265,172415384.08939996,3112
2020-08-17,14:00,14:00,260.79,261.21,260.79,261.0,261.091014,3231,843584.9699999999,65,260.83,261.31,260.69,261.1,261.08015,303304,79186704.4745,1840
2020-08-17,14:30,14:30,261.185,262.0,261.145,261.27,261.456132,3679,961897.5350000001,46,261.12,262.005,261.12,261.225,261.572415,449395,117549350.97109997,2256
2020-08-17,15:00,15:00,261.33,261.45,260.96,261.39,261.223057,3517,918721.61,53,261.265,261.5,260.93,261.36,261.240869,358093,93548549.5705,2422
2020-08-17,15:30,15:30,261.35,261.96,260.58,261.23,261.525773,11640,3044160.795000001,165,261.4,261.96,260.49,261.23,261.33736,873657,228319275.51000002,5397
2020-08-18,09:30,09:30,261.19,262.53,259.505,260.34,260.800512,31443,8200354.58,332,260.95,262.62,259.39,260.4,260.934727,1710074,446217741.2229001,8043
2020-08-18,10:00,10:00,260.67,261.18,259.48,259.48,260.510229,38197,9950712.16,279,260.48,261.23,259.43,259.51,260.37411,779779,203034318.96819997,4043
