date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-07-02,09:30,09:30,238.85,239.99,236.09,236.36,238.188558,85455,20354394.63,722,239.0,240.0,236.01,236.439,238.144119,4685532,1115832070.8130002,20506
2020-07-02,10:00,10:00,236.46,236.565,234.67,234.91,235.659479,67875,15995386.540000003,589,236.39,236.58,234.57,234.875,235.508509,3603179,848579652.8000998,16644
2020-07-02,10:30,10:30,234.87,236.76,234.8,235.285,235.667161,47135,11108172.09,436,234.85,236.79,234.78,235.37,235.939955,2095010,494296631.99230003,9675
2020-07-02,11:00,11:00,235.35,235.61,233.725,234.06,234.894335,40361,9480569.475000001,382,235.35,235.61,233.69,234.0,234.87638,1813667,425987742.0910001,8944
2020-07-02,11:30,11:30,233.97,234.65,233.875,234.64,234.305719,43449,10180351.025,354,234.03,234.68,233.79,234.57,234.234034,1340619,314018769.6448001,7004
2020-07-02,12:00,12:00,234.405,235.43,233.8,235.38,234.620544,12864,3018160.5250000004,198,234.6,235.53,233.751,235.41,234.726383,1140490,267703071.6196,6315
2020-07-02,12:30,12:30,235.4,236.46,235.195,235.64,235.937595,13550,3196954.245,191,235.41,236.47,235.14,235.7,235.906917,1446387,341212822.56,7708
2020-07-02,13:00,13:00,235.68,235.97,235.3,235.385,235.619877,7174,1690337.4299999997,105,235.67,235.99,235.272,235.51,235.616533,689276,162404785.739,3994
2020-07-02,13:30,13:30,235.54,235.835,234.35,234.625,235.192459,8110,1907411.3349999995,238,235.52,235.89,234.318,234.65,235.20582,916215,215499153.61119998,5099
2020-07-02,14:00,14:00,234.61,235.245,234.425,234.935,234.817095,19231,4515767.499999999,407,234.64,235.25,234.38,234.94,234.87984,1161545,272823600.9695,5813
2020-07-02,14:30,14:30,234.9,235.21,234.55,234.695,234.792882,16135,3788383.8749999995,485,234.94,235.22,234.51,234.7,234.809486,819926,192526425.4396,4254
2020-07-02,15:00,15:00,234.69,234.73,233.935,233.96,234.266355,22496,5270057.775,304,234.695,234.74,233.89,233.99,234.286315,1201258,281438348.89659995,6862
2020-07-02,15:30,15:30,234.03,234.125,232.725,233.52,233.406877,26821,6260206.350000001,322,234.0,234.15,232.61,233.46,233.356402,2298822,536445023.94419986,12603
2020-07-06,09:30,09:30,234.135,235.59,232.4,234.665,234.237035,154101,36096178.56,1175,233.76,235.58,232.27,234.66,233.851059,3946078,922795069.936,17699
2020-07-06,10:00,10:00,234.9,236.47,234.9,236.44,235.692322,76413,18009958.525,483,234.69,236.51,234.66,236.465,235.817771,2544213,599970928.2652999,12692
2020-07-06,10:30,10:30,236.42,239.07,236.23,238.7,237.951361,35757,8508431.295000002,427,236.48,239.16,236.23,238.73,237.881228,2053351,488453901.2544,11162
2020-07-06,11:00,11:00,238.69,239.985,238.62,239.34,239.367192,33095,7921859.460000001,388,238.71,240.0,238.54,239.3,239.365584,1743764,417397186.74109995,9364
2020-07-06,11:30,11:30,239.34,240.03,238.9,239.19,239.519128,19997,4789663.71,244,239.3,240.1,238.8,239.19,239.604245,1267769,303762874.447,6363
2020-07-06,12:00,12:00,239.1,239.25,238.15,238.435,238.740115,19701,4703418.219999999,321,239.17,239.32,238.01,238.35,238.692091,931417,222321870.1655,5406
2020-07-06,12:30,12:30,238.31,240.31,238.085,239.895,239.838451,23223,5569769.220000001,249,238.337,240.38,238.07,239.87,239.571798,1247292,298815902.9864,6156
2020-07-06,13:00,13:00,239.95,240.08,238.65,239.28,239.120733,29410,7032542.170000001,209,239.88,240.1,238.58,239.29,239.312353,942452,225540468.31379995,4888
2020-07-06,13:30,13:30,239.305,239.31,238.475,238.99,239.017941,15166,3624946.405,212,239.285,239.345,238.44,238.92,238.894475,709854,169580240.46199998,3600
2020-07-06,14:00,14:00,238.91,238.91,237.57,238.29,238.14107,20941,4986915.320000001,225,238.905,238.92,237.55,238.28,238.07213,1019125,242625143.1126,5242
2020-07-06,14:30,14:30,238.2,239.265,238.19,238.76,238.92781,14280,3411891.284999999,222,238.29,239.37,238.14,238.765,238.906426,842687,201323379.24700004,4561
2020-07-06,15:00,15:00,238.86,239.325,238.21,239.07,238.912027,22407,5353299.77,192,238.73,239.37,238.19,239.09,238.898695,864251,206468449.46279997,5021
2020-07-06,15:30,15:30,239.07,240.34,238.965,240.25,239.799513,51414,12329052.485,495,239.108,240.4,238.933,240.3,239.808367,1951900,468082054.2260001,11317
2020-07-07,09:30,09:30,239.5,245.45,238.91,243.51,242.651939,102790,24942200.97,1008,239.41,245.5,238.82,243.42,242.598773,4285964,1039769637.1016998,21219
2020-07-07,10:00,10:00,243.395,245.39,242.51,244.31,244.260372,63421,15491230.21,736,243.425,245.39,242.4,244.31,244.164131,2343344,572160742.1195998,11654
2020-07-07,10:30,10:30,244.24,244.92,243.56,244.555,244.219598,70063,17110758.509999998,666,244.271,244.97,243.51,244.61,244.193403,1488583,363502189.4225,7323
