date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,268.49,270.87,268.0,270.87,269.249003,106160,28583478.205000002,882,268.49,271.15,267.87,271.15,269.419008,2259887,608856768.8359001,10893
2020-11-24,10:00,10:00,271.18,271.58,269.9,271.06,270.914866,91529,24796570.595000003,739,271.18,271.69,269.85,271.01,270.910221,1175981,318585330.9137,6652
2020-11-24,10:30,10:30,271.0,273.75,270.8,273.69,272.446686,55755,15190270.420000004,464,270.99,273.86,270.683,273.78,272.705091,1337317,364693303.5401,6805
2020-11-24,11:00,11:00,273.985,274.8,273.26,273.87,273.981702,31320,8581111.315000001,360,273.78,274.811,273.23,273.85,273.955957,920746,252243948.94340006,5305
2020-11-24,11:30,11:30,273.74,274.855,273.57,274.62,274.438776,26030,7143645.375,292,273.86,274.89,273.55,274.58,274.422512,603730,165677099.109,3459
2020-11-24,12:00,12:00,274.59,274.69,273.77,274.16,274.04158,23177,6351464.344999999,240,274.591,274.69,273.71,274.01,274.079926,405732,111203000.61819997,2504
2020-11-24,12:30,12:30,274.06,274.625,273.905,274.62,274.310443,16547,4539016.095,199,274.04,274.68,273.9,274.55,274.349631,346063,94942268.3245,2135
2020-11-24,13:00,13:00,274.46,274.46,273.79,274.065,274.182704,19224,5270889.255,218,274.54,274.56,273.78,274.065,274.17951,405879,111283753.2736,2563
2020-11-24,13:30,13:30,274.065,275.83,274.065,275.63,275.281915,23588,6493350.25,304,274.08,275.85,274.06,275.793,275.181177,757959,208576036.96030006,3908
2020-11-24,14:00,14:00,275.82,276.235,275.255,275.78,275.755559,25864,7132142.109999999,310,275.81,276.235,275.255,275.83,275.803808,584711,161265590.82790002,3555
2020-11-24,14:30,14:30,275.81,276.52,275.74,276.3,276.245807,27592,7622175.529999999,347,275.83,276.535,275.72,276.3,276.237146,560745,154898662.83960006,3223
2020-11-24,15:00,15:00,276.3,277.21,275.59,276.975,276.48324,47442,13116919.104999997,480,276.28,277.23,275.56,276.97,276.558589,685481,189575682.37469995,4126
2020-11-24,15:30,15:30,277.03,277.77,276.8,276.83,277.328095,63809,17696033.075,966,276.989,277.82,276.785,276.82,277.321355,1386895,384615731.22449994,9031
2020-11-25,09:30,09:30,280.0,280.01,273.4,274.23,275.303086,88046,24239327.220000003,924,278.14,280.18,273.35,274.26,275.602746,1978396,545251540.5617999,10355
2020-11-25,10:00,10:00,274.13,274.59,272.77,274.14,273.848034,39110,10710200.360000001,502,274.223,274.64,272.65,274.19,273.792845,1114544,305154263.7589,5810
2020-11-25,10:30,10:30,274.18,276.11,274.05,275.5,275.029218,30495,8387017.8999999985,361,274.18,276.15,274.01,275.54,275.079841,711266,195654990.05639997,3950
2020-11-25,11:00,11:00,275.49,276.02,274.08,274.255,274.93452,29603,8138891.740000001,343,275.52,276.05,274.075,274.31,275.009387,419009,115231430.60529998,2577
2020-11-25,11:30,11:30,274.23,274.79,273.77,274.6,274.238953,35382,9703122.485,354,274.31,274.813,273.72,274.6,274.239847,554662,152110454.12039995,2635
2020-11-25,12:00,12:00,274.58,276.335,274.23,275.81,275.381512,31674,8722436.55,337,274.59,276.34,274.22,275.885,275.441829,601888,165785206.64839998,3431
2020-11-25,12:30,12:30,275.87,276.08,275.14,275.39,275.431957,24630,6783890.755,252,275.88,276.115,275.14,275.39,275.492125,392755,108200941.2686,2503
2020-11-25,13:00,13:00,275.26,276.09,275.26,275.43,275.664114,8945,2465815.705,145,275.39,276.1,275.251,275.385,275.721855,298399,82275158.32360001,1779
2020-11-25,13:30,13:30,275.295,276.005,275.05,275.75,275.635864,18577,5120487.005,202,275.36,276.01,275.04,275.75,275.497319,275826,75989335.54659998,1576
2020-11-25,14:00,14:00,275.74,275.815,274.88,275.815,275.380417,18393,5065071.395,207,275.75,275.822,274.825,275.815,275.339074,355291,97825544.64170001,1994
2020-11-25,14:30,14:30,275.855,276.42,275.37,275.84,275.794736,23401,6453874.46,254,275.85,276.42,275.37,275.842,275.897025,431733,119113857.0413,2254
