date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,278.75,279.33,276.37,278.77,278.073163,53830,14968684.675000003,621,278.76,279.38,276.31,278.65,278.174042,1173065,326316352.4863001,5514
2020-10-27,10:00,10:00,278.67,279.61,277.67,277.9,278.800628,31127,8678233.735,319,278.74,279.61,277.65,277.91,278.717519,788654,219811762.68839997,3869
2020-10-27,10:30,10:30,277.86,282.94,277.83,282.66,280.80028,41924,11772269.764999997,456,277.89,283.0,277.8,282.655,281.210243,1436798,404042478.3603,7156
2020-10-27,11:00,11:00,282.69,283.61,281.5,281.5,282.955701,72074,20393760.285,612,282.69,283.63,281.51,281.625,282.768214,1257376,355546145.18479997,6656
2020-10-27,11:30,11:30,281.62,283.37,281.04,283.33,282.177076,43022,12139821.785,417,281.67,283.436,281.03,283.32,282.133845,880864,248521685.05070004,4570
2020-10-27,12:00,12:00,283.45,283.45,281.48,281.51,282.273074,28079,7925947.090000001,292,283.38,283.45,281.381,281.51,282.333496,551507,155708876.1344,2641
2020-10-27,12:30,12:30,281.52,282.39,281.16,282.07,281.884046,42497,11979228.185,344,281.54,282.42,281.16,282.103,281.817353,481341,135650333.1049,2627
2020-10-27,13:00,13:00,281.965,283.18,281.44,283.05,282.274081,42966,12128189.389999997,423,282.085,283.18,281.42,283.02,282.374162,494752,139705219.59500003,2469
2020-10-27,13:30,13:30,283.03,284.51,282.98,283.88,283.86376,53834,15281527.179999996,539,283.02,284.51,282.98,283.87,283.923448,972055,275989261.441,5040
2020-10-27,14:00,14:00,283.86,283.985,282.71,282.9,283.457829,42841,12143620.329999996,440,283.84,284.01,282.69,282.891,283.474961,817297,231683175.2818,4139
2020-10-27,14:30,14:30,282.9,283.0,281.065,281.92,281.738298,119484,33663232.699999996,730,282.9,283.047,281.04,281.9,281.890149,690720,194707224.69439995,3695
2020-10-27,15:00,15:00,281.87,283.08,281.65,283.08,282.292353,31681,8943303.350000001,323,281.885,283.11,281.64,283.09,282.308945,560225,158156513.1998,2907
