date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,267.365,272.35,267.365,270.645,270.691503,161382,43684753.839999996,901,267.29,272.44,267.29,270.701,270.440846,3046413,823874715.3903997,14688
2020-09-16,10:00,10:00,270.59,270.975,267.88,268.85,269.587178,32676,8809031.405000001,416,270.645,271.0,267.88,268.84,269.440831,1380834,372053132.659,7528
2020-09-16,10:30,10:30,268.76,268.88,266.96,267.955,267.929193,33928,9090303.06,381,268.79,268.91,266.82,267.93,267.826808,1263326,338352681.70010006,6042
2020-09-16,11:00,11:00,268.11,270.035,267.955,269.945,269.087164,17443,4693688.61,217,268.0,270.05,267.949,269.9,269.178976,860058,231509572.9866,4318
2020-09-16,11:30,11:30,269.91,270.16,268.12,268.125,269.246828,17732,4774286.015000001,231,269.91,270.288,268.07,268.07,269.247813,682729,183823429.04699996,3563
2020-09-16,12:00,12:00,268.095,268.335,266.525,266.93,267.395248,31365,8386857.855000001,369,268.09,268.36,266.48,266.94,267.317638,1137244,304005388.48370004,6277
2020-09-16,12:30,12:30,266.99,267.05,265.415,265.43,266.278775,27772,7395096.845000001,306,267.0,267.075,265.38,265.39,266.356646,1240460,330404947.0755,6472
2020-09-16,13:00,13:00,265.31,266.43,264.67,264.93,265.649193,35013,9301178.145000001,292,265.38,266.47,264.62,264.938,265.542819,1297325,344495402.16309994,7223
2020-09-16,13:30,13:30,264.915,265.98,264.0,265.27,264.527895,113105,29919439.20000001,737,264.95,266.0,264.0,265.17,264.927324,1381776,366070252.2449,7585
2020-09-16,14:00,14:00,265.22,266.91,264.99,266.23,265.765961,51528,13694388.799999999,526,265.255,266.99,264.97,266.38,265.867629,1316570,350033357.00120014,7556
2020-09-16,14:30,14:30,266.44,266.64,264.12,264.395,265.270541,41801,11088574.609999998,426,266.35,266.75,264.1,264.41,265.233941,1453535,385527010.61579996,8646
2020-09-16,15:00,15:00,264.34,264.79,262.58,262.86,263.731566,36750,9692134.5,448,264.39,264.86,262.53,262.756,263.708723,1808832,477004905.6941,11151
2020-09-16,15:30,15:30,262.735,264.335,261.8,263.53,263.11893,55519,14608100.03,600,262.78,264.35,261.79,263.6,263.17464,2496869,657112516.3448,15175
2020-09-17,09:30,09:30,258.56,261.37,257.785,259.215,259.471286,70245,18226570.290000003,574,258.28,261.5,257.6,259.2,259.421835,2925225,758867092.6274002,14686
2020-09-17,10:00,10:00,259.26,260.36,256.715,257.8,258.233645,66598,17197854.255000003,467,259.27,260.55,256.7,257.84,258.668791,1861448,481498548.73090005,10211
2020-09-17,10:30,10:30,257.76,260.33,256.95,258.15,258.265997,57974,14972715.1,601,257.8,260.47,256.88,258.18,258.797704,1551060,401410863.6582,8623
2020-09-17,11:00,11:00,258.26,259.26,257.295,258.18,258.083052,14166,3656005.735,184,258.2,259.44,257.22,258.25,258.37911,1051904,271790079.6005,5542
2020-09-17,11:30,11:30,258.09,258.71,255.025,255.27,256.500979,49309,12647807.999999998,274,258.2,258.83,255.02,255.445,256.632564,1521380,390435710.9760001,8632
2020-09-17,12:00,12:00,255.385,256.19,253.77,254.235,254.56126,29778,7580327.999999999,192,255.42,256.24,253.72,254.16,254.818323,1524178,388388574.6761,8474
2020-09-17,12:30,12:30,254.16,254.835,252.32,252.975,253.719421,79475,20164348.395,442,254.16,254.87,252.28,252.93,253.382927,1883769,477315179.09970003,10231
2020-09-17,13:00,13:00,252.855,253.575,252.0,252.81,252.83515,35827,9058323.405000001,360,252.855,253.582,251.87,252.75,252.776705,1375014,347571640.6945001,7595
2020-09-17,13:30,13:30,252.68,254.615,252.24,253.095,253.807657,33020,8380727.015000001,294,252.73,254.67,252.17,253.15,253.575286,1866670,473341307.38270015,9522
2020-09-17,14:00,14:00,253.4,254.05,252.64,252.67,253.358817,38688,9801948.915000003,284,253.17,254.09,252.39,252.43,253.380827,1326792,336183886.70839995,7039
2020-09-17,14:30,14:30,252.2,252.63,251.42,251.69,252.014754,64607,16281931.940000003,560,252.39,252.72,251.43,251.66,252.029234,1522211,383641683.39700013,7476
2020-09-17,15:00,15:00,251.695,252.84,250.26,251.965,251.46072,33764,8490324.205000002,358,251.645,252.91,250.19,251.9,251.508785,1918592,482542678.16919994,10330
