date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,79.89,81.3,78.44,78.83,79.62436,4651,370332.96,58,79.65,81.41,78.18,78.6,79.775051,927512,73992346.9859,3738
2020-08-14,10:00,10:00,78.89,78.93,77.12,77.33,77.858361,3025,235522.11500000002,26,78.6,79.14,77.08,77.33,77.947634,612202,47719721.4064,2588
2020-08-14,10:30,10:30,77.18,78.39,77.18,77.83,77.846034,9474,737513.21,92,77.26,78.4,77.051,78.125,77.819245,460160,35809281.947000004,2047
2020-08-14,11:00,11:00,78.09,78.32,76.375,76.7,77.012695,17922,1380220.7699999998,115,78.07,78.35,76.3,76.72,77.203592,602272,46497598.0523,2453
2020-08-14,11:30,11:30,76.46,76.77,75.88,76.21,76.493803,12099,925497.62,103,76.74,76.8,75.85,76.235,76.3488,764827,58393636.2662,2832
2020-08-14,12:00,12:00,76.25,76.86,75.805,76.56,76.294596,5237,399554.47,61,76.246,76.91,75.77,76.54,76.305483,666114,50828229.5227,2042
2020-08-14,12:30,12:30,76.59,77.105,76.51,76.815,76.910935,3543,272495.29000000004,27,76.57,77.14,76.52,76.89,76.853292,333888,25660420.579300005,1230
2020-08-14,13:00,13:00,76.66,76.9,76.37,76.37,76.639174,3166,242639.605,26,76.94,76.94,76.32,76.38,76.651084,276617,21203033.752999995,1137
2020-08-14,13:30,13:30,76.525,76.525,75.65,76.24,75.998615,2237,170008.525,26,76.388,76.67,75.6,76.246,76.041046,413734,31460804.1217,1492
2020-08-14,14:00,14:00,76.185,76.2,75.86,76.11,76.050423,1996,151796.785,40,76.18,76.42,75.85,76.166,76.083373,230061,17503827.8045,1059
2020-08-14,14:30,14:30,76.23,76.34,75.97,76.23,76.139997,3796,289027.475,57,76.2,76.38,75.95,76.175,76.15341,166451,12675825.6468,768
2020-08-14,15:00,15:00,76.09,76.1,75.91,76.04,76.011427,2716,206446.85499999998,32,76.21,76.21,75.865,75.977,76.001995,297347,22599007.565699995,1184
2020-08-14,15:30,15:30,75.9,76.65,75.9,76.595,76.304352,13092,998977.4850000001,145,75.95,76.688,75.87,76.6,76.327172,545416,41630070.927,3045
2020-08-17,09:30,09:30,76.9,77.875,75.91,77.4,76.634411,2327,178328.26,33,76.85,77.94,75.51,77.425,76.85044,700034,53797962.19629999,2942
2020-08-17,10:00,10:00,77.73,77.73,76.72,77.48,77.230494,3174,245129.34000000003,37,77.44,77.85,76.587,77.46,77.246394,419890,32435000.660499997,1953
2020-08-17,10:30,10:30,77.665,77.665,76.3,76.3,77.05105,1751,134916.22999999998,22,77.5,77.75,76.1,76.4,76.74391,321697,24688286.797799997,1484
2020-08-17,11:00,11:00,76.115,76.765,76.115,76.64,76.521941,899,68793.235,16,76.425,77.13,76.07,76.93,76.602532,228834,17529272.8786,1012
2020-08-17,11:30,11:30,76.795,77.11,76.565,77.11,76.740217,2031,155859.355,18,76.94,77.21,76.55,77.03,76.908692,116811,8983788.5423,633
2020-08-17,12:00,12:00,77.06,77.67,77.06,77.67,77.36,700,54152.0,7,77.0,77.8,76.81,77.595,77.404345,213102,16495021.332899997,892
2020-08-17,12:30,12:30,77.56,77.56,77.14,77.29,77.427412,381,29499.89,11,77.61,77.668,77.04,77.372,77.354043,137352,10624744.056600003,625
2020-08-17,13:00,13:00,77.395,77.625,77.36,77.475,77.512907,482,37361.244999999995,6,77.42,77.756,77.3,77.62,77.572245,169104,13117777.689299999,636
2020-08-17,13:30,13:30,77.665,78.645,77.59,78.645,78.276523,2692,210720.615,32,77.603,78.66,77.47,78.555,78.250248,493346,38604492.8583,1601
2020-08-17,14:00,14:00,78.845,79.67,78.7,79.59,79.172719,2701,213845.545,29,78.585,79.75,78.53,79.615,79.177654,565468,44772427.91399999,2282
2020-08-17,14:30,14:30,79.63,80.045,78.88,79.02,79.652208,4701,374445.12,43,79.61,80.17,78.73,79.05,79.534987,675881,53756199.86910001,2409
2020-08-17,15:00,15:00,78.98,79.19,78.74,79.19,78.88346,1442,113749.79999999999,22,79.08,79.25,78.75,79.18,78.952752,306129,24169739.766899996,1271
2020-08-17,15:30,15:30,79.065,79.065,78.4,78.69,78.628832,6874,540494.3350000001,105,79.17,79.2,78.33,78.68,78.629645,482421,37932590.05749999,2304
2020-08-18,09:30,09:30,80.645,80.645,77.6,77.61,79.397599,7549,599371.825,72,80.41,80.88,77.51,78.17,79.394304,1071974,85108663.17049998,4302
2020-08-18,10:00,10:00,78.42,78.71,76.805,77.07,78.093035,8369,653559.5800000001,73,78.24,78.75,76.69,76.972,77.853668,503907,39230994.8178,2370
2020-08-18,10:30,10:30,76.845,77.67,76.675,77.27,77.147864,2226,171731.03499999995,30,76.93,77.7,76.59,77.215,77.107194,414276,31943643.9512,1897
