date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,82.54,82.92,81.27,82.27,82.025826,19895,1631905.485,209,82.23,82.97,81.12,82.46,81.980137,658042,53946481.147999994,2722
2020-11-24,10:00,10:00,82.43,82.88,81.36,81.47,82.123667,13391,1099720.835,175,82.5,82.94,81.355,81.48,82.218109,260821,21444209.806599997,1396
2020-11-24,10:30,10:30,81.465,81.8,80.89,81.18,81.346566,25823,2100612.185,230,81.475,81.85,80.84,81.18,81.334031,370717,30151901.041,1839
2020-11-24,11:00,11:00,81.205,81.33,79.58,80.41,80.416637,26268,2112388.155,274,81.208,81.34,79.46,80.45,80.349573,719807,57836238.4294,3347
2020-11-24,11:30,11:30,80.46,80.685,79.81,79.955,80.30521,13143,1055451.125,185,80.45,80.7,79.766,80.015,80.222859,419256,33633933.708900005,1928
2020-11-24,12:00,12:00,80.01,81.49,80.01,81.49,80.835898,8196,662532.36,102,80.023,81.52,80.02,81.385,80.854621,238899,19316089.834599998,1263
2020-11-24,12:30,12:30,81.34,81.34,80.27,80.51,80.691161,7680,619708.35,106,81.38,81.46,80.2,80.51,80.666313,152005,12261679.508600004,871
2020-11-24,13:00,13:00,80.83,81.19,80.65,80.96,80.891303,3226,260955.41,47,80.495,81.21,80.465,80.9,80.881191,125694,10166285.725199997,658
2020-11-24,13:30,13:30,81.04,81.04,80.44,80.77,80.819678,8177,660862.46,89,80.95,81.138,80.37,80.8,80.82017,160366,12960814.693500001,894
2020-11-24,14:00,14:00,80.86,81.33,80.73,81.07,81.000493,3911,316792.7799999999,49,80.75,81.355,80.66,81.065,81.010516,128383,10400388.522400001,681
2020-11-24,14:30,14:30,81.18,81.61,81.0,81.46,81.38857,4421,359818.95,83,81.06,81.64,80.985,81.32,81.393233,182461,14851083.147899996,801
2020-11-24,15:00,15:00,81.34,81.475,81.135,81.44,81.317267,4247,345354.51499999996,67,81.33,81.5,81.099,81.414,81.308727,175420,14263181.5331,758
2020-11-24,15:30,15:30,81.4,81.51,81.0,81.28,81.302023,16665,1354899.2349999999,187,81.43,81.52,81.0,81.28,81.318758,303921,24714483.7728,1709
2020-11-25,09:30,09:30,79.68,81.83,79.37,80.86,80.459406,33909,2728298.5349999997,371,79.7,81.84,79.25,81.12,80.385887,854474,68687555.8703,3801
2020-11-25,10:00,10:00,81.09,82.21,80.34,81.98,81.381515,28875,2349895.6000000006,334,81.035,82.25,80.25,81.98,81.384327,475209,38674617.273399994,2347
2020-11-25,10:30,10:30,81.98,82.62,81.765,81.91,82.217505,18992,1561476.72,222,82.0,82.65,81.75,81.93,82.223046,262463,21580522.781,1350
2020-11-25,11:00,11:00,82.02,82.41,81.92,82.02,82.129921,10102,829677.0449999999,105,81.925,82.42,81.86,81.952,82.138396,134920,11082118.7343,783
2020-11-25,11:30,11:30,81.87,82.76,81.78,82.64,82.202539,12063,991609.27,131,81.925,82.79,81.7,82.559,82.277225,208831,17182049.9642,1003
2020-11-25,12:00,12:00,82.35,82.75,82.235,82.52,82.464495,12018,991059.06,130,82.555,82.78,82.15,82.52,82.479623,148821,12274714.010699999,794
2020-11-25,12:30,12:30,82.51,83.59,82.51,83.44,83.145424,10399,864629.1400000001,114,82.51,83.59,82.51,83.47,83.194256,267377,22244232.263200004,1196
2020-11-25,13:00,13:00,83.47,83.685,82.83,82.85,83.392712,19009,1585215.9200000002,186,83.49,83.71,82.82,82.86,83.344348,229844,19156210.675799996,1276
2020-11-25,13:30,13:30,82.85,83.1,82.44,82.67,82.753215,13753,1138105.5,121,82.853,83.12,82.43,82.635,82.764113,217296,17984316.9925,1209
2020-11-25,14:00,14:00,82.52,82.885,82.25,82.58,82.519143,7288,601400.3850000001,93,82.562,82.941,82.202,82.61,82.495461,185943,15339445.410800003,870
2020-11-25,14:30,14:30,82.72,83.22,82.64,83.12,83.053691,12175,1011180.345,151,82.649,83.29,82.57,83.12,83.010766,225478,18717095.0993,1042
2020-11-25,15:00,15:00,83.145,83.145,82.91,82.91,82.99152,12959,1075488.7000000002,96,83.16,83.18,82.86,82.945,83.008021,162780,13512055.723400002,891
2020-11-25,15:30,15:30,82.865,83.2,82.43,83.2,82.936637,20371,1689501.42,231,82.92,83.22,82.37,83.16,82.94194,501498,41595258.8805,2896
