date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,75.19,77.18,74.54,75.53,75.811249,84424,6400296.624999999,729,75.29,77.19,74.51,75.49,75.859819,1475363,111920746.26239994,6226
2020-10-27,10:00,10:00,75.53,75.53,74.23,74.66,74.941359,26969,2021093.3250000002,283,75.53,75.6,74.21,74.77,74.968451,626613,46976170.66460001,3218
2020-10-27,10:30,10:30,74.725,75.745,74.65,75.35,75.275959,25316,1905687.9150000003,260,74.77,75.79,74.607,75.34,75.285943,566715,42665651.149,2669
2020-10-27,11:00,11:00,75.51,75.86,75.225,75.53,75.617141,20814,1573898.5550000002,207,75.3,75.87,75.21,75.51,75.571116,273261,20650643.539,1512
2020-10-27,11:30,11:30,75.51,75.52,74.72,74.89,75.064917,13510,1014127.145,172,75.59,75.59,74.65,74.852,75.066519,354058,26577923.461,1754
2020-10-27,12:00,12:00,74.94,74.99,74.595,74.67,74.694439,11119,830528.225,106,74.814,75.006,74.51,74.66,74.75504,361551,27027813.085200004,1812
2020-10-27,12:30,12:30,74.76,75.1,74.725,74.91,74.93932,11866,889231.115,117,74.66,75.16,74.65,74.948,74.913104,330181,24734899.849299997,1793
2020-10-27,13:00,13:00,74.98,74.98,74.12,74.23,74.469432,8274,616161.7649999999,91,74.99,74.99,74.11,74.235,74.402627,298431,22204072.938,1497
2020-10-27,13:30,13:30,74.21,74.79,74.17,74.79,74.451902,8446,628820.3899999999,92,74.2,74.8,74.14,74.8,74.421045,352598,26240731.052800007,1649
2020-10-27,14:00,14:00,74.91,74.91,74.47,74.52,74.691184,7381,551295.84,68,74.847,74.96,74.4,74.465,74.704329,311651,23281697.009899992,1785
2020-10-27,14:30,14:30,74.495,74.495,73.79,74.24,74.105313,16674,1235632.095,190,74.47,74.47,73.77,74.25,74.139458,377969,28022404.165599994,1720
2020-10-27,15:00,15:00,74.32,74.34,73.8,74.02,73.979367,27819,2058035.2299999997,279,74.25,74.37,73.79,74.08,73.994579,445336,32952472.66299999,2234
2020-10-27,15:30,15:30,73.98,74.89,73.98,74.42,74.475715,72050,5365974.050000001,1012,74.03,74.9,73.98,74.4,74.467387,773808,57623574.3474,4507
2020-10-28,09:30,09:30,73.47,74.24,71.77,72.81,72.778028,37486,2728164.4199999995,434,73.48,74.3,71.75,72.75,72.77495,1095994,79761110.64009997,4614
2020-10-28,10:00,10:00,72.675,73.13,71.775,71.97,72.539083,26425,1916848.0849999997,328,72.815,73.18,71.75,72.0,72.479773,734356,53225982.1884,3862
2020-10-28,10:30,10:30,72.01,72.34,71.08,71.4,71.587227,41364,2961138.8249999997,331,72.065,72.34,71.02,71.47,71.646165,816579,58504818.4657,3773
2020-10-28,11:00,11:00,71.48,71.8,71.19,71.34,71.484774,23547,1683255.0350000001,241,71.48,71.87,71.13,71.27,71.504919,419457,29993256.996000007,2278
2020-10-28,11:30,11:30,71.13,71.59,70.82,71.28,71.239797,18616,1326198.1549999998,229,71.14,71.64,70.82,71.13,71.21429,520049,37034915.97839999,2357
2020-10-28,12:00,12:00,71.19,71.38,70.79,70.9,71.066675,18098,1286166.5550000002,202,71.19,71.39,70.78,70.92,71.081468,422424,30026535.907200005,1978
2020-10-28,12:30,12:30,70.8,71.73,70.8,71.56,71.381648,15693,1120191.3,208,70.86,71.77,70.79,71.59,71.427233,394536,28180663.745400004,1656
2020-10-28,13:00,13:00,71.58,71.78,70.82,71.55,71.159858,33099,2355324.53,332,71.55,71.78,70.82,71.565,71.215911,349744,24907349.454699997,2172
2020-10-28,13:30,13:30,71.565,72.04,71.25,71.88,71.607052,11874,850263.445,131,71.54,72.04,71.19,71.95,71.628906,363886,26064786.621799998,2030
2020-10-28,14:00,14:00,71.945,72.05,71.335,71.71,71.691084,18888,1354102.005,185,71.95,72.1,71.32,71.72,71.738115,399173,28635925.820199993,2124
2020-10-28,14:30,14:30,71.75,71.9,70.63,71.1,71.047038,37637,2674000.9050000003,509,71.73,71.9,70.621,71.09,71.086566,504639,35873117.999400005,2495
2020-10-28,15:00,15:00,71.11,71.37,70.42,71.14,70.810709,38941,2757440.7899999996,594,71.12,71.419,70.4,71.19,70.817094,644073,45611391.1364,3282
2020-10-28,15:30,15:30,71.14,71.83,71.14,71.62,71.616205,65366,4681272.194999999,828,71.14,71.84,71.14,71.61,71.609192,1063598,76163444.0714,5582
2020-10-29,09:30,09:30,74.55,75.44,67.52,67.9,70.491335,154747,10908317.61,1477,74.54,75.5,67.5,67.985,70.305182,3923226,275823163.07259995,16806
2020-10-29,10:00,10:00,68.02,69.33,67.32,67.53,68.319658,89351,6104433.56,734,68.012,69.37,67.25,67.49,68.490258,1896368,129882780.13399997,9033
2020-10-29,10:30,10:30,67.38,67.83,66.57,67.2,67.217499,160207,10768718.699999996,1117,67.43,67.88,66.55,67.275,67.232228,1938588,130335577.54179998,8932
2020-10-29,11:00,11:00,67.31,70.09,67.25,69.84,68.688904,66378,4559430.35,561,67.27,70.1,67.236,69.854,68.964174,1643583,113348513.16340001,7027
2020-10-29,11:30,11:30,69.86,69.87,68.28,68.39,69.150086,51383,3553146.290000001,476,69.87,69.892,68.28,68.45,69.170304,903190,62474032.1884,4264
2020-10-29,12:00,12:00,68.5,69.08,68.33,68.9,68.86827,27571,1898767.0200000007,270,68.55,69.09,68.29,68.97,68.851211,517215,35610901.3248,2726
2020-10-29,12:30,12:30,68.91,68.92,67.64,67.64,68.231963,20981,1431576.1949999998,229,68.91,68.94,67.6,67.654,68.145878,520630,35478817.8848,2396
2020-10-29,13:00,13:00,67.63,67.9,67.13,67.7,67.429423,40146,2707027.2,384,67.68,67.9,67.11,67.74,67.472569,641120,43258172.3451,3286
2020-10-29,13:30,13:30,67.66,67.69,66.835,66.965,67.159162,20301,1363398.5700000003,221,67.71,67.718,66.8,66.93,67.122532,611008,41012419.8995,2853
2020-10-29,14:00,14:00,66.93,67.57,66.93,67.57,67.230073,22079,1484373.5499999996,285,66.934,67.64,66.9,67.54,67.249296,452630,30439049.2911,2145
2020-10-29,14:30,14:30,67.53,67.54,66.66,66.99,67.04274,25786,1728766.28,282,67.57,67.57,66.65,66.995,67.002885,622735,41725080.32639999,2869
2020-10-29,15:00,15:00,67.09,67.71,66.99,67.33,67.435465,52362,3531064.6000000006,533,67.03,67.71,66.9,67.33,67.425276,648577,43730497.777899995,3072
2020-10-29,15:30,15:30,67.36,68.71,67.26,68.36,68.073105,85422,5814944.955,928,67.36,68.74,67.25,68.38,68.17657,1392014,94902910.48920001,7616
2020-10-30,09:30,09:30,67.46,67.52,64.71,65.54,65.958969,83618,5515361.239999999,823,67.46,67.59,64.71,65.48,65.864134,1957563,128933210.11009999,8989
2020-10-30,10:00,10:00,65.38,65.67,63.42,63.63,64.386815,63508,4089076.1350000002,511,65.44,65.7,63.4,63.67,64.445228,1409599,90842051.26929998,6057
2020-10-30,10:30,10:30,63.61,63.855,62.8,62.92,63.383516,87197,5526859.885000001,653,63.61,63.9,62.8,62.91,63.424163,1501739,95246648.23339999,6219
2020-10-30,11:00,11:00,63.07,63.68,62.24,62.27,62.948792,67592,4254843.324999999,590,62.92,63.679,62.198,62.275,62.804307,1302863,81825569.30180001,6244
2020-10-30,11:30,11:30,62.27,62.94,62.27,62.59,62.743131,52680,3305312.3099999996,402,62.26,62.983,62.25,62.64,62.719251,834998,52370646.595199995,3832
2020-10-30,12:00,12:00,62.62,64.93,62.48,64.75,63.443858,58840,3733040.765,438,62.67,64.93,62.46,64.755,63.676132,1108834,70606310.7589,4686
2020-10-30,12:30,12:30,64.7,65.01,63.33,63.44,64.362756,40496,2606439.7049999996,283,64.752,65.01,63.33,63.405,64.331016,1153471,74203996.92609997,4083
2020-10-30,13:00,13:00,63.47,63.74,62.91,63.24,63.2394,14265,902110.145,150,63.405,63.75,62.88,63.2,63.286513,498760,31564832.672900002,1962
2020-10-30,13:30,13:30,63.25,63.51,62.93,63.345,63.251692,19748,1249096.3500000006,183,63.21,63.55,62.88,63.38,63.187204,504683,31889526.12359999,1730
2020-10-30,14:00,14:00,63.3,64.56,63.2,63.98,63.991861,23385,1496452.6849999998,197,63.31,64.627,63.12,64.03,63.959103,624290,39928987.226,2713
2020-10-30,14:30,14:30,63.98,64.07,63.44,63.52,63.832083,41777,2666719.43,353,63.97,64.09,63.4,63.508,63.756175,536922,34232111.017400004,2514
2020-10-30,15:00,15:00,63.43,63.89,63.24,63.62,63.617657,30213,1922081.2649999997,288,63.52,63.9,63.22,63.61,63.5661,723592,45995961.285100006,2554
2020-10-30,15:30,15:30,63.57,63.63,62.74,63.525,63.100866,88901,5609734.654999999,847,63.58,63.65,62.704,63.51,63.148155,1410694,89082708.33189997,6261
2020-11-02,09:30,09:30,64.44,66.12,62.61,64.95,64.731508,54168,3506377.619999999,615,64.25,66.14,62.6,65.04,64.757524,1586904,102764076.4821,6341
