date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,83.235,84.62,81.43,82.29,83.357403,15698,1308544.74,141,82.72,84.8,81.34,82.925,82.947352,598664,49657613.2847,2810
2020-09-16,10:00,10:00,82.52,83.36,82.425,82.89,82.840345,5105,422899.86499999993,58,82.98,83.42,82.33,82.905,82.890445,259007,21469193.771799996,1114
2020-09-16,10:30,10:30,82.77,82.79,81.44,82.25,82.01088,2596,212900.105,29,82.86,83.22,81.41,82.27,82.08691,296233,24316877.962700002,1432
2020-09-16,11:00,11:00,82.3,82.98,82.16,82.82,82.650493,1682,139018.28000000003,26,82.315,83.07,81.9,82.75,82.568394,162300,13400856.5483,836
2020-09-16,11:30,11:30,82.96,82.97,82.5,82.81,82.748065,1364,112868.36,24,82.775,83.05,82.46,82.75,82.780733,96714,8006064.956999999,497
2020-09-16,12:00,12:00,82.975,83.69,82.94,83.69,83.363309,1004,83696.825,17,82.82,83.76,82.82,83.71,83.354698,154058,12841454.452300001,779
2020-09-16,12:30,12:30,83.49,83.625,83.38,83.46,83.481304,763,63696.235,12,83.72,83.9,83.161,83.855,83.569524,90007,7521850.224499999,509
2020-09-16,13:00,13:00,83.715,83.715,83.24,83.28,83.410292,600,50046.125,14,83.82,84.0,83.2,83.44,83.591548,85000,7105285.458500002,486
2020-09-16,13:30,13:30,83.435,83.47,83.24,83.47,83.357386,1471,122618.84,24,83.475,83.6,83.14,83.51,83.36753,56727,4729194.654100001,288
2020-09-16,14:00,14:00,83.585,84.77,83.585,84.325,84.066821,1921,161492.525,31,83.595,84.8,83.52,84.23,84.237212,208115,17531037.774699997,918
2020-09-16,14:30,14:30,84.35,84.36,83.505,83.7,83.822668,2677,224393.14,38,84.255,84.4,83.4,83.707,83.943678,125232,10512443.249200001,741
2020-09-16,15:00,15:00,83.795,83.875,82.76,82.76,83.453604,3874,323299.21,44,83.79,83.94,82.71,82.71,83.288106,124619,10379287.969700003,721
2020-09-16,15:30,15:30,82.69,82.955,82.34,82.34,82.639487,13976,1154968.26,144,82.71,83.045,82.28,82.34,82.562883,409820,33835989.0489,2354
2020-09-17,09:30,09:30,78.97,80.66,78.84,80.49,79.779013,9991,797073.7400000002,120,78.1,80.93,77.53,80.88,79.423772,765653,60811113.0998,3416
2020-09-17,10:00,10:00,80.935,81.335,80.16,80.25,80.912665,7205,582976.5250000001,91,80.97,81.43,80.013,80.29,80.804096,244963,19794018.838,1185
2020-09-17,10:30,10:30,80.29,80.65,80.06,80.23,80.364451,4833,388401.65,65,80.27,80.79,79.901,80.209,80.35539,175539,14105520.375899995,911
2020-09-17,11:00,11:00,80.3,82.04,80.24,81.41,81.410772,7552,614814.5950000001,93,80.2,82.2,80.11,81.435,81.435944,284336,23155179.0284,1551
2020-09-17,11:30,11:30,81.26,81.49,80.5,80.585,80.989661,2946,238595.56000000003,47,81.49,81.53,80.408,80.61,80.96256,120979,9794768.386899998,561
2020-09-17,12:00,12:00,80.58,81.02,79.815,79.94,80.369038,4546,365358.00999999995,47,80.55,81.06,79.77,79.86,80.204589,204739,16421029.385699999,991
2020-09-17,12:30,12:30,79.795,79.92,79.13,79.74,79.525819,6547,520656.39,76,79.87,79.92,78.98,79.55,79.490104,202785,16119431.795600004,1002
2020-09-17,13:00,13:00,79.77,80.27,79.53,80.2,79.981972,2626,210032.59000000003,35,79.655,80.279,79.51,80.18,79.891728,92350,7378002.811,498
2020-09-17,13:30,13:30,80.345,81.21,80.345,80.84,80.995111,15431,1249836.6800000002,88,80.26,81.27,80.18,80.875,80.93785,135261,10947744.602300001,774
2020-09-17,14:00,14:00,81.025,81.52,80.95,80.95,81.289895,5353,435145.525,61,80.943,81.56,80.881,80.94,81.24294,103038,8371122.379099999,463
2020-09-17,14:30,14:30,80.88,81.155,80.665,81.155,80.945797,3003,243080.5,36,80.91,81.19,80.62,81.03,80.954196,134629,10898801.596900001,490
2020-09-17,15:00,15:00,81.015,81.45,80.71,80.86,81.076229,5300,429704.12999999995,58,81.09,81.55,80.67,80.8,81.049232,173969,14100051.194899995,681
2020-09-17,15:30,15:30,80.78,82.49,80.78,82.395,82.019234,23011,1887342.045,191,80.795,82.51,80.76,82.42,81.963691,333059,27298733.8292,2077
