date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,1518.405,1520.0,1509.58,1516.25,1514.250826,2839,4298958.115,90,1513.61,1519.785,1508.35,1516.385,1513.544861,66149,100119487.02229999,363
2020-08-14,10:00,10:00,1517.64,1517.64,1502.57,1502.57,1509.815217,2764,4173129.395000001,68,1516.6,1517.25,1502.53,1503.46,1507.995496,37727,56892152.869799994,321
2020-08-14,10:30,10:30,1502.935,1511.95,1502.935,1506.61,1507.63535,2216,3340920.1149999998,51,1502.54,1512.0,1502.24,1506.845,1507.960957,21939,33083156.3068,128
2020-08-14,11:00,11:00,1507.14,1510.96,1507.14,1510.7,1509.556123,919,1387282.0999999999,26,1506.723,1511.61,1505.735,1510.32,1509.164165,15175,22901567.6255,110
2020-08-14,11:30,11:30,1511.06,1512.53,1506.37,1508.46,1509.76701,1241,1873620.9549999998,32,1510.471,1512.895,1506.79,1507.73,1509.537185,16060,24243166.7752,118
2020-08-14,12:00,12:00,1510.4,1512.85,1510.0,1512.14,1511.251091,1613,2437648.16,46,1508.76,1513.31,1508.76,1512.14,1511.044958,8207,12401147.055499999,62
2020-08-14,12:30,12:30,1512.45,1515.73,1512.06,1513.92,1512.943183,312,472038.3,22,1512.24,1515.89,1511.895,1512.94,1513.344124,11399,17250610.184,80
2020-08-14,13:00,13:00,1512.445,1512.9,1509.25,1511.42,1511.231925,696,1051817.52,27,1512.5,1514.25,1508.52,1511.575,1511.349447,17688,26732751.999,146
2020-08-14,13:30,13:30,1511.72,1511.98,1508.62,1510.48,1510.302313,1733,2617353.665,55,1511.405,1512.18,1508.5,1511.0,1510.417525,12660,19121886.569199998,115
2020-08-14,14:00,14:00,1510.52,1510.52,1506.08,1507.86,1508.237772,779,1174917.0700000003,49,1510.31,1510.8,1506.11,1508.29,1508.275599,14728,22213885.5727,92
2020-08-14,14:30,14:30,1508.2,1509.9,1506.38,1507.05,1507.978715,3522,5311101.1,81,1508.27,1510.49,1506.33,1506.9,1508.053702,33721,50853085.6005,276
2020-08-14,15:00,15:00,1507.55,1508.57,1503.87,1506.835,1506.266435,5938,8944210.26,96,1507.14,1508.527,1504.0,1506.835,1506.085612,33274,50113494.57500001,299
2020-08-14,15:30,15:30,1506.9,1506.9,1500.0,1503.375,1503.303039,16707,25115685.294999998,295,1506.82,1506.91,1499.0,1504.63,1503.332118,143407,215588358.78509998,1212
2020-08-17,09:30,09:30,1505.005,1520.24,1505.005,1512.715,1514.739971,2107,3191557.2299999995,47,1515.97,1520.84,1505.0,1512.843,1514.013001,115756,175256095.35630006,689
2020-08-17,10:00,10:00,1514.51,1515.5,1510.35,1514.41,1512.954254,11478,17365689.365000002,109,1513.01,1516.97,1510.35,1515.0,1513.217367,55349,83755061.53950001,423
2020-08-17,10:30,10:30,1515.08,1520.22,1513.13,1519.515,1517.228083,4162,6314703.615,66,1515.24,1520.22,1513.0,1519.515,1516.630438,26459,40128528.8035,209
2020-08-17,11:00,11:00,1518.905,1523.07,1517.0,1522.3,1519.971143,1326,2015481.74,20,1519.22,1523.78,1516.84,1520.97,1521.132061,33121,50381419.71199999,242
2020-08-17,11:30,11:30,1521.3,1521.71,1517.82,1518.52,1519.940793,849,1290429.6699999997,34,1521.56,1522.0,1517.99,1518.214,1519.538529,9535,14488800.3576,80
2020-08-17,12:00,12:00,1518.02,1518.5,1515.985,1516.91,1518.095099,3069,4659033.749999999,37,1517.9,1519.04,1515.895,1517.24,1517.680865,14183,21525268.7655,88
2020-08-17,12:30,12:30,1518.855,1520.89,1518.855,1520.84,1520.428421,38,57776.28,7,1518.605,1520.752,1518.3,1520.145,1519.666865,8446,12835107.274500001,55
2020-08-17,13:00,13:00,1520.09,1521.67,1520.09,1520.82,1521.271937,2257,3433510.725,28,1520.38,1522.28,1520.1,1520.32,1521.008636,15681,23850937.1009,125
2020-08-17,13:30,13:30,1520.92,1523.165,1520.895,1521.68,1522.317995,1632,2484422.795,28,1521.352,1523.37,1520.92,1521.142,1522.247037,18148,27625740.023,131
2020-08-17,14:00,14:00,1520.525,1520.665,1517.86,1518.49,1519.042205,1111,1687655.8749999995,36,1520.64,1521.16,1517.01,1518.72,1519.207322,20851,31676994.677600004,170
2020-08-17,14:30,14:30,1519.43,1520.83,1519.0,1519.5,1519.933202,728,1106511.355,22,1519.354,1521.4,1518.91,1519.5,1520.264239,14935,22705147.4126,124
2020-08-17,15:00,15:00,1519.85,1520.25,1518.06,1518.57,1519.090742,751,1140837.175,30,1520.0,1520.5,1517.78,1518.98,1519.252304,16505,25075261.395,157
