date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,1726.965,1734.63,1720.835,1730.58,1728.053454,10293,17786855.104999997,148,1727.5,1735.882,1720.73,1731.08,1727.87178,87883,151850568.12669998,552
2020-11-24,10:00,10:00,1730.61,1731.8,1721.73,1726.02,1726.538621,2307,3983124.61,57,1731.12,1731.86,1722.29,1724.19,1726.631227,20749,35825874.181,189
2020-11-24,10:30,10:30,1725.44,1743.15,1722.92,1739.78,1734.527494,4810,8343077.645,88,1724.69,1743.62,1721.49,1740.44,1735.444334,32644,56651847.8945,287
2020-11-24,11:00,11:00,1740.74,1750.19,1740.52,1749.11,1747.096667,3676,6422326.454999999,104,1740.71,1750.49,1740.04,1748.745,1746.978304,40077,70013651.02120002,349
2020-11-24,11:30,11:30,1748.33,1756.5,1747.94,1754.63,1750.234978,2677,4685378.759999999,40,1748.7,1756.91,1746.21,1754.185,1751.172129,17347,30377582.214999996,146
2020-11-24,12:00,12:00,1754.61,1754.61,1750.04,1751.18,1752.502663,1802,3158009.6149999993,38,1754.61,1754.61,1749.76,1751.31,1752.069957,13304,23309538.6654,123
2020-11-24,12:30,12:30,1751.3,1756.26,1751.3,1755.98,1754.95275,1233,2163856.725,29,1751.83,1756.858,1751.3,1756.78,1754.409793,15531,27247738.365000002,121
2020-11-24,13:00,13:00,1756.3,1758.45,1753.785,1756.82,1755.906946,1676,2942900.455,31,1755.65,1759.01,1753.608,1757.15,1756.848037,34012,59753915.9564,265
2020-11-24,13:30,13:30,1756.36,1762.14,1756.36,1762.14,1760.539254,1220,2147857.89,41,1757.63,1762.49,1756.6,1762.15,1760.538956,20466,36031190.4054,171
2020-11-24,14:00,14:00,1762.47,1762.47,1757.42,1758.575,1759.354864,786,1382852.9849999999,23,1763.12,1763.48,1756.66,1758.53,1759.498553,14161,24916259.730999995,124
2020-11-24,14:30,14:30,1758.41,1760.06,1756.775,1757.09,1758.045818,1625,2856824.775,48,1758.92,1760.45,1756.46,1758.03,1758.286231,19292,33920860.296000004,178
2020-11-24,15:00,15:00,1757.85,1761.89,1757.85,1761.345,1759.928028,4483,7889757.694999999,121,1757.855,1762.64,1757.822,1762.19,1760.113297,22073,38850980.9365,184
2020-11-24,15:30,15:30,1762.73,1766.1,1760.835,1763.81,1763.365515,4758,8390093.41,187,1762.61,1766.475,1760.771,1762.7,1763.498694,69765,123030485.05890001,633
2020-11-25,09:30,09:30,1768.25,1769.95,1752.125,1755.48,1760.638397,9550,16814097.18,253,1767.81,1769.95,1751.7,1753.175,1763.403496,93114,164197559.54940003,577
2020-11-25,10:00,10:00,1753.525,1755.545,1748.57,1751.62,1751.963006,3394,5946162.779999999,143,1754.73,1755.762,1748.36,1753.13,1752.362302,21879,38339934.1129,197
2020-11-25,10:30,10:30,1753.63,1761.57,1752.77,1761.305,1757.037755,5599,9837654.84,134,1753.12,1761.569,1752.45,1761.03,1756.327915,37591,66022126.21920001,210
2020-11-25,11:00,11:00,1761.67,1764.94,1757.3,1759.36,1761.466738,4341,7646526.65,172,1761.95,1764.062,1757.205,1760.227,1761.696144,33184,58460120.1625,243
2020-11-25,11:30,11:30,1759.345,1761.8,1758.41,1761.8,1759.989848,2571,4524933.975,98,1759.741,1761.97,1757.825,1761.265,1759.876041,19340,34036007.0336,137
2020-11-25,12:00,12:00,1761.745,1767.48,1761.11,1766.715,1764.586201,2497,4406171.7299999995,140,1761.019,1767.86,1761.019,1766.715,1764.269635,13603,23999360.419599995,119
2020-11-25,12:30,12:30,1766.67,1769.165,1766.395,1769.065,1767.737641,1480,2616251.8099999996,105,1766.979,1769.155,1765.859,1768.21,1767.751305,11522,20368031.700499997,82
2020-11-25,13:00,13:00,1769.075,1770.51,1765.195,1765.195,1768.195378,489,864647.4799999999,79,1770.0,1770.38,1765.19,1765.19,1768.396002,5992,10596229.462199999,47
2020-11-25,13:30,13:30,1764.655,1770.94,1763.41,1770.165,1767.915657,683,1207486.4250000003,70,1764.36,1770.36,1764.36,1770.165,1767.862458,7109,12567733.949199999,53
2020-11-25,14:00,14:00,1769.8,1770.355,1766.085,1768.95,1768.648353,1197,2117072.065,75,1770.03,1770.03,1765.909,1769.13,1768.09428,10601,18743567.45,75
2020-11-25,14:30,14:30,1769.05,1769.44,1763.62,1766.125,1766.307453,3212,5673378.825,97,1769.19,1769.44,1763.835,1765.705,1766.554387,19903,35159735.4376,181
2020-11-25,15:00,15:00,1766.17,1769.38,1764.33,1768.59,1767.12374,886,1565671.64,79,1765.955,1769.945,1764.39,1768.47,1767.137649,9991,17655472.975,94
2020-11-25,15:30,15:30,1768.07,1768.53,1762.15,1764.48,1765.966287,6908,12199294.785000004,262,1768.085,1768.53,1762.12,1764.13,1765.441312,62440,110234165.4555,552
2020-11-27,09:30,09:30,1765.81,1781.585,1764.8,1778.84,1775.603117,5144,9133702.540000003,172,1764.54,1782.25,1764.54,1778.3,1772.490254,82609,146423658.44239998,481
2020-11-27,10:00,10:00,1778.835,1789.79,1774.935,1785.84,1783.334106,5793,10330854.335,135,1779.31,1790.07,1775.04,1785.84,1784.582209,42956,76658509.56950001,372
2020-11-27,10:30,10:30,1786.31,1793.28,1786.31,1793.085,1790.366837,8871,15882345.24,124,1786.31,1793.15,1786.31,1793.085,1790.508272,46314,82925599.75699998,371
2020-11-27,11:00,11:00,1793.42,1795.2,1790.52,1795.2,1792.603182,839,1503993.8950000003,41,1793.31,1795.735,1790.0,1795.735,1792.64959,24792,44443371.152499996,215
2020-11-27,11:30,11:30,1795.8,1796.975,1780.5,1780.695,1789.354393,2247,4020679.465,65,1795.72,1797.01,1780.44,1781.145,1789.531344,36458,65242734.67530001,287
2020-11-27,12:00,12:00,1781.71,1785.05,1776.01,1780.8,1781.462811,1655,2948321.305,63,1781.63,1785.01,1775.54,1781.6,1780.182076,21641,38524919.6174,166
2020-11-27,12:30,12:30,1781.53,1787.85,1779.01,1787.82,1781.938651,3322,5919600.289999999,117,1781.535,1787.95,1777.97,1786.27,1783.421752,34342,61246267.179,276
2020-11-30,09:30,09:30,1775.16,1780.75,1763.03,1766.425,1770.386231,10789,19100697.855,145,1775.65,1780.335,1762.76,1765.66,1770.485342,88193,156144421.8883,469
2020-11-30,10:00,10:00,1766.44,1766.625,1759.94,1760.865,1762.740471,19550,34461574.260000005,194,1767.12,1767.17,1759.03,1760.84,1762.159529,59704,105207973.92780003,338
2020-11-30,10:30,10:30,1759.72,1760.05,1749.9,1754.24,1753.379776,3028,5309234.489999999,72,1759.3,1760.52,1748.51,1754.12,1753.348845,34174,59918942.6393,275
2020-11-30,11:00,11:00,1752.98,1757.035,1750.56,1753.705,1754.473744,6506,11414605.61,140,1754.07,1757.125,1750.5,1753.695,1754.263451,29290,51382375.43,253
2020-11-30,11:30,11:30,1752.63,1753.76,1750.0,1752.155,1752.3915,7776,13626596.605,108,1752.67,1753.99,1749.14,1751.46,1752.340009,25945,45464461.92819999,176
2020-11-30,12:00,12:00,1751.86,1754.45,1749.3,1754.45,1751.547118,5649,9894490.079999998,105,1751.38,1754.205,1749.23,1754.205,1751.514923,22571,39533441.150000006,187
2020-11-30,12:30,12:30,1754.405,1754.55,1751.5,1752.85,1753.312987,1240,2174108.0400000005,41,1754.405,1754.55,1751.94,1753.095,1753.161059,34510,60501581.556200005,93
