date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,1589.52,1589.9,1577.64,1582.52,1582.851643,12945,20490015.915000003,270,1588.932,1591.12,1577.105,1583.592,1584.678964,57396,90954225.4903,304
2020-10-27,10:00,10:00,1583.67,1584.31,1578.1,1578.53,1580.334117,8765,13851628.655,200,1582.86,1584.29,1577.81,1577.81,1580.908711,31938,50491059.8754,258
2020-10-27,10:30,10:30,1577.6,1591.28,1576.99,1588.0,1584.765822,10026,15888862.44,222,1577.59,1590.29,1576.99,1587.95,1584.603705,32679,51783268.9325,277
2020-10-27,11:00,11:00,1588.25,1593.25,1585.925,1588.31,1590.589327,8841,14062400.764999997,150,1587.659,1593.506,1585.58,1588.38,1590.408009,34850,55425717.13000001,293
2020-10-27,11:30,11:30,1588.15,1592.95,1583.91,1592.09,1587.470066,5449,8650124.600000001,122,1588.15,1592.95,1584.17,1591.64,1587.828953,24430,38790662.5018,219
2020-10-27,12:00,12:00,1592.08,1592.59,1583.82,1586.54,1587.723064,3922,6227049.405,93,1592.79,1592.79,1583.95,1587.03,1588.830386,23197,36856100.4744,190
2020-10-27,12:30,12:30,1586.69,1587.245,1583.01,1585.22,1584.699961,5968,9457489.149999999,168,1586.945,1587.16,1583.0,1584.92,1585.019481,28045,44451873.615600005,227
2020-10-27,13:00,13:00,1586.18,1590.85,1584.595,1589.74,1588.361268,4389,6971317.91,106,1585.769,1590.85,1585.16,1589.97,1587.62115,13823,21945686.8,104
2020-10-27,13:30,13:30,1589.57,1595.76,1589.57,1592.24,1594.103413,5870,9357387.145,142,1589.895,1596.22,1589.895,1592.43,1594.078705,27014,43062441.6438,216
2020-10-27,14:00,14:00,1591.945,1594.72,1589.375,1592.225,1592.191942,7515,11965322.764999999,174,1592.165,1594.86,1589.575,1592.68,1592.427775,26382,42011430.45,233
2020-10-27,14:30,14:30,1592.375,1592.93,1587.76,1589.0,1590.812683,4779,7602494.095,154,1592.705,1593.16,1588.26,1588.47,1590.936658,12927,20566039.0579,122
2020-10-27,15:00,15:00,1589.12,1595.77,1587.52,1595.31,1590.402583,10262,16320710.585,211,1587.67,1595.71,1587.49,1595.525,1590.537133,43524,69226538.06260002,360
2020-10-28,09:30,09:30,1550.0,1554.395,1528.525,1534.64,1540.984674,35722,55047056.045,650,1550.01,1553.81,1528.45,1535.58,1542.982016,205240,316681632.1046,1397
2020-10-28,10:00,10:00,1536.9,1536.9,1516.48,1518.73,1528.267706,15377,23500173.284999996,398,1533.445,1536.33,1517.2,1519.7,1527.926736,69102,105582797.74039999,586
