date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,1543.315,1553.81,1541.0,1544.72,1546.503692,4912,7596426.605,74,1542.48,1554.37,1540.277,1545.7,1545.223562,68257,105472329.27599996,407
2020-09-16,10:00,10:00,1544.56,1544.56,1530.8,1532.02,1537.215237,6217,9556867.754999999,112,1544.86,1546.83,1530.01,1531.18,1537.367027,50072,76979044.24579999,427
2020-09-16,10:30,10:30,1531.715,1531.715,1523.96,1529.0,1528.182458,3091,4723611.89,62,1531.9,1532.28,1523.0,1528.98,1528.046962,32233,49253534.4056,268
2020-09-16,11:00,11:00,1528.71,1540.28,1528.71,1539.73,1536.864133,4628,7112606.93,49,1528.71,1540.27,1528.71,1538.89,1535.838384,28040,43064908.1659,212
2020-09-16,11:30,11:30,1538.44,1541.64,1534.38,1534.38,1536.992563,597,917584.5850000001,30,1539.42,1541.835,1534.14,1535.06,1538.149016,15141,23289113.934,111
2020-09-16,12:00,12:00,1535.325,1535.93,1527.97,1530.07,1532.865918,800,1226292.85,30,1534.15,1536.18,1527.945,1530.75,1532.129284,10602,16243634.359999998,99
2020-09-16,12:30,12:30,1529.5,1529.5,1526.71,1528.155,1528.091996,495,756405.55,22,1529.38,1529.486,1526.15,1527.25,1527.993702,10953,16736114.546,87
2020-09-16,13:00,13:00,1526.885,1528.21,1524.08,1524.67,1526.14774,1582,2414365.91,39,1526.84,1528.7,1523.14,1524.0,1526.0544,18285,27903905.7885,130
2020-09-16,13:30,13:30,1524.785,1526.965,1521.95,1526.965,1524.017133,1307,1991890.2900000003,35,1524.27,1526.38,1521.08,1526.0,1523.992789,13966,21284082.164199997,136
2020-09-16,14:00,14:00,1527.52,1539.75,1526.19,1534.85,1534.331477,4275,6559266.420000001,76,1527.01,1540.23,1525.235,1535.35,1533.692608,30696,47078229.745500006,247
2020-09-16,14:30,14:30,1535.805,1538.52,1525.805,1527.545,1533.387217,3184,4882304.975,74,1537.14,1538.52,1525.37,1527.14,1532.640609,22562,34579438.3524,197
2020-09-16,15:00,15:00,1529.19,1532.605,1517.15,1518.835,1524.036763,3528,5376801.96,92,1527.15,1533.61,1516.499,1518.18,1524.138979,40315,61445658.94800001,310
2020-09-16,15:30,15:30,1518.91,1523.035,1511.59,1513.095,1516.080647,6641,10068290.93,191,1518.97,1524.39,1511.59,1512.09,1516.271549,83171,126109824.28719999,755
2020-09-17,09:30,09:30,1484.62,1494.235,1478.86,1488.71,1485.914432,12246,18196511.18,204,1485.81,1494.53,1478.0,1488.07,1485.347627,180944,268764715.0348,1167
2020-09-17,10:00,10:00,1490.5,1494.235,1475.88,1478.69,1487.117398,5177,7698806.885,90,1488.4,1494.235,1475.1,1478.36,1486.05294,97538,144946638.65350002,894
2020-09-17,10:30,10:30,1478.44,1497.705,1478.44,1493.295,1492.985881,10133,15128425.980000004,133,1478.52,1498.54,1477.7,1493.295,1489.935946,41451,61759336.978,359
2020-09-17,11:00,11:00,1493.9,1497.64,1486.0,1486.97,1493.097054,2944,4395678.045,62,1493.91,1498.66,1486.03,1488.28,1493.455576,22736,33955205.2615,212
2020-09-17,11:30,11:30,1488.82,1489.43,1477.0,1477.0,1481.917359,1522,2255478.38,34,1487.0,1490.5,1476.02,1476.86,1483.229074,24789,36767765.312699996,213
2020-09-17,12:00,12:00,1479.15,1481.165,1469.14,1473.185,1472.413195,1933,2846174.78,61,1476.28,1482.0,1468.93,1473.79,1473.267687,56723,83568166.6995,462
2020-09-17,12:30,12:30,1472.98,1478.03,1463.09,1470.235,1470.363004,5067,7450329.115000001,151,1473.25,1477.6,1462.46,1472.58,1471.432139,58891,86654115.7577,484
2020-09-17,13:00,13:00,1472.52,1474.6,1466.23,1469.275,1470.137291,939,1380458.85,41,1471.77,1474.79,1465.78,1469.265,1470.809111,21432,31522384.3384,183
2020-09-17,13:30,13:30,1469.195,1476.49,1469.195,1472.0,1472.16239,811,1193923.6449999998,30,1469.2,1476.49,1468.54,1472.59,1473.250043,19272,28392477.923,165
2020-09-17,14:00,14:00,1472.76,1475.39,1468.3,1468.3,1472.995418,1533,2258102.1700000004,50,1472.61,1476.0,1466.035,1466.035,1472.78476,17004,25043230.5551,158
2020-09-17,14:30,14:30,1463.7,1469.55,1463.7,1468.45,1467.678093,2041,2995530.955,51,1465.01,1471.0,1464.0,1468.16,1467.512047,27204,39922197.214099996,254
2020-09-17,15:00,15:00,1468.45,1479.27,1463.02,1470.99,1472.743516,7634,11242924.175000003,159,1468.64,1480.0,1462.97,1471.529,1473.439142,73232,107902896.42370002,604
2020-09-17,15:30,15:30,1471.895,1488.98,1471.385,1488.63,1483.706333,6162,9142599.2,210,1471.62,1489.08,1470.329,1487.78,1484.831377,143299,212774877.1027,1312
2020-09-18,09:30,09:30,1489.475,1494.78,1479.93,1486.73,1486.578144,9805,14575899.895000003,156,1488.3,1495.2,1479.38,1487.49,1488.041919,386425,575016531.7785,427
2020-09-18,10:00,10:00,1489.12,1494.04,1481.855,1481.855,1488.666592,7382,10989337.250000002,85,1487.51,1494.8,1481.288,1481.855,1487.575037,50221,74707514.1674,335
2020-09-18,10:30,10:30,1480.66,1481.025,1467.53,1467.53,1476.917579,7824,11555403.315,89,1480.47,1482.63,1467.1,1468.675,1475.429026,55197,81439257.0324,434
2020-09-18,11:00,11:00,1469.58,1469.58,1461.52,1464.66,1464.723027,6180,9051987.755,97,1467.08,1469.908,1461.0,1464.8,1464.631636,60887,89177027.29079999,499
2020-09-18,11:30,11:30,1464.77,1465.83,1458.0,1464.14,1460.478773,13409,19583559.299999997,152,1464.8,1466.5,1458.0,1464.85,1461.27689,70308,102739455.5382,554
2020-09-18,12:00,12:00,1463.28,1465.78,1453.72,1454.185,1456.951225,7861,11453092.885,103,1463.6,1466.37,1453.7,1455.83,1458.880321,71626,104493755.6001,582
