date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,208.82,209.405,208.09,208.485,208.720709,15612,3258546.2249999996,147,208.76,209.59,208.05,208.5,208.76655,1903290,397343615.2789,8795
2020-08-14,10:00,10:00,208.63,208.665,207.59,207.665,208.183316,8698,1810778.525,92,208.509,208.75,207.59,207.7,208.204712,1111635,231447723.12789994,5964
2020-08-14,10:30,10:30,207.73,208.415,207.655,207.9,208.075967,8021,1668977.6099999996,85,207.695,208.5,207.51,207.815,208.056618,826560,171971302.24590003,4395
2020-08-14,11:00,11:00,207.805,208.6,207.69,208.6,208.063796,15328,3189200.6450000005,81,207.82,208.62,207.69,208.575,208.129857,917791,191019693.8526,4650
2020-08-14,11:30,11:30,208.465,208.94,208.115,208.265,208.557401,11318,2360453.005,81,208.59,209.05,208.1,208.253,208.648118,875380,182646465.28589997,4500
2020-08-14,12:00,12:00,208.38,208.79,208.34,208.495,208.56886,10600,2210830.38,97,208.31,208.818,208.28,208.48,208.555277,560704,116937814.69270001,3263
2020-08-14,12:30,12:30,208.495,209.23,208.495,208.925,208.962065,15058,3146552.8850000002,322,208.52,209.24,208.488,208.9,208.945153,652562,136349705.0105,3489
2020-08-14,13:00,13:00,208.9,209.005,208.605,208.645,208.74366,9760,2037338.755,86,208.92,209.005,208.57,208.65,208.746809,502407,104875859.12229998,2755
2020-08-14,13:30,13:30,208.69,208.69,208.245,208.56,208.4971,4495,937194.5399999999,72,208.64,208.74,208.218,208.71,208.500583,570826,119017565.39699997,3205
2020-08-14,14:00,14:00,208.68,208.785,208.23,208.365,208.584012,4437,925486.6700000002,58,208.71,208.85,208.21,208.61,208.56522,563167,117457028.72219999,3012
2020-08-14,14:30,14:30,208.64,208.855,208.455,208.55,208.626375,3388,706825.9099999999,54,208.6,208.88,208.43,208.55,208.608695,631416,131718890.99979995,3248
2020-08-14,15:00,15:00,208.58,208.585,208.06,208.13,208.262988,5869,1222295.1,80,208.55,208.67,208.03,208.12,208.279611,734824,153048858.74040002,4250
2020-08-14,15:30,15:30,208.08,209.05,207.98,208.87,208.486649,25821,5383331.95,293,208.1,209.12,207.75,208.89,208.50399,1695406,353499180.977,9947
