date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-07-02,09:30,09:30,205.575,207.635,205.3,207.42,206.823235,89314,18472219.555000007,635,205.68,207.71,205.0,207.43,206.586544,4212646,870276464.0374998,19663
2020-07-02,10:00,10:00,207.44,207.535,206.56,206.595,207.243873,75198,15584326.454999998,449,207.43,207.56,206.469,206.6,207.127821,2002236,414718935.67349994,10655
2020-07-02,10:30,10:30,206.62,207.965,206.405,207.635,207.430472,45090,9353044.899999999,322,206.62,207.99,206.37,207.7,207.403035,2124788,440687621.9251,10833
2020-07-02,11:00,11:00,207.57,207.68,206.07,206.07,206.858088,21885,4527086.330000001,169,207.69,207.7,206.061,206.28,206.888338,1708993,353570905.0933999,8538
2020-07-02,11:30,11:30,206.29,207.03,206.24,207.03,206.759807,43534,9001077.834999999,282,206.32,207.09,206.2,207.031,206.704238,1230864,254424850.00300005,6365
2020-07-02,12:00,12:00,207.06,207.57,206.68,207.495,207.107596,14268,2955013.5649999995,130,207.03,207.61,206.66,207.5,207.185405,971855,201354127.06930003,4949
2020-07-02,12:30,12:30,207.505,207.885,207.395,207.885,207.657153,11057,2296065.4349999996,210,207.51,207.9,207.39,207.88,207.656638,900913,187080657.141,4798
2020-07-02,13:00,13:00,207.885,207.94,207.535,207.745,207.796043,14055,2920572.69,156,207.88,207.95,207.52,207.845,207.796625,803615,166988497.25249997,3974
2020-07-02,13:30,13:30,207.85,207.995,207.52,207.615,207.801242,11026,2291216.08,227,207.845,208.02,207.51,207.615,207.8098,953001,198042943.60740003,5318
2020-07-02,14:00,14:00,207.59,207.805,207.33,207.69,207.560519,9395,1950032.03,287,207.615,207.81,207.31,207.69,207.560308,824991,171235445.68060002,4865
2020-07-02,14:30,14:30,207.69,207.895,207.455,207.725,207.652813,14223,2953449.485,283,207.69,207.9,207.43,207.722,207.643,842569,174953584.046,4940
2020-07-02,15:00,15:00,207.665,207.81,207.265,207.29,207.473666,9588,1989258.17,201,207.73,207.82,207.23,207.3,207.483533,1250263,259409006.78810003,7322
2020-07-02,15:30,15:30,207.3,207.435,206.0,206.32,206.626189,35770,7391025.814999999,364,207.295,207.49,205.85,206.21,206.668322,3315270,685161344.1119,19989
2020-07-06,09:30,09:30,208.71,209.33,208.14,209.04,208.772681,187080,39057216.625,788,208.833,209.35,208.09,209.025,208.78475,3695724,771611312.5878,16444
2020-07-06,10:00,10:00,209.14,210.0,208.76,209.325,209.202275,38965,8151563.93,350,209.03,210.06,208.75,209.3,209.41994,2761166,578243454.9004999,14278
2020-07-06,10:30,10:30,209.26,210.0,209.215,209.925,209.699857,27735,5816023.500000001,177,209.32,210.01,209.17,209.955,209.70344,1424625,298748944.0527,7850
2020-07-06,11:00,11:00,209.945,210.875,209.855,210.8,210.384178,15911,3347421.6599999997,225,209.95,210.895,209.83,210.82,210.395021,1479263,311229547.0573,7957
2020-07-06,11:30,11:30,210.72,211.11,210.345,210.54,210.749748,31917,6726497.99,240,210.85,211.13,210.342,210.585,210.834728,1308043,275780972.56520003,6898
2020-07-06,12:00,12:00,210.65,210.775,209.755,210.03,210.433913,17287,3637771.2549999994,179,210.584,210.819,209.62,210.17,210.283233,1439600,302723811.8881001,8026
2020-07-06,12:30,12:30,210.125,211.025,210.07,210.925,210.715166,16305,3435708.975,112,210.16,211.07,210.05,210.927,210.647369,1342528,282800186.18670005,5992
2020-07-06,13:00,13:00,210.92,211.06,210.16,210.74,210.627199,31920,6723219.88,197,210.929,211.1,210.04,210.73,210.587661,1182575,249035598.64169997,5550
2020-07-06,13:30,13:30,210.79,211.105,210.51,210.8,210.802962,27773,5854631.63,213,210.742,211.13,210.47,210.78,210.769057,1077061,227011128.0296,5114
2020-07-06,14:00,14:00,210.745,210.78,209.76,210.37,210.280398,15045,3163669.46,126,210.77,210.81,209.73,210.36,210.202122,1357732,285398288.02639997,6813
2020-07-06,14:30,14:30,210.355,210.74,210.16,210.515,210.473625,25848,5440322.88,266,210.365,210.745,210.15,210.53,210.468728,941423,198140142.6034,5081
2020-07-06,15:00,15:00,210.435,210.72,209.665,210.68,210.175971,11124,2337999.0100000007,112,210.53,210.78,209.66,210.75,210.312025,1363382,286735574.6644,7438
2020-07-06,15:30,15:30,210.76,211.05,210.32,210.77,210.709291,28532,6011953.739999999,199,210.75,211.09,210.31,210.69,210.708609,2702318,569401782.8529,14865
2020-07-07,09:30,09:30,210.46,212.31,210.34,211.89,211.556847,43421,9186007.330000002,493,210.45,212.33,210.3,211.9,211.409414,2980641,630135484.5469999,12086
2020-07-07,10:00,10:00,211.93,214.24,211.635,213.96,213.292347,33189,7078965.255000001,367,211.9,214.31,211.61,213.96,213.264683,2733522,582963848.9910998,13123
2020-07-07,10:30,10:30,213.96,214.61,213.63,214.16,214.239066,29536,6327763.880000001,403,213.96,214.67,213.6,214.17,214.22488,2069168,443267399.69060004,10188
2020-07-07,11:00,11:00,214.19,214.385,213.83,213.855,214.153926,28808,6169350.800000001,387,214.17,214.395,213.8,213.86,214.072057,1030511,220603602.82369998,5522
2020-07-07,11:30,11:30,213.95,213.95,212.845,212.995,213.147055,31174,6644651.615,280,213.865,213.98,212.85,212.98,213.254037,1239186,264261383.10210004,6528
2020-07-07,12:00,12:00,213.04,213.16,211.89,212.24,212.728922,30319,6449732.745,252,213.0,213.23,211.83,212.315,212.424197,1140260,242218948.2596,5645
2020-07-07,12:30,12:30,212.305,213.155,212.18,212.975,212.768809,16731,3559835.7199999993,201,212.31,213.2,212.15,212.975,212.790615,1177943,250655310.72709998,5934
2020-07-07,13:00,13:00,212.885,212.935,211.56,211.875,211.974155,16958,3594657.4399999995,257,212.961,212.98,211.53,211.895,211.95826,1234197,261598415.39669994,5669
2020-07-07,13:30,13:30,211.85,212.35,211.61,211.95,211.970169,25862,5481977.5,398,211.87,212.4,211.59,211.932,212.001753,950467,201500639.00540006,5225
2020-07-07,14:00,14:00,211.915,212.18,211.245,211.28,211.789898,19333,4094534.509999999,349,211.92,212.2,211.22,211.28,211.698004,1092254,231228084.6893,6001
2020-07-07,14:30,14:30,211.26,211.495,210.89,211.36,211.219674,26849,5671040.364999999,320,211.26,211.5,210.88,211.371,211.158526,1447037,305554254.68230003,7087
