date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,209.94,210.785,208.89,209.32,209.477608,82259,17231418.915000003,850,209.59,210.81,208.86,209.33,209.463031,2922768,612212056.3623999,13375
2020-11-24,10:00,10:00,209.3,210.07,208.97,209.76,209.465995,97550,20433404.635,906,209.307,210.12,208.96,209.75,209.442006,2136569,447487653.1850999,12290
2020-11-24,10:30,10:30,209.78,211.56,209.465,211.14,210.511263,66920,14087415.94,590,209.77,211.59,209.45,211.15,210.69866,1844570,388648484.87520003,9694
2020-11-24,11:00,11:00,211.29,212.31,211.095,212.07,211.70687,51644,10933391.195,460,211.15,212.36,211.07,212.07,211.750009,1531645,324325902.8156001,8297
2020-11-24,11:30,11:30,212.085,212.59,211.65,212.585,212.142915,50852,10787894.444999998,452,212.071,212.65,211.63,212.65,212.129145,1492054,316508269.4283999,7637
2020-11-24,12:00,12:00,212.625,213.36,212.38,213.36,212.788033,30544,6499398.559999999,316,212.643,213.38,212.36,213.368,212.818768,1192494,253785140.9685,6147
2020-11-24,12:30,12:30,213.37,213.98,213.33,213.78,213.613225,50045,10690268.79,443,213.36,214.02,213.31,213.81,213.596959,1417807,302839200.2601,7122
2020-11-24,13:00,13:00,213.81,213.88,213.19,213.435,213.499759,68289,14579684.860000003,577,213.8,213.91,213.19,213.44,213.548432,1083862,231457108.4664,6143
2020-11-24,13:30,13:30,213.44,214.235,213.42,213.98,213.975443,43067,9215281.784999998,421,213.44,214.25,213.41,213.99,213.978645,1123060,240310979.84040004,6108
2020-11-24,14:00,14:00,213.99,214.18,213.18,213.18,213.810896,32115,6866539.489999997,375,214.0,214.21,213.17,213.19,213.818739,1021324,218378214.73729995,6220
2020-11-24,14:30,14:30,213.195,213.24,212.815,213.06,213.048955,58868,12541768.315,533,213.186,213.24,212.81,213.07,213.027457,998453,212697909.9027,5730
2020-11-24,15:00,15:00,213.03,213.22,212.5,213.08,212.838991,36820,7836736.879999999,502,213.065,213.25,212.46,213.099,212.858813,1133497,241274974.6557,6894
2020-11-24,15:30,15:30,213.14,213.95,212.915,213.85,213.363028,63589,13567543.35,751,213.08,214.0,212.915,213.86,213.467668,2302484,491506013.80480003,14341
2020-11-25,09:30,09:30,215.22,215.23,213.52,213.93,214.309554,96888,20764027.300000004,1009,215.11,215.29,213.5,213.93,214.458551,2891331,620071037.9692001,13695
2020-11-25,10:00,10:00,213.95,213.99,213.17,213.35,213.512478,31221,6666078.595000001,314,213.91,214.11,213.13,213.35,213.599953,1335852,285338036.00270003,7180
2020-11-25,10:30,10:30,213.38,214.06,213.29,213.66,213.692388,25919,5538694.619999999,360,213.38,214.069,213.276,213.67,213.703931,895040,191273574.661,5280
2020-11-25,11:00,11:00,213.68,213.96,213.36,213.54,213.727274,34898,7458655.700000001,414,213.67,213.96,213.3,213.53,213.664137,957612,204607387.2776,5219
2020-11-25,11:30,11:30,213.52,213.91,212.47,212.83,212.872144,63046,13420750.195000004,448,213.52,213.91,212.46,212.83,212.987566,1261731,268732972.8359,6590
2020-11-25,12:00,12:00,212.84,213.45,212.715,213.26,213.073803,25706,5477276.805,293,212.82,213.47,212.7,213.267,213.075795,716365,152640169.5486,3828
2020-11-25,12:30,12:30,213.28,213.67,213.11,213.6,213.412109,27579,5885695.005000001,294,213.28,213.68,213.09,213.59,213.432859,531831,113510205.9124,3222
2020-11-25,13:00,13:00,213.6,213.98,213.26,213.28,213.650764,22838,4879357.145,286,213.59,213.99,213.225,213.27,213.702824,595749,127313286.27669998,3182
2020-11-25,13:30,13:30,213.255,213.935,213.115,213.81,213.553495,24236,5175681.915000001,295,213.25,213.96,213.104,213.821,213.510169,567238,121111097.2493,3043
2020-11-25,14:00,14:00,213.79,213.93,213.31,213.86,213.662375,18702,3995914.05,234,213.81,213.93,213.3,213.86,213.667725,591700,126427203.854,3322
2020-11-25,14:30,14:30,213.87,214.105,213.72,213.98,213.922521,13410,2868701.865,193,213.85,214.112,213.72,213.97,213.919444,652416,139564402.2436,3657
2020-11-25,15:00,15:00,213.93,214.36,213.78,214.35,214.042844,15206,3254736.015,193,213.97,214.39,213.77,214.38,214.031671,849800,181884203.29789993,5156
2020-11-25,15:30,15:30,214.36,214.475,213.46,213.8,213.905486,57113,12216800.759999998,676,214.37,214.5,213.44,213.75,213.969834,2053229,439329482.88240004,13180
2020-11-27,09:30,09:30,214.85,214.98,214.08,214.41,214.562469,68868,14776495.294999996,675,214.85,215.2,214.04,214.42,214.592333,1907002,409227978.96190006,8590
2020-11-27,10:00,10:00,214.55,215.97,214.42,215.6,215.185259,61565,13247883.574999996,749,214.42,215.97,214.41,215.62,215.267606,1583946,340972363.42600006,8375
2020-11-27,10:30,10:30,215.63,216.24,215.595,215.84,215.942493,45879,9907230.244999997,551,215.63,216.27,215.59,215.82,215.936014,1143596,246943535.3962,6673
2020-11-27,11:00,11:00,215.83,216.17,215.77,216.04,216.034841,40090,8660839.450000001,505,215.82,216.19,215.77,216.03,216.036904,1083130,233996107.9525,5862
2020-11-27,11:30,11:30,216.075,216.15,214.96,215.12,215.600727,36582,7887107.079999997,475,216.04,216.15,214.93,215.08,215.545352,976791,210542863.18350002,5582
2020-11-27,12:00,12:00,215.08,215.45,214.755,215.1,215.174142,45159,9717055.160000002,431,215.08,215.46,214.7,215.049,215.119769,1031662,221930927.2673,5876
2020-11-27,12:30,12:30,215.04,215.47,214.87,215.18,215.136736,41025,8825985.315000001,486,215.03,215.49,214.87,215.29,215.144578,1431412,307960535.26589996,8361
2020-11-30,09:30,09:30,214.155,214.74,212.96,213.935,213.857675,125296,26795531.24499999,1039,214.1,214.76,212.92,213.94,213.784689,2894051,618703874.5334002,12697
