date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,211.725,212.4,210.595,211.92,211.504511,133688,28275633.815,1213,211.59,212.41,210.57,211.905,211.632593,2837310,600467398.3989,13603
2020-10-27,10:00,10:00,211.88,212.02,210.335,210.72,211.31696,62489,13204988.235000001,571,211.92,212.03,210.329,210.72,211.278642,1426051,301294219.87970006,7587
2020-10-27,10:30,10:30,210.71,212.36,210.58,211.67,211.657585,78056,16521147.0,735,210.73,212.38,210.58,211.71,211.64834,1430023,302662087.7289001,7292
2020-10-27,11:00,11:00,211.7,212.54,211.545,212.01,212.179639,69073,14655892.885000002,592,211.72,212.54,211.54,212.022,212.184656,1280846,271775844.5491,6028
2020-10-27,11:30,11:30,212.04,213.22,211.9,213.08,212.72097,62231,13237843.25,618,212.03,213.23,211.9,213.08,212.734009,1406761,299265936.90299994,6952
2020-10-27,12:00,12:00,213.095,213.38,212.585,212.715,212.941114,56926,12121888.504999999,631,213.07,213.4,212.58,212.715,212.969713,1285680,273810920.1732,6561
2020-10-27,12:30,12:30,212.72,213.39,212.44,213.39,212.867028,59725,12713479.455000002,636,212.72,213.39,212.42,213.36,212.871723,989524,210641734.00010005,5253
2020-10-27,13:00,13:00,213.35,213.6,212.8,213.31,213.191939,60106,12814123.015,685,213.36,213.6,212.77,213.28,213.216998,1069602,228057435.6551,6126
2020-10-27,13:30,13:30,213.24,214.46,213.24,214.13,213.962348,64160,13727819.709999995,760,213.28,214.47,213.24,214.11,213.984859,1572732,336541103.92279994,7533
2020-10-27,14:00,14:00,214.12,214.23,213.18,213.87,213.717199,101443,21680115.31,1028,214.12,214.25,213.17,213.86,213.725064,1304939,278898146.3834,7139
2020-10-27,14:30,14:30,213.86,214.08,213.12,213.81,213.518016,108703,23210054.325000003,1087,213.86,214.09,213.09,213.82,213.587584,1306595,279072390.7853,6831
2020-10-27,15:00,15:00,213.8,214.49,213.45,214.35,214.010126,79076,16923070.224999998,907,213.825,214.52,213.45,214.39,214.033812,1902512,407202099.35590005,9427
2020-10-28,09:30,09:30,207.67,208.84,205.34,206.16,207.147938,325001,67323350.20499998,3264,207.67,208.84,205.33,206.165,207.135444,6415582,1328895679.4787004,30636
2020-10-28,10:00,10:00,206.05,206.19,204.42,204.9,205.166628,191322,39252905.64,2205,206.14,206.26,204.4,204.89,205.147938,3908391,801798318.239,19340
2020-10-28,10:30,10:30,204.84,206.63,204.42,205.1,205.322,212672,43666283.11000001,2057,204.841,206.64,204.42,205.07,205.384245,3737303,767583759.9707,19732
2020-10-28,11:00,11:00,205.04,205.72,204.51,204.93,205.188288,189338,38849946.155,1452,205.05,205.73,204.49,204.94,205.183542,2487954,510487439.54969996,13079
2020-10-28,11:30,11:30,204.88,205.875,204.58,205.27,205.353731,135192,27762188.220000003,1436,204.92,205.88,204.58,205.275,205.313169,2004896,411631720.79139996,10073
2020-10-28,12:00,12:00,205.24,205.54,204.9,204.98,205.247138,118604,24343127.519999996,1150,205.26,205.54,204.9,205.03,205.236661,1534051,314843525.391,8295
2020-10-28,12:30,12:30,205.02,205.28,204.6,204.73,204.94673,84953,17410842.8,885,205.03,205.28,204.6,204.7,204.917437,1385694,283952912.65480006,7420
2020-10-28,13:00,13:00,204.69,204.81,204.02,204.55,204.319571,88120,18004642.305,892,204.69,204.82,204.01,204.582,204.327491,1737883,355097307.2727001,8239
2020-10-28,13:30,13:30,204.565,205.35,204.52,205.27,204.995201,79952,16389784.44,913,204.57,205.36,204.48,205.26,204.982497,1437728,294709137.66,7269
2020-10-28,14:00,14:00,205.27,205.27,204.2,204.87,204.726029,124769,25543483.015,1201,205.26,205.26,204.2,204.88,204.766012,1412518,289235779.97069997,7292
2020-10-28,14:30,14:30,204.87,205.19,204.1,205.16,204.462129,138162,28248913.625000004,1365,204.88,205.23,204.1,205.18,204.482966,1718240,351350883.2357,9408
2020-10-28,15:00,15:00,205.2,205.36,204.4,205.06,204.841602,123657,25330107.955000002,1237,205.18,205.37,204.36,205.06,204.858933,1936537,396717010.23330003,10291
2020-10-28,15:30,15:30,205.06,205.92,202.12,202.295,203.386873,278620,56667691.769999996,2926,205.06,205.92,202.1,202.47,203.648215,5593625,1139132736.6202002,30737
2020-10-29,09:30,09:30,204.11,205.02,203.39,204.64,204.130096,116794,23841181.124999996,1154,204.07,205.07,203.37,204.72,204.13831,3744405,764376979.9142001,17644
2020-10-29,10:00,10:00,204.64,205.43,204.05,205.24,204.791035,93305,19108031.53,875,204.72,205.47,204.0,205.25,204.851255,2198542,450374086.34740007,11986
2020-10-29,10:30,10:30,205.22,205.4,204.15,204.865,204.693021,71992,14736263.615,717,205.22,205.41,204.12,204.85,204.7606,1305771,267370564.36879998,7704
2020-10-29,11:00,11:00,204.815,205.225,204.285,205.02,204.887999,38177,7822012.220000002,403,204.87,205.23,204.18,205.04,204.790409,1095129,224271999.23580003,5981
