date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,210.48,210.585,207.87,208.675,208.923552,37312,7795357.085,380,210.62,210.65,207.81,208.74,209.146569,2632872,550656579.0325999,12487
2020-09-16,10:00,10:00,208.79,208.82,207.36,207.89,208.186508,25341,5275651.375,202,208.75,208.9,207.3,207.828,208.117763,1360449,283133641.5874001,7635
2020-09-16,10:30,10:30,207.815,207.91,206.865,207.775,207.44433,24924,5170344.595000001,212,207.825,207.97,206.78,207.69,207.416621,1244994,258232508.3669,6774
2020-09-16,11:00,11:00,207.77,209.2,207.55,208.61,208.292058,16494,3435570.3850000007,149,207.68,209.21,207.51,208.56,208.46817,1236112,257690119.98499998,6907
2020-09-16,11:30,11:30,208.57,208.88,208.225,208.25,208.666668,17870,3728875.035,174,208.59,208.92,208.22,208.22,208.567526,645566,134644135.77880004,4015
2020-09-16,12:00,12:00,208.34,208.615,207.79,208.055,208.169984,14585,3036160.5500000003,152,208.23,208.79,207.78,208.05,208.190588,677488,141046645.66840002,4333
2020-09-16,12:30,12:30,208.015,208.04,207.42,207.905,207.696194,4944,1026849.83,79,208.04,208.11,207.39,207.79,207.723856,522479,108531378.5077,3195
2020-09-16,13:00,13:00,207.77,207.99,206.93,207.06,207.42957,9827,2038409.945,123,207.78,208.0,206.87,207.046,207.451062,603309,125157145.49879998,3696
2020-09-16,13:30,13:30,206.97,207.53,206.54,207.53,206.904471,10001,2069251.1349999995,135,207.03,207.57,206.47,207.42,206.879367,840964,173978154.6953,5017
2020-09-16,14:00,14:00,207.59,209.1,207.2,208.195,207.872419,28998,6027887.379999999,196,207.37,209.21,207.16,208.26,208.152068,1256462,261535176.8162,6577
2020-09-16,14:30,14:30,208.31,208.96,206.96,207.15,208.140477,17152,3570025.6799999992,176,208.275,208.95,206.89,207.16,207.930437,1287996,267813742.57140005,7584
2020-09-16,15:00,15:00,207.045,207.54,205.585,205.81,206.387034,26780,5527043.275,295,207.13,207.59,205.5,205.85,206.276649,1661575,342744363.86380005,10228
2020-09-16,15:30,15:30,205.825,206.4,204.8,204.96,205.511139,59850,12299843.889999999,641,205.84,206.5,204.64,204.93,205.374706,3560035,731141945.7223,20302
2020-09-17,09:30,09:30,199.99,203.325,199.99,203.075,202.11323,103949,21009462.915,803,200.05,203.36,200.0,203.1,201.703198,4482083,904050795.4574003,22041
2020-09-17,10:00,10:00,203.105,204.08,201.89,202.32,203.217378,16484,3349834.76,191,203.105,204.165,201.87,202.41,203.227167,2036673,413907276.7144,10769
2020-09-17,10:30,10:30,202.27,204.07,201.97,203.305,203.252927,27251,5538844.31,195,202.43,204.16,201.85,203.308,203.218387,1266490,257374083.44819993,7322
2020-09-17,11:00,11:00,203.445,204.265,202.795,203.18,203.558781,27904,5680103.525,210,203.3,204.33,202.74,203.23,203.497369,1290287,262570077.05289996,7375
2020-09-17,11:30,11:30,203.26,203.46,201.42,201.51,202.235081,23268,4705606.705,165,203.2,203.51,201.29,201.45,202.22693,1363512,275738725.2017,7681
2020-09-17,12:00,12:00,201.415,201.915,200.23,200.795,200.832421,28477,5719105.305,234,201.44,201.92,200.08,200.82,200.810819,1852981,372098843.43009996,10642
2020-09-17,12:30,12:30,200.68,201.34,200.0,201.34,200.508923,23186,4648999.36,238,200.78,201.38,199.96,201.36,200.465801,1931885,387277052.01699996,10679
2020-09-17,13:00,13:00,201.355,201.87,200.91,201.87,201.482943,64115,12918081.860000001,259,201.355,201.94,200.74,201.89,201.409148,1201897,242073179.97919998,7059
2020-09-17,13:30,13:30,201.85,202.56,201.85,201.93,202.275561,19189,3881467.62,207,201.89,202.65,201.78,201.97,202.271211,1088969,220267192.5302,5987
