date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,144.88,144.995,143.94,144.995,144.63426,1331,192508.2,15,144.89,145.34,143.83,145.055,144.594663,21597,3122812.9974999996,129
2020-08-14,10:00,10:00,144.985,145.14,144.465,145.125,144.981267,1004,145560.97,26,144.985,145.27,144.4,145.18,144.876601,16007,2319039.1964,128
2020-08-14,10:30,10:30,145.13,145.22,144.81,145.09,144.993431,1872,271427.4,41,145.29,145.29,144.81,145.17,145.014971,12551,1820082.28,107
2020-08-14,11:00,11:00,145.03,145.14,144.88,144.88,144.951778,1043,151184.7,16,145.11,145.144,144.85,144.88,145.014467,9550,1384889.8357000002,68
2020-08-14,11:30,11:30,144.875,145.02,144.7,145.02,144.840264,3167,458708.97500000003,39,144.82,145.069,144.7,144.95,144.848414,11203,1622737.0188000002,89
2020-08-14,12:00,12:00,144.94,145.23,144.83,145.01,144.971762,925,134098.91999999998,23,144.92,145.24,144.83,145.1,144.970562,16874,2446234.6513,119
2020-08-14,12:30,12:30,145.13,145.24,144.915,144.965,145.013877,1265,183442.555,16,145.14,145.24,144.84,144.9,145.017325,8533,1237431.9309999999,78
2020-08-14,13:00,13:00,144.985,145.335,144.975,145.19,145.143832,1008,146305.045,19,144.88,145.345,144.88,145.19,145.125681,10989,1594786.927,95
2020-08-14,13:30,13:30,145.195,145.45,145.195,145.45,145.271065,1531,222410.22000000003,22,145.195,145.49,145.18,145.405,145.290065,12885,1872062.4788,117
2020-08-14,14:00,14:00,145.365,145.6,145.275,145.275,145.446517,1414,205661.23,20,145.36,145.6,145.23,145.24,145.454911,14827,2156659.1944999998,113
2020-08-14,14:30,14:30,145.25,145.3,145.025,145.24,145.116268,2117,307211.31500000006,51,145.25,145.3,145.01,145.225,145.128773,19271,2796777.91,174
2020-08-14,15:00,15:00,145.235,145.28,145.09,145.25,145.193821,2058,298809.2,54,145.26,145.3,145.07,145.24,145.182947,21333,3097189.1476,198
2020-08-14,15:30,15:30,145.24,145.505,144.83,145.41,145.131198,10252,1487886.155,226,145.24,145.53,144.8,145.37,145.216958,135101,19618967.798,1100
2020-08-17,09:30,09:30,146.13,146.94,146.13,146.25,146.560186,802,117541.30500000002,31,145.77,146.99,145.77,146.2,146.510483,31873,4669733.163000001,205
2020-08-17,10:00,10:00,146.205,146.43,146.17,146.33,146.28855,518,75777.415,25,146.26,146.51,146.17,146.4,146.306758,19961,2920428.2294,149
2020-08-17,10:30,10:30,146.375,146.375,145.99,146.12,146.146768,616,90026.41500000001,18,146.42,146.42,145.91,146.12,146.133025,21004,3069380.877,152
2020-08-17,11:00,11:00,146.06,146.78,146.02,146.62,146.392705,1178,172450.555,16,146.064,146.85,145.975,146.65,146.277208,23563,3446729.3249999997,195
2020-08-17,11:30,11:30,146.59,146.59,146.205,146.205,146.378646,1513,221470.725,20,146.57,146.6,146.115,146.3,146.33812,22095,3233341.9725,163
2020-08-17,12:00,12:00,146.365,146.615,146.36,146.6,146.484266,1346,197167.79500000004,38,146.315,146.61,146.315,146.57,146.429789,38766,5676497.425000001,254
2020-08-17,12:30,12:30,146.51,146.71,146.505,146.65,146.60271,1502,220197.37,24,146.563,146.74,146.49,146.65,146.582404,17482,2562554.6893000007,128
2020-08-17,13:00,13:00,146.7,146.805,146.555,146.69,146.718809,687,100795.83499999998,23,146.7,146.83,146.55,146.75,146.705867,16619,2438104.4735000003,130
2020-08-17,13:30,13:30,146.725,146.725,146.39,146.57,146.552682,2828,414451.46499999997,80,146.73,146.79,146.38,146.535,146.574713,37347,5474125.6866999995,255
2020-08-17,14:00,14:00,146.515,146.67,146.495,146.67,146.54515,2001,293236.80499999993,54,146.47,146.67,146.47,146.65,146.546974,36445,5340908.3634,246
2020-08-17,14:30,14:30,146.66,146.69,146.525,146.69,146.620705,1665,244123.30999999997,50,146.67,146.73,146.53,146.69,146.636441,27990,4104353.7397999996,212
2020-08-17,15:00,15:00,146.72,146.94,146.455,146.9,146.728936,2998,439893.59,59,146.72,146.935,146.49,146.895,146.743595,40445,5935046.761999999,297
2020-08-17,15:30,15:30,146.92,147.36,146.89,147.36,147.128651,20127,2961259.985,243,146.93,147.4,146.89,147.38,147.148863,226383,33312005.97,1520
2020-08-18,09:30,09:30,147.69,148.26,147.54,148.09,147.893167,6312,933501.86,54,147.58,148.31,147.08,148.18,147.862827,71841,10622614.58,459
2020-08-18,10:00,10:00,148.2,148.25,147.695,147.85,148.027686,7450,1102806.7899999998,171,148.2,148.29,147.695,147.89,148.011125,78692,11647302.418500002,629
2020-08-18,10:30,10:30,147.99,148.995,147.99,148.915,148.54515,3902,579623.6449999999,116,147.99,149.05,147.99,148.955,148.539527,74218,11024314.745,601
2020-08-18,11:00,11:00,148.945,149.225,148.795,149.225,148.95993,2974,443007.01999999996,89,148.925,149.3,148.795,149.25,148.984464,50470,7519246.220000002,407
2020-08-18,11:30,11:30,149.25,149.62,149.23,149.575,149.499669,11224,1677983.925,96,149.28,149.98,149.184,149.575,149.472404,53799,8041466.319000001,399
2020-08-18,12:00,12:00,149.63,149.695,148.78,148.825,149.219771,6867,1024691.8600000001,80,149.6,149.695,148.75,148.82,149.176967,48903,7295206.0896000005,356
2020-08-18,12:30,12:30,148.82,149.19,148.815,149.085,149.009533,2114,315005.9100000001,70,148.82,149.192,148.815,149.085,149.039912,24565,3661167.7584,208
2020-08-18,13:00,13:00,149.06,149.16,148.995,149.145,149.053534,4085,608884.515,52,149.1,149.16,148.97,149.1,149.063546,26298,3920076.1299999994,199
2020-08-18,13:30,13:30,149.2,149.22,148.98,149.04,149.042856,3822,569642.26,72,149.2,149.22,148.97,149.05,149.066351,33611,5010271.789999999,229
2020-08-18,14:00,14:00,149.05,149.1,148.99,149.025,149.027573,4000,596110.1,102,149.06,149.1,148.97,149.03,149.017517,37792,5631666.893,292
2020-08-18,14:30,14:30,149.06,149.11,148.825,149.03,149.013541,11627,1732581.8249999995,174,149.06,149.12,148.791,149.01,149.004755,56436,8409238.401600001,416
2020-08-18,15:00,15:00,149.03,149.36,149.0,149.33,149.184866,1940,289418.34500000003,78,149.01,149.42,148.98,149.34,149.162957,45767,6826741.7424,375
2020-08-18,15:30,15:30,149.37,149.86,149.34,149.81,149.586842,26506,3964949.6750000003,368,149.33,149.86,149.32,149.8,149.618656,282156,42215826.5318,2075
2020-08-19,09:30,09:30,149.99,150.04,149.815,149.96,149.928691,2223,333291.92,39,150.0,150.09,149.53,149.96,149.942408,42637,6393096.076800001,233
2020-08-19,10:00,10:00,150.02,151.17,150.02,151.17,150.700076,3023,455566.16500000004,78,150.02,151.17,150.0,151.15,150.690565,36636,5520698.746100001,282
2020-08-19,10:30,10:30,151.16,151.49,150.975,151.16,151.28367,2049,309980.17500000005,66,151.16,151.49,150.975,151.175,151.338026,92281,13965627.0026,371
2020-08-19,11:00,11:00,151.19,151.24,150.64,151.1,150.825888,886,133631.80000000002,51,151.21,151.24,150.61,151.09,150.857111,32703,4933481.0687,264
2020-08-19,11:30,11:30,151.08,151.19,150.9,151.175,151.003875,1495,225750.77,56,151.07,151.2,150.862,151.19,151.027763,27776,4194950.113,203
2020-08-19,12:00,12:00,151.155,151.265,150.785,150.815,151.037887,972,146808.895,30,151.19,151.255,150.76,150.86,151.01802,27936,4218840.671399999,210
2020-08-19,12:30,12:30,150.89,150.895,150.595,150.885,150.780915,1158,174604.475,31,150.89,150.89,150.5,150.84,150.766372,28413,4283729.9885,212
2020-08-19,13:00,13:00,150.93,151.38,150.93,151.01,151.063612,1498,226293.31999999995,38,150.885,151.36,150.885,151.0,151.136013,28701,4337756.587100001,225
2020-08-19,13:30,13:30,150.935,151.14,150.935,151.08,151.075272,1691,255468.42000000004,36,151.0,151.16,150.935,151.07,151.065653,30958,4676692.2834,226
2020-08-19,14:00,14:00,151.085,151.34,150.725,150.725,150.950487,1935,292089.235,107,151.07,151.34,150.695,150.74,150.992781,46976,7093038.2998,383
2020-08-19,14:30,14:30,150.72,150.985,150.66,150.89,150.886523,2060,310826.33,61,150.7,151.01,150.65,150.9,150.844368,40002,6034075.4225,301
