date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,171.23,171.27,170.53,170.85,171.045149,4154,710522.4000000001,43,170.96,171.403,170.47,170.78,171.016256,34623,5921102.326200001,196
2020-11-24,10:00,10:00,170.845,171.5,170.645,171.5,171.251161,2784,476762.91500000004,81,170.78,171.455,170.54,171.44,171.131871,24373,4170996.4205,159
2020-11-24,10:30,10:30,171.435,171.925,171.39,171.685,171.755284,2002,343854.08999999997,75,171.455,171.96,171.455,171.685,171.767846,19499,3349302.8230000003,158
2020-11-24,11:00,11:00,171.735,172.145,171.62,172.145,171.777123,4099,704114.195,91,171.74,172.13,171.59,172.1,171.813627,26925,4626083.5465,238
2020-11-24,11:30,11:30,172.13,172.54,172.04,172.49,172.323578,2733,470960.625,91,172.1,172.575,172.0,172.46,172.305028,29321,5052157.6054,220
2020-11-24,12:00,12:00,172.44,172.44,171.6,171.72,172.024677,3968,682593.92,98,172.49,172.49,171.62,171.655,172.030702,27511,4732736.925,232
2020-11-24,12:30,12:30,171.815,172.14,171.61,171.985,171.827672,2402,412730.36,70,171.73,172.145,171.62,172.03,171.882225,17336,2979752.664,120
2020-11-24,13:00,13:00,171.92,172.055,171.47,171.71,171.786336,3655,627879.6249999999,89,171.96,172.045,171.48,171.67,171.827208,19169,3293759.5727999997,152
2020-11-24,13:30,13:30,171.73,172.06,171.16,171.27,171.686352,2185,375135.0500000001,87,171.724,172.12,171.151,171.27,171.803228,18203,3127332.1326,152
2020-11-24,14:00,14:00,171.31,171.665,171.19,171.62,171.437139,1185,203152.89499999996,42,171.31,171.71,171.19,171.62,171.45045,9265,1588489.1,79
2020-11-24,14:30,14:30,171.62,172.01,171.47,171.88,171.783806,3512,603304.945,77,171.66,172.01,171.44,171.93,171.760273,23012,3952550.5708,186
2020-11-24,15:00,15:00,171.865,172.19,171.65,171.84,171.864862,2565,440833.9699999999,93,171.865,172.17,171.64,171.84,171.891176,14123,2427618.3214,123
2020-11-24,15:30,15:30,171.8,172.0,171.505,171.8,171.79736,8877,1525044.5850000002,173,171.8,172.0,171.53,171.93,171.807178,103257,17740312.8695,824
2020-11-25,09:30,09:30,172.14,174.74,171.53,174.05,172.796489,6316,1091382.7850000001,95,172.0,174.79,171.33,173.6,172.738829,104335,18022715.594,687
2020-11-25,10:00,10:00,173.74,174.97,173.74,174.97,174.431066,15056,2626236.3800000004,167,173.79,174.97,173.66,174.82,174.308672,60178,10489550.8326,472
2020-11-25,10:30,10:30,174.82,175.3,174.63,174.73,174.859686,4981,870976.38,114,174.71,175.41,174.555,174.608,174.943658,37398,6542541.636600002,331
2020-11-25,11:00,11:00,174.67,174.67,171.93,172.27,173.09047,8568,1483039.8050000002,206,174.59,174.59,171.89,172.28,173.313452,39006,6760268.2666,361
2020-11-25,11:30,11:30,172.71,173.41,172.53,172.66,172.905469,2564,443329.455,48,172.6,173.41,172.58,172.81,172.913084,21204,3666447.7449999996,169
2020-11-25,12:00,12:00,172.81,173.29,172.73,173.14,173.092663,3018,522393.61000000004,40,172.69,173.29,172.69,173.0,173.0853,17248,2985373.95,156
2020-11-25,12:30,12:30,173.15,173.37,173.0,173.175,173.239267,2896,501701.09500000003,43,173.06,173.39,172.93,173.22,173.222496,22080,3824752.9407,180
2020-11-25,13:00,13:00,173.3,173.3,172.305,172.55,172.692371,1307,225708.955,49,173.29,173.36,172.32,172.42,172.74043,17289,2986509.1309,156
2020-11-25,13:30,13:30,172.27,172.665,172.17,172.54,172.479145,1410,243195.53,28,172.42,172.67,172.19,172.62,172.401184,22179,3823688.7743999995,187
2020-11-25,14:00,14:00,172.29,172.7,172.07,172.69,172.389337,845,145668.965,21,172.595,172.74,172.04,172.71,172.330093,21172,3648574.9320000005,177
2020-11-25,14:30,14:30,172.7,173.04,172.51,172.73,172.744668,1539,265854.415,33,172.8,173.09,172.49,172.7,172.772844,20667,3570694.4876000006,183
2020-11-25,15:00,15:00,172.58,172.7,172.345,172.48,172.530375,2278,393024.58999999997,35,172.65,172.72,172.21,172.52,172.520238,29128,5025174.38,259
2020-11-25,15:30,15:30,172.44,172.69,172.01,172.09,172.31167,7701,1326971.875,119,172.45,172.83,171.9,172.15,172.332958,81356,14020324.980500001,714
2020-11-27,09:30,09:30,173.865,174.205,172.76,172.91,173.599435,2273,394591.38499999995,61,173.63,174.73,172.77,173.02,173.694848,44770,7776327.705,241
2020-11-27,10:00,10:00,172.91,173.085,172.38,172.885,172.736403,1715,296243.185,58,172.91,173.09,172.38,173.09,172.76305,12715,2196683.1751,122
2020-11-27,10:30,10:30,172.81,173.52,172.675,173.34,173.319037,2240,388234.795,49,173.125,173.58,172.64,173.36,173.287303,18090,3134769.7672,170
2020-11-27,11:00,11:00,173.34,173.485,173.045,173.215,173.353023,2339,405472.715,61,173.36,173.5,173.09,173.28,173.333057,14279,2475022.104,133
2020-11-27,11:30,11:30,173.3,173.485,172.69,172.85,173.228739,1652,286173.77999999997,70,173.27,173.485,172.63,173.01,173.056416,13179,2280711.4164,115
2020-11-27,12:00,12:00,173.055,173.155,172.74,172.82,172.929247,1014,175350.335,46,173.073,173.14,172.73,172.79,172.952342,11921,2061764.1351000003,108
2020-11-27,12:30,12:30,172.82,173.415,172.65,173.415,173.045359,2149,371874.73000000004,91,172.78,173.46,172.59,173.46,173.087876,23126,4002830.5125,195
2020-11-30,09:30,09:30,173.46,174.385,171.235,172.0,172.419351,3320,572432.105,57,172.6,174.63,171.16,172.03,172.389548,56020,9657264.56,377
2020-11-30,10:00,10:00,172.405,172.96,171.92,172.305,172.300765,2631,453323.15,59,172.05,172.99,171.86,172.29,172.394431,47522,8192539.3156,346
2020-11-30,10:30,10:30,172.29,172.29,170.82,171.35,171.377487,2493,427244.04000000004,82,172.29,172.29,170.82,171.25,171.438743,29439,5046987.566,269
2020-11-30,11:00,11:00,170.97,171.355,170.59,170.63,170.986317,2015,344537.64,50,171.185,171.355,170.5,170.63,171.008528,41139,7035116.245,243
