date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,172.135,174.705,171.96,174.46,173.825915,4120,716162.755,71,172.04,174.71,171.92,174.56,173.462198,32750,5680891.5047,231
2020-10-27,10:00,10:00,174.455,175.28,173.7,173.75,174.72947,6806,1189208.2150000003,159,174.52,175.24,173.7,173.7,174.724872,36869,6441935.345500001,329
2020-10-27,10:30,10:30,173.93,174.39,173.84,174.015,174.182787,3723,648483.1550000001,124,173.82,174.45,173.79,173.95,174.179268,53301,9283922.155000001,214
2020-10-27,11:00,11:00,173.83,174.005,173.26,173.41,173.675053,3424,594663.64,109,173.956,174.02,173.243,173.365,173.609837,40150,6970434.9558,250
2020-10-27,11:30,11:30,173.18,173.56,173.0,173.34,173.271049,3326,576299.015,64,173.259,173.53,173.0,173.205,173.22908,27300,4729153.7394,232
2020-10-27,12:00,12:00,173.21,173.21,171.99,172.56,172.319187,6124,1055282.39,130,173.21,173.21,171.98,172.45,172.474861,30191,5207192.5862,268
2020-10-27,12:30,12:30,172.45,172.465,171.96,172.195,172.1902,4070,700814.1599999999,108,172.55,172.55,171.97,172.17,172.171033,25414,4375554.28,239
2020-10-27,13:00,13:00,172.285,173.0,172.185,173.0,172.544117,3327,574053.9299999999,65,172.284,173.01,172.21,172.955,172.47643,19291,3327243.3267,178
2020-10-27,13:30,13:30,173.0,173.255,172.91,173.215,173.0831,2752,476324.72,45,173.0,173.35,172.83,173.35,173.089022,18833,3259785.1643999997,159
2020-10-27,14:00,14:00,173.35,173.505,172.89,173.12,173.298497,4042,700472.645,60,173.41,173.53,172.89,173.1,173.296623,21973,3807847.0548,176
2020-10-27,14:30,14:30,173.12,173.4,172.725,172.74,172.843086,14348,2479953.095,105,173.16,173.4,172.7,172.74,172.972895,44836,7755413.5413,242
2020-10-27,15:00,15:00,172.68,172.75,172.375,172.575,172.541197,3369,581291.7750000001,83,172.68,172.76,172.35,172.575,172.550216,31723,5473810.971499998,237
2020-10-27,15:30,15:30,172.61,173.02,172.345,172.475,172.779592,16971,2932243.2750000004,307,172.575,173.02,172.36,172.45,172.717975,118817,20521829.3597,874
2020-10-28,09:30,09:30,169.15,170.475,168.41,170.0,169.698735,3614,613291.4,84,169.14,170.415,168.16,169.84,169.545232,33711,5715543.965499999,209
2020-10-28,10:00,10:00,169.92,170.17,167.44,167.85,168.796769,8580,1448276.04,131,169.78,170.14,167.44,168.0,169.019543,47623,8049224.016999999,328
2020-10-28,10:30,10:30,167.89,168.27,166.28,166.69,166.987931,8421,1406204.85,108,167.87,168.235,166.24,166.94,166.924585,212063,35398464.7352,582
2020-10-28,11:00,11:00,166.77,166.82,165.56,165.73,166.215734,5779,960560.415,83,166.8,166.83,165.57,165.85,166.213424,31044,5159933.803,270
