date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,157.59,158.15,157.51,158.08,157.785878,1368,215850.925,17,157.7,158.455,157.16,158.455,157.749855,38780,6117539.7349999985,243
2020-09-16,10:00,10:00,158.51,158.64,157.415,157.415,158.114077,2236,353543.31000000006,48,158.463,158.67,157.355,157.58,157.987307,37337,5898771.995999998,302
2020-09-16,10:30,10:30,157.48,157.715,157.1,157.455,157.364508,766,120541.235,29,157.62,157.71,157.04,157.575,157.401427,35503,5588227.945400001,301
2020-09-16,11:00,11:00,157.48,158.275,157.48,158.275,157.844477,620,97863.62000000001,31,157.54,158.35,157.51,158.29,157.908286,22697,3584046.6345999995,206
2020-09-16,11:30,11:30,158.28,158.375,158.07,158.12,158.208808,577,91286.45999999999,67,158.3,158.37,158.05,158.12,158.215922,15229,2409471.8400000003,144
2020-09-16,12:00,12:00,158.045,158.06,157.62,157.775,157.823695,1388,219059.22500000003,80,158.07,158.08,157.63,157.79,157.805168,15614,2463970.91,142
2020-09-16,12:30,12:30,157.745,157.76,157.48,157.76,157.61651,594,93624.12999999998,58,157.79,157.79,157.45,157.65,157.61574,12992,2047744.0756,119
2020-09-16,13:00,13:00,157.58,157.72,157.48,157.53,157.627395,885,139500.28,70,157.65,157.7,157.41,157.41,157.579702,13675,2154901.995,127
2020-09-16,13:30,13:30,157.405,157.705,157.18,157.705,157.389143,1680,264413.885,73,157.37,157.705,157.17,157.705,157.350922,20133,3167946.009,178
2020-09-16,14:00,14:00,157.705,158.215,157.385,158.17,157.717553,823,129801.52499999998,87,157.67,158.23,157.38,158.15,157.875116,23369,3689384.3035000004,181
2020-09-16,14:30,14:30,158.2,158.81,158.06,158.335,158.512757,2001,317184.215,118,158.19,158.99,158.04,158.32,158.49694,39414,6246999.011400001,333
2020-09-16,15:00,15:00,158.37,158.425,157.32,157.68,157.829844,2508,395837.03999999986,120,158.465,158.465,157.36,157.67,157.87195,30737,4852510.2128,274
2020-09-16,15:30,15:30,157.63,157.96,157.07,157.07,157.473939,11287,1777409.8199999998,294,157.65,157.96,157.03,157.04,157.425325,115175,18131474.273299996,1002
2020-09-17,09:30,09:30,154.08,156.24,153.905,156.24,155.048892,1129,175050.17500000002,103,154.64,156.21,153.54,156.21,154.475118,75046,11592739.750000002,203
2020-09-17,10:00,10:00,156.185,157.145,156.08,157.09,156.562604,3065,479864.31000000006,91,156.27,157.17,156.08,157.09,156.714139,51431,8059961.8149999995,461
2020-09-17,10:30,10:30,156.86,157.59,156.71,157.42,157.029535,2040,320340.35,25,157.03,157.599,156.59,157.38,157.171878,25702,4039632.0695,213
2020-09-17,11:00,11:00,157.84,157.85,157.64,157.77,157.780808,713,112497.67,15,157.36,158.0,157.36,157.73,157.759194,38059,6004157.1141,301
2020-09-17,11:30,11:30,157.75,158.4,157.75,158.4,157.974751,1735,274086.27,29,157.77,158.45,157.655,158.36,158.067413,81965,12955992.075,504
2020-09-17,12:00,12:00,158.23,158.345,157.285,157.495,157.815086,7303,1152523.0650000002,112,158.36,158.365,157.28,157.53,157.706792,83015,13092039.843000002,487
2020-09-17,12:30,12:30,157.44,157.865,157.275,157.865,157.467599,2702,425477.76499999996,113,157.53,157.9,157.29,157.9,157.506633,19179,3020821.1777,162
2020-09-17,13:00,13:00,157.82,158.005,157.68,157.78,157.845262,1335,210723.44999999998,37,157.89,158.055,157.64,157.87,157.845033,20250,3196363.3929,160
2020-09-17,13:30,13:30,157.77,157.83,157.375,157.41,157.641231,2027,319538.54000000004,26,157.81,157.91,157.37,157.39,157.630133,16169,2548721.1886,139
2020-09-17,14:00,14:00,157.5,157.73,157.43,157.43,157.620607,1301,205064.43,24,157.46,157.78,157.43,157.43,157.65697,13938,2197422.8040000005,127
2020-09-17,14:30,14:30,157.375,157.74,157.335,157.525,157.478155,3150,496056.21499999997,39,157.36,157.74,157.33,157.56,157.498509,23054,3630973.796900001,194
2020-09-17,15:00,15:00,157.38,157.745,157.29,157.395,157.486694,2455,386630.055,58,157.56,157.76,157.29,157.419,157.46596,37857,5961189.691,285
2020-09-17,15:30,15:30,157.39,158.4,157.39,158.17,157.873285,11864,1873009.53,197,157.36,158.42,157.36,158.07,157.854738,214226,33816594.474999994,1363
2020-09-18,09:30,09:30,157.6,157.6,156.67,157.125,157.154048,2693,423215.725,27,157.02,157.89,156.67,157.125,157.01921,148225,23274190.5338,187
2020-09-18,10:00,10:00,157.125,157.56,157.07,157.56,157.401447,948,149216.48500000002,19,157.14,157.7,156.99,157.62,157.365326,25472,4008407.437,191
2020-09-18,10:30,10:30,157.44,158.01,157.44,157.9,157.775264,870,137264.5,11,157.54,158.08,157.4,157.99,157.780952,26314,4151846.7315000007,187
2020-09-18,11:00,11:00,158.16,158.16,157.76,158.0,158.017724,1226,193729.81,16,158.0,158.31,157.4,158.06,157.912577,25781,4071145.58,217
2020-09-18,11:30,11:30,157.82,158.25,157.775,157.775,157.995422,874,138087.975,13,158.09,158.28,157.59,157.6,157.937473,36932,5832950.32,315
2020-09-18,12:00,12:00,157.46,157.46,156.78,157.23,157.123071,1480,232542.225,15,157.58,157.73,156.75,157.26,157.164158,30902,4856684.3001999995,262
2020-09-18,12:30,12:30,157.15,157.15,156.76,156.97,156.967814,452,70949.46,8,157.25,157.25,156.76,157.0,156.940678,42896,6732129.138,278
2020-09-18,13:00,13:00,157.02,157.02,156.685,156.73,156.798061,900,141118.255,12,157.0,157.02,156.28,156.28,156.733705,35003,5486151.61,291
2020-09-18,13:30,13:30,156.18,156.425,155.83,156.4,156.178133,1808,282369.915,20,156.2,156.46,155.73,156.44,156.197853,30694,4794334.602999999,271
2020-09-18,14:00,14:00,156.31,156.55,156.24,156.485,156.398146,998,156085.295,21,156.51,156.61,156.17,156.505,156.433805,36437,5699983.6828000005,329
2020-09-18,14:30,14:30,156.38,157.14,156.35,157.09,156.728426,1828,286499.4,28,156.485,157.16,156.33,157.14,156.606718,64242,10060744.150000002,319
2020-09-18,15:00,15:00,157.23,157.23,156.89,157.215,157.042456,2606,409253.0,35,157.27,157.29,156.86,157.24,157.070152,34017,5343058.624999999,312
2020-09-18,15:30,15:30,157.225,157.7,157.13,157.34,157.445549,9789,1541233.765,132,157.225,157.74,157.09,157.32,157.432573,136598,21504964.397699997,1183
2020-09-21,09:30,09:30,154.37,154.51,153.55,154.215,154.046593,2250,346605.1000000001,88,155.04,155.04,153.4,154.22,154.341763,30816,4756197.005599999,183
2020-09-21,10:00,10:00,154.05,154.3,152.54,152.725,153.225545,3582,548854.24,73,154.08,154.3,152.47,152.65,153.163408,25346,3882081.365,234
2020-09-21,10:30,10:30,152.75,153.45,152.59,153.06,152.90191,3001,458858.70000000007,81,152.73,153.5,152.5,153.08,152.829786,28651,4378728.1,249
