date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,38.9,39.74,38.885,39.175,39.071714,3949,154295.035,39,38.95,39.79,38.82,39.21,39.279094,424684,16681227.821400005,1794
2020-08-14,10:00,10:00,39.05,39.16,38.395,38.4,38.707522,2105,81479.22,23,39.195,39.23,38.366,38.39,38.797038,255806,9924543.191499999,1272
2020-08-14,10:30,10:30,38.4,38.81,38.38,38.73,38.541064,6086,234560.13,40,38.4,38.83,38.38,38.77,38.617221,179455,6930093.4964,911
2020-08-14,11:00,11:00,38.85,38.87,38.83,38.83,38.849147,211,8197.17,4,38.74,38.98,38.48,38.54,38.742268,153403,5943197.829800001,692
2020-08-14,11:30,11:30,38.51,38.63,38.36,38.36,38.5045,976,37580.299999999996,10,38.55,38.65,38.28,38.36,38.489213,166829,6421127.2277999995,705
2020-08-14,12:00,12:00,38.475,38.565,38.42,38.565,38.49341,1064,40957.094999999994,12,38.37,38.57,38.35,38.465,38.46152,116956,4498303.8285,441
2020-08-14,12:30,12:30,38.5,38.56,38.455,38.5,38.492429,735,28291.935,9,38.47,38.64,38.44,38.515,38.513159,107322,4133320.0944000008,383
2020-08-14,13:00,13:00,38.51,38.51,38.36,38.36,38.415603,2320,89124.7,16,38.52,38.53,38.352,38.375,38.443167,100731,3872428.0157999997,526
2020-08-14,13:30,13:30,38.27,38.27,38.185,38.25,38.25429,451,17252.684999999998,4,38.38,38.42,38.17,38.25,38.255909,134134,5131414.464699999,633
2020-08-14,14:00,14:00,38.255,38.51,38.215,38.43,38.314195,627,24023.0,10,38.249,38.52,38.19,38.51,38.328904,165547,6345234.2066,887
2020-08-14,14:30,14:30,38.5,38.53,38.435,38.52,38.487292,2400,92369.0,21,38.51,38.59,38.417,38.52,38.481959,124470,4789858.495399999,754
2020-08-14,15:00,15:00,38.515,38.515,38.3,38.315,38.385321,2807,107747.61,27,38.515,38.515,38.27,38.32,38.317425,159942,6128574.818700001,726
2020-08-14,15:30,15:30,38.335,38.57,38.335,38.495,38.493173,3510,135111.035,54,38.33,38.585,38.33,38.5,38.486497,252201,9706321.772699999,1559
2020-08-17,09:30,09:30,37.72,39.08,37.72,38.825,38.218672,12739,486867.26,102,37.73,39.15,37.69,38.84,38.160315,758435,28942113.456500005,2613
2020-08-17,10:00,10:00,38.86,39.13,38.785,38.91,38.902999,18919,736007.12,145,38.846,39.13,38.75,38.913,38.933356,478776,18640394.321299996,2236
