date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,66.2,66.58,65.2,66.56,66.205199,16683,1104499.8850000002,171,66.2,66.6,65.11,66.55,66.18565,389307,25766561.237499997,1958
2020-11-24,10:00,10:00,66.77,68.66,66.68,67.99,68.033477,35154,2391648.8200000003,327,66.63,68.7,66.62,67.955,67.794433,887685,60180154.41659999,3811
2020-11-24,10:30,10:30,67.94,68.24,67.695,68.09,67.930529,9317,632908.31,121,67.99,68.28,67.645,68.09,67.95569,166078,11285967.724,975
2020-11-24,11:00,11:00,68.055,68.85,68.055,68.155,68.441844,12282,840603.1300000002,141,68.05,68.91,68.01,68.045,68.414449,348124,23816708.923100002,1377
2020-11-24,11:30,11:30,68.12,68.28,67.0,67.0,67.754826,14642,992065.9400000003,94,68.08,68.29,66.94,67.04,67.628866,193320,13074006.538999997,939
2020-11-24,12:00,12:00,67.03,67.19,66.83,66.91,66.995565,25418,1702896.7200000002,148,66.98,67.2,66.77,66.85,66.982076,220034,14738331.646799998,1050
2020-11-24,12:30,12:30,66.88,66.89,65.845,65.99,66.225935,16580,1098025.3950000003,99,66.88,66.92,65.8,66.15,66.246359,258465,17122348.6509,1197
2020-11-24,13:00,13:00,66.14,66.56,66.14,66.23,66.366204,6011,398927.60000000003,56,66.1,66.589,66.1,66.23,66.349838,137388,9115680.654699998,709
2020-11-24,13:30,13:30,66.3,66.39,66.03,66.12,66.231025,3067,203130.52500000002,47,66.24,66.44,65.93,66.095,66.200311,101138,6695374.316499999,561
2020-11-24,14:00,14:00,66.1,66.255,65.78,66.17,66.098119,7850,518870.5399999999,101,66.1,66.29,65.76,66.24,66.085898,124008,8195191.942900001,774
2020-11-24,14:30,14:30,66.24,66.695,66.22,66.61,66.431333,10298,684109.8099999998,155,66.21,66.7,66.21,66.61,66.453945,131527,8740491.7596,724
2020-11-24,15:00,15:00,66.615,66.835,66.265,66.495,66.585416,13174,877196.6250000001,181,66.61,66.85,66.26,66.5,66.596968,145435,9685524.985899998,842
