date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,55.99,57.725,55.87,56.83,57.088946,31067,1773582.19,401,56.15,57.75,55.8,56.91,56.962859,724588,41274534.3105,2849
2020-10-27,10:00,10:00,56.92,56.94,55.69,56.105,56.177655,7768,436389.29500000004,94,56.91,56.97,55.68,56.17,56.397056,344137,19408318.5503,1034
2020-10-27,10:30,10:30,56.18,56.365,55.81,56.21,56.052935,29878,1674754.4900000002,238,56.15,56.39,55.8,56.18,56.115069,289752,16259493.8361,1372
2020-10-27,11:00,11:00,56.225,56.82,56.175,56.59,56.581054,13894,786138.6949999997,253,56.197,56.82,56.12,56.6,56.597298,231047,13076644.0927,1133
2020-10-27,11:30,11:30,56.61,56.62,55.965,56.35,56.216679,14488,814470.3949999998,178,56.61,56.62,55.94,56.38,56.220054,233714,13139443.999399997,1346
2020-10-27,12:00,12:00,56.25,56.3,55.55,55.71,55.803016,9919,553509.075,108,56.34,56.34,55.5,55.7,55.801173,199678,11142290.363800002,879
2020-10-27,12:30,12:30,55.73,55.98,55.59,55.67,55.765916,5304,295783.08999999997,90,55.71,56.02,55.58,55.67,55.761357,72755,4056933.0893999995,454
2020-10-27,13:00,13:00,55.61,55.91,55.44,55.44,55.650886,4661,259389.26999999996,71,55.65,56.101,55.388,55.39,55.729427,169152,9426738.057699999,500
2020-10-27,13:30,13:30,55.44,55.67,55.44,55.65,55.605903,2567,142740.01500000004,38,55.42,55.7,55.42,55.68,55.572344,64630,3591644.8767,463
2020-10-27,14:00,14:00,55.69,55.69,55.41,55.47,55.50031,1759,97624.94999999998,22,55.67,55.716,55.391,55.43,55.511687,59497,3302782.6787,462
2020-10-27,14:30,14:30,55.37,55.58,55.33,55.58,55.47522,11473,636469.0399999999,60,55.46,55.596,55.33,55.58,55.440772,85274,4727671.1779,548
2020-10-27,15:00,15:00,55.61,55.91,55.49,55.91,55.716689,10020,558282.8,104,55.58,55.93,55.48,55.91,55.689634,271916,15142976.6821,781
