date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,36.08,36.23,35.505,35.935,35.922928,13646,490204.88,119,36.15,36.23,35.47,36.03,35.95324,404410,14539849.197100002,1788
2020-09-16,10:00,10:00,36.02,36.29,35.88,36.2,36.01397,6831,246011.67500000002,58,36.03,36.32,35.88,36.26,36.058612,416978,15035618.802900001,2549
2020-09-16,10:30,10:30,36.3,36.3,35.87,36.0,36.038701,3925,141453.0,28,36.26,36.33,35.85,36.0,36.066261,303875,10959651.356900001,1683
2020-09-16,11:00,11:00,36.0,36.13,35.76,36.075,35.981094,2237,80489.73,22,35.99,36.14,35.72,36.055,36.065679,642343,23166389.191200003,1357
2020-09-16,11:30,11:30,36.06,36.22,35.85,35.9,35.923624,6838,245647.285,31,36.055,36.23,35.83,35.9,35.982915,167371,6022515.289799999,949
2020-09-16,12:00,12:00,35.92,36.06,35.92,36.0,35.995014,2796,100641.96,25,35.89,36.07,35.89,36.0,35.985298,91353,3287369.5711999997,562
2020-09-16,12:30,12:30,36.01,36.01,35.885,35.995,35.980494,1499,53934.57,15,36.0,36.03,35.85,35.99,35.956028,73096,2628251.3425000007,452
2020-09-16,13:00,13:00,36.02,36.02,35.725,35.81,35.807169,7300,261392.68,39,35.98,36.058,35.695,35.8,35.864728,124319,4458678.414499999,782
2020-09-16,13:30,13:30,35.785,36.05,35.775,36.05,35.874034,10680,383136.13,68,35.79,36.06,35.77,36.035,35.871009,173947,6239672.654000001,1246
2020-09-16,14:00,14:00,36.035,36.155,35.98,36.07,36.071447,10928,394189.63,96,36.035,36.18,35.98,36.07,36.069878,213964,7717664.372299998,1487
2020-09-16,14:30,14:30,36.065,36.065,35.96,36.025,36.016119,5947,214188.74499999997,98,36.07,36.12,35.95,36.03,36.017455,193384,6965203.017499999,1390
2020-09-16,15:00,15:00,36.025,36.05,35.9,35.9,36.007107,16343,588462.82,92,36.02,36.06,35.9,35.91,36.019558,379371,13664735.821800003,2346
2020-09-16,15:30,15:30,35.915,36.03,35.755,35.93,35.945339,24006,862903.965,177,35.9,36.04,35.75,35.91,35.977507,1250106,44975871.859900005,3812
2020-09-17,09:30,09:30,34.61,35.26,34.595,35.13,35.040303,10171,356393.54,85,34.65,35.3,34.53,35.14,34.961893,398495,13932176.730700005,2034
2020-09-17,10:00,10:00,35.165,35.78,35.025,35.54,35.425412,9155,324320.375,107,35.165,35.785,35.0,35.55,35.455662,226307,8023882.1403,1412
2020-09-17,10:30,10:30,35.51,35.83,35.41,35.47,35.643551,9097,324248.555,75,35.55,35.865,35.37,35.48,35.594444,173911,6190254.0841,1091
2020-09-17,11:00,11:00,35.535,36.05,35.535,35.97,35.883422,8990,322592.07499999995,74,35.5,36.06,35.5,36.0,35.881117,207632,7450102.258400001,1208
2020-09-17,11:30,11:30,36.0,36.065,35.505,35.505,35.815479,12102,433440.94,82,36.0,36.09,35.5,35.5,35.825595,208607,7473481.381000003,1364
2020-09-17,12:00,12:00,35.49,35.63,35.31,35.46,35.449494,9972,353501.89,98,35.49,35.63,35.27,35.46,35.441222,178346,6320831.3346,1128
2020-09-17,12:30,12:30,35.425,35.675,35.42,35.675,35.537741,7631,271188.935,81,35.46,35.74,35.41,35.74,35.537402,111631,3967079.9233000004,779
2020-09-17,13:00,13:00,35.695,36.045,35.695,36.045,35.895052,8782,315230.005,112,35.72,36.04,35.69,36.04,35.882132,130164,4670558.5727,835
2020-09-17,13:30,13:30,36.055,36.08,35.955,36.04,36.004431,7338,264200.7,86,36.04,36.108,35.95,35.99,36.008992,194574,7006403.565299999,1112
2020-09-17,14:00,14:00,36.005,36.075,35.82,35.82,35.990937,6686,240635.25999999998,85,36.01,36.08,35.81,35.81,35.989839,149659,5386213.607999999,980
2020-09-17,14:30,14:30,35.775,36.03,35.775,35.995,35.926247,8356,300199.62,85,35.82,36.04,35.76,35.995,35.901995,194781,6993044.878699999,1334
2020-09-17,15:00,15:00,35.935,36.115,35.735,35.765,35.964212,9037,325008.80999999994,86,36.0,36.12,35.735,35.775,36.012315,554063,19953176.607,1865
2020-09-17,15:30,15:30,35.77,36.14,35.74,36.09,36.007726,26732,962558.2599999998,242,35.77,36.14,35.73,36.09,36.015938,554854,19983625.136600003,3601
2020-09-18,09:30,09:30,36.535,36.725,36.175,36.31,36.33466,12618,458470.69999999995,78,36.5,36.8,36.12,36.31,36.488534,393373,14353610.860299999,1873
2020-09-18,10:00,10:00,36.395,36.43,35.88,35.955,36.125157,7586,274045.69499999995,84,36.33,36.45,35.868,35.95,36.21108,247285,8954490.383700002,1438
2020-09-18,10:30,10:30,35.955,36.12,35.885,35.97,35.98599,6418,230958.30500000002,55,35.96,36.13,35.85,35.965,35.978762,231415,8326020.439300001,1317
2020-09-18,11:00,11:00,35.995,36.2,35.97,36.16,36.091338,7037,253975.15000000005,98,35.98,36.21,35.96,36.17,36.101146,166905,6025465.0131,984
2020-09-18,11:30,11:30,36.125,36.31,36.02,36.29,36.163077,6009,217303.81,72,36.17,36.33,36.01,36.33,36.17038,103523,3744468.1985000004,707
2020-09-18,12:00,12:00,36.295,36.52,36.28,36.3,36.386586,9182,334103.505,76,36.32,36.523,36.24,36.31,36.377218,160095,5823831.129199999,965
2020-09-18,12:30,12:30,36.21,36.21,35.76,35.83,35.958404,10062,361812.90499999997,82,36.29,36.3,35.75,35.86,35.980455,208383,7497726.1282,1143
2020-09-18,13:00,13:00,35.9,36.01,35.79,35.815,35.903352,7694,276240.245,56,35.855,36.05,35.785,35.79,35.940333,193432,6952018.161300002,1053
2020-09-18,13:30,13:30,35.695,36.185,35.695,36.185,36.027905,5705,205540.04,44,35.78,36.2,35.64,36.186,36.00335,149839,5394702.525000002,959
2020-09-18,14:00,14:00,36.12,36.25,36.06,36.225,36.173902,1858,67211.015,23,36.18,36.27,36.05,36.22,36.18802,116604,4219670.3238,802
2020-09-18,14:30,14:30,36.2,36.56,36.2,36.49,36.420173,9140,332880.44999999995,84,36.21,36.57,36.2,36.48,36.422244,319512,11637375.5626,1703
2020-09-18,15:00,15:00,36.445,36.945,36.445,36.92,36.665853,11295,414141.28,138,36.48,36.99,36.44,36.91,36.569082,590108,21579828.8042,1457
2020-09-18,15:30,15:30,36.925,37.165,36.675,37.11,36.918377,62223,2297179.735,590,36.905,37.181,36.67,37.08,36.976033,898359,33217722.769599993,4232
2020-09-21,09:30,09:30,36.8,37.595,36.655,37.595,37.243688,20887,777907.3049999999,185,36.5,37.64,36.5,37.59,37.139124,470232,17464048.4905,1868
2020-09-21,10:00,10:00,37.6,37.64,37.16,37.16,37.371157,27124,1013656.2449999999,267,37.595,37.69,37.14,37.16,37.353958,284529,10628300.352599999,1458
2020-09-21,10:30,10:30,37.1,37.18,36.7,37.125,36.94802,16866,623168.2050000001,84,37.16,37.19,36.63,37.1,36.92596,255847,9447426.780099997,1247
2020-09-21,11:00,11:00,37.065,37.18,36.825,37.095,36.976642,9225,341110.55,83,37.08,37.19,36.8,37.114,37.007318,176263,6523025.009299999,944
2020-09-21,11:30,11:30,37.11,37.725,37.085,37.7,37.496163,18451,691841.1900000001,132,37.1,37.74,37.08,37.723,37.537748,220425,8274281.3204000015,1134
2020-09-21,12:00,12:00,37.73,38.045,37.73,38.01,37.893606,12227,463325.635,104,37.72,38.045,37.72,38.01,37.897471,257499,9758599.678000001,1253
2020-09-21,12:30,12:30,37.985,38.34,37.925,38.26,38.119098,17756,676843.735,148,38.01,38.34,37.925,38.33,38.156221,292809,11172493.060600001,1358
2020-09-21,13:00,13:00,38.37,38.45,38.23,38.3,38.352324,9987,383024.295,154,38.34,38.47,38.22,38.37,38.354296,215909,8281059.187900001,1148
2020-09-21,13:30,13:30,38.365,38.5,38.105,38.26,38.294712,14324,548534.8450000001,242,38.355,38.5,38.09,38.27,38.29442,215181,8240235.732099999,1182
2020-09-21,14:00,14:00,38.295,38.44,38.15,38.22,38.285554,8825,337870.555,162,38.27,38.47,38.15,38.23,38.286642,175786,6730270.530200002,997
2020-09-21,14:30,14:30,38.215,38.42,38.03,38.41,38.19678,12014,458897.05500000005,199,38.22,38.42,38.02,38.39,38.205214,179693,6865213.740499999,1002
2020-09-21,15:00,15:00,38.36,38.51,38.36,38.455,38.457549,17850,686469.8550000001,197,38.4,38.52,38.35,38.45,38.455295,254840,9799990.082200002,1354
2020-09-21,15:30,15:30,38.455,38.95,38.405,38.95,38.790355,34487,1337759.3750000002,361,38.45,38.97,38.4,38.97,38.779783,565364,21924699.700499997,2756
2020-09-22,09:30,09:30,39.21,39.21,37.59,38.34,37.973686,11572,439434.11000000004,96,39.14,39.21,37.56,38.57,38.172666,1040295,39710664.830800004,3678
2020-09-22,10:00,10:00,38.58,38.73,38.165,38.405,38.366708,11824,453647.69,93,38.6,38.73,38.13,38.42,38.369803,169479,6502899.066300002,964
2020-09-22,10:30,10:30,38.405,38.75,38.39,38.67,38.590318,17342,669234.1799999999,110,38.405,38.781,38.38,38.61,38.601076,134629,5196837.131699999,769
2020-09-22,11:00,11:00,38.6,38.735,38.32,38.675,38.517705,13858,533778.165,94,38.6,38.76,38.31,38.652,38.521458,130307,5019614.2259,821
2020-09-22,11:30,11:30,38.69,38.95,38.66,38.9,38.850666,7885,306336.86000000004,70,38.69,38.96,38.635,38.92,38.818167,99727,3871222.8717,556
2020-09-22,12:00,12:00,38.935,39.08,38.82,38.9,38.969713,10783,420210.29000000004,74,38.93,39.11,38.81,38.91,38.964805,195120,7602809.840400001,885
2020-09-22,12:30,12:30,38.92,38.945,38.72,38.83,38.855799,9445,366992.895,81,38.92,38.96,38.71,38.87,38.84652,86870,3374601.3569000005,541
2020-09-22,13:00,13:00,38.835,39.12,38.835,39.12,38.958409,9390,365818.745,63,38.86,39.16,38.835,39.148,38.951769,195698,7622756.7151,591
2020-09-22,13:30,13:30,39.16,39.345,39.055,39.28,39.291824,7247,284748.01,53,39.15,39.36,39.055,39.3,39.235888,127837,5015793.8009,556
2020-09-22,14:00,14:00,39.35,39.48,39.34,39.425,39.407341,11555,455352.52,102,39.32,39.49,39.32,39.44,39.400885,148693,5858645.376299999,860
2020-09-22,14:30,14:30,39.45,39.855,39.375,39.715,39.604473,12852,508997.84,101,39.45,39.87,39.37,39.7,39.634623,283849,11250217.9948,1247
2020-09-22,15:00,15:00,39.69,39.84,39.59,39.77,39.731733,27367,1087336.895,90,39.695,39.85,39.54,39.79,39.695708,192890,7656911.013500001,1116
2020-09-22,15:30,15:30,39.825,39.97,39.615,39.89,39.826967,38689,1540869.4749999999,297,39.8,39.97,39.615,39.86,39.838326,414352,16507116.9497,2335
2020-09-23,09:30,09:30,39.95,40.11,39.47,40.01,39.852582,11580,461493.91000000003,90,39.92,40.16,39.4,39.98,39.931778,521725,20833493.8486,2206
2020-09-23,10:00,10:00,39.94,40.24,39.87,40.12,39.991867,10226,408957.13,128,40.0,40.27,39.84,40.16,40.047508,366900,14693436.218599997,1627
2020-09-23,10:30,10:30,40.135,40.52,40.135,40.29,40.404393,7145,288689.13,80,40.124,40.55,40.117,40.29,40.430929,592744,23965192.3221,2198
2020-09-23,11:00,11:00,40.25,40.395,40.16,40.21,40.283006,14913,600741.505,116,40.29,40.43,40.15,40.24,40.285087,245614,9894585.2235,1293
2020-09-23,11:30,11:30,40.265,40.265,39.74,39.79,39.98348,6542,261572.0,86,40.24,40.29,39.67,39.82,39.957966,262280,10480226.123599999,1328
2020-09-23,12:00,12:00,39.8,40.18,39.745,40.17,39.939951,11514,459868.05000000005,83,39.8,40.2,39.71,40.19,39.936728,176088,7032393.2696,949
2020-09-23,12:30,12:30,40.19,40.44,40.155,40.44,40.303224,5846,235612.24,77,40.19,40.45,40.145,40.43,40.323002,193869,7817400.0851,810
2020-09-23,13:00,13:00,40.42,40.575,40.38,40.51,40.510472,11456,464091.895,85,40.416,40.6,40.37,40.41,40.493776,204749,8291087.5214,785
2020-09-23,13:30,13:30,40.42,40.42,40.14,40.28,40.317904,6503,262188.065,63,40.394,40.43,40.12,40.23,40.268125,154448,6219330.6685,746
2020-09-23,14:00,14:00,40.24,40.24,39.775,39.865,39.873612,12682,505677.07999999996,79,40.24,40.24,39.7,39.865,39.890296,523256,20872890.174599998,1156
2020-09-23,14:30,14:30,39.865,39.92,39.69,39.735,39.847309,15295,609467.35,83,39.85,39.99,39.66,39.8,39.814385,257094,10236064.8473,1313
2020-09-23,15:00,15:00,39.785,40.12,39.46,40.08,39.808997,22471,894550.0249999999,166,39.8,40.12,39.44,40.08,39.797495,378367,15058073.9927,1854
2020-09-23,15:30,15:30,40.075,40.29,39.78,39.985,39.999668,12591,503637.98500000004,151,40.085,40.3,39.78,39.97,40.020795,769068,30778662.647700004,3207
2020-09-24,09:30,09:30,39.25,39.44,38.29,39.24,38.965729,13777,536830.66,136,39.08,39.5,38.28,39.24,39.016508,468889,18294482.536400005,2002
2020-09-24,10:00,10:00,39.27,39.5,38.715,38.715,39.29967,4954,194690.965,47,39.26,39.58,38.67,38.67,39.20517,180478,7075684.683700003,1030
2020-09-24,10:30,10:30,38.605,38.84,38.2,38.63,38.51336,4137,159329.385,38,38.64,38.854,38.19,38.755,38.524735,217664,8385439.696800001,1126
2020-09-24,11:00,11:00,38.63,39.005,38.25,38.84,38.675331,3795,146772.50999999998,43,38.755,39.03,38.23,38.9,38.656531,195300,7549623.336899999,970
2020-09-24,11:30,11:30,38.955,39.26,38.955,39.26,39.144386,5005,195917.6,47,38.94,39.27,38.88,39.26,39.096738,188299,7361868.064999999,1069
2020-09-24,12:00,12:00,39.215,39.5,38.765,38.765,39.109892,14134,552780.1199999999,158,39.25,39.5,38.74,38.74,39.137233,248250,9715836.4665,1569
2020-09-24,12:30,12:30,38.76,38.76,38.34,38.49,38.547906,12513,482350.4149999999,176,38.76,38.765,38.33,38.515,38.551559,207317,7992425.429900002,1115
2020-09-24,13:00,13:00,38.51,38.65,38.335,38.545,38.513733,9329,359296.33499999996,147,38.51,38.66,38.335,38.54,38.509162,222889,8583269.410899999,1181
2020-09-24,13:30,13:30,38.55,38.765,38.26,38.27,38.5279,13495,519933.2650000001,134,38.55,38.77,38.26,38.27,38.548343,253171,9759342.371699996,1140
2020-09-24,14:00,14:00,38.29,38.445,38.16,38.17,38.277391,10870,416076.135,181,38.27,38.45,38.145,38.15,38.251267,251297,9612454.1399,1145
2020-09-24,14:30,14:30,38.14,38.54,38.12,38.285,38.328752,5342,204752.885,98,38.15,38.57,38.11,38.26,38.333885,184626,7077461.702599999,913
2020-09-24,15:00,15:00,38.295,38.51,38.16,38.25,38.303995,8129,311372.68500000006,140,38.27,38.5,38.15,38.3,38.280607,276266,10575653.457600003,909
2020-09-24,15:30,15:30,38.275,38.645,38.155,38.52,38.408874,13043,500966.88999999996,152,38.275,38.65,38.137,38.48,38.43066,450604,17317041.317199998,1939
