date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,482.5,488.01,482.5,486.685,485.503644,11899,5777007.715,129,482.82,488.325,482.065,486.74,485.285884,419300,203480411.662,2392
2020-08-14,10:00,10:00,486.88,487.305,481.36,481.36,483.723445,4118,1991972.8949999998,58,486.87,487.72,480.65,480.783,483.761871,197845,95709885.97810002,1077
2020-08-14,10:30,10:30,480.61,484.32,480.61,481.44,482.758285,2855,1378274.7999999998,53,480.74,484.43,480.21,481.31,482.615253,168085,81120382.94969998,959
2020-08-14,11:00,11:00,481.23,483.17,480.89,482.69,482.24535,2226,1073478.34,37,481.22,483.418,480.85,482.44,482.270543,101577,48987606.42960001,665
2020-08-14,11:30,11:30,482.0,482.915,482.0,482.16,482.436677,3736,1802383.9349999998,48,482.45,483.12,481.55,481.83,482.307542,88504,42686143.6424,614
2020-08-14,12:00,12:00,481.815,482.35,480.725,482.15,481.543541,2798,1347358.78,45,481.73,482.75,480.63,482.21,481.648493,76920,37048402.902399994,522
2020-08-14,12:30,12:30,482.01,484.07,482.01,483.73,483.328848,3343,1615768.27,68,482.12,484.183,481.82,483.62,483.446676,100905,48782192.63320001,677
2020-08-14,13:00,13:00,482.91,482.91,481.64,482.51,482.156693,1142,550622.955,17,483.5,483.5,481.5,482.53,482.238858,75215,36271602.1081,584
2020-08-14,13:30,13:30,482.74,482.74,481.53,482.28,482.06813,1094,527382.705,46,482.57,482.88,481.5,482.319,482.121197,50711,24448849.011099998,382
2020-08-14,14:00,14:00,482.04,482.04,480.945,481.475,481.488418,1488,716454.85,29,482.35,482.35,480.89,481.575,481.432737,90330,43487837.3572,602
2020-08-14,14:30,14:30,481.85,482.16,481.66,482.16,481.979303,789,380281.6699999999,15,481.7,482.38,481.323,482.38,481.962617,49760,23982463.546400003,330
2020-08-14,15:00,15:00,482.26,482.26,480.64,480.84,481.280703,2767,1331703.76,43,482.35,482.45,480.5,480.83,481.395884,98597,47464199.883099996,715
2020-08-14,15:30,15:30,480.89,483.3,480.82,482.34,481.978304,8509,4101153.775000001,129,480.79,483.354,480.58,482.57,482.041259,218138,105151523.7799,1553
2020-08-17,09:30,09:30,484.05,484.82,481.73,484.78,484.164027,12672,6135323.5,99,484.19,484.85,481.54,484.635,483.474922,259993,125700149.87729996,1346
2020-08-17,10:00,10:00,485.08,486.13,482.07,483.175,484.33922,4897,2371809.1000000006,77,484.77,486.24,481.6,482.915,484.250792,124703,60387546.73789999,789
2020-08-17,10:30,10:30,483.01,483.17,479.97,480.005,481.069707,3854,1854042.8250000002,66,483.2,483.48,479.97,480.38,481.038856,124070,59682499.55819999,796
2020-08-17,11:00,11:00,480.0,481.98,479.75,479.75,480.744315,7543,3626255.0699999994,88,480.3,482.15,479.67,480.01,480.758432,146464,70413837.4593,940
2020-08-17,11:30,11:30,480.03,480.56,479.19,480.275,479.945205,1716,823585.7649999999,35,480.007,480.51,479.1,480.1,479.749641,59178,28390628.3379,356
2020-08-17,12:00,12:00,480.05,482.325,480.05,481.83,481.299843,922,443758.48500000004,21,480.19,482.35,479.82,481.83,481.193893,54138,26050876.470500004,370
2020-08-17,12:30,12:30,481.925,482.625,481.69,481.88,482.157177,1257,606071.655,22,481.69,482.848,481.62,481.84,482.240184,48550,23412762.965,350
2020-08-17,13:00,13:00,481.82,483.09,481.82,482.34,482.405382,1560,752552.53,21,481.843,483.105,481.705,482.3,482.505898,49566,23915887.6588,362
2020-08-17,13:30,13:30,482.82,483.96,482.82,483.28,483.620703,1918,927584.4,28,482.305,484.0,482.18,483.38,483.44119,59259,28648246.899000004,383
2020-08-17,14:00,14:00,483.34,484.51,482.865,484.17,484.10728,6296,3047939.245,90,483.3,484.51,482.75,484.106,483.824812,60050,29053679.1245,421
2020-08-17,14:30,14:30,484.1,484.47,483.39,484.21,484.218295,4643,2248225.0199999996,60,484.105,484.52,483.277,484.31,484.007497,64800,31363693.544299997,448
2020-08-17,15:00,15:00,484.05,484.185,483.28,483.945,483.72102,4548,2199963.495,76,484.27,484.28,483.28,484.19,483.789493,50840,24595859.170100003,424
2020-08-17,15:30,15:30,484.21,484.32,482.24,482.525,483.516876,9399,4544575.915,152,484.25,484.4,482.2,482.58,483.32879,191653,92631441.20840001,1565
2020-08-18,09:30,09:30,484.24,490.02,482.8,488.13,486.21328,5878,2857961.2450000006,96,484.35,490.7,482.8,488.15,486.427665,393308,191315944.82669997,2215
2020-08-18,10:00,10:00,488.0,489.065,485.665,485.665,487.61477,1523,742637.395,29,488.2,489.352,485.35,485.87,487.887758,165646,80816661.66919999,1026
2020-08-18,10:30,10:30,486.88,489.4,486.88,488.38,488.137883,819,399784.935,17,485.7,489.6,485.47,488.55,488.131869,73139,35701473.560600005,488
2020-08-18,11:00,11:00,488.49,489.55,488.0,489.485,488.91633,945,462025.94000000006,24,488.5,489.98,487.9,489.263,489.06624,75841,37091274.7473,518
2020-08-18,11:30,11:30,489.295,492.35,489.02,492.35,491.479447,4962,2438720.78,78,489.37,492.52,488.73,492.47,491.006311,208640,102443589.4646,1174
2020-08-18,12:00,12:00,492.405,494.0,491.18,493.12,492.780212,1987,979154.435,45,492.55,494.0,491.076,493.25,492.823555,137379,67703608.8754,776
2020-08-18,12:30,12:30,493.18,493.8,492.24,492.315,492.939691,2096,1033201.9199999999,41,493.301,494.0,492.17,492.26,493.126712,83925,41385666.8854,538
2020-08-18,13:00,13:00,491.86,494.015,491.305,493.745,492.644652,4877,2402628.335,81,492.15,494.07,491.22,493.745,492.435154,113332,55808669.526099995,684
2020-08-18,13:30,13:30,493.82,493.95,492.94,492.96,493.57168,3693,1822760.3450000002,51,493.78,494.05,492.94,492.952,493.600573,80443,39706709.43959999,584
2020-08-18,14:00,14:00,492.94,493.6,491.97,493.6,492.69068,8972,4420421.175,122,492.88,493.7,491.97,493.7,492.763504,98736,48653501.57909999,693
