date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,478.71,480.89,475.67,480.53,477.57273,17613,8411489.91,347,478.84,481.0,475.89,480.53,477.983536,385265,184150361.34340003,1981
2020-11-24,10:00,10:00,480.38,480.79,477.085,477.3,479.288124,19675,9429995.17,245,480.64,480.94,477.0,477.311,479.049732,170674,81761334.69189999,1028
2020-11-24,10:30,10:30,477.11,478.96,476.39,477.455,477.828253,6516,3113529.390000001,156,477.14,479.131,476.32,477.432,477.799284,133835,63946270.40300001,757
2020-11-24,11:00,11:00,477.425,481.36,477.35,481.17,480.145995,9395,4510972.255,184,477.434,481.46,477.36,481.205,480.229017,168871,81096758.74219999,935
2020-11-24,11:30,11:30,481.14,482.62,480.93,482.38,481.783008,6855,3302622.775,141,481.205,482.8,480.94,482.38,481.885575,141298,68089477.51710002,808
2020-11-24,12:00,12:00,482.25,482.25,480.32,480.58,481.223152,4912,2363768.9850000003,95,482.09,482.41,480.2,480.7,481.019986,81846,39369569.98720001,532
2020-11-24,12:30,12:30,480.75,482.03,479.85,480.38,481.118558,4905,2359886.085000001,104,480.96,482.326,479.67,480.159,481.139209,110380,53108156.9456,578
2020-11-24,13:00,13:00,480.17,480.17,478.27,478.48,479.221155,6350,3043054.2500000005,124,480.17,480.19,478.325,478.662,479.225745,89887,43076177.33800001,534
2020-11-24,13:30,13:30,478.82,481.985,478.82,481.635,480.524866,4558,2190232.98,108,478.82,482.12,478.78,481.735,480.667881,89988,43254346.02379999,576
2020-11-24,14:00,14:00,481.75,482.38,480.67,481.22,481.564624,4988,2402044.8550000004,85,481.745,482.42,480.6,481.205,481.537908,88330,42534248.444699995,488
2020-11-24,14:30,14:30,481.415,482.97,481.01,482.315,482.206451,10723,5170698.23,140,481.11,482.97,481.0,482.315,482.100587,102706,49514638.7889,614
2020-11-24,15:00,15:00,482.29,483.46,481.39,483.29,482.509607,13655,6588668.319999999,218,482.29,483.5,481.33,483.29,482.476791,110567,53346006.3394,680
2020-11-24,15:30,15:30,483.29,484.02,482.41,482.9,483.205159,30147,14567186.780000001,488,483.272,484.05,482.41,482.78,483.285921,202488,97859606.4694,1487
2020-11-25,09:30,09:30,485.295,486.0,479.63,480.495,483.350786,15390,7438768.795,293,485.13,486.0,479.62,480.648,483.735303,320990,155274217.24670002,1852
2020-11-25,10:00,10:00,480.99,481.13,479.0,480.76,479.810792,13699,6572928.31,253,480.57,481.354,478.919,480.77,479.950131,175357,84162608.40380001,1101
2020-11-25,10:30,10:30,481.26,483.85,481.26,483.82,482.701493,5434,2623000.1750000003,117,480.99,484.07,480.76,483.972,482.612166,171346,82693659.337,855
2020-11-25,11:00,11:00,484.1,484.61,481.18,481.18,482.816086,2937,1418031.3549999997,82,484.07,484.675,481.105,481.185,482.940368,96904,46798845.9202,564
2020-11-25,11:30,11:30,481.13,482.28,480.395,481.83,481.503931,5513,2654531.54,115,481.185,482.28,480.01,481.83,481.396681,80901,38945474.0294,480
2020-11-25,12:00,12:00,481.95,483.89,481.4,483.38,482.834236,4232,2043354.4600000002,89,481.84,483.95,481.29,483.5,482.760515,76320,36844287.928600006,424
2020-11-25,12:30,12:30,483.63,484.21,483.37,484.04,483.7535,4244,2053050.3799999997,84,483.37,484.24,483.21,484.04,483.722253,52731,25507165.894400004,353
2020-11-25,13:00,13:00,484.23,484.9,482.235,482.26,483.707749,5311,2568972.3549999995,105,484.0,484.91,482.22,482.26,483.914931,85067,41165194.167500004,456
2020-11-25,13:30,13:30,482.3,483.62,481.975,483.09,482.917807,5185,2503929.045,99,482.3,483.65,481.89,483.09,482.930575,49402,23857737.417299997,302
2020-11-25,14:00,14:00,483.03,483.355,482.11,483.09,482.70174,7197,3474004.1850000005,123,483.09,483.39,482.1,482.88,482.711741,56152,27105236.7265,362
2020-11-25,14:30,14:30,482.84,485.19,482.76,485.0,483.830556,11809,5713555.6450000005,176,482.881,485.2,482.7,485.07,484.18436,103151,49944106.0523,622
2020-11-25,15:00,15:00,485.05,486.86,484.98,485.88,486.017928,8106,3939662.329999999,180,484.995,486.9,484.9,485.9,485.936824,128918,62645992.14650001,864
2020-11-25,15:30,15:30,485.83,486.0,484.63,485.03,485.307236,17942,8707383.31,332,485.86,486.0,484.61,484.8,485.290696,173728,84308603.39330003,1353
2020-11-27,09:30,09:30,486.78,487.84,481.95,484.565,484.954021,16393,7949852.654999999,369,486.58,487.93,481.845,484.5,484.588641,287828,139478185.2989,1716
2020-11-27,10:00,10:00,484.71,488.48,484.11,487.01,485.924441,17851,8674235.05,251,484.66,488.49,483.941,487.05,486.464574,176629,85923735.3583,1172
2020-11-27,10:30,10:30,487.1,489.38,486.01,487.95,487.592569,8655,4220113.92,200,487.1,489.46,485.92,487.87,487.800553,140250,68414027.71660002,888
2020-11-27,11:00,11:00,487.92,493.14,487.92,491.51,491.094514,12303,6041936.5649999995,240,487.88,493.25,487.88,491.51,490.835281,269610,132334102.4506,1633
2020-11-27,11:30,11:30,491.72,493.115,489.64,489.95,491.733339,12615,6203215.774999999,191,491.61,493.25,489.58,489.95,491.699265,172785,84958246.9077,1080
2020-11-27,12:00,12:00,489.78,490.48,488.07,488.475,489.002665,10274,5024013.649999999,198,489.77,490.395,487.96,488.34,488.944055,97816,47826560.97530001,740
2020-11-27,12:30,12:30,488.3,491.63,487.89,491.57,489.83481,11807,5783481.335000001,267,488.24,491.67,487.817,491.34,490.348493,143464,70347354.60710001,1036
2020-11-30,09:30,09:30,490.06,492.5,487.03,489.24,489.204473,23976,11729166.85,377,490.08,492.55,487.0,489.27,489.377818,248109,121419086.02339998,1550
2020-11-30,10:00,10:00,489.27,489.365,486.81,487.31,487.790319,9845,4802296.265000001,190,489.085,489.578,486.78,487.34,487.85123,102086,49802788.419499986,691
2020-11-30,10:30,10:30,487.41,487.76,481.41,484.32,484.40992,11613,5625453.714999999,205,487.44,487.775,481.268,484.235,484.16387,157647,76326982.81109999,991
2020-11-30,11:00,11:00,484.155,485.035,482.455,484.08,484.294711,8875,4298115.594999999,191,484.24,485.1,482.455,484.04,484.146352,80243,38849361.848,598
2020-11-30,11:30,11:30,484.05,486.3,482.73,485.87,484.740287,3326,1612246.4500000002,109,484.04,486.387,482.39,485.93,484.862417,95818,46458555.13210001,567
2020-11-30,12:00,12:00,485.73,485.93,484.1,485.92,485.141383,3213,1558759.4749999999,83,485.835,486.42,484.157,486.315,485.270831,84650,41078181.9448,366
2020-11-30,12:30,12:30,486.46,486.795,485.43,486.72,486.180191,3832,1863042.7400000002,116,486.4,486.9,485.331,486.72,486.264662,46197,22463975.201899994,341
2020-11-30,13:00,13:00,486.62,487.1,486.2,486.24,486.553989,2976,1447984.79,102,486.61,487.11,486.13,486.257,486.622152,38525,18747118.7266,290
2020-11-30,13:30,13:30,486.5,488.37,486.36,487.52,487.569082,4672,2277922.755,123,486.5,488.52,486.44,487.52,487.592327,52124,25415260.9398,348
2020-11-30,14:00,14:00,487.52,488.47,487.38,488.0,488.077529,11401,5564570.9750000015,174,487.43,488.47,487.342,487.987,487.994229,53151,25937383.9922,435
2020-11-30,14:30,14:30,487.92,489.95,487.76,489.93,488.706634,13646,6668890.675,238,488.01,489.95,487.76,489.89,488.755659,81005,39591657.787999995,539
2020-11-30,15:00,15:00,489.89,489.905,487.78,487.805,488.78898,20405,9973741.73,285,489.96,489.99,487.71,487.87,488.773543,95165,46514145.824899994,720
2020-11-30,15:30,15:30,487.94,490.9,487.91,490.9,489.407486,44917,21982718.299999997,733,487.98,490.98,487.965,490.7,489.64268,236156,115632128.8844,1885
2020-12-01,09:30,09:30,492.53,505.14,492.21,502.15,499.376103,70159,35035722.87,896,492.34,505.193,491.981,502.34,499.783863,799693,399673679.77309996,4561
2020-12-01,10:00,10:00,502.24,507.35,499.84,503.4,503.447917,24304,12235798.219999997,412,502.39,507.42,499.72,503.435,503.940602,432486,217947285.48810002,2497
2020-12-01,10:30,10:30,502.87,503.6,499.81,502.16,501.504583,14166,7104314.850000001,292,503.53,503.79,499.5,502.16,501.628243,203283,101972513.25889999,1276
