date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,489.795,490.09,484.52,485.92,487.141865,30289,14755043.360000001,417,490.01,490.49,484.23,486.46,487.221665,444066,216358564.24209997,2574
2020-10-27,10:00,10:00,486.46,486.81,483.06,483.93,484.588588,19390,9396175.775,257,486.51,486.8,482.93,483.79,484.533997,265192,128494561.6355,1696
2020-10-27,10:30,10:30,483.74,486.85,483.74,486.38,485.244502,9729,4720944.6,148,483.719,486.85,483.53,486.395,485.25059,132581,64335013.183400005,916
2020-10-27,11:00,11:00,486.38,486.68,483.545,483.99,484.669623,16166,7835171.930000001,168,486.38,486.68,483.5,484.12,484.783754,130330,63181862.0915,899
2020-10-27,11:30,11:30,484.025,485.78,483.58,485.64,484.798127,14874,7210887.310000001,141,483.9,485.95,483.5,485.837,484.768513,130220,63126567.525,763
2020-10-27,12:00,12:00,486.15,486.2,483.21,483.21,484.151188,11407,5522715.400000001,173,485.95,486.13,483.21,483.21,484.193758,131969,63898564.0403,790
2020-10-27,12:30,12:30,483.21,484.57,483.13,484.44,483.830215,8083,3910799.2800000003,122,483.31,484.689,483.13,484.529,483.819467,87878,42517085.37310001,580
2020-10-27,13:00,13:00,484.52,488.5,484.43,488.25,486.597552,17152,8346120.58,233,484.52,488.55,484.484,488.25,486.230075,191369,93049365.79479998,1213
2020-10-27,13:30,13:30,488.19,489.37,487.36,487.44,488.364449,11775,5750491.135,209,488.138,489.379,487.34,487.57,488.367192,125975,61522062.686099984,839
2020-10-27,14:00,14:00,487.6,487.6,486.08,486.91,486.685389,7384,3593685.6550000003,141,487.5,487.75,486.02,486.85,486.771627,94273,45889427.82799999,634
2020-10-27,14:30,14:30,486.99,487.09,485.51,485.88,486.296914,6608,3213449.5550000006,158,487.0,487.15,485.5,486.01,486.342716,66018,32107379.558,469
2020-10-27,15:00,15:00,486.17,487.86,485.64,487.73,486.496974,8845,4303065.975,165,486.13,487.89,485.6,487.72,486.721191,88978,43307475.042899996,673
2020-10-27,15:30,15:30,487.63,489.48,487.48,489.0,488.721501,33786,16511942.785,555,487.65,489.6,487.47,488.97,488.60347,300648,146897668.6525,2087
2020-10-28,09:30,09:30,486.49,493.13,485.15,493.13,488.754689,71814,35099433.31,927,486.36,493.13,485.1,492.91,489.18189,754327,369003175.6560001,4060
2020-10-28,10:00,10:00,493.055,493.23,486.75,488.845,489.927971,24246,11878793.210000003,430,492.91,493.2,486.75,489.29,489.867816,406645,199202382.7264,2505
2020-10-28,10:30,10:30,489.28,493.98,489.07,490.79,492.493242,38462,18942277.294999998,593,489.26,494.0,489.2,490.79,492.160223,567886,279490971.5897,3442
2020-10-28,11:00,11:00,490.685,493.37,488.56,490.16,490.565666,22048,10815994.57,361,490.7,493.37,488.5,490.335,490.604126,247317,121334750.1209,1611
2020-10-28,11:30,11:30,490.16,491.415,489.305,489.68,490.331409,13042,6394901.575,300,490.18,491.49,489.19,489.855,490.408909,222359,109046858.94140002,1182
2020-10-28,12:00,12:00,489.83,490.04,485.8,486.31,488.113263,11876,5796833.76,285,489.8,490.1,485.66,486.29,488.479927,283897,138677996.5861,1239
2020-10-28,12:30,12:30,486.05,487.43,486.05,486.65,486.860897,11991,5837949.785,226,486.15,487.5,486.03,486.725,486.825654,163219,79459208.23479998,967
2020-10-28,13:00,13:00,486.58,486.86,483.37,484.57,484.674716,8739,4235572.04,198,486.62,486.939,483.28,484.63,484.894916,178930,86762257.7492,1036
2020-10-28,13:30,13:30,484.48,487.54,484.48,486.93,486.440235,9050,4402285.489999999,183,484.64,487.57,484.38,486.95,486.324693,104091,50622021.857099995,681
2020-10-28,14:00,14:00,486.93,487.025,485.21,486.605,486.157892,9417,4578149.489999999,200,487.025,487.2,485.18,486.73,486.247332,83188,40449949.864099994,597
2020-10-28,14:30,14:30,486.91,487.9,485.42,487.7,486.404004,13827,6725508.739999999,297,486.85,487.88,485.26,487.79,486.399964,127222,61880783.8852,782
2020-10-28,15:00,15:00,487.89,492.22,487.47,491.355,489.781103,17918,8775896.57,319,487.79,492.2,487.4,491.35,490.002809,207815,101829943.7861,1353
2020-10-28,15:30,15:30,491.69,492.79,485.68,485.84,488.261272,34995,17086709.47,677,491.34,492.79,485.65,485.94,488.478327,399469,195131998.51639998,2865
2020-10-29,09:30,09:30,488.95,492.01,483.4,483.4,487.151776,24964,12161260.450000001,393,488.5,492.01,483.08,483.38,487.048001,404987,197248144.86860004,2276
2020-10-29,10:00,10:00,483.365,483.365,481.07,481.58,482.127767,13713,6611417.095000002,250,483.22,483.5,481.0,481.5,482.11037,381157,183759765.68410003,1754
2020-10-29,10:30,10:30,481.63,481.92,479.405,480.295,480.495224,23288,11189775.385,357,481.6,481.96,479.34,480.165,480.493178,209595,100708979.10970001,1495
2020-10-29,11:00,11:00,480.455,483.36,479.985,482.7,481.847151,14995,7225298.325,223,480.52,483.5,479.985,482.75,481.991053,155040,74727902.31879999,988
2020-10-29,11:30,11:30,483.075,483.37,481.25,481.925,482.559226,10251,4946715.734999999,158,482.86,483.43,481.117,482.1,482.432206,96251,46434582.27930001,621
2020-10-29,12:00,12:00,482.05,482.69,480.82,481.85,481.945783,3894,1876697.1449999998,96,482.09,482.79,480.78,481.685,481.838026,59168,28509386.3303,412
2020-10-29,12:30,12:30,481.93,482.32,481.02,481.67,481.591923,6406,3085077.745,120,481.87,482.29,481.01,481.67,481.606943,61597,29665549.697699994,407
2020-10-29,13:00,13:00,481.75,485.28,481.54,485.28,483.753604,8527,4124967.9449999994,160,481.83,485.28,481.61,485.209,483.706068,90498,43774436.26949999,567
2020-10-29,13:30,13:30,485.08,485.34,483.35,484.64,484.585832,5879,2848880.69,108,485.25,485.45,483.35,484.72,484.615369,70832,34326284.7104,460
2020-10-29,14:00,14:00,484.705,485.57,483.9,484.82,484.566283,11896,5764400.5,185,484.705,485.58,483.75,484.825,484.57996,95830,46437299.54030001,658
2020-10-29,14:30,14:30,484.77,486.54,484.17,484.36,485.421841,14236,6910463.195,207,484.81,486.5,484.14,484.37,485.37486,125694,61008725.077300005,741
2020-10-29,15:00,15:00,484.3,513.63,484.3,510.32,505.398169,364576,184256084.71,4869,484.485,513.9,484.3,510.33,505.181349,3931488,1986114903.6328998,26283
2020-10-29,15:30,15:30,510.47,511.32,504.15,504.15,508.172922,123188,62600805.035000004,1816,510.44,511.51,504.0,504.25,507.930515,1370977,696361137.8326999,9177
2020-10-30,09:30,09:30,502.25,505.8,491.63,491.8,499.771864,72403,36184990.54,1005,502.01,505.88,491.32,491.815,499.045444,880289,439304359.4554,5348
2020-10-30,10:00,10:00,491.39,493.6,484.59,486.1,488.498389,32270,15763844.645,491,491.67,493.54,484.5,486.197,488.823165,484284,236729254.86020002,2989
2020-10-30,10:30,10:30,486.2,487.93,481.3,481.325,484.662461,23625,11450150.350000001,395,486.197,488.19,481.08,481.27,484.88775,313921,152216425.85279998,2019
2020-10-30,11:00,11:00,481.39,484.61,477.24,477.59,480.84718,25405,12215925.040000001,439,481.09,484.72,477.22,477.43,481.152375,434617,209117043.41949996,2644
2020-10-30,11:30,11:30,477.58,478.97,475.56,476.97,477.374351,19548,9331716.37,402,477.59,479.0,475.54,477.09,477.244385,278284,132809494.57180002,1703
2020-10-30,12:00,12:00,476.93,482.01,476.62,481.32,479.636465,26517,12718521.53,474,477.01,482.12,476.36,481.11,479.355392,321160,153949774.8156,1859
2020-10-30,12:30,12:30,480.835,481.04,475.2,475.2,477.458028,14892,7110306.865,280,481.1,481.1,475.24,475.264,477.271668,192485,91867633.9477,1298
2020-10-30,13:00,13:00,475.16,477.2,473.76,474.31,474.773376,15866,7532754.5,247,475.16,477.24,473.74,474.61,474.939718,267486,127039740.1346,1453
2020-10-30,13:30,13:30,474.49,475.23,473.27,474.46,474.322358,11855,5623091.265,249,474.59,475.36,473.281,474.3,474.29297,127582,60511260.911899984,897
2020-10-30,14:00,14:00,474.14,476.72,472.85,474.255,475.231497,9890,4700039.300000001,179,474.14,477.0,472.81,474.63,475.363528,197638,93949909.7503,1232
2020-10-30,14:30,14:30,474.45,475.07,473.11,473.61,474.207608,9782,4638699.28,213,474.56,475.41,473.0,473.954,474.206125,190757,90458119.4539,1352
2020-10-30,15:00,15:00,473.94,476.79,473.13,474.99,475.164204,17463,8297793.76,314,473.86,476.89,473.0,474.67,475.071012,265957,126348469.19629999,1871
2020-10-30,15:30,15:30,474.675,476.24,472.3,476.12,474.292177,47518,22537418.82,740,474.71,476.24,472.21,475.78,474.063093,684295,324399005.79289997,4829
2020-11-02,09:30,09:30,478.92,484.33,475.0,482.53,480.017752,33822,16235163.375,442,478.87,484.365,475.0,482.762,479.904715,521922,250472799.3063,2727
2020-11-02,10:00,10:00,484.22,485.0,480.975,482.93,482.967714,19624,9477759.96,259,483.45,485.0,480.8,482.93,483.026957,280050,135271700.0182,1787
2020-11-02,10:30,10:30,482.69,486.17,479.84,484.54,482.917944,16441,7939655.670000001,296,482.92,486.3,479.73,484.92,483.550174,291431,140921497.3804,1752
2020-11-02,11:00,11:00,484.4,484.9,480.82,481.09,482.783233,8245,3980547.6750000003,156,484.57,484.97,480.55,481.49,482.774262,127968,61779660.384399995,977
2020-11-02,11:30,11:30,481.63,484.58,480.01,484.16,482.93065,7928,3828674.985,205,481.32,484.62,480.01,484.26,482.602145,140356,67736110.02,990
2020-11-02,12:00,12:00,484.45,484.45,479.93,481.07,481.815352,9046,4358502.4,141,484.27,484.59,479.9,481.22,481.602546,143401,69062309.1892,1011
2020-11-02,12:30,12:30,481.245,481.36,478.975,480.01,479.9575,8481,4070520.7849999997,147,481.288,481.5,478.79,480.002,480.058905,136552,65553013.31729999,914
2020-11-02,13:00,13:00,479.78,479.85,476.79,478.72,477.948625,7850,3751897.0599999996,141,480.46,480.46,476.72,479.04,478.184809,139655,66780897.2338,872
2020-11-02,13:30,13:30,478.855,479.98,477.8,478.66,478.795395,5848,2799995.4299999997,131,478.817,480.13,477.664,478.65,478.870117,96194,46064432.853099994,711
2020-11-02,14:00,14:00,478.62,481.63,478.44,481.63,479.559149,9743,4672344.345,162,478.59,481.772,478.42,481.772,479.88307,117596,56432344.549100004,817
2020-11-02,14:30,14:30,481.63,483.86,481.3,483.09,482.859336,9806,4734918.085,175,481.74,484.0,481.09,482.97,482.670965,103615,50011946.478,723
2020-11-02,15:00,15:00,482.63,485.55,482.63,483.98,484.246229,11963,5793037.300000001,269,482.84,485.56,482.45,484.17,484.387362,138231,66957363.00959998,1007
2020-11-02,15:30,15:30,484.36,484.87,482.34,484.16,483.613247,28577,13820222.665000001,632,484.11,484.87,482.23,484.12,483.665343,268352,129792593.11399998,2030
2020-11-03,09:30,09:30,485.045,487.94,479.26,487.16,483.606266,18847,9114527.205,292,484.93,487.978,478.76,487.69,484.358572,277204,134266143.0701,1620
2020-11-03,10:00,10:00,487.88,495.38,487.57,492.21,491.732974,29429,14471211.309999999,408,487.495,495.305,487.495,492.275,491.866503,327588,161129593.6558,2199
2020-11-03,10:30,10:30,492.625,493.83,490.54,493.55,492.308689,16694,8218601.265,278,492.48,493.93,490.58,493.645,492.101535,211313,103987460.4117,1279
2020-11-03,11:00,11:00,493.64,494.47,490.2,490.47,491.884136,8674,4266603.845,235,493.665,494.54,490.13,490.51,491.670533,126292,62094060.339700006,841
2020-11-03,11:30,11:30,490.63,492.73,489.68,490.46,491.447252,6613,3249941.175,103,490.71,492.76,489.55,490.05,491.400535,114657,56342524.34090001,819
2020-11-03,12:00,12:00,490.04,491.7,489.18,491.7,490.328247,7770,3809850.144999999,113,489.92,491.755,489.17,491.7,490.314222,113555,55677635.10190001,720
2020-11-03,12:30,12:30,491.57,492.86,491.09,491.56,491.726401,4484,2204901.42,82,491.57,492.86,490.71,491.51,491.667372,78107,38402673.4632,558
2020-11-03,13:00,13:00,491.71,492.39,489.95,490.61,491.293669,2804,1377587.2750000001,67,491.425,492.46,489.51,490.8,491.021876,74992,36822712.118200004,511
2020-11-03,13:30,13:30,491.23,491.27,486.635,486.705,489.24103,9354,4576361.73,165,491.27,491.27,486.38,486.88,488.853223,102362,50039993.329,745
2020-11-03,14:00,14:00,486.89,488.07,484.87,486.93,486.836717,8859,4312888.285,171,486.755,488.07,484.52,486.765,486.679341,141813,69017459.09519999,864
2020-11-03,14:30,14:30,487.255,488.68,486.5,488.17,487.932981,5515,2690950.7499999995,95,486.965,488.81,486.26,488.34,487.895638,83736,40854430.532800004,554
2020-11-03,15:00,15:00,488.005,488.21,486.06,488.21,487.024001,5311,2586584.3649999998,112,488.07,488.321,486.15,488.31,487.041776,86588,42171985.4889,616
2020-11-03,15:30,15:30,488.38,490.14,486.94,487.04,488.668706,38120,18628055.779999997,590,488.44,490.19,486.72,486.81,488.441194,257087,125571892.7684,1984
2020-11-04,09:30,09:30,496.04,504.6,494.0,496.42,499.276863,48278,24104088.505,873,495.36,504.8,493.98,496.585,498.765273,647609,323004938.9901001,3942
2020-11-04,10:00,10:00,496.59,507.22,496.16,507.08,502.546138,34448,17311710.58,533,496.492,507.25,495.736,507.075,501.27088,443662,222394873.68019998,2661
2020-11-04,10:30,10:30,507.32,507.79,502.17,502.71,504.71525,20318,10254803.810000002,433,507.25,507.73,502.02,502.52,504.402839,255209,128728166.10480005,1718
2020-11-04,11:00,11:00,502.71,503.12,496.665,499.87,499.65521,18774,9380529.405000001,353,502.5,503.13,496.58,499.94,499.329286,173514,86640638.65299998,1233
2020-11-04,11:30,11:30,499.77,502.46,499.55,501.22,500.827905,21264,10649604.985,420,499.75,502.4,499.52,501.22,500.923171,162723,81511716.95949998,1057
2020-11-04,12:00,12:00,501.25,501.395,499.62,500.41,500.355282,11725,5866667.079999999,234,501.3,501.46,499.45,500.42,500.339271,96922,48493890.7802,764
2020-11-04,12:30,12:30,500.96,501.72,499.895,500.02,500.867322,8482,4248358.484999999,150,500.435,501.86,499.71,499.8,501.013032,118237,59238294.27890001,792
2020-11-04,13:00,13:00,499.91,500.855,497.42,497.87,499.407706,11754,5870039.409999999,193,499.91,500.855,497.27,498.025,499.050775,132432,66090290.32819999,1050
2020-11-04,13:30,13:30,498.02,498.705,495.34,496.135,496.520103,9184,4560039.8950000005,152,498.02,498.98,495.25,496.2,496.857873,119934,59590149.5214,846
2020-11-04,14:00,14:00,496.63,500.57,496.32,499.28,498.868148,12228,6100161.105,206,496.46,500.6,496.203,499.1,498.721366,129866,64766973.76279999,967
2020-11-04,14:30,14:30,499.11,499.11,496.39,498.31,497.810973,6094,3033660.5650000004,132,499.11,499.235,496.39,498.008,497.779266,102950,51246381.880799994,738
2020-11-04,15:00,15:00,498.6,499.06,495.89,495.89,497.65759,8167,4064369.85,170,498.61,499.23,495.75,495.85,497.335768,123240,61291677.93860001,964
2020-11-04,15:30,15:30,496.665,497.38,494.65,496.48,496.019568,33925,16827462.44,598,496.04,497.8,494.51,496.96,496.054491,328655,163030842.50480002,2639
2020-11-05,09:30,09:30,505.915,511.93,503.72,511.12,507.413633,31637,16053047.655,596,506.56,512.1,503.45,511.43,507.611896,497023,252294779.80920005,2986
2020-11-05,10:00,10:00,511.3,512.28,507.55,508.41,510.367745,16991,8671658.410000002,332,511.37,512.5,507.55,508.675,510.352083,273576,139620098.72150004,1751
2020-11-05,10:30,10:30,508.595,512.32,507.66,511.81,510.191781,14742,7521249.109999999,291,508.63,512.376,507.66,511.84,510.568296,197145,100656001.31720002,1184
2020-11-05,11:00,11:00,511.525,513.23,510.36,513.23,511.533314,12902,6599804.824999997,231,511.73,513.25,510.35,513.154,511.699404,142862,73102408.36590001,920
2020-11-05,11:30,11:30,513.36,513.75,511.44,511.49,512.350395,9581,4908829.459999999,202,513.333,513.79,511.0,511.23,512.453429,143813,73697474.2165,935
