date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,499.99,504.14,492.97,495.99,498.66344,22600,11269796.61,253,499.99,504.66,492.72,496.3,498.96217,580374,289584655.5168,3707
2020-09-16,10:00,10:00,496.28,496.54,491.7,493.48,494.227227,14452,7142572.9,181,496.31,496.89,491.226,493.52,493.794313,257587,127194981.94910002,1824
2020-09-16,10:30,10:30,493.41,494.21,487.82,490.07,490.940585,8915,4376735.935,145,493.58,494.215,487.5,489.739,490.416596,241741,118553812.5031,1635
2020-09-16,11:00,11:00,489.725,493.725,489.51,493.38,492.005982,2854,1404184.915,86,489.5,493.99,489.37,493.07,491.963693,148208,72912968.24889998,882
2020-09-16,11:30,11:30,492.84,494.55,491.55,491.55,493.532282,3203,1580784.0049999997,115,492.73,494.86,491.44,491.74,493.451292,96703,47718224.49749999,627
2020-09-16,12:00,12:00,491.57,492.73,490.165,491.14,491.467311,2424,1191316.6400000001,71,491.75,492.78,490.165,491.07,491.253826,113394,55705237.05239999,639
2020-09-16,12:30,12:30,491.01,493.1,490.64,492.7,491.887599,20856,10258808.025000004,125,490.985,493.21,490.38,492.75,491.836281,107787,53013561.9517,623
2020-09-16,13:00,13:00,492.78,493.7,489.77,490.12,492.850714,22761,11217775.060000004,105,492.78,493.82,489.83,489.955,492.284288,137333,67606894.1921,772
2020-09-16,13:30,13:30,490.01,491.23,489.2,491.03,489.996521,4706,2305924.02,82,489.89,491.39,489.13,491.39,490.079966,116142,56918879.55399999,677
2020-09-16,14:00,14:00,491.56,494.59,489.82,494.59,492.971136,12086,5958051.225000001,171,491.6,494.72,489.82,494.41,492.524131,142256,70064516.2015,939
2020-09-16,14:30,14:30,494.595,494.905,489.195,489.88,492.629209,10398,5122358.490000002,165,494.595,495.21,489.07,489.99,491.748535,207783,102176993.47140001,1385
2020-09-16,15:00,15:00,489.6,490.55,486.14,486.14,488.721219,8032,3925410.5150000006,175,489.5,490.66,485.87,486.022,487.890721,223278,108935292.1354,1523
2020-09-16,15:30,15:30,486.15,486.8,483.47,483.52,484.621848,10206,4946050.645,218,485.85,487.04,483.31,483.51,484.698556,317828,154050772.52650005,2300
2020-09-17,09:30,09:30,475.06,478.13,472.22,475.07,475.467842,15899,7559464.205,202,475.16,478.4,472.2,475.03,475.432372,408259,194099581.76260003,2217
2020-09-17,10:00,10:00,475.555,476.83,471.16,472.06,475.241099,16342,7766391.6899999995,143,475.23,477.6,470.77,472.34,473.831159,291825,138275775.6189,1822
2020-09-17,10:30,10:30,472.33,476.09,470.92,473.215,474.134439,3132,1484989.045,66,472.03,476.5,470.866,473.31,474.008605,180639,85624457.53789999,1054
2020-09-17,11:00,11:00,473.63,476.025,472.84,473.56,474.134896,2137,1013226.3599999999,62,472.94,476.65,472.65,473.34,474.131117,190809,90468500.65100001,1156
2020-09-17,11:30,11:30,473.39,474.725,469.5,469.5,471.429391,5252,2475948.265,59,473.46,475.0,469.335,469.6,471.331475,269427,126989457.34549998,1601
2020-09-17,12:00,12:00,469.68,470.89,465.79,467.03,467.478477,4825,2255584.51,74,469.68,471.25,465.57,467.51,467.573037,255319,119380298.53089997,1598
2020-09-17,12:30,12:30,467.23,467.93,463.555,466.075,465.762604,18954,8828065.840000002,223,467.56,468.0,463.27,466.2,465.567311,270952,126146402.35399999,1653
2020-09-17,13:00,13:00,465.98,466.75,464.23,466.02,465.577128,5239,2439159.34,94,466.19,466.92,463.91,466.02,465.491642,158743,73893575.87809998,983
2020-09-17,13:30,13:30,465.995,468.385,465.995,467.13,467.128528,7432,3471699.054999999,82,465.91,468.53,465.87,466.789,467.316897,172217,80479931.1393,1136
2020-09-17,14:00,14:00,467.42,470.93,467.42,468.04,468.582393,4167,1952583.7450000003,50,467.076,471.846,467.076,467.5,469.383658,215099,100963966.95849998,1277
2020-09-17,14:30,14:30,467.36,467.98,466.22,467.34,466.825097,3200,1493840.6949999996,44,467.41,468.2,465.93,467.34,466.923051,147843,69031323.0958,1043
2020-09-17,15:00,15:00,467.565,468.95,465.28,465.92,466.630463,4227,1972447.205,81,467.144,469.06,465.11,465.74,467.218536,167739,78370778.3301,1055
2020-09-17,15:30,15:30,466.08,470.58,465.815,470.285,469.114938,9853,4622189.180000001,134,465.72,470.6,465.5,470.245,468.797823,408994,191735493.3565,2944
2020-09-18,09:30,09:30,473.18,474.0,467.79,470.49,470.574525,6926,3259197.6150000007,165,472.51,474.0,467.41,470.865,472.252439,789036,372624441.39500004,1766
2020-09-18,10:00,10:00,470.87,479.31,470.87,474.38,476.502579,11395,5429749.175000001,149,471.0,479.4,470.99,475.0,476.349425,447227,213036337.71629995,2674
2020-09-18,10:30,10:30,474.955,474.955,467.92,469.67,469.948689,5173,2431044.1649999996,75,474.955,475.379,467.73,468.722,470.741522,265053,124771466.0285,1619
2020-09-18,11:00,11:00,469.64,470.385,467.975,469.23,469.079707,5196,2437338.3200000003,76,469.59,470.79,467.3,468.79,468.93143,186839,87614679.78039998,1176
2020-09-18,11:30,11:30,468.88,469.8,466.08,469.46,467.818391,5572,2606684.3550000004,83,468.88,469.8,465.66,469.3,467.593966,190084,88882130.56519999,1249
2020-09-18,12:00,12:00,468.97,470.3,465.76,466.195,468.370659,2751,1288487.705,47,469.338,470.65,465.56,466.231,468.070259,153011,71619899.85649998,1006
2020-09-18,12:30,12:30,466.54,466.83,462.98,464.25,464.347315,7164,3326584.285,99,466.326,466.99,462.89,464.105,464.393098,209574,97324726.6914,1411
2020-09-18,13:00,13:00,463.955,464.54,460.31,460.475,462.789014,4500,2082550.9750000003,57,464.11,465.33,460.15,460.52,462.904581,210550,97464576.9653,1379
2020-09-18,13:30,13:30,460.255,464.29,458.76,464.185,461.125016,9713,4478907.905,115,460.56,464.45,458.6,464.32,461.004523,257100,118524264.30499999,1855
2020-09-18,14:00,14:00,464.0,464.37,462.53,463.955,463.790204,4609,2137609.4199999995,71,464.15,464.69,462.224,463.88,463.829391,176432,81834360.7977,1240
2020-09-18,14:30,14:30,464.0,464.515,463.065,464.515,463.92583,4456,2067253.1350000002,84,463.78,464.65,462.84,464.51,463.935394,110217,51133568.86690001,817
2020-09-18,15:00,15:00,464.52,465.89,463.92,464.86,464.810346,3595,1670993.6400000001,81,464.43,465.965,463.63,464.93,464.779807,137547,63929080.16260001,1051
2020-09-18,15:30,15:30,464.9,470.775,464.9,470.025,469.349458,37279,17496879.75,373,464.95,470.83,464.846,469.97,468.866678,517257,242524623.0077,3932
2020-09-21,09:30,09:30,468.67,479.06,466.78,475.03,474.416775,21510,10204706.194999998,322,467.692,479.584,466.32,474.76,473.497141,644431,305136330.62780005,3476
2020-09-21,10:00,10:00,474.68,478.52,469.89,469.89,475.16914,13585,6455174.919999999,211,474.68,478.95,469.14,470.18,474.810652,342858,162792633.1957,2383
2020-09-21,10:30,10:30,470.33,472.66,468.76,471.615,471.007514,10631,5007281.335,159,469.66,472.871,468.5,471.13,470.689392,233002,109671579.1799,1480
2020-09-21,11:00,11:00,471.54,474.8,470.35,472.255,472.231096,4999,2360683.1350000002,91,470.785,475.39,470.35,472.265,472.759808,185322,87612815.64009997,1222
2020-09-21,11:30,11:30,472.33,475.7,471.28,475.34,473.23939,4942,2338749.155,113,472.33,476.0,470.18,475.39,473.162201,159840,75630256.23429999,1122
2020-09-21,12:00,12:00,475.89,476.835,474.11,476.78,475.647288,5355,2547091.205,77,475.66,476.94,473.76,476.91,475.566298,134637,64028826.209800005,946
2020-09-21,12:30,12:30,477.45,478.46,475.985,476.56,477.004411,5611,2676471.2249999996,64,476.765,478.59,475.72,476.56,477.285659,114911,54845378.18069999,745
2020-09-21,13:00,13:00,476.68,479.98,476.12,479.98,477.692145,3460,1652815.0199999998,68,476.83,480.04,475.85,479.92,478.318923,172448,82485152.9362,1026
2020-09-21,13:30,13:30,480.29,481.89,478.97,479.585,480.367621,4101,1969987.4800000002,73,479.96,482.0,478.52,479.58,480.311547,194566,93452308.87009999,1183
2020-09-21,14:00,14:00,479.59,481.48,478.38,480.16,479.793294,8084,3878649.2399999998,180,479.48,481.604,478.228,480.48,479.807597,140952,67629853.33980002,881
2020-09-21,14:30,14:30,479.695,481.6,477.19,481.125,479.329511,2066,990294.4299999999,47,479.71,481.65,476.68,480.82,479.161755,177538,85069444.72340003,1118
2020-09-21,15:00,15:00,480.58,482.7,480.58,482.245,481.992636,3083,1485982.93,69,480.79,482.82,480.455,482.13,481.892818,239983,115646076.23430002,1414
2020-09-21,15:30,15:30,482.72,487.75,481.6,487.72,485.45108,25134,12201330.829999998,299,482.35,487.775,481.45,487.51,485.298424,562877,273163321.87590003,3850
2020-09-22,09:30,09:30,488.96,491.24,481.62,488.86,485.436696,28929,14043197.694999998,424,489.01,491.8,481.12,488.86,486.494132,534483,260022901.25879997,3413
2020-09-22,10:00,10:00,489.15,489.46,483.86,485.62,486.348546,9641,4688886.8549999995,154,489.21,489.7,483.25,485.54,486.598434,214862,104551527.23050004,1502
2020-09-22,10:30,10:30,485.82,486.69,481.8,481.8,484.266593,9564,4631524.524999999,176,485.74,486.94,481.52,481.72,484.663099,131476,63721561.31170001,938
2020-09-22,11:00,11:00,482.07,483.92,479.615,483.05,482.2535,8241,3974251.1900000004,172,481.87,483.96,479.26,482.81,481.812822,174490,84071518.651,1194
2020-09-22,11:30,11:30,483.26,484.555,482.08,483.33,482.756676,6528,3151435.7200000007,134,483.25,484.555,482.08,483.28,483.150962,99802,48219434.919300005,786
2020-09-22,12:00,12:00,483.33,485.31,483.33,485.03,484.482156,3180,1540653.5049999997,66,483.07,485.29,482.8,484.76,484.444339,87000,42146654.1567,604
2020-09-22,12:30,12:30,485.38,485.66,483.56,483.87,484.554205,2261,1095577.4,56,485.09,485.83,483.535,483.87,484.64055,50426,24438487.590299997,348
2020-09-22,13:00,13:00,484.265,487.15,484.265,487.0,485.70995,2237,1086533.255,48,484.06,487.16,483.916,486.89,485.634934,78364,38056302.0015,583
2020-09-22,13:30,13:30,486.8,489.835,485.865,489.835,488.68929,10431,5097520.4399999995,124,486.81,489.97,485.86,489.97,488.235579,107710,52587858.772000015,763
2020-09-22,14:00,14:00,489.99,490.965,488.63,488.63,490.350072,15347,7525405.694999998,110,489.97,491.0,488.56,488.86,490.128713,146944,72021489.24480002,849
2020-09-22,14:30,14:30,489.15,489.315,487.71,488.66,488.520461,2462,1202737.46,67,488.99,489.601,487.57,488.17,488.542936,88432,43202834.113199994,625
2020-09-22,15:00,15:00,488.0,490.735,487.72,490.72,489.386923,3150,1541569.23,70,488.24,490.82,487.56,490.67,489.560195,107827,52787805.480100006,768
2020-09-22,15:30,15:30,490.57,491.74,490.21,491.18,491.066047,10807,5306950.265000001,194,490.7,491.82,490.03,491.16,491.080306,252353,123925585.32530001,1857
2020-09-23,09:30,09:30,490.59,490.7,484.69,484.7,487.248945,7934,3865833.9450000003,125,491.04,491.04,484.34,485.03,487.820505,216491,105608754.47729999,1341
2020-09-23,10:00,10:00,485.04,485.69,481.725,483.37,483.70249,6241,3018788.339999999,110,485.04,485.88,481.64,483.25,483.353433,120213,58105376.2792,918
2020-09-23,10:30,10:30,483.2,484.53,482.45,482.98,483.54511,3382,1635349.345,62,483.59,484.62,482.1,482.77,483.576182,98903,47827126.51050001,730
2020-09-23,11:00,11:00,483.05,483.86,481.525,481.525,482.608796,2451,1182873.98,45,482.99,484.0,481.26,481.81,482.42922,93848,45275019.73669999,650
2020-09-23,11:30,11:30,481.5,481.78,478.59,479.55,480.252534,2193,1053193.9699999997,46,481.61,481.872,478.5,479.55,480.295992,129961,62419748.61469999,844
2020-09-23,12:00,12:00,479.415,481.235,479.05,480.565,479.87949,3154,1513539.8850000002,80,479.34,481.295,478.99,480.677,480.182386,83981,40326196.28560001,530
2020-09-23,12:30,12:30,480.61,482.54,480.35,482.16,481.579205,2117,1019503.5100000001,40,480.72,482.79,480.13,482.16,481.841808,74634,35961787.6792,479
2020-09-23,13:00,13:00,481.64,482.36,479.995,479.995,481.457662,1682,809811.725,30,482.269,482.47,479.8,479.88,481.457565,54104,26048782.678199995,332
2020-09-23,13:30,13:30,480.16,480.8,478.305,478.305,479.864926,2270,1089293.53,32,480.145,480.87,478.03,478.33,479.653111,116715,55982721.764000006,648
2020-09-23,14:00,14:00,478.11,478.11,473.705,475.18,476.078474,6163,2934071.62,76,478.06,478.11,473.59,475.37,475.740967,169931,80843144.72629999,1073
2020-09-23,14:30,14:30,475.41,475.41,472.175,472.505,473.725429,3332,1578453.43,82,475.11,475.53,472.16,472.417,473.848077,133264,63146905.9735,763
2020-09-23,15:00,15:00,472.345,473.265,470.06,472.51,472.036479,7038,3322192.7100000004,121,472.44,473.36,470.0,472.47,471.950768,227955,107583544.4069,1361
2020-09-23,15:30,15:30,472.47,473.62,469.14,470.67,470.87534,14640,6893616.785000002,231,472.55,473.899,469.0,470.6,471.135738,378757,178445955.17700002,2948
2020-09-24,09:30,09:30,470.78,474.65,468.265,470.4,471.85329,23602,11136684.000000004,287,470.53,475.27,468.07,470.53,471.520127,407404,192099227.8067,2374
2020-09-24,10:00,10:00,471.2,476.84,471.2,472.55,473.886787,8235,3902458.305,111,470.46,477.0,470.18,472.55,474.282409,185441,87951413.48440002,1226
2020-09-24,10:30,10:30,472.655,473.11,467.97,472.8,470.619137,3758,1768586.4100000001,77,472.51,473.12,467.82,472.96,470.710106,132452,62346513.23349998,804
