date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,273.08,273.38,271.85,272.56,272.684772,22641,6173856.8,156,273.01,273.4,271.68,272.58,272.653911,2804745,764724530.5707998,12397
2020-08-14,10:00,10:00,272.75,272.75,270.855,270.925,271.824877,26118,7099523.340000001,175,272.58,272.89,270.85,270.95,271.708953,2711469,736730321.5027,12115
2020-08-14,10:30,10:30,270.88,272.09,270.77,271.19,271.530182,17533,4760737.399999999,126,270.94,272.12,270.72,271.19,271.548373,1836308,498646395.72129995,8802
2020-08-14,11:00,11:00,271.25,272.01,270.95,271.93,271.569854,5361,1455885.8149999997,63,271.19,272.05,270.94,271.996,271.518821,1206098,327478271.233,5765
2020-08-14,11:30,11:30,272.0,272.36,271.43,271.62,271.991944,4938,1343096.825,49,272.02,272.383,271.38,271.75,271.990478,884079,240461062.8583,4056
2020-08-14,12:00,12:00,271.81,272.18,271.79,272.0,272.011397,3722,1012426.8600000001,42,271.76,272.21,271.67,272.02,271.962118,821286,223358751.46160004,3746
2020-08-14,12:30,12:30,272.09,272.7,272.09,272.45,272.473798,3029,825322.97,37,272.03,272.709,272.02,272.44,272.483029,773623,210799105.9494,3252
2020-08-14,13:00,13:00,272.47,272.47,271.97,272.41,272.286088,8976,2444039.83,72,272.45,272.5,271.94,272.38,272.286954,920623,250673725.75739998,3814
2020-08-14,13:30,13:30,272.45,272.54,271.95,272.24,272.242601,10020,2727871.0249999994,91,272.42,272.56,271.94,272.36,272.243229,808795,220189003.5718,3725
2020-08-14,14:00,14:00,272.21,272.31,271.595,271.92,271.968142,7629,2074845.2500000002,70,272.36,272.36,271.56,271.93,271.94979,749296,203771006.6039,3402
2020-08-14,14:30,14:30,271.93,272.22,271.78,271.91,271.94809,15051,4093090.945,113,271.925,272.22,271.75,271.89,271.952569,890482,242168810.21810007,4104
2020-08-14,15:00,15:00,271.89,272.05,271.27,271.575,271.622629,26395,7169478.874999998,257,271.9,272.06,271.25,271.5,271.598915,1707695,463808364.5139,8862
2020-08-14,15:30,15:30,271.415,272.34,271.3,272.16,271.764867,59244,16100438.57,579,271.495,272.351,271.03,272.22,271.735234,3478200,945149453.7521,17589
2020-08-17,09:30,09:30,273.95,274.76,273.76,274.76,274.421482,19905,5462364.324999999,147,273.91,274.86,273.74,274.78,274.304943,2415060,662463167.2021,11743
2020-08-17,10:00,10:00,274.86,275.03,274.14,274.57,274.629256,35770,9823486.854999999,184,274.78,275.07,274.13,274.635,274.622752,1726389,474105821.6857999,7866
2020-08-17,10:30,10:30,274.615,274.86,274.495,274.61,274.686033,36228,9951326.455,133,274.635,274.88,274.48,274.625,274.692991,1327361,364616832.6828001,6653
2020-08-17,11:00,11:00,274.59,274.84,274.21,274.74,274.632797,46779,12847046.35,210,274.605,274.85,274.2,274.76,274.561545,1107823,304165689.73340005,5108
