date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,291.56,291.57,289.65,290.87,290.581914,15865,4610082.8100000005,156,291.49,291.64,289.63,290.862,290.588568,2678648,778384330.9993998,12102
2020-11-24,10:00,10:00,290.89,291.09,290.35,290.6,290.778425,10608,3084577.8200000003,87,290.869,291.18,290.34,290.59,290.745714,1716999,499210167.7494,8063
2020-11-24,10:30,10:30,290.54,292.39,290.49,292.39,291.959078,8051,2350562.95,96,290.555,292.41,290.47,292.4,291.678124,1589558,463639389.3340999,7211
2020-11-24,11:00,11:00,292.53,293.28,292.45,293.08,292.87089,36991,10833591.82,200,292.41,293.34,292.39,293.098,292.862276,1759657,515337062.19350004,7255
2020-11-24,11:30,11:30,292.9,293.58,292.83,293.1,293.157467,48596,14246285.97,272,293.09,293.58,292.77,293.13,293.176427,1568740,459917608.22599983,7388
2020-11-24,12:00,12:00,293.21,293.4,292.88,293.35,293.119116,18299,5363785.8,149,293.14,293.4,292.855,293.36,293.077394,728291,213445683.32,3291
2020-11-24,12:30,12:30,293.36,294.01,293.36,293.815,293.711971,7926,2327961.4949999996,71,293.39,294.05,293.31,293.79,293.67838,972881,285714242.9621,4195
2020-11-24,13:00,13:00,293.71,294.12,293.53,293.67,293.852517,18699,5494750.1899999995,93,293.76,294.12,293.52,293.76,293.816624,750785,220593231.3853,3325
2020-11-24,13:30,13:30,293.78,294.7,293.78,294.67,294.486075,29263,8617546.09,143,293.762,294.75,293.76,294.69,294.402661,1345690,396174683.53080004,5860
2020-11-24,14:00,14:00,294.8,294.97,294.09,294.095,294.568903,16155,4758760.604999999,107,294.7,294.98,294.05,294.1,294.532171,973746,286799549.17160004,4568
2020-11-24,14:30,14:30,294.11,294.54,294.06,294.43,294.346558,10018,2948762.585,95,294.11,294.56,294.03,294.47,294.332909,798577,235047557.57720003,3842
2020-11-24,15:00,15:00,294.205,294.635,293.995,294.585,294.425905,12548,3694455.8449999997,188,294.46,294.685,293.97,294.59,294.436123,849249,250049607.3971,4579
2020-11-24,15:30,15:30,294.595,294.775,294.25,294.53,294.550598,34000,10014723.305,337,294.6,294.79,294.18,294.52,294.524512,2312863,681194871.3740999,12380
2020-11-25,09:30,09:30,295.45,296.175,295.18,295.74,295.770166,18766,5550422.684999999,186,295.44,296.22,295.13,295.74,295.729044,2689397,795333077.9116001,12503
2020-11-25,10:00,10:00,295.75,295.79,294.65,294.96,295.06508,24319,7175689.544999999,224,295.72,295.82,294.59,294.98,295.117196,1770778,522587214.34919995,9057
2020-11-25,10:30,10:30,295.18,295.68,294.92,295.49,295.200558,10631,3138278.95,116,294.99,295.74,294.89,295.49,295.269174,914394,269992367.12740004,5196
2020-11-25,11:00,11:00,295.49,295.94,295.25,295.495,295.671598,10620,3140033.8299999996,100,295.49,295.96,295.23,295.46,295.676395,837178,247533853.25039998,4154
2020-11-25,11:30,11:30,295.39,295.68,294.89,295.19,295.105357,14560,4296734.945,120,295.45,295.73,294.82,295.14,295.212762,1219705,360072563.1981,5609
2020-11-25,12:00,12:00,295.205,295.72,294.975,295.56,295.423052,18046,5331205.04,134,295.14,295.73,294.959,295.54,295.399945,715315,211304086.0631,3473
2020-11-25,12:30,12:30,295.605,296.11,295.56,296.03,295.817778,15369,4546422.995,143,295.55,296.13,295.52,296.03,295.819522,657552,194516773.93299994,3095
2020-11-25,13:00,13:00,295.97,296.37,295.895,295.91,296.133433,8430,2496404.56,89,296.03,296.389,295.89,295.89,296.158647,540196,159983744.73229998,2844
2020-11-25,13:30,13:30,295.885,296.185,295.61,296.115,295.923726,4137,1224237.145,69,295.885,296.2,295.6,296.13,295.917801,509507,150772156.11080003,2498
2020-11-25,14:00,14:00,296.105,296.13,295.56,295.99,295.755174,5735,1696156.8600000003,55,296.114,296.17,295.53,296.013,295.854578,731620,216453122.09969997,3398
2020-11-25,14:30,14:30,296.05,296.34,295.95,296.31,296.104512,3675,1088184.31,67,296.04,296.36,295.89,296.31,296.121263,686748,203360702.59540004,2944
2020-11-25,15:00,15:00,296.305,296.765,296.16,296.72,296.45267,15002,4447385.774999999,146,296.31,296.77,296.09,296.71,296.47459,1127952,334409193.1748001,5798
2020-11-25,15:30,15:30,296.72,296.91,296.24,296.45,296.556834,57484,17047273.824999996,402,296.71,296.94,296.21,296.42,296.533017,3376319,1001190450.1787,12377
2020-11-27,09:30,09:30,298.26,298.885,297.95,298.82,298.407573,17043,5085763.25,148,298.29,298.89,297.9,298.735,298.422401,2111029,629978359.4738001,10596
2020-11-27,10:00,10:00,298.895,299.88,298.59,299.63,299.376467,14496,4339761.4799999995,125,298.75,299.9,298.557,299.68,299.213031,1801673,539084202.7952001,7784
2020-11-27,10:30,10:30,299.67,300.16,299.55,299.88,299.899689,21361,6406159.245,258,299.67,300.17,299.56,299.89,299.884784,1502674,450629225.7335,6075
2020-11-27,11:00,11:00,299.89,299.97,299.465,299.66,299.714705,18677,5597769.35,182,299.87,299.99,299.44,299.68,299.732399,928070,278172719.50869995,4077
2020-11-27,11:30,11:30,299.7,299.89,298.65,298.83,299.395229,34665,10378540.045000002,342,299.67,299.885,298.62,298.835,299.21927,1507832,451172442.8975,6391
2020-11-27,12:00,12:00,298.84,299.17,298.36,298.64,298.741916,32806,9800530.7,291,298.83,299.19,298.35,298.599,298.74311,1480019,442145549.5087001,6698
2020-11-27,12:30,12:30,298.6,299.04,298.465,299.04,298.745678,54184,16187237.844999999,464,298.6,299.05,298.45,299.02,298.751699,1649710,492853894.3444,8026
2020-11-30,09:30,09:30,299.3,299.85,298.205,299.04,299.003517,15876,4746981.79,175,299.31,299.97,298.14,298.85,299.087091,2393156,715762173.0264,10733
2020-11-30,10:00,10:00,299.0,299.05,297.7,297.7,298.497528,14453,4314186.945,150,298.86,299.145,297.622,297.75,298.458966,1515414,452289185.3914,7220
2020-11-30,10:30,10:30,297.71,297.805,294.9,296.74,296.505307,22770,6751427.949999999,191,297.7,297.81,294.78,296.71,296.314989,2926063,867036414.906,14444
2020-11-30,11:00,11:00,296.69,297.22,296.365,296.46,296.772934,9939,2949628.3250000007,86,296.72,297.23,296.25,296.46,296.805993,1482707,440076444.00399995,6788
2020-11-30,11:30,11:30,296.39,297.6,295.98,297.365,296.868418,7742,2298354.7700000005,84,296.44,297.65,295.96,297.41,296.854412,1249027,370779212.8616,5239
2020-11-30,12:00,12:00,297.39,297.8,297.08,297.8,297.443691,8957,2664204.2350000003,88,297.379,297.879,297.05,297.84,297.452296,849486,252681570.97019997,3865
2020-11-30,12:30,12:30,297.86,298.03,297.49,297.93,297.756782,8136,2422549.3249999997,80,297.84,298.08,297.45,297.93,297.756568,639916,190539184.3704,2886
2020-11-30,13:00,13:00,297.95,298.36,297.78,298.135,298.006977,6276,1870291.7799999996,73,297.93,298.38,297.76,298.06,298.066391,926923,276284607.29280007,3710
2020-11-30,13:30,13:30,298.05,298.74,297.96,298.47,298.356373,6939,2070295.8650000002,77,298.07,298.78,297.96,298.435,298.435484,1043533,311427444.1787999,3898
2020-11-30,14:00,14:00,298.485,298.925,298.23,298.83,298.543917,5967,1781411.8650000002,65,298.45,298.94,298.23,298.85,298.564167,815745,243552247.96130002,3414
2020-11-30,14:30,14:30,298.86,299.71,298.825,299.71,299.228753,7570,2265161.14,82,298.84,299.81,298.8,299.77,299.26978,1157699,346464453.2375001,5019
2020-11-30,15:00,15:00,299.73,299.85,298.76,298.845,299.409233,14563,4360296.785,133,299.77,299.89,298.74,298.84,299.439358,1402785,420049124.4312,6319
2020-11-30,15:30,15:30,298.91,299.54,298.53,299.52,299.077656,39034,11674201.100000001,381,298.83,299.63,298.53,299.36,299.081587,2870515,858518640.0212998,15811
2020-12-01,09:30,09:30,301.945,302.29,300.88,302.085,301.707844,25112,7576490.8549999995,275,301.87,302.3,300.83,302.23,301.709883,3046293,919096693.4844003,15512
2020-12-01,10:00,10:00,302.24,303.2,302.075,302.57,302.758585,19600,5934068.51,194,302.23,303.21,302.05,302.54,302.766869,2146143,649781140.9776001,10838
2020-12-01,10:30,10:30,302.565,302.565,301.315,302.24,302.021071,21817,6589195.1049999995,181,302.55,302.62,301.22,302.3,301.955455,1965249,593417652.0039,9862
2020-12-01,11:00,11:00,302.37,303.21,302.37,303.08,302.898941,14483,4386885.285,151,302.35,303.3,302.31,303.16,302.854218,1407241,426189010.4687999,7646
2020-12-01,11:30,11:30,303.155,303.65,302.82,303.58,303.329118,18186,5516346.219999999,183,303.16,303.68,302.67,303.591,303.336726,1698388,515183444.4865999,8859
