date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,46.4,47.73,45.125,45.51,46.283843,10986,508475.04,104,46.35,47.85,45.1,45.54,46.380179,457888,21236889.249500003,2333
2020-08-14,10:00,10:00,45.535,45.74,45.11,45.16,45.487999,6832,310774.01,72,45.535,45.83,45.06,45.06,45.455818,191962,8725807.389599998,1147
2020-08-14,10:30,10:30,45.09,45.61,45.09,45.31,45.40066,5176,234994.155,56,45.05,45.66,44.94,45.44,45.358732,131989,5986863.943100002,859
2020-08-14,11:00,11:00,45.395,46.005,45.34,46.005,45.63664,3802,173510.84,40,45.44,46.051,45.29,46.005,45.712604,107817,4928596.3068,588
2020-08-14,11:30,11:30,45.955,46.07,45.755,45.95,45.908383,2901,133180.02000000002,25,46.05,46.13,45.69,45.965,45.886637,67216,3084321.9534000005,420
2020-08-14,12:00,12:00,45.96,46.07,45.82,45.885,45.929636,3232,148444.99,37,46.0,46.14,45.781,45.87,45.950084,59163,2718554.1948999995,400
2020-08-14,12:30,12:30,45.845,45.96,45.66,45.73,45.79301,2899,132753.59000000003,41,45.86,45.986,45.64,45.73,45.799562,57147,2617307.6184999994,402
2020-08-14,13:00,13:00,45.755,45.87,45.62,45.87,45.72893,3303,151042.40000000002,34,45.755,45.87,45.54,45.87,45.7246,50214,2296015.7444,410
2020-08-14,13:30,13:30,45.85,45.9,45.45,45.5,45.64228,7107,324380.2,69,45.85,45.915,45.43,45.48,45.657602,152678,6970926.579199999,808
2020-08-14,14:00,14:00,45.5,45.66,45.41,45.45,45.527251,3783,172229.355,55,45.5,45.69,45.39,45.47,45.525714,116477,5302692.6613,620
2020-08-14,14:30,14:30,45.5,45.515,45.12,45.38,45.331114,3227,146283.44,44,45.47,45.55,45.12,45.445,45.326403,91704,4156601.8632000005,703
2020-08-14,15:00,15:00,45.435,45.435,45.1,45.23,45.279056,7887,357116.42499999993,64,45.43,45.45,45.1,45.245,45.276618,105149,4760795.487599999,639
2020-08-14,15:30,15:30,45.24,45.71,45.145,45.68,45.394809,13430,609653.3150000001,135,45.24,45.71,45.15,45.63,45.482616,239295,10883787.7941,1612
2020-08-17,09:30,09:30,46.97,49.4,46.83,48.965,48.46408,10571,512313.4149999999,103,46.19,49.42,46.18,48.97,48.17654,857591,41315839.829100005,4568
2020-08-17,10:00,10:00,48.54,48.54,47.33,47.5,47.950365,3602,172717.57,49,48.94,48.94,47.32,47.84,47.879022,401071,19202912.5913,2070
2020-08-17,10:30,10:30,47.91,48.01,46.905,46.905,47.489328,5562,264135.89,36,47.89,48.04,46.88,47.0,47.559193,155847,7411959.749899999,852
2020-08-17,11:00,11:00,46.79,47.75,46.79,47.445,47.438356,1715,81356.90000000001,21,46.98,47.77,46.74,47.38,47.373067,176701,8370855.3446,865
2020-08-17,11:30,11:30,47.46,47.66,47.26,47.66,47.41645,1934,91703.37,25,47.38,47.74,47.21,47.68,47.393151,100852,4779696.396599999,583
2020-08-17,12:00,12:00,47.625,47.765,47.33,47.57,47.544328,2551,121285.315,33,47.65,47.78,47.29,47.62,47.540818,120170,5712981.827999999,567
2020-08-17,12:30,12:30,47.565,47.755,47.49,47.535,47.64996,1251,59610.335,23,47.62,47.77,47.48,47.72,47.65071,60134,2865439.5738,327
2020-08-17,13:00,13:00,47.67,47.98,47.67,47.75,47.850388,1042,49860.28,17,47.74,48.02,47.568,47.78,47.86533,98568,4717992.036800001,576
2020-08-17,13:30,13:30,47.805,48.02,47.76,47.76,47.895125,1819,87121.38,30,47.8,48.02,47.72,47.81,47.858246,70884,3392384.0133999996,471
2020-08-17,14:00,14:00,47.73,47.915,47.675,47.865,47.823405,837,40028.185000000005,15,47.82,47.93,47.59,47.84,47.787229,67484,3224869.3136,410
