date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-07-02,09:30,09:30,20.0,20.54,20.0,20.36,20.220444,44889,907686.74,82,20.0,20.56,20.0,20.32,20.299337,289226,5871091.326400001,1267
2020-07-02,10:00,10:00,20.26,20.43,20.195,20.28,20.306225,3403,69102.48,22,20.31,20.43,20.19,20.26,20.313945,103448,2101431.6827,552
2020-07-02,10:30,10:30,20.3,20.395,20.265,20.295,20.349804,1436,29222.28,19,20.26,20.415,20.25,20.29,20.323831,70161,1425951.3609999998,406
2020-07-02,11:00,11:00,20.255,20.28,20.21,20.21,20.247935,675,13667.400000000001,9,20.31,20.32,20.18,20.2,20.256049,73372,1486225.5314,542
2020-07-02,11:30,11:30,20.205,20.315,20.18,20.26,20.25,1500,30375.0,15,20.205,20.335,20.16,20.265,20.244069,60255,1219802.055,499
2020-07-02,12:00,12:00,20.215,20.215,20.115,20.185,20.141757,3046,61351.905000000006,27,20.25,20.25,20.11,20.18,20.155703,58851,1186189.1,477
2020-07-02,12:30,12:30,20.195,20.245,20.15,20.15,20.205922,653,13194.42,12,20.2,20.26,20.13,20.15,20.189488,75333,1520939.4785000002,392
2020-07-02,13:00,13:00,20.14,20.14,20.095,20.1,20.115714,700,14081.0,7,20.14,20.15,20.045,20.1,20.094093,89889,1806247.9749999999,519
2020-07-02,13:30,13:30,20.115,20.115,19.95,19.95,20.063438,780,15649.314999999999,55,20.108,20.14,19.94,19.945,20.057114,49104,984881.8574000001,337
2020-07-02,14:00,14:00,19.945,20.005,19.905,19.995,19.938957,348,6938.7750000000015,29,19.94,20.02,19.89,19.98,19.931749,42292,842951.56,340
2020-07-02,14:30,14:30,19.985,20.005,19.92,19.965,19.989455,1249,24966.885000000002,27,19.98,20.0,19.92,19.96,19.977398,56468,1128089.9002,434
2020-07-02,15:00,15:00,19.99,20.0,19.975,19.99,19.99383,1588,31750.434999999998,43,19.965,20.0,19.965,19.97,19.991118,52873,1056987.4941999998,434
2020-07-02,15:30,15:30,19.97,20.0,19.965,19.995,19.988992,5145,102843.42499999999,70,19.97,20.005,19.945,20.0,19.988413,177957,3557087.2624,1303
2020-07-06,09:30,09:30,20.835,21.46,20.835,21.32,21.299799,2284,48648.84,24,20.61,21.56,20.53,21.255,21.187025,293325,6214727.367500001,1403
2020-07-06,10:00,10:00,21.37,21.43,21.06,21.31,21.246644,1820,38668.915,29,21.28,21.47,21.05,21.22,21.222675,171159,3632461.8133999994,954
2020-07-06,10:30,10:30,21.245,21.585,21.245,21.415,21.459044,2760,59226.984999999986,60,21.21,21.59,21.2,21.41,21.47136,116309,2497321.9198999996,685
2020-07-06,11:00,11:00,21.41,21.535,21.38,21.48,21.439138,3552,76151.965,78,21.4,21.55,21.35,21.47,21.458743,95976,2059525.6282,524
2020-07-06,11:30,11:30,21.505,21.67,21.485,21.495,21.57871,2763,59622.215,55,21.47,21.67,21.455,21.49,21.578105,83812,1808495.2942,586
2020-07-06,12:00,12:00,21.545,21.585,21.32,21.575,21.483138,1761,37831.875,39,21.495,21.6,21.32,21.57,21.493676,64321,1382496.1484,401
2020-07-06,12:30,12:30,21.575,21.695,21.52,21.545,21.600884,1651,35663.07,53,21.57,21.695,21.52,21.545,21.611469,48681,1052070.8493,344
2020-07-06,13:00,13:00,21.545,21.56,21.425,21.455,21.479138,1408,30242.69,55,21.54,21.565,21.42,21.46,21.483615,48197,1035444.2237999999,349
2020-07-06,13:30,13:30,21.465,21.465,21.375,21.385,21.427508,2486,53269.05,72,21.465,21.465,21.365,21.39,21.415001,39852,853429.723,297
2020-07-06,14:00,14:00,21.355,21.355,21.105,21.13,21.198337,2589,54882.415,60,21.38,21.38,21.08,21.13,21.185897,48267,1022578.9213,371
2020-07-06,14:30,14:30,21.135,21.335,21.135,21.265,21.260314,3850,81852.595,76,21.127,21.345,21.12,21.265,21.263574,89197,1896660.7645999999,554
2020-07-06,15:00,15:00,21.28,21.4,21.2,21.4,21.301065,4269,90934.035,54,21.26,21.42,21.2,21.4,21.301383,79095,1684838.7681,577
2020-07-06,15:30,15:30,21.4,21.4,21.23,21.34,21.308653,13362,284725.895,137,21.41,21.41,21.225,21.34,21.305367,275248,5864265.263700001,1772
2020-07-07,09:30,09:30,23.99,25.4,23.5,25.005,24.5438,83203,2042124.4100000001,622,23.95,25.46,23.46,24.96,24.545188,3091930,75892023.02809998,12382
2020-07-07,10:00,10:00,24.965,27.255,24.96,26.885,25.854603,62010,1603248.5850000002,451,24.96,27.36,24.95,27.05,26.109169,2946564,76932694.2724,12692
2020-07-07,10:30,10:30,26.91,26.97,25.81,25.89,26.418482,23951,632751.1599999999,200,27.04,27.08,25.69,25.88,26.42742,1541568,40739820.00989999,7158
2020-07-07,11:00,11:00,25.93,26.795,25.815,26.795,26.22791,29621,776897.39,222,25.88,26.87,25.81,26.81,26.386862,1063820,28070976.537899997,4786
2020-07-07,11:30,11:30,26.86,26.905,26.46,26.605,26.678704,14351,382867.05,72,26.81,26.96,26.422,26.6,26.732847,739967,19781496.089299995,3407
2020-07-07,12:00,12:00,26.61,27.475,26.56,27.4,26.931667,9257,249306.47999999998,82,26.609,27.49,26.56,27.4,27.065549,878392,23774255.409600005,4183
2020-07-07,12:30,12:30,27.36,27.56,27.155,27.48,27.384318,24363,667167.6000000001,208,27.4,27.59,27.13,27.43,27.356689,1005520,27507767.2547,5405
2020-07-07,13:00,13:00,27.43,27.46,26.56,26.8,27.220593,22840,621724.03,246,27.43,27.49,26.54,26.745,27.088173,1069848,28980250.748300005,4940
2020-07-07,13:30,13:30,26.75,26.765,26.075,26.415,26.471481,2371,62763.805,162,26.74,26.79,26.05,26.35,26.353324,906590,23891644.0909,3984
2020-07-07,14:00,14:00,26.365,26.91,26.19,26.79,26.485702,5755,152426.58000000002,184,26.36,26.94,26.15,26.78,26.530817,852528,22618310.978400007,3712
