date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,64.61,66.22,63.36,64.425,64.957621,48728,3165259.1199999996,460,64.5,66.25,63.31,64.425,64.81027,929020,60210045.7488,4225
2020-11-24,10:00,10:00,64.355,64.99,63.575,64.56,64.249807,35403,2274637.105,346,64.41,65.0,63.54,64.65,64.246856,530311,34070871.884,3024
2020-11-24,10:30,10:30,64.68,66.15,64.68,66.15,65.580281,31725,2080534.8999999997,325,64.6,66.2,64.6,66.195,65.556531,485662,31838373.436900005,2836
2020-11-24,11:00,11:00,66.23,66.54,65.69,66.28,66.272857,28901,1915351.0849999995,302,66.23,66.6,65.62,66.28,66.241946,412908,27351884.091999996,2563
2020-11-24,11:30,11:30,66.29,66.92,65.75,65.78,66.480025,30208,2008229.2850000004,301,66.3,66.95,65.71,65.835,66.509727,467228,31075286.4289,2964
2020-11-24,12:00,12:00,65.875,65.88,65.14,65.575,65.556927,17076,1119449.4250000003,169,65.84,65.95,65.11,65.57,65.524432,229523,15039372.4022,1415
2020-11-24,12:30,12:30,65.51,65.51,64.82,65.16,65.117732,17393,1132593.53,193,65.57,65.62,64.76,65.13,65.110655,217514,14162461.262899997,1342
2020-11-24,13:00,13:00,65.1,65.78,65.1,65.29,65.535125,12156,796644.6499999998,136,65.14,65.78,65.1,65.43,65.527305,223416,14639848.214499999,1252
2020-11-24,13:30,13:30,65.49,65.66,64.97,64.985,65.234515,12386,807995.2299999999,130,65.45,65.66,64.95,64.96,65.253107,228107,14884703.8961,1274
2020-11-24,14:00,14:00,65.04,65.35,65.0,65.16,65.19962,9577,624415.9049999999,125,64.955,65.39,64.927,65.19,65.207238,197433,12874059.236999996,1139
2020-11-24,14:30,14:30,65.19,66.48,65.1,66.4,65.962326,15316,1010280.55,183,65.165,66.53,65.06,66.42,65.911546,354083,23338196.014099993,2045
2020-11-24,15:00,15:00,66.46,66.51,66.115,66.49,66.35578,17863,1185314.28,181,66.43,66.53,66.1,66.49,66.350898,263549,17486715.8313,1573
2020-11-24,15:30,15:30,66.465,66.5,66.035,66.37,66.264846,41516,2751054.66,485,66.5,66.55,66.01,66.33,66.264189,449591,29791788.2462,3175
2020-11-25,09:30,09:30,65.5,67.87,65.02,65.73,66.485051,23008,1529690.3749999995,272,65.5,67.98,64.9,65.81,66.383759,754139,50062621.9056,3804
2020-11-25,10:00,10:00,65.67,66.785,65.34,66.75,66.103892,7320,483881.14999999997,115,65.81,66.84,65.18,66.81,66.025729,258321,17055851.1858,1566
2020-11-25,10:30,10:30,66.85,67.94,66.83,67.505,67.505718,12539,846453.82,137,66.87,67.98,66.77,67.47,67.378362,319862,21551807.905099995,1825
2020-11-25,11:00,11:00,67.45,68.14,67.39,67.44,67.814398,11060,750027.9199999999,128,67.455,68.171,67.38,67.39,67.827607,328986,22314376.3537,1812
2020-11-25,11:30,11:30,67.39,67.415,66.1,66.35,66.761606,9979,666215.3900000001,152,67.39,67.45,66.08,66.275,66.723736,319826,21339967.7006,1654
2020-11-25,12:00,12:00,66.21,66.76,66.205,66.695,66.517916,4700,312634.52,67,66.367,66.76,66.18,66.726,66.506855,178662,11882260.3972,931
2020-11-25,12:30,12:30,66.71,66.93,66.405,66.77,66.742306,11139,743443.9099999999,93,66.73,66.93,66.38,66.77,66.742426,174794,11666172.8376,828
2020-11-25,13:00,13:00,66.83,67.23,66.8,66.94,67.046559,3471,232718.825,44,66.82,67.31,66.78,66.93,67.064963,129366,8675927.5084,747
2020-11-25,13:30,13:30,66.98,67.52,66.815,67.43,67.231499,4979,334746.025,79,66.97,67.54,66.78,67.43,67.301018,100253,6747126.016599999,621
2020-11-25,14:00,14:00,67.46,67.69,67.25,67.5,67.4988,6101,411810.70499999996,87,67.43,67.69,67.25,67.5,67.502761,145177,9799850.0627,712
2020-11-25,14:30,14:30,67.565,67.99,67.46,67.92,67.688279,6942,469892.73000000004,81,67.512,68.0,67.44,67.934,67.753507,185785,12587579.809600001,916
2020-11-25,15:00,15:00,67.96,67.96,67.585,67.9,67.857227,11547,783547.4600000001,126,67.91,67.97,67.57,67.93,67.83446,148588,10079382.519700002,965
2020-11-25,15:30,15:30,67.88,68.0,67.62,67.96,67.867556,46570,3160592.43,467,67.92,68.0,67.6,67.95,67.876607,513775,34873360.27070001,3365
2020-11-27,09:30,09:30,68.55,69.4,67.57,68.68,68.535383,27495,1884382.1349999998,258,68.68,69.44,67.549,68.67,68.505905,530414,36336499.438700005,2666
2020-11-27,10:00,10:00,68.645,69.19,67.97,68.19,68.585352,25440,1744812.6300000001,266,68.68,69.3,67.97,68.308,68.643788,418869,28752770.04780001,2108
2020-11-27,10:30,10:30,68.28,68.91,67.85,68.8,68.414475,12501,855249.2200000002,167,68.294,68.944,67.85,68.78,68.405409,258168,17660100.6412,1351
2020-11-27,11:00,11:00,68.705,69.03,68.375,68.47,68.8085,11866,816482.5799999998,150,68.75,69.04,68.27,68.4,68.809118,177486,12212674.546699999,1071
2020-11-27,11:30,11:30,68.355,68.48,67.2,67.785,67.842362,16936,1148977.1999999997,191,68.36,68.49,67.18,67.82,67.781497,277762,18827154.6278,1551
2020-11-27,12:00,12:00,67.785,68.1,67.54,67.78,67.795048,12773,865948.765,159,67.785,68.17,67.51,67.78,67.811494,268342,18196684.0939,1286
2020-11-27,12:30,12:30,67.515,67.515,66.35,66.74,66.800119,21640,1445556.0299999998,303,67.71,67.71,66.32,66.63,66.785515,620739,41456387.66639999,2716
2020-11-30,09:30,09:30,67.725,68.37,66.41,66.68,67.316469,17624,1186387.735,217,67.81,68.5,66.35,66.47,67.421069,496189,33453593.794900008,2292
2020-11-30,10:00,10:00,66.58,66.58,64.67,64.76,65.461427,20461,1339409.1650000003,245,66.48,66.62,64.63,64.655,65.52967,354228,23212443.872300003,1985
2020-11-30,10:30,10:30,64.43,64.75,62.5,63.99,63.587274,21889,1391863.0899999996,271,64.623,64.82,62.46,64.1,63.642844,604333,38461455.9213,3103
2020-11-30,11:00,11:00,64.08,64.85,63.87,64.75,64.45636,9911,638827.3100000002,117,64.15,64.9,63.87,64.81,64.441917,205319,13231182.0686,1166
2020-11-30,11:30,11:30,64.85,65.065,64.56,64.9,64.865838,11276,731428.7999999999,140,64.82,65.086,64.47,64.9,64.857778,141994,9209415.3451,1008
2020-11-30,12:00,12:00,64.83,65.08,64.46,65.08,64.70328,8666,560718.955,112,64.85,65.12,64.428,65.013,64.720048,206124,13340365.786400005,1307
2020-11-30,12:30,12:30,65.03,65.35,64.32,64.41,64.77929,10121,655632.3450000001,132,65.021,65.37,64.32,64.35,64.8221,220303,14280501.7227,1162
2020-11-30,13:00,13:00,64.45,64.95,64.29,64.805,64.577435,5544,358017.08499999996,94,64.393,64.93,64.27,64.85,64.534053,100660,6496000.3960000025,684
2020-11-30,13:30,13:30,64.97,65.45,64.93,65.01,65.227078,5662,369315.71,84,64.87,65.46,64.87,65.0,65.203146,119388,7784480.900900001,660
2020-11-30,14:00,14:00,65.045,65.405,64.96,65.34,65.203779,4953,322954.83,73,65.03,65.44,64.95,65.24,65.220339,114851,7490630.9621,652
2020-11-30,14:30,14:30,65.145,65.25,64.62,64.93,64.887542,7093,460247.4749999999,100,65.2,65.26,64.57,64.898,64.861293,158377,10272527.536299996,853
