date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-10-27,09:30,09:30,55.68,56.775,55.06,56.17,56.057348,18867,1057635.685,206,55.68,56.828,55.03,56.17,56.050693,353571,19817976.4587,1633
2020-10-27,10:00,10:00,56.03,56.74,55.82,56.46,56.399762,9491,535291.4700000001,101,56.1,56.75,55.81,56.45,56.384497,188757,10642980.9086,1200
2020-10-27,10:30,10:30,56.5,56.62,55.86,56.31,56.326664,12537,706166.86,133,56.51,56.68,55.85,56.31,56.307728,277055,15600336.4326,1293
2020-10-27,11:00,11:00,56.18,56.51,56.04,56.34,56.330207,11199,630841.6950000003,143,56.29,56.53,55.99,56.35,56.323923,217343,12241640.923,1289
2020-10-27,11:30,11:30,56.39,57.09,56.18,56.4,56.748278,14704,834430.4450000001,190,56.37,57.11,56.16,56.4,56.746943,307951,17475320.7587,1859
2020-10-27,12:00,12:00,56.39,56.59,55.88,55.88,56.315407,6720,378439.71499999997,86,56.39,56.67,55.869,55.9,56.268831,134310,7557466.3389,730
2020-10-27,12:30,12:30,55.85,56.03,55.56,55.73,55.82662,5162,288176.355,60,55.903,56.17,55.52,55.73,55.801638,122288,6823870.528500001,728
2020-10-27,13:00,13:00,55.49,55.88,55.45,55.71,55.651157,6191,344536.705,75,55.73,55.9,55.4,55.65,55.647519,100965,5618454.0196,692
2020-10-27,13:30,13:30,55.625,56.1,55.51,55.96,55.880241,5031,281133.84500000003,62,55.64,56.13,55.501,55.93,55.885073,113747,6356759.937899999,736
2020-10-27,14:00,14:00,55.9,55.9,55.28,55.37,55.534006,7857,436331.57,93,55.945,55.97,55.27,55.405,55.506627,166935,9266009.805200001,1005
2020-10-27,14:30,14:30,55.4,55.41,54.7,54.7,55.003517,12925,710920.5350000001,152,55.43,55.48,54.66,54.71,55.013271,263730,14508643.945200002,1583
2020-10-27,15:00,15:00,54.785,54.95,54.6,54.84,54.782637,15696,859867.1549999999,179,54.71,54.97,54.59,54.85,54.772473,208325,11410487.8444,1276
2020-10-27,15:30,15:30,54.84,55.04,54.45,54.61,54.752376,32828,1797416.8499999999,438,54.88,55.04,54.44,54.64,54.720832,434427,23772283.2205,2912
2020-10-28,09:30,09:30,53.92,55.34,53.23,55.04,54.70064,26966,1475059.44,324,54.0,55.4,53.149,55.09,54.641667,589354,32203232.6437,3235
2020-10-28,10:00,10:00,54.96,55.73,54.57,54.57,55.313438,19157,1059639.8800000001,215,55.02,55.75,54.55,54.56,55.252049,468072,25861891.245500002,2547
2020-10-28,10:30,10:30,54.6,55.49,54.6,55.34,55.161906,12596,694820.0700000001,150,54.61,55.5,54.51,55.35,55.171496,293038,16167342.1773,1615
2020-10-28,11:00,11:00,55.27,55.8,55.11,55.22,55.513957,10025,556526.96,113,55.27,55.83,55.11,55.335,55.513609,239532,13297300.752100002,1445
2020-10-28,11:30,11:30,55.335,55.63,54.91,55.41,55.333641,6617,366142.63000000006,83,55.374,55.63,54.91,55.41,55.332726,139356,7710950.742400001,857
2020-10-28,12:00,12:00,55.36,55.7,55.1,55.17,55.449005,7831,434221.225,100,55.37,55.72,55.1,55.17,55.481794,107812,5981596.629600001,768
2020-10-28,12:30,12:30,55.09,55.28,54.885,55.26,55.090791,8004,440946.7199999999,119,55.185,55.29,54.85,55.27,55.076857,86286,4752364.4599,635
2020-10-28,13:00,13:00,55.21,55.4,54.98,55.24,55.179716,6995,385981.365,96,55.23,55.42,54.96,55.34,55.159852,98731,5445991.681399999,651
2020-10-28,13:30,13:30,55.31,55.85,55.27,55.79,55.640475,10133,563805.22,116,55.39,55.9,55.24,55.78,55.631753,151804,8445123.822900001,938
2020-10-28,14:00,14:00,55.66,56.22,55.56,56.22,55.828066,20177,1126443.445,211,55.76,56.22,55.53,56.2,55.85647,297544,16619752.022400001,1834
2020-10-28,14:30,14:30,56.23,56.47,55.81,56.14,56.255644,14882,837196.8250000001,172,56.205,56.49,55.81,56.09,56.233493,296497,16673093.817700004,1646
2020-10-28,15:00,15:00,56.05,56.3,55.885,56.17,56.082619,11226,629583.78,113,56.15,56.3,55.85,56.17,56.047267,181955,10198081.8805,1155
2020-10-28,15:30,15:30,56.2,56.43,55.68,55.68,56.079485,30715,1722482.4800000002,364,56.18,56.445,55.68,55.84,56.071374,391823,21970090.206100002,2704
2020-10-29,09:30,09:30,55.41,56.87,54.63,54.93,55.56265,10603,589130.33,147,56.0,56.971,54.6,54.88,55.61019,241109,13408159.5746,1206
2020-10-29,10:00,10:00,54.81,55.23,53.91,54.77,54.68997,9199,503093.73999999993,135,54.86,55.19,53.87,54.715,54.618318,254562,13903752.7846,1553
2020-10-29,10:30,10:30,54.74,54.88,54.33,54.61,54.61797,9105,497297.01,132,54.76,54.88,54.32,54.61,54.649317,142923,7810652.220599999,889
2020-10-29,11:00,11:00,54.62,55.19,54.34,55.19,54.717507,7555,413390.88,102,54.615,55.2,54.28,55.055,54.731201,128198,7016431.829799998,788
2020-10-29,11:30,11:30,55.14,55.14,54.665,54.82,54.863009,4930,270474.48500000004,73,55.09,55.182,54.65,54.8,54.902805,102205,5611351.7014,675
