date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-09-16,09:30,09:30,61.75,63.83,61.595,62.32,62.641087,10993,688613.015,135,61.9,63.89,61.55,62.41,62.650711,566843,35513184.2611,2556
2020-09-16,10:00,10:00,62.18,62.79,61.99,62.47,62.314627,1166,72658.95000000001,17,62.42,62.84,61.91,62.75,62.413672,216180,13492604.4898,1206
2020-09-16,10:30,10:30,62.865,63.135,62.545,63.095,62.791811,3592,225547.87500000003,37,62.73,63.35,62.5,63.255,62.903891,206453,12986713.044399997,1199
2020-09-16,11:00,11:00,63.31,63.45,63.02,63.44,63.236136,3510,221958.87499999997,34,63.265,63.558,62.9,63.46,63.246503,151463,9579512.0944,999
2020-09-16,11:30,11:30,63.645,63.7,63.3,63.51,63.608483,1450,92232.5,16,63.45,63.8,63.15,63.71,63.549508,126495,8038696.267100001,696
2020-09-16,12:00,12:00,63.785,63.795,63.265,63.305,63.704491,2328,148303.96000000002,30,63.72,63.83,63.17,63.39,63.604879,133290,8477890.355200002,828
2020-09-16,12:30,12:30,63.29,63.835,63.29,63.835,63.464412,612,38840.21,13,63.38,63.87,63.21,63.861,63.540648,122691,7795864.177800001,764
2020-09-16,13:00,13:00,63.88,63.88,63.15,63.15,63.388898,885,56099.155,12,63.85,63.92,63.081,63.21,63.424922,117794,7471079.1976,646
2020-09-16,13:30,13:30,63.3,63.37,63.19,63.37,63.284118,510,32274.9,6,63.24,63.55,63.14,63.495,63.292547,65348,4136051.9703,421
2020-09-16,14:00,14:00,63.48,63.78,63.44,63.56,63.586215,4735,301081.505,44,63.49,63.82,63.42,63.68,63.615555,112076,7129769.2935999995,629
2020-09-16,14:30,14:30,63.74,63.83,63.18,63.22,63.563471,2350,149374.115,32,63.68,63.86,63.14,63.23,63.526729,99671,6331777.292299999,665
2020-09-16,15:00,15:00,63.27,63.415,62.3,62.3,62.941053,3405,214314.57,43,63.21,63.46,62.28,62.31,62.811538,211571,13289111.301100003,1124
2020-09-16,15:30,15:30,62.23,62.65,61.77,62.43,62.425781,11852,739871.5149999998,161,62.33,62.68,61.75,62.34,62.358774,417835,26055722.1875,2890
2020-09-17,09:30,09:30,59.27,60.085,58.46,60.085,59.425559,6213,369210.925,62,60.0,60.49,58.16,60.062,59.344226,532749,31615621.0325,2490
2020-09-17,10:00,10:00,60.33,60.51,59.68,59.75,60.222019,2354,141762.63,39,60.03,60.68,59.55,59.77,60.146181,196349,11809662.6283,1054
2020-09-17,10:30,10:30,59.81,59.89,59.295,59.32,59.65077,5956,355279.52,47,59.77,59.99,59.14,59.23,59.576607,178060,10608209.528300002,1046
2020-09-17,11:00,11:00,59.405,59.87,59.35,59.365,59.816268,12599,753624.4099999999,70,59.26,59.93,59.25,59.395,59.590964,146591,8735506.6276,697
2020-09-17,11:30,11:30,59.45,59.45,58.77,58.96,59.059876,2947,174049.34500000003,31,59.45,59.49,58.63,58.645,58.969174,143340,8452645.2558,726
2020-09-17,12:00,12:00,58.61,59.04,58.61,58.8,58.852527,3207,188739.975,56,58.64,59.07,58.56,58.8,58.789274,109657,6446656.719,827
