date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,1003.01,1003.235,988.02,991.28,994.006503,1101,1094401.01,15,1002.3,1007.0,986.287,992.5,994.415342,106522,105927109.58109999,593
2020-08-14,10:00,10:00,992.58,993.195,979.965,980.36,985.45291,4330,4267011.35,72,992.17,993.98,979.05,979.798,984.85851,109016,107365337.2583,682
2020-08-14,10:30,10:30,980.75,991.52,980.75,988.46,987.778764,1231,1215955.6,19,979.2,992.14,978.5,986.7,987.89777,82389,81391925.9341,473
2020-08-14,11:00,11:00,986.99,994.17,986.78,991.47,990.092532,928,918805.77,16,986.45,994.58,986.05,991.165,991.479368,51612,51172230.429299995,329
2020-08-14,11:30,11:30,990.91,992.205,985.13,985.13,989.194679,1043,1031730.08,12,990.91,992.51,984.03,985.0,987.122562,42554,42006015.93159999,300
2020-08-14,12:00,12:00,985.11,986.76,983.38,984.47,985.4794,250,246369.85,7,985.21,987.26,982.64,984.07,985.300719,34673,34163335.024799995,255
2020-08-14,12:30,12:30,985.88,990.145,985.88,989.46,988.960246,142,140432.35499999998,5,984.138,990.52,984.138,989.38,988.353672,19636,19407312.8488,152
2020-08-14,13:00,13:00,989.355,989.355,985.03,985.03,986.206688,998,984234.35,17,989.37,990.66,984.844,985.02,986.885775,23691,23380308.0318,181
2020-08-14,13:30,13:30,985.64,985.91,983.825,984.265,984.993568,854,841184.525,12,984.99,987.0,983.0,987.0,984.70854,24917,24535982.101000004,172
2020-08-14,14:00,14:00,987.22,988.53,986.13,986.58,986.811919,1522,1501927.75,21,987.41,989.33,985.5,986.551,987.332925,23516,23218121.5764,169
2020-08-14,14:30,14:30,986.6,987.725,984.56,985.15,985.949132,2026,1997533.08,22,986.655,988.22,984.29,985.0,985.983889,14581,14376630.7585,122
2020-08-14,15:00,15:00,985.0,985.0,982.875,982.875,983.310456,447,439539.86,10,984.87,985.4,982.68,982.83,984.034188,27873,27427987.110000003,168
2020-08-14,15:30,15:30,984.17,988.36,983.24,987.595,985.501326,1638,1614251.22,31,982.37,988.8,982.05,987.09,986.179962,68985,68031626.07249999,499
2020-08-17,09:30,09:30,998.5,1015.44,996.5,1014.62,1005.811831,5230,5260396.119999999,57,999.0,1016.7,995.514,1014.62,1005.005114,170260,171112187.6164,997
2020-08-17,10:00,10:00,1014.62,1018.99,1004.405,1009.14,1011.083891,4412,4460902.75,124,1015.0,1019.64,1003.51,1010.225,1011.776642,95990,97120440.0312,622
2020-08-17,10:30,10:30,1011.155,1012.86,1004.1,1004.1,1006.836106,1117,1124635.9300000002,18,1010.605,1012.99,1003.0,1004.546,1008.329683,55244,55704169.578099996,329
2020-08-17,11:00,11:00,1003.72,1010.85,1001.93,1005.21,1004.268489,1427,1433091.135,27,1004.886,1011.0,1001.89,1004.64,1005.418344,57143,57452619.58060001,356
