date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-11-24,09:30,09:30,979.175,979.175,966.25,975.735,972.588132,1724,1676741.815,49,978.0,980.0,965.0,978.21,973.218792,67689,65876207.028599985,357
2020-11-24,10:00,10:00,980.1,980.1,975.4,976.495,977.547363,1483,1449702.6400000001,36,978.88,980.1,972.76,975.5,976.714324,26100,25492243.181,190
2020-11-24,10:30,10:30,975.35,976.57,967.98,970.54,972.951019,1292,1257052.5199999998,31,975.08,979.0,967.09,970.09,972.446039,34192,33249878.3402,268
2020-11-24,11:00,11:00,970.43,970.96,968.62,970.96,969.962561,1017,986451.6799999999,16,970.515,971.6,967.86,971.35,969.846951,43540,42227138.93189999,257
2020-11-24,11:30,11:30,971.4,971.4,963.18,966.6,967.348351,2255,2181370.6849999996,41,971.4,971.4,963.0,965.955,966.679229,44174,42702092.67909999,323
2020-11-24,12:00,12:00,965.275,970.265,964.89,970.14,968.997198,2306,2234507.63,43,965.5,970.5,964.99,969.95,968.958049,26359,25540762.543399997,183
2020-11-24,12:30,12:30,970.26,970.68,964.545,965.71,968.70022,872,844706.4500000001,34,970.003,970.588,963.531,966.19,967.883482,38632,37391273.83169999,215
2020-11-24,13:00,13:00,964.8,967.43,964.65,967.43,966.298658,609,588475.845,18,965.31,967.995,964.65,967.716,966.61996,11119,10747847.345600002,81
2020-11-24,13:30,13:30,967.895,969.29,967.1,967.995,968.711873,630,610288.485,34,967.64,969.15,966.78,968.71,968.279847,11510,11144901.5729,83
2020-11-24,14:00,14:00,968.455,968.455,965.035,967.55,966.791772,937,905884.0100000001,33,968.69,968.91,964.48,967.489,966.863369,12567,12150574.345500002,78
2020-11-24,14:30,14:30,966.99,969.0,966.075,969.0,966.93776,2794,2701624.415,34,967.043,969.7,965.75,968.33,967.347043,20709,20032789.844800003,114
2020-11-24,15:00,15:00,968.39,971.45,967.15,970.98,968.945944,1078,1044523.915,50,968.26,971.665,967.025,970.55,968.918549,20752,20106999.068600003,143
2020-11-24,15:30,15:30,971.155,972.24,969.67,971.34,971.192979,2656,2579488.96,71,971.155,972.3,969.38,971.68,971.226961,61193,59432295.7303,430
2020-11-25,09:30,09:30,976.6,995.36,976.6,994.0,989.897596,2751,2723208.3499999996,43,976.42,996.0,975.0,994.0,988.100312,143786,142074988.5618,816
2020-11-25,10:00,10:00,994.16,1005.0,990.77,1001.0,998.852055,3690,3685764.255000001,68,994.551,1007.58,990.72,1002.087,999.327891,159645,159537701.2736,876
2020-11-25,10:30,10:30,1003.22,1010.185,1003.2,1003.86,1006.207731,2458,2473258.7249999996,46,1002.5,1010.05,1002.5,1003.19,1006.928457,82455,83026291.8725,588
2020-11-25,11:00,11:00,1004.605,1007.4,997.26,998.27,1002.275502,2138,2142864.8099999996,42,1004.42,1007.83,995.821,999.0,1002.605799,43388,43501065.11590001,254
2020-11-25,11:30,11:30,998.9,999.96,995.5,997.745,998.01403,3171,3164702.5,45,998.825,1000.0,994.06,997.745,997.486348,31741,31661214.6243,204
2020-11-25,12:00,12:00,997.585,1000.445,994.62,1000.445,997.296826,1411,1407186.02,24,997.29,1001.83,994.149,1000.89,997.781877,34658,34581124.5388,261
2020-11-25,12:30,12:30,1001.775,1005.7,1000.44,1005.7,1003.507962,1863,1869535.56,37,1001.54,1006.0,1000.15,1006.0,1002.914285,30722,30811533.3456,220
2020-11-25,13:00,13:00,1006.05,1009.09,1006.05,1009.09,1007.526468,2674,2694125.9650000003,39,1005.715,1009.54,1005.43,1008.668,1007.908513,48074,48454197.38330001,336
2020-11-25,13:30,13:30,1007.45,1012.34,1006.7,1011.425,1009.875451,2759,2786246.585,35,1008.53,1012.42,1005.749,1011.52,1009.71926,48390,48860310.015300006,285
2020-11-25,14:00,14:00,1010.85,1015.08,1010.24,1014.4,1012.552914,941,952812.5349999999,27,1011.05,1015.77,1010.17,1014.544,1012.652097,40802,41318234.373,280
2020-11-25,14:30,14:30,1014.335,1019.99,1013.385,1018.99,1016.994522,1546,1572273.575,43,1014.19,1020.0,1013.144,1019.0,1016.457603,47829,48616154.429000005,251
2020-11-25,15:00,15:00,1019.2,1021.255,1016.44,1016.44,1019.472217,2661,2712815.44,73,1019.19,1021.11,1016.283,1016.96,1019.726923,38612,39373694.354399994,283
