date,minute,label,open,high,low,close,average,volume,notional,numberOfTrades,marketOpen,marketHigh,marketLow,marketClose,marketAverage,marketVolume,marketNotional,marketNumberOfTrades
2020-08-14,09:30,09:30,336.46,336.74,335.95,336.665,336.399896,22785,7664870.86,179,336.4,336.76,335.9,336.68,336.327051,3042111,1023144666.8849999,15089
2020-08-14,10:00,10:00,336.685,336.86,336.2,336.27,336.474427,34292,11538381.665,231,336.68,336.91,336.17,336.31,336.527421,2078251,699388505.3920002,10633
2020-08-14,10:30,10:30,336.31,337.05,336.29,336.61,336.705783,31159,10491413.315000001,155,336.32,337.05,336.23,336.55,336.740818,1751877,589928848.3321999,8503
2020-08-14,11:00,11:00,336.49,337.215,336.36,337.125,336.77426,22137,7455172.4399999995,113,336.54,337.23,336.36,337.16,336.859359,1360021,458135815.2123,6572
2020-08-14,11:30,11:30,337.195,337.32,336.76,337.06,337.09924,15936,5372012.080000001,92,337.16,337.34,336.74,337.1,337.124728,1354794,456734622.67550004,6812
2020-08-14,12:00,12:00,337.11,337.28,336.9,336.92,337.097959,12267,4135180.055,139,337.105,337.3,336.88,336.945,337.085771,1392742,469473602.58339995,7541
2020-08-14,12:30,12:30,336.98,337.285,336.95,336.97,337.165009,15943,5375425.97,285,336.95,337.295,336.94,336.98,337.131005,881024,297020429.80380005,4954
2020-08-14,13:00,13:00,336.955,337.175,336.795,337.13,336.983175,5689,1917098.1249999998,191,336.975,337.18,336.79,337.137,337.002743,680511,229334053.4729,4236
2020-08-14,13:30,13:30,337.14,337.39,337.02,337.39,337.17665,10919,3681632.6999999997,201,337.14,337.42,337.02,337.415,337.213945,1001448,337702304.2391001,5578
2020-08-14,14:00,14:00,337.395,337.395,336.755,336.96,337.096893,27034,9113075.895,303,337.41,337.41,336.72,336.98,337.081864,1594365,537431494.5271,9580
2020-08-14,14:30,14:30,336.96,337.125,336.56,336.58,336.778764,20204,6804278.840000001,301,336.97,337.15,336.555,336.57,336.779324,1564143,526770983.07060003,9836
2020-08-14,15:00,15:00,336.57,336.69,335.85,336.1,336.252002,54602,18360042.424999997,633,336.58,336.72,335.85,336.1,336.235102,3174691,1067442589.8292999,17527
2020-08-14,15:30,15:30,336.015,336.86,335.7,336.84,336.34543,122389,41164988.47500001,1146,336.095,336.88,335.62,336.86,336.230858,7632187,2566175721.402301,38108
2020-08-17,09:30,09:30,337.945,338.16,337.72,337.885,337.963301,45069,15231676.184999999,397,337.94,338.17,337.71,337.89,337.953231,3185118,1076421245.2289002,15326
2020-08-17,10:00,10:00,337.885,337.94,337.495,337.92,337.736966,39907,13478069.950000003,430,337.89,337.98,337.48,337.93,337.737886,1819284,614441361.4203,9882
2020-08-17,10:30,10:30,338.0,338.335,337.915,338.04,338.083068,24987,8447681.124999998,229,337.93,338.34,337.91,338.02,338.070157,1830836,618951168.6439,9097
2020-08-17,11:00,11:00,338.03,338.155,337.75,338.155,337.974163,33464,11309970.614999998,204,338.025,338.19,337.73,338.17,337.969572,1534699,518681562.1748,7862
2020-08-17,11:30,11:30,338.175,338.175,337.75,338.0,337.895622,7061,2385881.2399999998,72,338.16,338.18,337.74,338.01,337.898642,920946,311186362.29,5176
2020-08-17,12:00,12:00,338.045,338.06,337.76,337.865,337.941375,26756,9041956.320000002,272,338.015,338.06,337.76,337.835,337.899435,883447,298516264.51110005,4927
2020-08-17,12:30,12:30,337.85,338.18,337.84,338.12,337.990166,10470,3538760.0299999993,135,337.84,338.191,337.83,338.125,338.049321,781474,264176823.6422,4164
2020-08-17,13:00,13:00,338.13,338.165,338.025,338.04,338.09904,10902,3685957.005,101,338.16,338.17,338.0,338.06,338.095694,699019,236335359.7434,3279
2020-08-17,13:30,13:30,338.08,338.15,337.975,338.055,338.081974,11834,4000862.014999999,154,338.055,338.16,337.96,338.055,338.070635,757365,256042915.8601,3992
2020-08-17,14:00,14:00,338.07,338.14,337.975,338.06,338.053961,13699,4631002.525,164,338.05,338.16,337.97,338.06,338.063012,870072,294139216.0098,4797
2020-08-17,14:30,14:30,338.07,338.125,337.82,337.91,338.000149,35616,12038217.530000001,193,338.07,338.14,337.81,337.915,337.998762,2428921,820972382.5221001,9740
2020-08-17,15:00,15:00,337.93,337.93,337.59,337.915,337.746674,34048,11499597.274999999,238,337.91,337.96,337.58,337.88,337.751908,1899281,641485843.9189999,9580
2020-08-17,15:30,15:30,337.925,338.15,337.72,337.86,337.878624,81349,27486085.654999997,693,337.89,338.16,337.72,337.88,337.926474,5339816,1804465330.1506,23056
2020-08-18,09:30,09:30,338.35,339.07,338.19,338.39,338.628458,59211,20050536.555,402,338.35,339.07,338.18,338.4,338.650312,3388087,1147376618.7616003,16648
2020-08-18,10:00,10:00,338.385,338.43,336.77,336.815,337.62748,41214,13914981.395000001,440,338.39,338.45,336.77,336.8,337.624051,3145926,1062140470.0422999,14962
2020-08-18,10:30,10:30,336.795,337.78,336.645,337.78,337.310387,40067,13515017.19,279,336.8,337.78,336.61,337.77,337.256208,2094756,706469518.3132,10730
